Lgroup	TCGA.FG.A6J1.01	TCGA.HT.A4DS.01	TCGA.QH.A65X.01	TCGA.HW.A5KJ.01	TCGA.R8.A73M.01	TCGA.DB.A64L.01	TCGA.DB.5274.01	TCGA.DU.7304.02	TCGA.E1.A7YS.01	TCGA.E1.5304.01	TCGA.HT.A74K.01	TCGA.VW.A7QS.01	TCGA.S9.A6WH.01	TCGA.F6.A8O3.01	TCGA.HT.A61C.01	TCGA.FG.A6IZ.01	TCGA.DB.A64V.01	TCGA.DB.A64Q.01	TCGA.HT.A619.01	TCGA.S9.A6WP.01	TCGA.FG.A4MT.02	TCGA.RY.A83Y.01	TCGA.QH.A65R.01	TCGA.DH.A7UR.01	TCGA.HT.A4DV.01	TCGA.FG.A87N.01	TCGA.HW.7487.01	TCGA.DB.A64U.01	TCGA.TM.A84G.01	TCGA.R8.A6MO.01	TCGA.S9.A6UB.01	TCGA.DU.A7T6.01	TCGA.VM.A8CB.01	TCGA.DU.6407.02	TCGA.S9.A6TX.01	TCGA.HT.A61A.01	TCGA.FG.A6J3.01	TCGA.HT.A5R9.01	TCGA.TQ.A7RQ.01	TCGA.FG.A4MT.01	TCGA.FG.5964.01	TCGA.VM.A8C9.01	TCGA.TQ.A7RU.01	TCGA.S9.A7IS.01	TCGA.TM.A7C5.01	TCGA.S9.A6TY.01	TCGA.DB.A4XH.01	TCGA.DH.5144.01	TCGA.S9.A7R1.01	TCGA.DU.7294.01	TCGA.DH.A66F.01	TCGA.S9.A6TW.01	TCGA.DU.A6S3.01	TCGA.E1.A7YO.01	TCGA.DU.6392.01	TCGA.FG.5965.02	TCGA.TM.A84J.01	TCGA.CS.5394.01	TCGA.DU.6410.01	TCGA.S9.A7QY.01	TCGA.QH.A65Z.01	TCGA.DH.5140.01	TCGA.HT.7603.01	TCGA.DU.5874.01	TCGA.WY.A859.01	TCGA.P5.A730.01	TCGA.QH.A6CY.01	TCGA.P5.A5F0.01	TCGA.DB.A64P.01	TCGA.DU.A7TC.01	TCGA.P5.A77W.01	TCGA.WY.A858.01	TCGA.CS.6669.01	TCGA.RY.A83Z.01	TCGA.HT.7856.01	TCGA.DU.7014.01	TCGA.FG.A60L.01	TCGA.S9.A6WI.01	TCGA.DU.6394.01	TCGA.DU.5870.02	TCGA.HT.8105.01	TCGA.DB.A4XG.01	TCGA.DU.7300.01	TCGA.DU.8168.01	TCGA.CS.5390.01	TCGA.FG.A4MX.01	TCGA.QH.A6X8.01	TCGA.RY.A847.01	TCGA.S9.A7J0.01	TCGA.WY.A85E.01	TCGA.DB.A75L.01	TCGA.HT.7481.01	TCGA.TM.A84Q.01	TCGA.HT.8558.01	TCGA.QH.A6CZ.01	TCGA.HT.A74H.01	TCGA.DB.A75K.01	TCGA.CS.6668.01	TCGA.DH.A669.02	TCGA.DU.7302.01	TCGA.P5.A5ET.01	TCGA.DB.5278.01	TCGA.S9.A6WD.01	TCGA.FG.A710.01	TCGA.DU.A7TB.01	TCGA.IK.8125.01	TCGA.QH.A6X4.01	TCGA.WY.A85A.01	TCGA.DU.A7TG.01	TCGA.EZ.7264.01	TCGA.DB.A4XA.01	TCGA.RY.A840.01	TCGA.DU.A5TS.01	TCGA.DH.5141.01	TCGA.HT.7476.01	TCGA.HT.A615.01	TCGA.DU.A76L.01	TCGA.S9.A7J2.01	TCGA.HT.8012.01	TCGA.QH.A65V.01	TCGA.DU.A6S8.01	TCGA.DU.A5TU.01	TCGA.FG.A713.01	TCGA.TM.A84M.01	TCGA.S9.A7QZ.01	TCGA.DB.A64W.01	TCGA.TM.A84R.01	TCGA.HW.8322.01	TCGA.DU.7019.01	TCGA.DU.7009.01	TCGA.DU.6400.01	TCGA.DU.7018.01	TCGA.DH.A7UU.01	TCGA.R8.A6ML.01	TCGA.VM.A8CF.01	TCGA.P5.A5F6.01	TCGA.TQ.A7RS.01	TCGA.S9.A89V.01	TCGA.FG.A4MW.01	TCGA.HT.7606.01	TCGA.E1.A7YY.01	TCGA.QH.A6CV.01	TCGA.HT.A614.01	TCGA.S9.A7J1.01	TCGA.HT.7692.01	TCGA.HT.8011.01	TCGA.E1.A7Z2.01	TCGA.HT.7620.01	TCGA.S9.A6WL.01	TCGA.HT.7688.01	TCGA.HW.7486.01	TCGA.HT.7677.01	TCGA.P5.A781.01	TCGA.HT.8019.01	TCGA.DU.A76K.01	TCGA.DB.5275.01	TCGA.E1.5319.01	TCGA.RY.A843.01	TCGA.HT.7616.01
Hgroup	TCGA.P5.A731.01	TCGA.S9.A7R4.01	TCGA.TQ.A7RF.01	TCGA.CS.6188.01	TCGA.CS.6290.01	TCGA.FG.A4MU.01	TCGA.DU.6396.01	TCGA.HW.A5KL.01	TCGA.DH.A66G.01	TCGA.WH.A86K.01	TCGA.P5.A72U.01	TCGA.DU.6402.01	TCGA.QH.A6CW.01	TCGA.S9.A6U1.01	TCGA.S9.A7IZ.01	TCGA.HW.A5KM.01	TCGA.VM.A8CH.01	TCGA.DU.7011.01	TCGA.DU.6403.01	TCGA.HT.7602.01	TCGA.CS.5396.01	TCGA.TQ.A7RP.01	TCGA.P5.A72Z.01	TCGA.HT.7884.01	TCGA.S9.A6U2.01	TCGA.QH.A6CX.01	TCGA.TM.A7C3.01	TCGA.FG.5965.01	TCGA.HT.8108.01	TCGA.HT.7879.01	TCGA.HT.8106.01	TCGA.DB.A75O.01	TCGA.DU.A7T8.01	TCGA.TQ.A8XE.01	TCGA.HT.8110.01	TCGA.HT.A5RC.01	TCGA.HT.7693.01	TCGA.CS.6667.01	TCGA.FG.A60J.01	TCGA.HT.7690.01	TCGA.DU.A7TI.01	TCGA.P5.A736.01	TCGA.FG.6689.01	TCGA.TQ.A7RJ.01	TCGA.HT.7608.01	TCGA.S9.A7QX.01	TCGA.DU.6395.01	TCGA.DU.5872.01	TCGA.P5.A733.01	TCGA.FG.8191.01	TCGA.HT.7482.01	TCGA.DB.A4X9.01	TCGA.TQ.A7RK.01	TCGA.FG.6690.01	TCGA.E1.A7YW.01	TCGA.HT.7609.01	TCGA.CS.6186.01	TCGA.S9.A7R8.01	TCGA.R8.A6YH.01	TCGA.FG.A87Q.01	TCGA.S9.A6TU.01	TCGA.TM.A84C.01	TCGA.DU.7292.01	TCGA.DB.5279.01	TCGA.HT.7855.01	TCGA.DU.8166.01	TCGA.DU.A7TA.01	TCGA.HW.8319.01	TCGA.DU.6399.01	TCGA.E1.5303.01	TCGA.CS.5395.01	TCGA.DU.7013.01	TCGA.HT.A5R5.01	TCGA.S9.A7R3.01	TCGA.TM.A84H.01	TCGA.TQ.A7RV.02	TCGA.TQ.A7RR.01	TCGA.DB.A4XB.01	TCGA.TQ.A7RK.02	TCGA.HT.7689.01	TCGA.DU.6404.01	TCGA.DB.A4XD.01	TCGA.HT.7474.01	TCGA.DU.5852.01	TCGA.FG.8188.01	TCGA.S9.A6TZ.01	TCGA.DU.7012.01	TCGA.DU.A7TJ.01	TCGA.DU.6542.01	TCGA.E1.5302.01	TCGA.DU.A6S7.01	TCGA.HT.8013.01	TCGA.DU.6406.01	TCGA.VM.A8CD.01	TCGA.DU.5853.01	TCGA.DB.5276.01	TCGA.HT.7479.01	TCGA.HT.8563.01	TCGA.HT.7472.01	TCGA.DU.7304.01	TCGA.DU.5854.01	TCGA.FG.6691.01	TCGA.P5.A72X.01	TCGA.CS.4941.01	TCGA.HW.8321.01	TCGA.DU.7010.01	TCGA.DU.7006.01	TCGA.FG.8182.01	TCGA.HT.7854.01	TCGA.HT.7858.01	TCGA.S9.A6WO.01	TCGA.TQ.A7RW.01	TCGA.DU.7015.01	TCGA.DB.5281.01	TCGA.QH.A6X3.01	TCGA.HT.8104.01	TCGA.S9.A7R7.01	TCGA.HT.A5RA.01	TCGA.HT.7469.01	TCGA.F6.A8O4.01	TCGA.HT.7686.01	TCGA.HT.7604.01	TCGA.CS.6666.01	TCGA.DB.A4XF.01	TCGA.HW.7493.01	TCGA.P5.A5EW.01	TCGA.DH.5143.01	TCGA.DU.8163.01	TCGA.DU.5847.01	TCGA.IK.7675.01	TCGA.DU.5871.01	TCGA.FN.7833.01	TCGA.DU.7306.01	TCGA.DU.6407.01	TCGA.DU.7007.01	TCGA.QH.A870.01	TCGA.HT.7485.01	TCGA.E1.5307.01	TCGA.CS.4938.01	TCGA.E1.A7Z6.01	TCGA.DU.8165.01	TCGA.VV.A86M.01	TCGA.HT.7473.01	TCGA.HW.8320.01	TCGA.E1.A7YJ.01	TCGA.HT.8114.01	TCGA.DU.8161.01	TCGA.DU.6401.01	TCGA.DU.5855.01	TCGA.DB.5280.01	TCGA.DU.7301.01	TCGA.HT.7873.01	TCGA.DU.6405.01	TCGA.HT.7680.01	TCGA.HT.7860.01	TCGA.DU.8158.01	TCGA.CS.5397.01	TCGA.HT.7611.01	TCGA.DU.6404.02
Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AR|367	249.864066284316	4.18883634412732	0.0863829290963909	48.4914830736196	0	0
DOCK7|85440	3865.56102892816	1.57785242846427	0.072159098606986	21.8662990381578	5.4394854051213e-106	4.77097264883189e-102
MMP24|10893	2573.89676670504	-1.45875999336166	0.0755622875342207	-19.3053974537366	4.83816663350848e-83	2.82903730283353e-79
TRIM67|440730	3557.5999323939	-3.71083652119285	0.199613047636403	-18.5901501186043	3.8609577811608e-77	1.69322303492807e-73
F2RL1|2150	284.979411059936	2.49098936758521	0.134871464801597	18.4693580013355	3.64391927447231e-76	1.27843263825586e-72
MTF1|4520	1305.53690607464	0.794437281364232	0.0431625555750917	18.4057053800282	1.18235035034533e-75	3.45679830762629e-72
NOTCH2|4853	11140.996504385	1.30586788928392	0.0718747571251568	18.1686581146979	9.14065348371579e-74	2.29064776301918e-70
WASF2|10163	7744.38850680171	0.956134752458361	0.052726364304253	18.1339025566236	1.72100424928624e-73	3.77373206762239e-70
CAMK2N2|94032	1450.16896141674	-1.61251237095331	0.0902680328199404	-17.8636037651316	2.2652964308635e-71	4.4153144433564e-68
ANKRD39|51239	424.610574965436	-0.950979741031216	0.0532744734161892	-17.8505704524191	2.86099076328821e-71	4.65040100205064e-68
GLIS3|169792	1800.47019526175	2.03101992756288	0.113785786196641	17.8495047180404	2.91611053600257e-71	4.65040100205064e-68
KCNK3|3777	1236.73372333154	-2.52599965431103	0.142310768346502	-17.7498841701188	1.72709866044981e-70	2.52473039180088e-67
DUSP18|150290	337.303280029485	1.04905425390831	0.0593921062043856	17.6631933256957	8.05508013205581e-70	1.08694012058864e-66
ASPHD1|253982	1678.94595414417	-1.85537230976878	0.105845662004436	-17.5290349612156	8.60169818815792e-69	1.07779278297619e-65
RREB1|6239	595.501030174404	1.33300180745843	0.0768170295438869	17.3529465454905	1.87381582064192e-67	2.19136514171337e-64
HEATR5A|25938	3604.28316488992	1.13801420511755	0.0658785552531806	17.2744256570897	7.32994743948235e-67	8.03637112396246e-64
OGFRL1|79627	2364.12874713504	1.69229173107287	0.0984120579130103	17.1959795065839	2.84607235212019e-66	2.93681183534661e-63
KIAA0494|9813	8717.16992673381	0.788708887210384	0.0460332382974767	17.1334652173192	8.35281036207501e-66	8.14027774286221e-63
SPRN|503542	1015.03963866692	-1.51741612946838	0.0894472588317211	-16.9643670391635	1.50714918960066e-64	1.3914953202092e-61
CD84|8832	335.068103561424	2.17937134406706	0.128826195822653	16.9171442977891	3.36348374121879e-64	2.950111589423e-61
HIPK1|204851	6437.41900908244	0.893591928627758	0.0529756608954545	16.8679713197204	7.74095847087207e-64	6.46628064266847e-61
PKN2|5586	2151.99927706609	0.837885605850207	0.0502760927559966	16.6656866100692	2.32799837480197e-62	1.85626124958073e-59
CARD8|22900	1673.91439903982	0.838704424532522	0.0505134328359311	16.6035919050811	6.56424963527879e-62	5.00652465661133e-59
ERBB2IP|55914	8318.37013915384	1.06036026108447	0.0639193123501787	16.589043625428	8.36416425623373e-62	6.11350705761884e-59
TLR6|10333	77.4878995436305	1.88329399319618	0.113553359506833	16.5851015009632	8.93146727420073e-62	6.26703195696117e-59
WLS|79971	13616.7351057123	1.20744364029732	0.0729098483937207	16.5607756276902	1.3385729832553e-61	9.03124895087095e-59
C1orf230|284485	40.7702974798732	-2.2446974929033	0.136555405031707	-16.4379981325682	1.02240744423497e-60	6.64261903213698e-58
TMOD3|29766	1602.72395851889	0.903950857234784	0.0552388021559173	16.3644181617713	3.43292961220166e-60	2.15073040204434e-57
TMEM97|27346	2254.76977880651	-1.26423128253161	0.0772803868909016	-16.3590185478284	3.75124793743899e-60	2.26911694201913e-57
GPRIN1|114787	2559.02639355271	-1.46658438058628	0.089960287493586	-16.3025755191239	9.4619548284729e-60	5.53272038670239e-57
SIRPB2|284759	181.600356117865	1.83037971163888	0.112635144530325	16.250520379508	2.21476511858659e-59	1.25327128097568e-56
PIK3CG|5294	149.012292442177	2.07693862911114	0.128152864437229	16.2067280995381	4.52000527167035e-59	2.47781038986379e-56
SRRM3|222183	1688.67561367365	-2.09709605374417	0.129574241710043	-16.1845134192411	6.48605884412936e-59	3.44783164374901e-56
AHNAK|79026	31235.7153730678	1.4880524326922	0.0920771985451033	16.1609220980294	9.51280346526374e-59	4.90804701140166e-56
UTRN|7402	4130.0286510879	1.13908498449848	0.0707916871829884	16.090660214865	2.96656945688328e-58	1.4868446117899e-55
BMP2K|55589	1138.32460439395	1.25266899310009	0.0785026920167826	15.9570195737019	2.54602619963597e-57	1.24062198872262e-54
ADAMTSL3|57188	277.244713221259	2.3615476552987	0.148270875589885	15.927252374436	4.0998046220601e-57	1.94375061297779e-54
MARCH4|57574	842.309895727338	-2.801453403533	0.176695510737977	-15.8546948467033	1.30459739571995e-56	6.02243355676824e-54
RNF19A|25897	6407.18963970042	1.31611318140394	0.0833085245952811	15.7980613364324	3.20832258106562e-56	1.443087044027e-53
C4orf31|79625	344.291329102075	2.80050764528915	0.177632973844463	15.7656970137836	5.35779575709682e-56	2.34966132927481e-53
CHGB|1114	7753.89837316963	-2.12108058586257	0.134685585286976	-15.7483860009455	7.04566788278902e-56	3.014514780485e-53
TNNT1|7138	181.879429589418	-2.78163131606245	0.176759908230429	-15.73677732643	8.46461913398913e-56	3.53538925829613e-53
CDC14A|8556	361.756034075842	1.11483221853812	0.070904780495115	15.7229485903976	1.05306633096937e-55	4.19838399496926e-53
VCAM1|7412	2639.12273568464	2.4553693209622	0.156154313043498	15.7239929727605	1.0358465476962e-55	4.19838399496926e-53
KCNIP2|30819	3334.40988490425	-2.22854029139528	0.142118653951448	-15.6808429395666	2.04521926945703e-55	7.97271920551451e-53
EVI5|7813	1614.81209248948	0.739522572546187	0.0472938728556501	15.6367522449124	4.09065650907757e-55	1.55996296700519e-52
PLEKHA7|144100	739.487301512398	1.4492691255824	0.0928257267516723	15.6127958950376	5.95683288791717e-55	2.22329281957113e-52
SEZ6L2|26470	7204.3082736184	-1.8238096486007	0.116898976721545	-15.601587796145	7.10059265255404e-55	2.59497075648131e-52
RASEF|158158	16.071682285143	4.14614848046253	0.26611501386874	15.5802877116419	9.9107667032466e-55	3.54805447976228e-52
C7orf58|79974	238.096073933042	1.87399686471081	0.120317548655485	15.5754242473538	1.0694116605604e-54	3.75192386991011e-52
ECM2|1842	1114.27652512599	2.1448941854245	0.13776554251895	15.5691629866697	1.17940451676345e-54	4.05668902609108e-52
YAP1|10413	2565.6313286764	1.59957242077427	0.103214852067845	15.4975024303947	3.60640995302609e-54	1.21660852684584e-51
ACSM5|54988	623.79822954079	1.97312551204873	0.127423904874876	15.4847358820642	4.39865282129196e-54	1.45587109039818e-51
LZIC|84328	920.171933906306	0.745456821340282	0.048171129643313	15.4751783248613	5.10316664996606e-54	1.65777313655009e-51
PRPF38A|84950	2873.05977808733	0.624787166016672	0.040497622594888	15.4277492352239	1.0652072600536e-53	3.39743013742914e-51
SPIRE2|84501	784.308807750756	-1.04594009006446	0.0679294039231606	-15.3974572078918	1.70232946391405e-53	5.33254704571077e-51
PTAFR|5724	320.565669116961	2.0285445532586	0.13216781366201	15.3482492980186	3.63874191336681e-53	1.11983878323299e-50
PTPRC|5788	1055.7709020961	1.84370568666973	0.120203885424441	15.3381538388679	4.25113990384415e-53	1.2857499343661e-50
TLR1|7096	308.480543063049	1.6448680928486	0.107280777708297	15.3323654804321	4.64749074683745e-53	1.38180140137327e-50
EBP|10682	1039.12431628771	-0.918901529354562	0.0601412078038184	-15.2790667648717	1.05439857271112e-52	3.08270996041642e-50
KIAA0355|9710	2021.77689531697	0.721649774755877	0.0473019762657527	15.2562288455242	1.49650907237195e-52	4.30356756517192e-50
LONRF3|79836	147.08678917731	1.85658694461758	0.121801695793058	15.2427019388297	1.84097031490681e-52	5.20875826840245e-50
PPP1R14C|81706	413.137101324525	-2.03253222481325	0.133364269569352	-15.2404555686206	1.90537177701681e-52	5.3054018591157e-50
CACHD1|57685	2196.05171320459	1.17469257943743	0.0771669697022872	15.2227382255573	2.49850850168335e-52	6.84825564633271e-50
MOBKL1B|55233	783.964966883862	1.00417654166395	0.0661084352573867	15.1898398102192	4.1292753065548e-52	1.11439611427053e-49
PHEX|5251	50.4049741986736	2.44637708352931	0.161109828837103	15.1845303367731	4.47758801231456e-52	1.19008861987912e-49
UBIAD1|29914	1419.2984504239	0.625187914438079	0.0412577105318966	15.153238179679	7.21236551316204e-52	1.88834799749087e-49
FLJ23867|200058	342.879226072258	-1.0939359394189	0.0722344466499733	-15.1442419808348	8.27026750464025e-52	2.13348577303528e-49
SCN7A|6332	253.297700015565	3.47817270657218	0.229926913669639	15.1272969791159	1.07000933040402e-51	2.72030488028222e-49
ZNF821|55565	1317.58833224367	-0.773126330444974	0.0511392592141495	-15.1180588519566	1.23118637859193e-51	3.08535306475138e-49
