Lgroup	TCGA.22.4599.01	TCGA.33.4583.01	TCGA.37.4130.01	TCGA.39.5016.01	TCGA.39.5036.01	TCGA.39.5037.01	TCGA.43.2576.01	TCGA.43.A474.01	TCGA.58.8387.01	TCGA.63.A5MY.01	TCGA.77.7465.01	TCGA.85.A4JC.01	TCGA.85.A4QQ.01	TCGA.85.A4QR.01	TCGA.94.8490.01	TCGA.MF.A522.01	TCGA.NC.A5HG.01	TCGA.NC.A5HM.01	TCGA.NC.A5HN.01	TCGA.NC.A5HR.01	TCGA.O2.A52Q.01	TCGA.37.3792.01	TCGA.18.3410.01	TCGA.39.5011.01	TCGA.22.5481.01	TCGA.37.4132.01	TCGA.94.7033.01	TCGA.18.3419.01	TCGA.85.8354.01	TCGA.37.4135.01	TCGA.NK.A5CT.01	TCGA.66.2771.01	TCGA.18.3421.01	TCGA.33.AASI.01	TCGA.NK.A7XE.01	TCGA.37.A5EL.01	TCGA.51.4080.01	TCGA.NC.A5HK.01	TCGA.43.7658.01	TCGA.21.A5DI.01	TCGA.46.3769.01	TCGA.6A.AB49.01	TCGA.56.7580.01	TCGA.66.2766.01	TCGA.33.4589.01	TCGA.85.8584.01	TCGA.37.3789.01	TCGA.77.7140.01	TCGA.51.4079.01	TCGA.33.4582.01	TCGA.56.A4ZK.01	TCGA.NC.A5HO.01	TCGA.66.2778.01	TCGA.22.5482.01	TCGA.33.AASD.01	TCGA.22.A5C4.01	TCGA.77.8144.01	TCGA.63.A5MU.01	TCGA.77.8143.01	TCGA.33.AASJ.01	TCGA.22.5471.01	TCGA.79.5596.01	TCGA.85.A510.01	TCGA.43.7656.01	TCGA.77.8153.01	TCGA.66.2759.01	TCGA.18.3416.01	TCGA.58.A46M.01	TCGA.63.7021.01	TCGA.39.5027.01	TCGA.18.3415.01	TCGA.33.4538.01	TCGA.58.8392.01	TCGA.77.8150.01	TCGA.77.A5GB.01	TCGA.NC.A5HT.01	TCGA.56.7579.01	TCGA.60.2722.01	TCGA.56.8629.01	TCGA.NC.A5HF.01	TCGA.58.A46N.01	TCGA.37.5819.01	TCGA.NK.A5CR.01	TCGA.21.1075.01	TCGA.63.A5MR.01	TCGA.39.5029.01	TCGA.66.2756.01	TCGA.66.2768.01	TCGA.77.8140.01	TCGA.37.4141.01	TCGA.56.7730.01	TCGA.LA.A446.01	TCGA.60.2720.01	TCGA.66.2744.01	TCGA.21.1072.01	TCGA.34.A5IX.01	TCGA.77.7139.01	TCGA.33.4586.01	TCGA.85.8479.01	TCGA.85.A513.01	TCGA.33.AASL.01	TCGA.18.5592.01	TCGA.98.A538.01	TCGA.18.4721.01	TCGA.22.1017.01	TCGA.85.A512.01	TCGA.33.6738.01	TCGA.63.A5MH.01	TCGA.LA.A7SW.01	TCGA.18.3414.01	TCGA.77.A5G3.01	TCGA.37.A5EN.01	TCGA.58.A46K.01	TCGA.O2.A52W.01	TCGA.85.A4PA.01	TCGA.56.7221.01	TCGA.77.A5G8.01	TCGA.85.8277.01	TCGA.85.8580.01	TCGA.63.A5MG.01	TCGA.94.A5I4.01	TCGA.22.1012.01	TCGA.60.2726.01	TCGA.L3.A524.01	TCGA.43.A475.01	TCGA.66.2794.01	TCGA.58.A46J.01	TCGA.77.7138.01	TCGA.94.8035.01	TCGA.90.A59Q.01	TCGA.77.6845.01	TCGA.63.7023.01	TCGA.94.A4VJ.01	TCGA.77.A5G7.01	TCGA.70.6723.01	TCGA.56.7823.01	TCGA.22.4613.01	TCGA.33.AAS8.01	TCGA.52.7811.01	TCGA.O2.A52N.01	TCGA.77.8009.01	TCGA.96.A4JK.01	TCGA.77.8148.01	TCGA.66.2767.01	TCGA.98.A539.01	TCGA.66.2755.01	TCGA.52.7810.01	TCGA.43.2578.01	TCGA.66.2769.01	TCGA.18.5595.01	TCGA.22.0944.01
Hgroup	TCGA.58.8393.01	TCGA.66.2787.01	TCGA.34.8454.01	TCGA.63.A5MV.01	TCGA.22.1016.01	TCGA.22.4604.01	TCGA.22.4596.01	TCGA.34.8455.01	TCGA.22.1005.01	TCGA.43.6773.01	TCGA.68.7755.01	TCGA.85.6561.01	TCGA.34.2608.01	TCGA.43.8116.01	TCGA.63.6202.01	TCGA.58.8390.01	TCGA.22.4595.01	TCGA.NC.A5HD.01	TCGA.60.2715.01	TCGA.66.2800.01	TCGA.56.8626.01	TCGA.85.8350.01	TCGA.77.7337.01	TCGA.98.A53D.01	TCGA.60.2697.01	TCGA.18.3417.01	TCGA.56.A4ZJ.01	TCGA.66.2789.01	TCGA.18.3406.01	TCGA.60.2710.01	TCGA.77.A5GH.01	TCGA.22.4605.01	TCGA.60.2721.01	TCGA.85.7843.01	TCGA.56.8309.01	TCGA.94.7557.01	TCGA.43.6143.01	TCGA.34.7107.01	TCGA.63.A5MS.01	TCGA.NC.A5HE.01	TCGA.77.A5G6.01	TCGA.85.8582.01	TCGA.66.2790.01	TCGA.66.2763.01	TCGA.96.7545.01	TCGA.33.4533.01	TCGA.85.7844.01	TCGA.56.7731.01	TCGA.60.2709.01	TCGA.92.8065.01	TCGA.85.8048.01	TCGA.46.3767.01	TCGA.85.8288.01	TCGA.22.4594.01	TCGA.22.4609.01	TCGA.85.8353.01	TCGA.56.8624.01	TCGA.46.3766.01	TCGA.34.2600.01	TCGA.51.6867.01	TCGA.22.4593.01	TCGA.68.A59J.01	TCGA.39.5022.01	TCGA.60.2719.01	TCGA.98.A53C.01	TCGA.77.7142.01	TCGA.77.6842.01	TCGA.22.1000.01	TCGA.56.A62T.01	TCGA.66.2781.01	TCGA.60.2707.01	TCGA.22.5474.01	TCGA.22.5478.01	TCGA.60.2698.01	TCGA.43.6770.01	TCGA.60.2704.01	TCGA.85.8049.01	TCGA.58.8388.01	TCGA.34.5927.01	TCGA.77.7463.01	TCGA.77.A5FZ.01	TCGA.77.A5GF.01	TCGA.NC.A5HH.01	TCGA.77.8145.01	TCGA.22.5489.01	TCGA.98.8021.01	TCGA.18.3409.01	TCGA.63.7022.01	TCGA.22.5480.01	TCGA.O2.A52S.01	TCGA.56.8083.01	TCGA.63.A5MP.01	TCGA.85.8352.01	TCGA.98.7454.01	TCGA.39.5034.01	TCGA.56.6545.01	TCGA.39.5035.01	TCGA.77.8139.01	TCGA.43.6647.01	TCGA.98.A53H.01	TCGA.90.7767.01	TCGA.77.8008.01	TCGA.56.8623.01	TCGA.33.A5GW.01	TCGA.37.4133.01	TCGA.43.8115.01	TCGA.21.5783.01	TCGA.90.A4ED.01	TCGA.NC.A5HI.01	TCGA.94.8491.01	TCGA.22.4591.01	TCGA.56.8503.01	TCGA.56.8307.01	TCGA.66.2785.01	TCGA.77.A5GA.01	TCGA.56.5897.01	TCGA.56.8625.01	TCGA.34.5928.01	TCGA.NK.A5D1.01	TCGA.34.2596.01	TCGA.94.7943.01	TCGA.66.2793.01	TCGA.33.AASB.01	TCGA.66.2786.01	TCGA.34.5232.01	TCGA.68.8250.01	TCGA.56.8504.01	TCGA.60.2711.01	TCGA.18.4083.01	TCGA.85.6175.01	TCGA.96.A4JL.01	TCGA.77.8146.01	TCGA.85.8664.01	TCGA.66.2737.01	TCGA.63.A5MI.01	TCGA.96.8170.01	TCGA.85.A50Z.01	TCGA.77.6844.01	TCGA.39.5030.01	TCGA.21.1080.01	TCGA.34.5239.01	TCGA.96.7544.01	TCGA.56.8082.01	TCGA.77.6843.01	TCGA.56.1622.01	TCGA.85.8071.01	TCGA.68.8251.01	TCGA.21.1078.01	TCGA.22.5477.01	TCGA.90.7964.01	TCGA.60.2706.01
Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AR|367	56.3455242043369	5.12959881189477	0.139138319919161	36.8669020502409	1.56784065688224e-297	2.80643477581922e-293
ITGA8|8516	116.954656165637	3.05754260507219	0.183912545887109	16.6249811307	4.59511252517593e-62	4.11262571003245e-58
C1QTNF7|114905	61.6776075100938	2.49487065243559	0.15525798554861	16.0691937591478	4.19507036643756e-58	2.50305865197441e-54
COL8A1|1295	1462.08523809342	2.32856521973777	0.150570284509113	15.4649719055079	5.97993491167576e-54	2.6760208729749e-50
HMCN1|83872	1393.88446874208	2.11048092467922	0.139793271731482	15.0971566695504	1.69068183522671e-51	6.05264097011162e-48
FAT4|79633	477.226794265191	2.05025268802485	0.137872971312575	14.8705918825575	5.1159041554841e-50	1.52624473971942e-46
UNC5C|8633	56.0635981644408	2.4414048548659	0.167418827164262	14.5826183125183	3.62348378484437e-48	9.26576567838774e-45
SCN7A|6332	130.515779720685	2.88651089261283	0.198275931016994	14.5580498742705	5.19178184256436e-48	1.16166118727377e-44
HGF|3082	141.7620800471	2.33301494771361	0.163928444263791	14.2319105033375	5.80732679281119e-46	1.15501277323689e-42
COL6A3|1293	34348.9191126286	1.85005839134023	0.130955890499015	14.1273400096053	2.57695589432e-45	4.6127510508328e-42
ADAMTS12|81792	602.470340713673	2.34222722132199	0.165875368440233	14.120404031934	2.84356331692937e-45	4.62725303391234e-42
DDR2|4921	305.288574752343	2.11314943958886	0.150106978266222	14.0776229326334	5.21340814808217e-45	7.77666715422258e-42
ZCCHC24|219654	1003.12485195325	1.3329041133447	0.0965284470796565	13.8084073003347	2.26790471591276e-43	3.12273033960295e-40
LMOD1|25802	523.454333056268	1.77982159420864	0.129381034516085	13.7564334747019	4.6595264177147e-43	5.95753734836379e-40
RUNX1T1|862	50.6863943618269	2.28933509363618	0.167209743299853	13.6913976928412	1.1428945705294e-42	1.36385418749842e-39
CACNA1C|775	328.115287082074	1.78395294137769	0.130874494633613	13.6310206688623	2.61891669424968e-42	2.92991305169183e-39
AOC3|8639	1610.42652149645	1.88976127984251	0.1388617742762	13.608938022668	3.54355427940509e-42	3.73115421184418e-39
A2M|2	23873.7289811111	1.73664509750668	0.129163951599159	13.4452769213511	3.28174927267149e-41	3.26351733226776e-38
FBN1|2200	5378.89382754628	1.86318693745509	0.138795734803901	13.4239495189641	4.37747630067357e-41	4.12404346221352e-38
SNED1|25992	695.387659023126	1.5474879219522	0.115718468117108	13.3728690599856	8.71146837227411e-41	7.79676419318533e-38
PCDHGA12|26025	87.7153406595101	1.90543446029604	0.142555230886341	13.3662893213314	9.51715045645106e-41	8.11223777002257e-38
FAM13C|220965	127.063117889058	1.62251382040116	0.121473471269287	13.356939613624	1.07910251920142e-40	8.77997049713883e-38
DCHS1|8642	1219.98152706742	1.63388998403234	0.122681075934668	13.3181908585676	1.81451315649626e-40	1.41216458701231e-37
COL14A1|7373	1919.26717818465	2.29056889389228	0.173307765656337	13.2167700923131	7.02148754165877e-40	5.23685945815383e-37
COL6A6|131873	257.155657648718	2.46577991854582	0.187467347843008	13.1531167796258	1.63301672892295e-39	1.16923997790883e-36
PODN|127435	1297.79748327557	1.76495795863718	0.136594883052797	12.9211132891046	3.42154676220382e-38	2.35560334782494e-35
MRVI1|10335	590.045998643144	1.46368185896486	0.11341993614599	12.904978689821	4.21932205916209e-38	2.79725425403709e-35
PDZRN3|23024	540.829368094566	1.74710876223649	0.135429431890042	12.9005101612994	4.47127243944137e-38	2.85842059521431e-35
LAMA2|3908	1165.79807767985	1.7548763278585	0.136537042962036	12.8527488935471	8.30072516442577e-38	5.12355104976625e-35
MFAP4|4239	2896.84685580987	2.06122784562414	0.16136960754067	12.7733336967102	2.310427785594e-37	1.37855524540442e-34
OLFML1|283298	375.137745017307	1.52475662999319	0.119472581842733	12.7623979198867	2.65888147214855e-37	1.53528962424062e-34
BNC2|54796	369.297285215651	1.82404746630587	0.143200495544314	12.7377175572791	3.64914968045268e-37	2.04124310250322e-34
FN1|2335	110021.953206899	1.83070351025382	0.144251887184171	12.6910194798111	6.63168890581392e-37	3.59718883072937e-34
ARHGAP6|395	103.984033056122	1.78441778655865	0.140636991680707	12.688111180662	6.88256214154111e-37	3.62346653922312e-34
COL1A2|1278	107179.089510204	1.85272909391372	0.146716667129799	12.6279388031261	1.4810710201707e-36	7.57462036030159e-34
RAI2|10742	365.396637196217	1.45427652380625	0.115472016659057	12.5941900547225	2.2728092248121e-36	1.13009125344824e-33
VCAN|1462	11036.352875056	1.71815025575283	0.136892191402718	12.5511195207495	3.91929294397742e-36	1.89609037019448e-33
BICC1|80114	239.741608794592	2.06878519013487	0.166696783776427	12.4104685361508	2.29306967717513e-35	1.08015650582723e-32
PDGFRB|5159	5387.43188370022	1.3650404264125	0.110115271295125	12.3964679045652	2.7309849403761e-35	1.25345206237775e-32
SSC5D|284297	724.497628377225	1.79112398235773	0.144859696139655	12.3645432793878	4.06515288172507e-35	1.77478625811899e-32
THBS2|7058	10579.754428463	1.78362459439876	0.144248846565942	12.3649140832707	4.04643745547172e-35	1.77478625811899e-32
CDKL5|6792	74.2859571145954	1.54944907282642	0.125768366329168	12.3198632378758	7.08142791805037e-35	3.01803713650242e-32
TBX5|6910	294.556769326922	1.46438302093052	0.121450201544318	12.0574770754593	1.77125987980173e-33	7.37338415080254e-31
EMILIN1|11117	4042.77198748229	1.60506329125941	0.133821172529527	11.9940907774162	3.81584218924017e-33	1.55235398153179e-30
JAM2|58494	167.749090021645	1.40386472948979	0.117614922972432	11.9361106057846	7.67279016765479e-33	3.05206542224491e-30
OGN|4969	115.95107972568	2.49388814831091	0.209729431779982	11.890978424655	1.31852831444519e-32	5.13079496273236e-30
LPPR4|9890	131.088337273943	1.51138018657043	0.128098448937227	11.7985830360137	3.96939003806562e-32	1.51174641875265e-29
FZD4|8322	811.340754972683	1.02993278374376	0.0874102328904049	11.7827484230032	4.79051244286413e-32	1.78646193181808e-29
COL3A1|1281	141246.693795139	1.76120292110624	0.149539349929853	11.7775215816599	5.09697796394282e-32	1.86195725621585e-29
KIAA0754|643314	217.485114445156	1.58062916943187	0.134587175884753	11.7442777073007	7.5565357850773e-32	2.70523981105767e-29
NID2|22795	936.638868424551	1.4108684946266	0.120218643945236	11.7358543427698	8.34790949446923e-32	2.92995254805881e-29
CDH6|1004	301.215240415276	2.18374168906323	0.186183407193752	11.7289812340298	9.05418366844219e-32	3.11672860894452e-29
COL5A2|1290	12741.9250150486	1.57736036610367	0.135110214195313	11.674619683627	1.7183249266389e-31	5.80339928053515e-29
ITGBL1|9358	1091.10861542574	1.83233510095121	0.157146362304356	11.6600541945883	2.03912562623e-31	6.75932383509573e-29
LTBP2|4053	7698.43401144422	1.30453076028724	0.112282492656229	11.6182917695039	3.3272234908603e-31	1.08286000884362e-28
COL10A1|1300	1919.57586774325	1.98960004422453	0.171454734619102	11.6042292366237	3.9220547210327e-31	1.25365677690152e-28
CKS2|1164	2265.82991847164	-1.04715586422722	0.0904379239466261	-11.5787251468225	5.28257889816165e-31	1.63031314270851e-28
PGR|5241	67.189189880859	1.7079321125506	0.147488135786863	11.5801322149651	5.19658456257934e-31	1.63031314270851e-28
FMOD|2331	3215.73058142237	1.43972894414383	0.124608492882311	11.5540193998142	7.04469936585902e-31	2.13729014659112e-28
ZNF423|23090	177.636851417265	1.69375286762435	0.146829988141088	11.5354696208027	8.74088505949387e-31	2.60769737608234e-28
PDZRN4|29951	36.8643595543115	2.77158215136156	0.24046513582481	11.5259209691869	9.76622629164048e-31	2.86582705935024e-28
