Lgroup	TCGA.13.1489.02	TCGA.30.1860.01	TCGA.29.2428.01	TCGA.24.2290.01	TCGA.61.2000.01	TCGA.13.1403.01	TCGA.09.2044.01	TCGA.23.1023.01	TCGA.61.2102.01	TCGA.13.1512.01	TCGA.29.1711.01	TCGA.09.2054.01	TCGA.13.0899.01	TCGA.29.1785.01	TCGA.09.2056.01	TCGA.24.2262.01	TCGA.61.2009.01	TCGA.30.1857.01	TCGA.13.0897.01	TCGA.25.1316.01	TCGA.09.1659.01	TCGA.24.1552.01	TCGA.09.0369.01	TCGA.61.1910.01	TCGA.3P.A9WA.01	TCGA.20.1682.01	TCGA.25.1329.01	TCGA.25.2409.01	TCGA.61.1740.01	TCGA.61.1725.01	TCGA.29.2427.01	TCGA.23.2078.01	TCGA.13.1481.01	TCGA.23.1809.01	TCGA.61.2113.01	TCGA.13.1507.01	TCGA.13.1411.01	TCGA.61.2008.02	TCGA.24.1930.01	TCGA.29.1701.01	TCGA.24.1549.01	TCGA.24.1843.01	TCGA.24.1558.01	TCGA.29.1781.01	TCGA.25.1326.01	TCGA.24.1564.01	TCGA.25.2401.01	TCGA.13.A5FT.01	TCGA.04.1364.01	TCGA.59.A5PD.01	TCGA.31.1944.01	TCGA.36.1574.01	TCGA.24.1435.01	TCGA.04.1365.01	TCGA.25.1623.01	TCGA.09.0364.01	TCGA.61.1919.01	TCGA.29.1697.01	TCGA.13.0913.01	TCGA.23.2081.01	TCGA.29.1784.01	TCGA.24.2020.01	TCGA.24.2027.01	TCGA.31.1959.01	TCGA.09.1674.01	TCGA.24.1474.01	TCGA.24.1928.01	TCGA.13.0920.01	TCGA.09.2048.01	TCGA.24.1550.01	TCGA.13.0730.01	TCGA.61.1917.01	TCGA.24.1428.01	TCGA.29.1691.01	TCGA.30.1891.01	TCGA.24.1418.01	TCGA.09.0366.01	TCGA.61.1728.01	TCGA.61.1907.01	TCGA.09.1669.01	TCGA.36.1568.01	TCGA.24.1850.01	TCGA.VG.A8LO.01	TCGA.29.1694.01	TCGA.31.1956.01	TCGA.61.2094.01	TCGA.10.0936.01	TCGA.24.2271.01	TCGA.23.1123.01	TCGA.25.1625.01	TCGA.04.1348.01	TCGA.24.0975.01	TCGA.30.1861.01
Hgroup	TCGA.09.1673.01	TCGA.25.1315.01	TCGA.59.2350.01	TCGA.13.0916.01	TCGA.04.1514.01	TCGA.24.2036.01	TCGA.09.2051.01	TCGA.24.1467.01	TCGA.13.1405.01	TCGA.57.1585.01	TCGA.09.1662.01	TCGA.24.1423.01	TCGA.29.1695.01	TCGA.25.2399.01	TCGA.25.1870.01	TCGA.25.1318.01	TCGA.24.1413.01	TCGA.24.1842.01	TCGA.09.0367.01	TCGA.61.1918.01	TCGA.13.0799.01	TCGA.25.1871.01	TCGA.24.1469.01	TCGA.25.1320.01	TCGA.24.2261.01	TCGA.24.1556.01	TCGA.24.1427.01	TCGA.24.2281.01	TCGA.25.2396.01	TCGA.24.1924.01	TCGA.24.1560.01	TCGA.61.1721.01	TCGA.09.1666.01	TCGA.30.1718.01	TCGA.61.1741.01	TCGA.61.1900.01	TCGA.61.1743.01	TCGA.59.2354.01	TCGA.61.2092.01	TCGA.29.2414.01	TCGA.29.1770.01	TCGA.13.1511.01	TCGA.23.1029.01	TCGA.61.1995.01	TCGA.20.1684.01	TCGA.29.2425.01	TCGA.59.2348.01	TCGA.24.2254.01	TCGA.61.2097.01	TCGA.WR.A838.01	TCGA.29.1778.01	TCGA.61.2008.01	TCGA.25.2397.01	TCGA.24.2024.01	TCGA.36.1577.01	TCGA.29.1763.01	TCGA.61.2111.01	TCGA.61.2088.01	TCGA.59.2352.01	TCGA.24.1548.01	TCGA.25.1321.01	TCGA.25.1319.01	TCGA.61.1736.01	TCGA.24.1562.01	TCGA.24.1604.01	TCGA.24.1545.01	TCGA.20.1685.01	TCGA.31.1951.01	TCGA.24.1419.01	TCGA.25.1317.01	TCGA.25.1314.01	TCGA.57.1994.01	TCGA.25.1328.01	TCGA.24.1603.01	TCGA.OY.A56P.01	TCGA.25.2392.01	TCGA.23.2077.01	TCGA.24.1546.01	TCGA.29.1770.02	TCGA.29.1776.01	TCGA.61.2110.01	TCGA.24.2267.01	TCGA.09.1670.01	TCGA.24.1555.01	TCGA.59.2351.01	TCGA.36.1578.01	TCGA.04.1519.01	TCGA.25.2400.01	TCGA.25.1313.01	TCGA.24.1430.01	TCGA.57.1583.01	TCGA.36.1575.01	TCGA.24.1616.01
Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AR|367	1128.64744183739	3.88546061462743	0.129847515131327	29.9232573738334	9.80660662294366e-197	1.75175414105643e-192
OVGP1|5016	1563.58936041195	3.75428746177447	0.31318337795179	11.9875054874476	4.13160556913635e-33	3.69014351407413e-29
SHANK1|50944	1040.46985035622	2.80522599963623	0.24868895212141	11.2800587871178	1.64635924096397e-29	9.80297170711313e-26
LONRF2|164832	2850.3624184853	1.85962561142437	0.182055691437804	10.2145975044108	1.70585627841291e-24	7.61792767532245e-21
GFAP|2670	135.650155013081	3.14364968255175	0.316092455043673	9.94534868640698	2.64246977389028e-23	9.44048751420042e-20
PYY|5697	92.9060056048616	-4.18755383907888	0.444435506423189	-9.42218562324209	4.4179435042589e-21	1.31529541360961e-17
SHOX2|6474	77.6151421452954	-2.36922777681109	0.256105331185163	-9.25098968399902	2.22423534282476e-20	5.67593084698266e-17
UPP1|7378	633.689002405051	-1.33919755675723	0.145088454490203	-9.23021450233762	2.70090475582094e-20	6.03078270665369e-17
CCDC146|57639	3620.27681836607	2.02697999523294	0.221762841177615	9.14030495131274	6.22764682556789e-20	1.23604950272355e-16
TNFSF9|8744	121.432979501281	-2.01007717136753	0.224007463929717	-8.97325980172782	2.87866070557233e-19	5.14215161836386e-16
TLX3|30012	14.5742598453225	-3.42295554310228	0.388841248328805	-8.80296408319267	1.33249214269921e-18	2.16384610409419e-15
HOXA9|3205	204.560551309788	-3.09169246011924	0.357552020395522	-8.64683258312797	5.29485633968129e-18	7.8818348996439e-15
CD200|4345	2469.02497374333	1.43155218792774	0.165813392457692	8.63351365477311	5.94955501950513e-18	8.17514625487847e-15
MYEOV|26579	180.222520873277	-2.54453746794177	0.29504105038177	-8.62435062730848	6.44573512584163e-18	8.22429761092208e-15
RRM2|6241	3164.99278567857	-0.995903678099564	0.118440106558652	-8.4085003554635	4.15286153855003e-17	4.94550437754128e-14
DOCK5|80005	666.888215771754	1.28699467886863	0.156194298211902	8.23970332849551	1.72638189292774e-16	1.92739748458551e-13
CHRNA4|1137	47.288324867946	3.30719306764543	0.401919617577297	8.2284937659441	1.89582167894023e-16	1.99206250887702e-13
GDF10|2662	126.529566229735	2.8681045802024	0.352173667311188	8.14400634238243	3.8240917680129e-16	3.79498618066747e-13
KIRREL2|84063	175.211302691947	-2.83943759721339	0.352308331508472	-8.05952440879224	7.65918482188805e-16	6.84080092366932e-13
LTBP4|8425	10977.6044007259	1.59872240492617	0.198348922333072	8.06015170700834	7.61998221697221e-16	6.84080092366932e-13
HEY1|23462	298.630131988992	-1.6084820735802	0.199793673579408	-8.05071574471504	8.23112404554652e-16	7.00155089645702e-13
HOXC13|3229	32.9405974564553	-4.05065401966076	0.50475581372617	-8.02497744356489	1.0154460005999e-15	7.91407151052753e-13
PGA5|5222	85.2350056171503	2.79848221860086	0.348740135522268	8.0245487500597	1.01899817915318e-15	7.91407151052753e-13
MMD|23531	1402.64711255573	-1.21649667839922	0.151983295172275	-8.00414727829331	1.20297344776765e-15	8.95363112394732e-13
EEF2K|29904	3951.61913498624	0.572936232911673	0.0723299683440874	7.92114590989597	2.35331584454759e-15	1.68149123724615e-12
SMOC1|64093	111.302813033474	-2.73069015538409	0.347134676708607	-7.86637100411691	3.65076797283139e-15	2.50821801148796e-12
AMY1A|276	1250.78821627699	2.96135935650777	0.377753122788131	7.8394040389408	4.5268975250931e-15	2.86588202473011e-12
EPB41L2|2037	4784.41068859278	1.12830609555448	0.143977738584901	7.83667049256464	4.6265002550735e-15	2.86588202473011e-12
PCTP|58488	1382.79404865218	-0.923225571805642	0.117819046777225	-7.83596198627629	4.65266633360428e-15	2.86588202473011e-12
GREB1|9687	3670.81946512418	1.6935447125548	0.217247414365326	7.79546544893237	6.41714951342849e-15	3.69772715349591e-12
MMP10|4319	257.56739715391	-2.928545153653	0.375489876800104	-7.79926526544428	6.22686497168818e-15	3.69772715349591e-12
DMRT2|10655	17.646904346862	-2.98982728513975	0.383917297555965	-7.78768579632416	6.82476404561131e-15	3.80971125458609e-12
TMEM189|387521	2891.7185672222	-0.584138035543541	0.0755767222013898	-7.72907343066539	1.08332175192207e-14	5.86405347108607e-12
LY6D|8581	48.9224884330503	-3.34125536165697	0.432960189464387	-7.71723461639837	1.18880707852699e-14	6.24578260109636e-12
HOXD10|3236	141.900946025986	-1.77936108039541	0.231077423622078	-7.70028093832966	1.35767402682099e-14	6.92918032602952e-12
CHRNA1|1134	253.872339219609	-2.35770561847462	0.306571850350011	-7.6905482867486	1.46505822780346e-14	7.07306354682519e-12
PODXL|5420	17187.3034233173	1.17034861164713	0.15211643057152	7.69376856431611	1.42863371346648e-14	7.07306354682519e-12
HOXD11|3237	30.4552888331248	-2.70337095872126	0.352305487192168	-7.67337171006559	1.67533085591923e-14	7.87537765244347e-12
TIMM17B|10245	4846.84768088661	-0.943689153110124	0.123113817940196	-7.66517657318149	1.78585342257697e-14	8.17966658653651e-12
GCHFR|2644	686.413938353065	-1.11482824080013	0.145741875133055	-7.6493337263731	2.02023313162068e-14	9.02185610753507e-12
TMEM176B|28959	3475.64947738202	-1.40936463515953	0.185214696776368	-7.60935638310184	2.7546421451206e-14	1.2001505521534e-11
SPSB4|92369	163.035098186264	-2.34661746960317	0.309301280519856	-7.58683399454121	3.27816636623507e-14	1.39423537619183e-11
POMC|5443	72.7610464486453	-1.67231243346975	0.220823350986599	-7.57307787422912	3.64483659775245e-14	1.51413293361981e-11
SNRNP25|79622	1256.03091200507	-0.72569550364482	0.0958880946981776	-7.56815020601939	3.78576110654532e-14	1.53693296923225e-11
MMP1|4312	559.07370339932	-2.43683219038333	0.32218092368278	-7.56355206425145	3.9220872398911e-14	1.55689431924833e-11
PGA3|643834	161.831697542064	2.87390043675969	0.382576938175369	7.51195419793528	5.82511711335984e-14	2.2620449346945e-11
SSNA1|8636	2483.33236542427	-0.63572617238485	0.0854098488445237	-7.44324197952976	9.82438890792635e-14	3.73389487366571e-11
MRPL27|51264	1840.01610912839	-0.688350613996735	0.0926329793578389	-7.4309454232024	1.07824197568805e-13	4.01263258577409e-11
