Lgroup	TCGA.FB.AAPP.01	TCGA.HV.A7OP.01	TCGA.US.A776.01	TCGA.FB.AAQ3.01	TCGA.YY.A8LH.01	TCGA.3A.A9IS.01	TCGA.FB.A5VM.01	TCGA.LB.A8F3.01	TCGA.3A.A9I5.01	TCGA.HZ.7289.01	TCGA.2L.AAQL.01	TCGA.3A.A9IR.01	TCGA.US.A779.01	TCGA.3A.A9IJ.01	TCGA.HV.A7OL.01	TCGA.IB.AAUO.01	TCGA.2J.AABV.01	TCGA.OE.A75W.01	TCGA.FB.AAQ2.01	TCGA.HV.A5A6.01	TCGA.HZ.A9TJ.06	TCGA.Z5.AAPL.01	TCGA.HZ.8001.01	TCGA.FB.AAQ6.01	TCGA.IB.7889.01	TCGA.Q3.AA2A.01	TCGA.PZ.A5RE.01	TCGA.HZ.A8P1.01	TCGA.US.A77G.01	TCGA.2L.AAQM.01	TCGA.HZ.A49H.01	TCGA.2J.AABI.01	TCGA.FB.AAPU.01	TCGA.3A.A9IO.01	TCGA.3A.A9J0.01	TCGA.HV.AA8X.01	TCGA.RL.AAAS.01	TCGA.FB.AAQ0.01	TCGA.Q3.A5QY.01	TCGA.FB.AAQ1.01	TCGA.LB.A7SX.01	TCGA.IB.A7M4.01	TCGA.2L.AAQA.01	TCGA.3A.A9IV.01	TCGA.HV.A5A3.01	TCGA.IB.A5SP.01	TCGA.HZ.A77O.01	TCGA.US.A77J.01	TCGA.3E.AAAY.01	TCGA.2L.AAQJ.01	TCGA.L1.A7W4.01	TCGA.2J.AABK.01	TCGA.F2.A44G.01	TCGA.2L.AAQE.01
Hgroup	TCGA.FB.A7DR.01	TCGA.HZ.A4BK.01	TCGA.IB.7646.01	TCGA.3E.AAAZ.01	TCGA.2J.AABH.01	TCGA.LB.A9Q5.01	TCGA.YB.A89D.01	TCGA.IB.AAUV.01	TCGA.HZ.7919.01	TCGA.F2.6880.01	TCGA.IB.7647.01	TCGA.IB.AAUM.01	TCGA.IB.A5SS.01	TCGA.RB.AA9M.01	TCGA.IB.AAUQ.01	TCGA.US.A774.01	TCGA.HZ.A77P.01	TCGA.XD.AAUL.01	TCGA.HZ.8636.01	TCGA.IB.AAUP.01	TCGA.HZ.8317.01	TCGA.2J.AABT.01	TCGA.3A.A9IX.01	TCGA.F2.6879.01	TCGA.HZ.8519.01	TCGA.IB.7886.01	TCGA.HZ.A49G.01	TCGA.2J.AABR.01	TCGA.IB.AAUT.01	TCGA.IB.7888.01	TCGA.IB.7644.01	TCGA.HZ.7918.01	TCGA.IB.7645.01	TCGA.XD.AAUG.01	TCGA.HZ.8003.01	TCGA.HZ.7925.01	TCGA.IB.7654.01	TCGA.IB.AAUW.01	TCGA.HZ.7923.01	TCGA.IB.8126.01	TCGA.IB.7891.01	TCGA.IB.7651.01	TCGA.IB.7890.01	TCGA.F2.7276.01	TCGA.IB.7649.01	TCGA.IB.7652.01	TCGA.IB.7893.01	TCGA.HZ.7922.01	TCGA.FB.A4P6.01	TCGA.HZ.7926.01	TCGA.IB.7897.01	TCGA.2J.AAB8.01	TCGA.HZ.8002.01	TCGA.F2.7273.01
Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AR|367	83.3499638336486	3.73332229619431	0.151392383660761	24.6599082854784	2.88134233956944e-134	5.13224697524108e-130
PREX2|80243	142.744505956937	3.17347271808776	0.191066946762628	16.609218767861	5.97664764593968e-62	5.32280239347388e-58
PTPRG|5793	1207.65152362456	1.558205539105	0.102469267667285	15.2065646078827	3.19895420893637e-52	1.89932574565249e-48
PRKG1|5592	246.756153562996	2.55019659334268	0.176477508545867	14.4505473493801	2.4870158747386e-47	1.1074681690211e-43
C7orf58|79974	856.996643177898	2.48401588653795	0.178432432312558	13.9213250323614	4.70107227474704e-44	1.67470998715588e-40
DDR2|4921	608.261723840605	2.75443851272049	0.201290162295596	13.6839201742785	1.26674989118448e-42	3.76055817696299e-39
FAT4|79633	763.341122049689	2.13982159318588	0.16102404661647	13.2888325573046	2.68738405647745e-40	6.83824068771092e-37
GPR63|81491	39.8635173070087	1.64514292299937	0.126199609479954	13.0360381444817	7.63210736078563e-39	1.69928870387892e-35
TSHZ2|128553	551.278866931033	2.07651179654561	0.159951875818827	12.9821034352709	1.54576307272586e-38	3.05923687237701e-35
ZEB1|6935	2420.20033472967	1.57606610020196	0.123743964278424	12.7365088826135	3.70611056266469e-37	6.60132413421835e-34
PCDH18|54510	899.960916124703	1.7950296341952	0.142508535909537	12.5959446761467	2.22282615384365e-36	3.59936176838756e-33
PYGO1|26108	28.8551917384237	2.5762993918452	0.206247376048839	12.4913074832774	8.32737551325661e-36	1.23606010535106e-32
NHSL2|340527	90.8705735082973	2.31076555270323	0.185758906563474	12.4395949322281	1.59309752885262e-35	2.1827887064556e-32
C6orf186|728464	36.8586714517004	2.18329483761739	0.176202921677573	12.3907981594796	2.93111462578006e-35	3.72921526531389e-32
HMCN1|83872	1519.37221343027	2.41627499143487	0.197542525572333	12.2316700388145	2.10564458876244e-34	2.50038276100244e-31
HEG1|57493	4370.43990091139	1.55177643654689	0.126999315040888	12.2187779992931	2.46766063890527e-34	2.74712320626129e-31
DDX56|54606	3100.42465334929	-0.738461664228495	0.0605483712929085	-12.1962267268283	3.25563920881633e-34	3.4111438580845e-31
ZNF366|167465	71.0375157582438	2.18103588733747	0.178918328397103	12.1901199663387	3.50904435239633e-34	3.47239433360463e-31
P2RX7|5027	121.907824457434	2.19576003472229	0.183101655236993	11.9920272259706	3.91212005547703e-33	3.66750960148194e-30
PDE3A|5139	456.609733316735	2.57249065471032	0.216420517157369	11.8865377853235	1.39052072115973e-32	1.23839775426485e-29
HGF|3082	188.607167155045	2.37163787209463	0.200271877970261	11.842091341685	2.36481474786855e-32	1.83139479517542e-29
MAN1A2|10905	1317.64514240304	1.25024870254974	0.105561931602252	11.8437459752117	2.31860614991811e-32	1.83139479517542e-29
RASSF8|11228	1040.82169758018	1.71010711506206	0.144352118942899	11.8467752852213	2.23631857980952e-32	1.83139479517542e-29
LAMA2|3908	3236.14918563221	2.13146918506286	0.180249522240782	11.8251031046595	2.89546994831946e-32	2.14892127997776e-29
TCF4|6925	3159.32367970616	1.4621814260974	0.125695985957873	11.6326819425041	2.81123886757741e-31	2.00295146837155e-28
SAMHD1|25939	1893.6002373447	1.80991498156488	0.156094683736248	11.5949815729988	4.36959678450876e-31	2.99350992021808e-28
ITGA1|3672	3252.10543647214	1.49172013156037	0.129909473130351	11.4827663881262	1.61043878530066e-30	1.06241243125094e-27
ARHGAP31|57514	1352.80392686059	1.23394561938545	0.108218414029817	11.4023628090269	4.06922723329655e-30	2.58860983855279e-27
PSMG3|84262	1551.00129178488	-1.34682059311796	0.11837299636927	-11.3777688698231	5.39626405256254e-30	3.31442259669807e-27
ZNF704|619279	411.834694427778	1.68675769752198	0.14845117743494	11.3623733180642	6.43717160152561e-30	3.82196335221247e-27
P2RY1|5028	154.787005054768	2.42474936844781	0.21417863315427	11.3211543688455	1.03105194450607e-29	5.73909288610694e-27
TTC28|23331	1011.08359978484	1.10515366936354	0.0976046060867457	11.3227614317847	1.01231995119594e-29	5.73909288610694e-27
SCN7A|6332	422.498958796293	3.30429725995781	0.291999942318711	11.3160887420699	1.0923772863871e-29	5.89618915912942e-27
DIXDC1|85458	957.438761698299	1.31189545675642	0.115964686530095	11.3128875350856	1.13298416925129e-29	5.9355041243247e-27
SULT1C4|27233	111.567712683642	2.16393908298466	0.191513541531743	11.2991439961753	1.32503245941921e-29	6.74327947633571e-27
KIRREL|55243	688.023759184002	2.28910729276111	0.20279371150991	11.2878613232997	1.50657943912124e-29	7.25275485665611e-27
UTRN|7402	4080.57013595268	1.27040045252416	0.112527025518281	11.2897363693113	1.47478350675699e-29	7.25275485665611e-27
DAAM2|23500	1014.24652499736	2.04754643138444	0.182357377204616	11.2282072859985	2.96431898192963e-29	1.38948551858239e-26
KIF22|3835	1881.39831024471	-1.01816831040289	0.0911865854195074	-11.1657685800907	5.99702522351811e-29	2.73894905849499e-26
EVC|2121	1348.41624191969	1.68409759926652	0.150869332447475	11.1626237880574	6.21303784428368e-29	2.76666575205952e-26
ZNF354C|30832	65.426776435101	2.02947391106147	0.183456002377922	11.0624557646292	1.90800773273983e-28	8.28913017940535e-26
PAFAH1B3|5050	1140.50383090709	-1.09956241241952	0.0997028695577937	-11.0283928365988	2.78802766613055e-28	1.18238925688374e-25
ITGA9|3680	400.457541244152	2.08403404810341	0.18920824939265	11.0144988645742	3.25342002164652e-28	1.34767249826902e-25
KCTD20|222658	2542.84961514067	1.09279466134757	0.0993746887354861	10.9967102815925	3.96327830957214e-28	1.60440711932043e-25
MYLK|4638	8210.4270745077	2.56906545378499	0.234155553685844	10.9716187096369	5.23271072719536e-28	2.07122318828453e-25
SRRT|51593	3669.90829727456	-0.567243954461386	0.0520748454968735	-10.8928590963452	1.24663987113313e-27	4.82720638796158e-25
WBSCR22|114049	3568.20251829109	-0.928836858466911	0.0854744857716006	-10.8668317812275	1.65860756623869e-27	6.28576978081776e-25
FAM158A|51016	397.528823112103	-1.23140433912525	0.113452191535737	-10.8539493372181	1.90990534597297e-27	7.08734042134801e-25
PKD2|5311	2252.55880158339	1.24802745679082	0.115192765802281	10.8342520304873	2.36893387800328e-27	8.61131637448866e-25
RBMS3|27303	117.101039383341	2.01252149391015	0.185819006953286	10.8305470301867	2.4667721908285e-27	8.78762925260744e-25
SNHG11|128439	411.694114563499	-0.957952090404531	0.0884906516359271	-10.8254609124791	2.60763849734079e-27	9.10730527737924e-25
POLR2J|5439	2230.2147731866	-0.947542008649259	0.0876788992634134	-10.8069560248762	3.19082824459557e-27	1.09298139793724e-24
BICC1|80114	897.283249010066	2.38609639357027	0.220939349137737	10.7997801336997	3.45028769896856e-27	1.15955706592506e-24
CLIC4|25932	8421.39684242842	1.32990429416351	0.123421913749401	10.7752687813914	4.50464530578128e-27	1.48586559604771e-24
DOCK4|9732	660.750355032778	1.32638419165262	0.123480388407914	10.7416587261692	6.48683012500647e-27	2.10078942157482e-24
DGUOK|1716	1889.62611818743	-0.847530842741105	0.0789212968683882	-10.7389370977326	6.68091047024026e-27	2.12500673742713e-24
NT5C|30833	1412.34668911914	-1.33849442558625	0.124939156468617	-10.7131700214613	8.82859205399493e-27	2.75885757308347e-24
SHFM1|7979	4264.9960897566	-1.01300190285943	0.0947441234514736	-10.6919760926203	1.109808123651e-26	3.40825901697787e-24
KIAA1432|57589	1023.22529403463	0.929746333135782	0.0873052225029557	10.6493781984727	1.75533609373702e-26	5.29932991553284e-24
