Lgroup	TCGA.QR.A6H1.01	TCGA.QR.A6H3.01	TCGA.QR.A705.01	TCGA.QR.A708.01	TCGA.QR.A70A.01	TCGA.QR.A70K.01	TCGA.QR.A70M.01	TCGA.QR.A70O.01	TCGA.QR.A70W.01	TCGA.RW.A67V.01	TCGA.RW.A680.01	TCGA.RW.A68G.01	TCGA.SR.A6MU.01	TCGA.SR.A6MX.05	TCGA.W2.A7UY.01	TCGA.WB.A81Q.01	TCGA.QR.A6H0.01	TCGA.RT.A6Y9.01	TCGA.QR.A700.01	TCGA.QR.A6ZZ.01	TCGA.QR.A70V.01	TCGA.RW.A684.01	TCGA.SP.A6QI.01	TCGA.QR.A70T.01	TCGA.RW.A67X.01	TCGA.WB.A80Y.01	TCGA.SP.A6QJ.01	TCGA.QR.A6H2.01	TCGA.SP.A6QF.01	TCGA.QR.A6GW.01	TCGA.TT.A6YJ.01	TCGA.S7.A7WN.01	TCGA.WB.A80V.01	TCGA.WB.A81W.01	TCGA.SR.A6MV.01	TCGA.RW.A7D0.01	TCGA.S7.A7X2.01	TCGA.WB.A81V.01	TCGA.RM.A68W.01	TCGA.QR.A703.01	TCGA.QR.A70P.01	TCGA.WB.A81M.01	TCGA.RW.A68A.01	TCGA.QR.A70N.01	TCGA.RW.A685.01	TCGA.W2.A7HA.01	TCGA.S7.A7WR.01	TCGA.S7.A7WT.01	TCGA.XG.A823.01	TCGA.WB.A81J.01	TCGA.QR.A6GY.01	TCGA.PR.A5PG.01	TCGA.SP.A6QD.01	TCGA.WB.A81K.01	TCGA.SR.A6MX.06	TCGA.P7.A5NY.05
Hgroup	TCGA.RW.A689.01	TCGA.QT.A69Q.01	TCGA.TT.A6YO.01	TCGA.SQ.A6I4.01	TCGA.WB.A81N.01	TCGA.QR.A702.01	TCGA.QT.A5XL.01	TCGA.SP.A6QH.01	TCGA.P8.A6RX.01	TCGA.QR.A706.01	TCGA.WB.A822.01	TCGA.WB.A816.01	TCGA.RW.A7CZ.01	TCGA.TT.A6YN.01	TCGA.WB.A80L.01	TCGA.W2.A7HB.01	TCGA.RW.A68D.01	TCGA.QT.A5XM.01	TCGA.RW.A68C.01	TCGA.S7.A7WP.01	TCGA.RW.A681.01	TCGA.QT.A5XO.01	TCGA.RM.A68T.01	TCGA.S7.A7WU.01	TCGA.RW.A8AZ.01	TCGA.QR.A6GU.01	TCGA.W2.A7HF.01	TCGA.WB.A80O.01	TCGA.P7.A5NX.01	TCGA.SR.A6MP.01	TCGA.S7.A7WV.01	TCGA.SR.A6MQ.01	TCGA.QT.A5XP.01	TCGA.S7.A7WQ.01	TCGA.S7.A7X0.01	TCGA.P7.A5NY.01	TCGA.QR.A6H5.01	TCGA.P8.A6RY.01	TCGA.QT.A5XJ.01	TCGA.WB.A81D.01	TCGA.W2.A7H5.01	TCGA.WB.A81H.01	TCGA.QR.A70C.01	TCGA.WB.A81S.01	TCGA.TT.A6YP.01	TCGA.WB.A81P.01	TCGA.QR.A70H.01	TCGA.SR.A6N0.01	TCGA.QT.A5XK.01	TCGA.WB.A81R.01	TCGA.WB.A81I.01	TCGA.PR.A5PH.01	TCGA.PR.A5PF.01	TCGA.P8.A5KC.01	TCGA.QR.A70G.01	TCGA.WB.A80K.01
Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AR|367	34.9870234703602	5.44694811529543	0.318253330221616	17.1151331283869	1.14453734041155e-65	1.96265263133772e-61
DDR2|4921	151.812902887415	2.58024439580036	0.255553617260325	10.0966850849618	5.71411332927906e-24	4.89928076852386e-20
REST|5978	60.1755996535309	2.05805406686645	0.206579524197689	9.96252690027966	2.22338443335953e-23	1.27088654210831e-19
ROR1|4919	23.9125690563135	2.55613043057555	0.257836313340844	9.91377202634953	3.62688792983741e-23	1.5548468555213e-19
PRKG1|5592	70.0668339605541	2.36866960360245	0.239725765443017	9.8807468576651	5.04554428834161e-23	1.73041986912964e-19
MACF1|23499	6418.38154560167	0.772500483455621	0.0793637570444252	9.73366826652624	2.16636615135562e-22	6.19147446057435e-19
TMEM132B|114795	94.4358145448736	3.69998286680703	0.387882973417353	9.53891539556169	1.44333873523151e-21	3.53576751882142e-18
GRM4|2914	149.905059380253	5.68424503881099	0.600122874904405	9.47180198674555	2.75057051048632e-21	5.89584788922742e-18
PREX2|80243	45.4699961292473	2.28046237502108	0.243905424785964	9.34978128109399	8.78291588040803e-21	1.67343823908041e-17
ADAMTSL3|57188	197.516809679933	2.50379793571021	0.275510178566202	9.08786001570018	1.01007474696713e-19	1.73207617609924e-16
KIRREL|55243	243.517075861301	2.44195108779544	0.270371368305153	9.03184054991855	1.68808265858482e-19	2.63156740267386e-16
SPATA13|221178	154.100011808964	1.93341567121844	0.21556835061771	8.96892176276459	2.99431149529371e-19	4.27887112677471e-16
PTPRG|5793	1212.38506649891	1.65244663557653	0.186160899999146	8.87644309618246	6.90324261898082e-19	8.97259811608585e-16
RPP21|79897	1000.31012584956	-0.974357299538568	0.109850665687902	-8.86983518431128	7.32542416755318e-19	8.97259811608585e-16
DRAP1|10589	3988.3688764393	-1.00893447932664	0.114074836690962	-8.84449637267435	9.19420381606656e-19	1.00439289884828e-15
DYNLRB1|83658	8695.73644495749	-0.817272189776812	0.092497762235418	-8.83558877561551	9.95724240752315e-19	1.00439289884828e-15
GCNT4|51301	13.7247978859261	2.49868158319894	0.282621025797925	8.84110294393139	9.47782809281625e-19	1.00439289884828e-15
C6orf125|84300	2732.61820421402	-0.832242054962076	0.0946337267493266	-8.79434936728833	1.43879247525651e-18	1.22804083200119e-15
C6orf136|221545	1469.98760393204	-0.736169997993412	0.083754516807784	-8.78961548644495	1.500727101067e-18	1.22804083200119e-15
IGFBP5|3488	27115.8636140572	2.20444554395977	0.250807903974237	8.78937828126109	1.50389884954659e-18	1.22804083200119e-15
ZNF366|167465	58.8246926076224	2.1072435028466	0.2395328378715	8.79730529463795	1.40140666113975e-18	1.22804083200119e-15
ARL2|402	6837.6654372446	-0.95761600713141	0.109217573253985	-8.76796635010812	1.81922182023926e-18	1.41800071697558e-15
MRPL41|64975	2723.44148971054	-1.21742091037223	0.139897661327865	-8.7022248893716	3.25439855146735e-18	2.37911487895768e-15
PTPRT|11122	65.3426058655523	3.4843705811371	0.400519527481729	8.69962721429619	3.32976190197016e-18	2.37911487895768e-15
SNRNP35|11066	1482.59528385413	-0.85469502786978	0.0985285240168079	-8.67459485868253	4.15025366862109e-18	2.84674199638058e-15
NPR3|4883	48.9740673709249	2.53822007253546	0.293764113455078	8.64033405129863	5.60488973551741e-18	3.69664035325587e-15
