Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AR|367	44.6543924984489	5.83394448448514	0.340883177428372	17.114204721091	1.16293124298822e-65	1.9941944954762e-61
REST|5978	61.6955379191726	2.12829895378349	0.206221785555447	10.3204370384585	5.69632744835498e-25	3.2560207694797e-21
ROR1|4919	24.5602931451552	2.68912159536025	0.260297382764947	10.3309590238507	5.10476328822399e-25	3.2560207694797e-21
DDR2|4921	148.836390415076	2.60263339572321	0.26265756062356	9.90884629227671	3.81020417394405e-23	1.63343452936981e-19
ZNF366|167465	59.7423316154573	2.26519330930291	0.229223429199816	9.88203220417019	4.98123068021722e-23	1.7083628740873e-19
RPP21|79897	998.042058516506	-1.02596623141117	0.106359439162759	-9.64621701174227	5.10025783816807e-22	1.45765369014843e-18
IL6R|3570	118.533267392837	2.12659721097527	0.22137276838633	9.60640835129291	7.51238000047663e-22	1.75983039509499e-18
MACF1|23499	6490.20316751094	0.774409043613273	0.080690670458634	9.59725627772883	8.21007882013057e-22	1.75983039509499e-18
DRAP1|10589	3968.90358337248	-1.04357982768056	0.109810385153571	-9.50347115367185	2.03008001818633e-21	3.59953539330002e-18
DYNLRB1|83658	8722.10853118748	-0.874153095979993	0.0920162096626082	-9.49999026459808	2.09909924965012e-21	3.59953539330002e-18
TMEM132B|114795	98.001738440431	3.7151171176987	0.392351727595053	9.46884353095821	2.82958954789017e-21	4.41107286974733e-18
MRPL41|64975	2699.5679875531	-1.28326522878168	0.136430724844841	-9.40598410102344	5.15455607485561e-21	7.36586063096867e-18
TCP11L2|255394	121.947326044799	1.33450027820561	0.143403287282759	9.30592529287196	1.32830656771366e-20	1.75213854024261e-17
HIGD2A|192286	4204.30066179637	-0.896385459310149	0.0969105994174392	-9.24961216521837	2.25308700170571e-20	2.75970970751782e-17
SPATA13|221178	155.181723656747	1.9830905378692	0.214956675915934	9.22553593378395	2.82146371681829e-20	3.22549732106667e-17
ATP5D|513	5757.47638803021	-1.31197508276345	0.143064853097108	-9.17049194376849	4.70865248448372e-20	4.67929503105683e-17
C6orf136|221545	1461.71844267075	-0.772290738911436	0.0842826865158422	-9.16310064186518	5.04271436773253e-20	4.67929503105683e-17
KIAA0754|643314	119.437302021076	2.00682951365737	0.219083669528632	9.16010544270666	5.18466326044319e-20	4.67929503105683e-17
PFDN6|10471	1787.69230443663	-1.11035827906726	0.121110212619794	-9.1681638983911	4.81144073248672e-20	4.67929503105683e-17
KIRREL|55243	249.34202948818	2.53010510514711	0.27940683994186	9.05527261134188	1.36227073845968e-19	1.16801093115533e-16
COMTD1|118881	693.541578076824	-1.21260967934825	0.134425564330824	-9.02067761727222	1.86929425454153e-19	1.52641227985134e-16
C6orf125|84300	2684.86528820999	-0.843153892609359	0.0936646809539949	-9.00183381848586	2.21978377830264e-19	1.73022055592426e-16
NCOR1|9611	2235.76903736161	0.827073696688791	0.0920237380630848	8.98761248018211	2.52659110154861e-19	1.88373844388503e-16
C14orf2|9556	3172.34247005345	-0.792446940151152	0.0883113199706244	-8.97333366112917	2.87673034590371e-19	2.0554238321482e-16
TMEM151A|256472	2183.23449259005	-1.26872671754183	0.14150347975463	-8.96604606290834	3.07349476121849e-19	2.10817152661499e-16
ZMYND19|116225	873.86511615409	-0.88988713344665	0.0996809012400701	-8.92735842449356	4.36301982469549e-19	2.87757938284147e-16
ITGA8|8516	126.267518476397	2.76844982358037	0.311008308742766	8.90153010629096	5.50820161924526e-19	3.37338004881492e-16
PRKG1|5592	71.3672925064364	2.2949321820319	0.257808978171057	8.9016767310144	5.50092857521793e-19	3.37338004881492e-16
SNRNP35|11066	1501.94129209094	-0.890410337079243	0.100630568464555	-8.84830872631784	8.88555629437323e-19	5.25412135641077e-16
GADD45GIP1|90480	3966.22586961132	-1.20609350376303	0.136571709938477	-8.83121038981173	1.03549006565817e-18	5.91886121530209e-16
GCNT4|51301	13.598806606254	2.57152112825764	0.291793989431333	8.81279677237078	1.22061711308344e-18	6.54098195473588e-16
UBL5|59286	8702.00628212968	-0.752993913283557	0.0854107584423763	-8.81614830515263	1.18464546998381e-18	6.54098195473588e-16
PSENEN|55851	2661.46150726505	-0.891368847278986	0.101267674042696	-8.80210645406127	1.3427172435684e-18	6.76453397806491e-16
PTPRT|11122	132.561918000839	4.02305889643528	0.456891992840312	8.80527336761924	1.30534038563444e-18	6.76453397806491e-16
RBX1|9978	2610.33417022517	-0.894135946484329	0.101618159764914	-8.79897794402932	1.3806781504098e-18	6.76453397806491e-16
SNRPF|6636	1723.56755031515	-0.7849920390229	0.0894797427264788	-8.77284640192205	1.74205593242174e-18	8.29799309143555e-16
ITGA9|3680	219.051482467251	1.76825060185675	0.202219415178575	8.74421776116427	2.24565979248745e-18	1.04077227355608e-15
NDUFB1|4707	2821.08796070444	-0.974661848088957	0.111517307206607	-8.74000522881359	2.33099638672911e-18	1.0518927905166e-15
ARL2|402	6692.87221544541	-0.927944092327519	0.106454038898918	-8.71685191022797	2.86043888771968e-18	1.19756921734173e-15
FAM127A|8933	10428.3248736624	-0.719614803371267	0.0825555198782048	-8.71673758984165	2.86332737992834e-18	1.19756921734173e-15
PRAF2|11230	5389.96046712515	-0.875740543233226	0.100441695080747	-8.71889450421168	2.80931165466691e-18	1.19756921734173e-15
LIN37|55957	814.853823255031	-1.0271883283539	0.118082812446208	-8.69888095544667	3.35172905913534e-18	1.3366383699082e-15
WDR83|84292	691.581619369148	-0.7864629541548	0.0903893907638494	-8.70083255909431	3.29458075056472e-18	1.3366383699082e-15
NDUFB8|4714	9504.33842854364	-0.76372803394573	0.0878249875364714	-8.69602211589923	3.43721482860254e-18	1.33957636092901e-15
C6orf1|221491	3323.17604187873	-0.940701740856466	0.108807869928976	-8.64553034142206	5.35559654027656e-18	2.04083932161472e-15
MXD3|83463	366.342753357254	-1.16643918095319	0.13516413428492	-8.62979803868967	6.14603995755568e-18	2.29113680852532e-15
PREX2|80243	47.3877437218258	2.20641619248569	0.25590661450656	8.62195843096951	6.58186000731157e-18	2.40139862564636e-15
PSMG3|84262	1093.88139173436	-0.920127766205466	0.106908884039758	-8.60665392282348	7.52241173523557e-18	2.68738159241291e-15
C19orf53|28974	4865.13580238391	-0.868434213146646	0.100935905446929	-8.60381852524478	7.71068637042656e-18	2.69842550775663e-15
PTPRG|5793	1236.26214146026	1.64629925482736	0.192194810019058	8.56578413675226	1.0734281670593e-17	3.68142924174657e-15
