Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AR|367	9.60021566179283	4.46158177812421	0.319039434341911	13.9844210397602	1.94049532911718e-44	3.34793659132586e-40
SLIT2|9353	111.495462846313	2.81219553811517	0.281098878544094	10.0042929828838	1.45930325565827e-23	1.2588679534936e-19
CCDC80|151887	1480.30204089827	2.47137899288766	0.255492247920594	9.67300970186678	3.92657239216433e-22	2.00411889482832e-18
HMCN1|83872	308.984706597983	2.3814447244989	0.24663429477332	9.65577283843542	4.64642414612722e-22	2.00411889482832e-18
EPHA3|2042	173.197787394155	1.99175750398001	0.206824039305665	9.63020309760218	5.96115396684725e-22	2.05695578780031e-18
ANTXR1|84168	4303.0807422911	2.20275686712855	0.231488700578612	9.51561290733716	1.80644836565755e-21	3.89583170658621e-18
ECM2|1842	137.997298339502	2.16034285755248	0.226909674288517	9.52071728244426	1.71987800396293e-21	3.89583170658621e-18
FBN1|2200	3337.69290767116	2.12740065416822	0.222940303532013	9.54246773896019	1.39473246003993e-21	3.89583170658621e-18
IL1R1|3554	982.230385423978	1.55893555118503	0.164115891838829	9.49899204591346	2.11931678464969e-21	4.06273027617346e-18
EVC|2121	279.930885215875	2.05002862293341	0.216416771572481	9.47259589928236	2.72973956711476e-21	4.70961967514309e-18
COL14A1|7373	1282.66963773	1.97566085426349	0.208950589918906	9.45515805928211	3.22534309156753e-21	5.05880403261951e-18
INHBA|3624	394.743380098756	2.3393864551018	0.249352888339175	9.38183018726342	6.48373434028481e-21	9.32198904774448e-18
DDR2|4921	195.010246204638	2.35062854002178	0.25147867942719	9.34722794543046	8.99748897003549e-21	1.19410520923094e-17
ZEB2|9839	562.435302022	1.77303905491789	0.189971646713137	9.33317726931761	1.02743793773161e-20	1.26617048140596e-17
FNDC1|84624	1408.88251708429	2.76060533086816	0.296691458206646	9.30463366742898	1.34455026238628e-20	1.5465017117967e-17
TCF4|6925	875.146787071109	1.51916039576608	0.163904261320886	9.26858388868805	1.88633628892524e-20	2.03405999955169e-17
COL8A1|1295	712.817689551266	2.49507224700079	0.27027631115333	9.23156097681571	2.66716211590372e-20	2.70685576386393e-17
DCLK1|9201	45.5981518541775	2.41500853321335	0.262208404053378	9.21026365242562	3.25324865257526e-20	3.11823883349338e-17
MPDZ|8777	202.29118794328	1.96333115354548	0.216420519961128	9.07183456493924	1.17029692622384e-19	1.009556643407e-16
RNF150|57484	24.9545294365823	2.46297459662708	0.271376865796618	9.07584583305248	1.12797948203705e-19	1.009556643407e-16
ETS1|2113	1917.15024587316	1.37912315068202	0.15303031416136	9.01209122022602	2.02164071631722e-19	1.6609222513629e-16
VCAN|1462	3897.61507614711	1.99361887652142	0.22156274732532	8.99798770591248	2.29892554619843e-19	1.80288011129825e-16
ADAMTS12|81792	304.940026327037	2.41089870726645	0.268595853596026	8.97593419626088	2.80957302131982e-19	2.07308910007206e-16
C5orf23|79614	80.94629219767	3.39298830027224	0.378130421701669	8.97306353983119	2.88379634856138e-19	2.07308910007206e-16
MYO5A|4644	298.241705984101	1.52752096905379	0.170474977466135	8.96038229045803	3.23554678994383e-19	2.23291555067604e-16
FGF7|2252	228.76456207159	2.24350565412881	0.252778063250977	8.87539695998576	6.96844228542089e-19	4.45283462038395e-16
FRMD6|122786	438.166282286641	1.88408901533232	0.212201786128639	8.87876134176444	6.76089914836223e-19	4.45283462038395e-16
GREM1|26585	4338.75028613376	2.43711725750178	0.275468384915841	8.84717590458283	8.97618483097657e-19	5.53093274602996e-16
