Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AR|367	95.6334840361648	4.84203427305014	0.125104212316553	38.7040067108074	0	0
BOC|91653	1940.0936340071	3.91061309901671	0.137679672677131	28.4037071194045	1.81979832362026e-177	1.62917444922104e-173
SFRP1|6422	1664.13630613491	5.32603160823714	0.195242370238139	27.2790767789847	7.51341145663998e-164	4.4842544043713e-160
ANGPTL1|9068	796.465697096326	5.29517465156996	0.198516000791806	26.6737926940372	9.48183416417296e-157	4.24430601773792e-153
PGR|5241	276.962383292417	3.7465709817721	0.144706423097117	25.8908409287241	8.44525606467641e-148	3.02424619676062e-144
MYH11|4629	201899.108987158	6.04105386095178	0.233564975239561	25.8645537703401	1.66909859737602e-147	4.98086839766961e-144
CASQ2|845	577.781820007344	5.97862824567668	0.234973706047482	25.4438181456293	8.2641300701187e-143	1.84961561131844e-139
TNS1|7145	30802.8330066715	3.55356116475749	0.139646652042477	25.4468052959594	7.65836461861611e-143	1.84961561131844e-139
ABCC9|10060	1492.84322793423	3.55089907937768	0.140925756463957	25.1969488649569	4.32630476098137e-140	8.60694297170794e-137
RGMA|56963	4125.18339127934	4.52265304336193	0.17958856714893	25.1834129263439	6.0874068432227e-140	1.08995019527903e-136
MRVI1|10335	4579.65055112839	3.21375433281782	0.127770378929105	25.1525773011992	1.32435998049301e-139	2.15569685915704e-136
ATP1A2|477	875.057506963358	6.13385912594414	0.244097896640551	25.1286848857064	2.41704828808252e-139	3.60643746650979e-136
SYNPO2|171024	34643.0025751069	5.49082541541492	0.218876903163211	25.0863628645209	7.00643184947074e-139	9.65001248190566e-136
PYGM|5837	305.187218898728	4.76095412049883	0.190984003039744	24.9285492225653	3.64904960914031e-137	4.6668738036898e-134
MYLK|4638	32444.2567352783	4.30430069385203	0.173312363796119	24.835508555613	3.70858171179384e-136	4.1501347218543e-133
PEG3|5178	365.917184333544	4.06798045225496	0.163785626860724	24.8372249154329	3.55356913732848e-136	4.1501347218543e-133
RNF150|57484	503.776065638754	4.06080703609448	0.163684020780058	24.8088177254088	7.20118414581564e-136	7.58454130181347e-133
LMOD1|25802	8751.64273021519	4.7946050461107	0.193636098313962	24.7609050577786	2.36575239805493e-135	2.35326648262075e-132
SYNM|23336	22957.9665346299	5.6489802787498	0.229459570754408	24.6186300278402	7.98042929040843e-134	7.52050454972436e-131
DDR2|4921	1470.80536561229	3.31546003731266	0.135112737813252	24.5384712868092	5.74220574592307e-133	5.14070969403763e-130
STON1|11037	1867.47631060482	3.38431675127057	0.138110284569676	24.5044513651928	1.3242672513519e-132	1.12909548264075e-129
SCN2B|6327	55.1594620684019	4.55322669303455	0.185911307158359	24.4913919579734	1.82452365865479e-132	1.48491345946428e-129
GHR|2690	311.21305553154	3.35703989661817	0.137292087456256	24.4518089776134	4.8142967204723e-132	3.74782533826333e-129
COL14A1|7373	5893.54927666241	3.51193304965916	0.144336312346507	24.3315974515691	9.08005913701136e-131	6.77410245200785e-128
PDE3A|5139	774.311543141253	3.4155805088192	0.141195375805356	24.1904558795731	2.80372250743498e-129	2.00802605982494e-126
ABCA9|10350	232.032377365306	3.92396664632303	0.162703148161812	24.1173369455676	1.64458321785899e-128	1.13254855829866e-125
SPARCL1|8404	22176.6634120075	3.33617952081665	0.138510806803632	24.0860594043495	3.49950716695223e-128	2.32069169719554e-125
RUNX1T1|862	342.297839677966	3.25801150062227	0.135554898042907	24.0346276502013	1.20880591224932e-127	7.72988209243715e-125
SLIT2|9353	695.065503019646	4.43839743110398	0.184999103640752	23.9914537084615	3.41494844873731e-127	2.10843627498764e-124
SVEP1|79987	1673.60042524539	3.31926080847188	0.138398091720041	23.9834290142255	4.14120854488362e-127	2.47161129987137e-124
ANK2|287	1253.53554264711	3.8196765046915	0.159346969472419	23.9708136109401	5.60687233483214e-127	3.23842094048934e-124
FBXL7|23194	907.782729512501	2.34747679309129	0.0980410196784501	23.9438227059493	1.07160806622212e-126	5.99598200803347e-124
PLIN4|729359	2292.52206664809	5.38962380919158	0.225402319431875	23.9111284337095	2.34623858745024e-126	1.27301217903929e-123
DACT3|147906	1193.67819723057	3.68906479247149	0.154969160101394	23.8051544582019	2.95351746625265e-125	1.55537441862511e-122
GNAO1|2775	1505.77901441515	4.12241956102251	0.173436650578226	23.769021987444	6.98661911166707e-125	3.57415471983997e-122
ZCCHC24|219654	3090.38190800792	2.79538037189803	0.117741214140186	23.7417321734917	1.33754553110725e-124	6.65243131513204e-122
PGM5|5239	3327.87656160341	4.81373940354372	0.20300163513507	23.7128109847038	2.65985537393506e-124	1.28715433703533e-121
HSPB6|126393	19863.4815796728	5.45211134341372	0.230057609399	23.6988959315745	3.70145090156753e-124	1.74406522085702e-121
MAP1A|4130	2621.139283134	2.79153954254081	0.119020498365115	23.4542753633688	1.19557356348344e-121	5.48890888568486e-119
AOC3|8639	4215.37609183938	3.49371015814182	0.149578125967954	23.3570927268491	1.16742925237693e-120	5.22570519095222e-118
CMYA5|202333	194.075769697656	2.81119686338112	0.120487485307228	23.3318577129643	2.10639787580978e-120	9.19879365033513e-118
GLI3|2737	852.087274535464	2.89873247673976	0.124553021220349	23.2730803985201	8.30741950131647e-120	3.54153205169218e-117
RBMS3|27303	188.925683081015	2.9834959530246	0.128307586554477	23.2526854657801	1.33627030151975e-119	5.56416738342118e-117
NBLA00301|79804	736.933606723938	6.01739888589482	0.258904096755353	23.2418063727314	1.72160601533575e-119	7.0057626601333e-117
JPH2|57158	1859.97029027232	4.50907277499191	0.194384088644658	23.1967174187527	4.91417829255149e-119	1.95529694062521e-116
PODN|127435	4332.47414999422	3.10986332522315	0.134335519390042	23.1499706060144	1.4547430095907e-118	5.66242904059162e-116
MYOCD|93649	1406.41244358501	4.38211242888095	0.190023042627222	23.0609528628461	1.14211133829458e-117	4.35095819407755e-115
CLIP3|25999	2142.23081659262	2.96617253365662	0.129048158452128	22.9850047395829	6.58449143139936e-117	2.45615248081678e-114
LDB3|11155	828.118090468661	5.0777842035573	0.221005078002686	22.9758711856186	8.12549077145767e-117	2.96912065842754e-114
GPRASP1|9737	515.325591332714	3.0418046884427	0.132723440333815	22.918368306248	3.04786990221536e-116	1.09144221198332e-113
PLN|5350	2042.32324472479	4.61377854912392	0.20185324880348	22.8570933411916	1.24230663471776e-115	4.36147064600421e-113
MRGPRF|116535	2329.34836332266	3.75971712658367	0.164541176035482	22.8497037469388	1.47133375333412e-115	5.06619824104759e-113
LOC399959|399959	1067.58988693658	3.54443972500095	0.156497564524694	22.6485296162016	1.44244885251852e-113	4.87302768006494e-111
C7|730	5127.37838294514	5.39862027074673	0.238411619515043	22.6441155918833	1.59440055570069e-113	5.28661887959645e-111
KCNMA1|3778	4658.68016108354	4.55964075582086	0.201539783042117	22.6240233416744	2.51469492170855e-113	8.18647501330755e-111
NAP1L3|4675	119.122293756686	3.05452331481561	0.135122738687277	22.6055462203508	3.82218209185657e-113	1.2220744706195e-110
MYL9|10398	46372.5528057352	3.9255980253497	0.173782391912528	22.5891586722181	5.53924978352714e-113	1.74000469077287e-110
NHSL2|340527	313.753793158137	3.15628448333886	0.139865962982854	22.5664944924862	9.2494761500084e-113	2.85537707699828e-110
MPDZ|8777	1162.05437202099	2.81179860920706	0.124794974442998	22.5313448859385	2.0464779110007e-112	6.10703116607793e-110
PRELP|5549	5328.38555799942	4.14618058199569	0.184012660790444	22.5320397204484	2.01462627790657e-112	6.10703116607793e-110
LOC728264|728264	3041.62125724336	4.12606707470396	0.183299924157865	22.5099224326489	3.31850695057648e-112	9.74063392624128e-110
KCNB1|3745	113.541042403912	5.54727618591495	0.246712766882674	22.4847552723245	5.85223358221926e-112	1.69006842402638e-109
ADAM33|80332	587.13804922532	4.12693288195372	0.183728790427626	22.4620913921457	9.74898221340422e-112	2.77072264334925e-109
SCN4B|6330	288.653561481681	3.05347058989232	0.136199647828105	22.4190784527288	2.56439485860764e-111	7.17429530365153e-109
ANGPTL7|10218	61.2251843011449	4.69148537629852	0.209305410171827	22.4145442415802	2.8393255891118e-111	7.82124994969949e-109
BHMT2|23743	150.087364560683	3.53784555463428	0.158158554191778	22.3689801206984	7.89203749058301e-111	2.14101411013468e-108
THBS4|7060	4721.93549451232	5.65204188852722	0.25287494655299	22.3511342881997	1.17715208276064e-110	3.14580717042226e-108
FHL1|2273	10285.9323950736	3.99784756925949	0.179033325424125	22.3301866274824	1.8814006664471e-110	4.95389396069636e-108
CPXM2|119587	2484.28693556654	3.76597728165814	0.169324208994866	22.2412217603941	1.37170193534895e-109	3.55946712353955e-107
CHRM2|1129	246.453652346743	6.55320748155812	0.294728143170658	22.2347530543209	1.5843797127771e-109	4.05261696532484e-107
CNN1|1264	27828.4998845327	5.39807798924032	0.243352026679665	22.1821780689177	5.10469432502286e-109	1.28731763224696e-106
MGP|4256	15051.8017874922	3.37404687109924	0.152439288910283	22.1337090668601	1.49739585645826e-108	3.68901099064005e-106
TAGLN|6876	53482.2425375834	3.82149275547758	0.172656430678483	22.1335095394963	1.50403687415093e-108	3.68901099064005e-106
SCN7A|6332	233.790531750129	5.47283683234114	0.248779960061699	21.9987045217945	2.96321231418303e-107	7.1697724980334e-105
PDZRN4|29951	283.334818151013	5.29487559411715	0.241072874095725	21.9637966900194	6.39280594109569e-107	1.52617587167091e-104
CDO1|1036	107.735952441166	3.99080920622178	0.181785123367084	21.953442241602	8.02861702251368e-107	1.89147878668562e-104
CNTNAP1|8506	1422.3370263492	2.56070354054831	0.116673704039037	21.9475636060337	9.13687119621712e-107	2.12461920478269e-104
PCDH10|57575	173.345626574426	6.17470216005934	0.281598204524098	21.9273491835454	1.42490278833557e-106	3.27088261860877e-104
CNKSR2|22866	77.1404057333155	5.68151098595937	0.259147172521522	21.923877967403	1.5378261102109e-106	3.44184706291577e-104
INMT|11185	715.845008445381	3.24645703026917	0.148074943027985	21.924418567263	1.5196697700916e-106	3.44184706291577e-104
HSPB7|27129	3080.01010423095	4.99497936982692	0.228072113305079	21.900877303423	2.54826917928628e-106	5.63293329075565e-104
C2orf40|84417	771.737566996916	5.9273144200092	0.270747317485563	21.8924215946305	3.06776915240272e-106	6.69858617972812e-104
C10orf72|196740	1019.60648865783	2.56643268547058	0.117518258812499	21.8385867132811	9.97946377094011e-106	2.15279878094798e-103
A2M|2	47174.3787358754	2.11264947184388	0.0968067200067283	21.8233762252976	1.3919393517893e-105	2.96698501116516e-103
ACTA2|59	40239.6893768454	3.2117695445367	0.147459471540781	21.7806934405597	3.53678861015695e-105	7.45014118410119e-103
ABI3BP|25890	2808.37005766671	3.79129730325469	0.174139430621164	21.7716188098866	4.31132249911176e-105	8.97607317983675e-103
JAM3|83700	2081.00703135368	2.30932869748576	0.106667604853444	21.6497661183887	6.10895015131914e-104	1.25725002826861e-101
BNC2|54796	1135.21442800458	3.16314639394214	0.146472695229406	21.5954679402055	1.98127207471447e-103	4.03121323838211e-101
