Lgroup	TCGA.2G.AAGT.01	TCGA.2G.AAHL.01	TCGA.2G.AALF.01	TCGA.XE.AAOL.01	TCGA.2G.AAFG.05	TCGA.YU.AA4L.01	TCGA.XE.AAO6.01	TCGA.XE.A8H5.01	TCGA.2G.AALG.01	TCGA.2G.AALT.01	TCGA.ZM.AA0E.01	TCGA.S6.A8JY.01	TCGA.2G.AALS.01	TCGA.2G.AALR.01	TCGA.ZM.AA0H.01	TCGA.2G.AAKG.05	TCGA.2G.AAHP.01	TCGA.2G.AALP.01	TCGA.2G.AAHN.01	TCGA.2G.AAFG.01	TCGA.X3.A8G4.01	TCGA.XE.AANJ.01	TCGA.XE.AAOJ.01	TCGA.2G.AALQ.01	TCGA.VF.A8AE.01	TCGA.ZM.AA0N.01	TCGA.2G.AAKG.01	TCGA.2G.AALO.01	TCGA.YU.A90P.01	TCGA.ZM.AA0D.01	TCGA.2G.AAH4.01	TCGA.2G.AAHP.05	TCGA.ZM.AA0F.01	TCGA.2G.AAGF.01	TCGA.YU.A94I.01	TCGA.ZM.AA0B.01	TCGA.XE.AAOB.01	TCGA.YU.A94D.01	TCGA.XE.A9SE.01	TCGA.XE.AAOF.01	TCGA.YU.AA61.01	TCGA.2G.AAFM.01	TCGA.2G.AAGK.01	TCGA.2G.AAKM.01	TCGA.XE.AAO4.01	TCGA.4K.AA1G.01	TCGA.2G.AAGW.01
Hgroup	TCGA.2G.AAGA.01	TCGA.SB.A76C.01	TCGA.2G.AAGM.01	TCGA.XE.AANV.01	TCGA.VF.A8AA.01	TCGA.2G.AAFE.01	TCGA.VF.A8A8.01	TCGA.2G.AAG9.01	TCGA.2G.AAKO.05	TCGA.YU.A912.01	TCGA.W4.A7U4.01	TCGA.2G.AAF4.01	TCGA.2G.AAGI.01	TCGA.WZ.A8D5.01	TCGA.SO.A8JP.01	TCGA.WZ.A7V4.01	TCGA.XE.A8H1.01	TCGA.SN.A84Y.01	TCGA.2G.AAH2.01	TCGA.W4.A7U2.01	TCGA.2G.AAHG.01	TCGA.XE.AAOC.01	TCGA.2G.AAGI.05	TCGA.2G.AAF1.01	TCGA.2G.AAGV.01	TCGA.4K.AA1H.01	TCGA.2G.AAFJ.01	TCGA.2G.AAM3.01	TCGA.2G.AAM2.01	TCGA.YU.A90Q.01	TCGA.2G.AAGP.01	TCGA.2G.AAM4.01	TCGA.WZ.A7V5.01	TCGA.2G.AAGS.01	TCGA.2G.AAG3.01	TCGA.XY.A9T9.01	TCGA.S6.A8JX.01	TCGA.2G.AAG5.01	TCGA.YU.A90W.01	TCGA.2G.AAGY.01	TCGA.SB.A6J6.01	TCGA.XE.AANI.01	TCGA.2G.AAGX.01	TCGA.2G.AALX.01	TCGA.SN.A84W.01	TCGA.2G.AAG6.01	TCGA.WZ.A7V3.01
Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AR|367	52.336034962976	4.63525968856901	0.229695756295574	20.1799970679664	1.4675489233814e-90	2.68987042166576e-86
MYH11|4629	13413.5392180409	4.98450185533161	0.447939077716079	11.1276334289615	9.20468790405374e-29	8.43563622967005e-25
GFAP|2670	106.168928594113	5.10451491485781	0.515117384413772	9.90942078312304	3.78836004311163e-23	2.31456170767311e-19
TSIX|9383	1879.89427690101	-3.83454843448857	0.448854077160391	-8.54297338401663	1.30811537162816e-17	5.99411166164315e-14
ZNF704|619279	352.276647142163	1.82743266684071	0.215895351688022	8.46443729590544	2.57392354139339e-17	9.43548891803991e-14
TCP11L2|255394	139.363592217787	1.38619914953961	0.169608326835436	8.17294277588499	3.00956751877962e-16	9.19372717528529e-13
CHCHD10|400916	1129.11240093453	-1.59751817954566	0.197254952859029	-8.09874812465344	5.55276143666622e-16	1.45395091960936e-12
CLCA2|9635	125.352338093626	3.86777174488582	0.481913480340067	8.02586336069388	1.00814384980837e-15	2.30978357789221e-12
CCKBR|887	1396.00027541516	-4.45414582306499	0.567927619030811	-7.84280544528923	4.40590347297075e-15	7.64131475229163e-12
FAM66D|100132923	416.203732210391	-2.67132551611467	0.340581579036115	-7.84342336915235	4.38426713586434e-15	7.64131475229163e-12
TRMT112|51504	4857.26112580676	-0.886824873012524	0.113147479347096	-7.83777842979656	4.58587278494233e-15	7.64131475229163e-12
NPIPL3|23117	5860.10082872925	-1.75512980069907	0.225804689076555	-7.77277835937244	7.67830270917396e-15	1.08258161812653e-11
PAPPA2|60676	92.4406658334652	3.84890502833773	0.495155140459131	7.77312949789605	7.65703894354487e-15	1.08258161812653e-11
GGTLC2|91227	229.788051966187	-1.43799869710853	0.185512597600407	-7.75148812376598	9.08218411997311e-15	1.18905251953562e-11
KRT1|3848	406.214565394485	6.19358984458757	0.801172412090749	7.73065790973095	1.06992181307343e-14	1.22566230698893e-11
MYH6|4624	177.595302937366	4.25378066486488	0.550237622017408	7.73080664544291	1.06867236122186e-14	1.22566230698893e-11
C9orf142|286257	1063.03014587029	-1.07813535846651	0.140745169642037	-7.66019438683811	1.85651868250725e-14	2.00165476068679e-11
ADAM22|53616	101.338567910979	1.91455644918132	0.250949509036242	7.62924963086823	2.36124024508323e-14	2.27785118169108e-11
RBP5|83758	836.450511852688	-1.87842439700188	0.246069333909185	-7.63372000549704	2.280749713256e-14	2.27785118169108e-11
CAPN12|147968	441.360078864116	-1.31160907958524	0.17589934819163	-7.45658862906263	8.8791376306634e-14	8.13728568162147e-11
COX17|10063	1383.14487768158	-1.28676710222303	0.173498117404705	-7.41660556017153	1.20160117896185e-13	1.04876895281866e-10
KIAA2022|340533	64.2240404369112	2.6218279535145	0.355929761772792	7.36613858997311	1.75641228140553e-13	1.46333094117646e-10
