Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AR|367	52.7837097322102	4.61903175442262	0.234612960486445	19.6878797524466	2.73917122574201e-86	5.02062693966253e-82
MYH11|4629	13742.9643224	5.23953982310027	0.454203145337187	11.5356748998526	8.72005810434009e-31	7.99149724972248e-27
GFAP|2670	109.255692412834	5.0915635343155	0.52668142838835	9.66725473859165	4.15370691110977e-22	2.53777646579103e-18
TSIX|9383	2200.45875198728	-4.17637962574458	0.46567039178992	-8.96853160384885	3.00493528301584e-19	1.37693647005993e-15
ZNF704|619279	351.175400540786	1.89224658130809	0.219051887160575	8.63834868457893	5.70313297331985e-18	2.09065448535959e-14
CHCHD10|400916	1161.25688993226	-1.68975340974907	0.207676080071302	-8.13648547858244	4.06917630518125e-16	1.24306554162779e-12
CLCA2|9635	129.127959686446	3.87283933004102	0.480600898407852	8.05832727918544	7.73455093692567e-16	2.02523691604158e-12
GGTLC2|91227	238.326080558146	-1.5415078558386	0.197207442961193	-7.81668192991046	5.42339128051974e-15	1.24256673475808e-11
ADAM22|53616	103.862253040277	1.92741837533037	0.251152373683638	7.67429886112971	1.66325884940693e-14	1.91759721070507e-11
CAPN12|147968	442.315815783143	-1.36584162770384	0.177689888444351	-7.68665926723001	1.51026647934196e-14	1.91759721070507e-11
CCKBR|887	1440.71103167884	-4.45320709937434	0.576958384112934	-7.71841994500364	1.17780598751745e-14	1.91759721070507e-11
FAM66D|100132923	425.851261370397	-2.67229591285686	0.347164889682825	-7.69748321985644	1.3877230626257e-14	1.91759721070507e-11
MYH6|4624	182.958804206201	4.25640608410047	0.554690554332685	7.67347857441181	1.67393504126145e-14	1.91759721070507e-11
NPIPL3|23117	6726.96628239402	-1.9612943143479	0.253375791980264	-7.74065390785505	9.89067933980868e-15	1.91759721070507e-11
PAPPA2|60676	95.0649099392001	3.85204880189935	0.500150314374538	7.70178222664226	1.34181426303874e-14	1.91759721070507e-11
TCP11L2|255394	137.201255114991	1.3810968011542	0.179780799325623	7.68211514430266	1.56483085793423e-14	1.91759721070507e-11
C9orf142|286257	1052.17939149268	-1.06444024088578	0.140770473429377	-7.56153058915295	3.98353708709177e-14	4.29495595701794e-11
KIAA2022|340533	64.6414095288383	2.77547465014134	0.36854431035406	7.53091167646828	5.03872641698446e-14	5.13082313871712e-11
TRMT112|51504	4772.07665951902	-0.858331707414973	0.114575782181888	-7.4913885907615	6.81487178394078e-14	6.57419920672898e-11
C8orf37|157657	123.869153305465	1.04263613143469	0.139388348845584	7.48008093983333	7.42768502409674e-14	6.80710194033346e-11
TIAF1|9220	1050.37288280264	-1.23807768081935	0.166578513946981	-7.43239720107843	1.06646979358288e-13	9.30824992694317e-11
KRT1|3848	418.126319414369	6.21884584347371	0.840209101225411	7.4015454419665	1.34608597694457e-13	1.1214731759735e-10
COX17|10063	1380.53690487393	-1.29986131343317	0.175867139957144	-7.39115512852445	1.45558675217516e-13	1.15997606872254e-10
RBP5|83758	834.326632632188	-1.85564172828916	0.252515972086544	-7.348611309439	2.00276647738704e-13	1.52952944850113e-10
SLC30A4|7782	83.8898561821457	1.79361780376786	0.247522558118322	7.24628016695943	4.28373555504925e-13	3.14066355953991e-10
CXorf65|158830	26.879957255021	-2.98474804220685	0.413697004144773	-7.21481667090425	5.40066863478593e-13	3.8045931066602e-10
MUSTN1|389125	330.489324947782	-1.84773854780798	0.256331362156654	-7.20839827113606	5.66138421432355e-13	3.8045931066602e-10
