Lgroup	TCGA.A5.A2K3.01	TCGA.BS.A0V4.01	TCGA.D1.A3DG.01	TCGA.DF.A2KU.01	TCGA.EO.A3AZ.01	TCGA.PG.A6IB.01	TCGA.A5.A0GN.01	TCGA.B5.A5OE.01	TCGA.AX.A3FZ.01	TCGA.B5.A3FA.01	TCGA.DF.A2KY.01	TCGA.EO.A3AV.01	TCGA.AX.A2HF.01	TCGA.AX.A3G6.01	TCGA.EY.A5W2.01	TCGA.AJ.A3OJ.01	TCGA.EO.A3KW.01	TCGA.SL.A6J9.01	TCGA.AX.A2IN.01	TCGA.AP.A0LE.01	TCGA.AJ.A3TW.01	TCGA.A5.A0GR.01	TCGA.AX.A2H4.01	TCGA.DF.A2KZ.01	TCGA.EY.A1GO.01	TCGA.AX.A3FS.01	TCGA.AX.A3G9.01	TCGA.DI.A2QT.01	TCGA.AP.A1E4.01	TCGA.A5.A1OH.01	TCGA.EY.A3QX.01	TCGA.EY.A210.01	TCGA.FI.A2EY.01	TCGA.EY.A1GS.01	TCGA.EO.A3KX.01	TCGA.A5.A0GH.01	TCGA.D1.A2G0.01	TCGA.AX.A2HH.01	TCGA.D1.A15X.01	TCGA.AP.A0LD.01	TCGA.KP.A3W1.01	TCGA.JU.AAVI.01	TCGA.AX.A3FT.01	TCGA.AP.A05A.01	TCGA.A5.A2K2.01	TCGA.DF.A2KS.01	TCGA.EO.A22X.01	TCGA.AJ.A3BF.01	TCGA.AX.A06D.01	TCGA.EY.A1G7.01	TCGA.SL.A6JA.01	TCGA.A5.A0G2.01	TCGA.AX.A2HG.01	TCGA.BS.A0TE.01	TCGA.BS.A0WQ.01	TCGA.EO.A22U.01	TCGA.EY.A548.01	TCGA.QF.A5YT.01	TCGA.AX.A3G3.01	TCGA.AP.A3K1.01	TCGA.A5.A0G5.01	TCGA.B5.A11X.01	TCGA.B5.A11G.01	TCGA.FI.A2EW.01	TCGA.AP.A0LI.01	TCGA.B5.A1MR.01	TCGA.E6.A1LZ.01	TCGA.AX.A1C8.01	TCGA.H5.A2HR.01	TCGA.KP.A3VZ.01	TCGA.BK.A0CC.01	TCGA.D1.A177.01	TCGA.KP.A3W0.01	TCGA.DI.A1BU.01	TCGA.AP.A1DH.01	TCGA.EY.A1GT.01	TCGA.AX.A0IW.01	TCGA.AX.A062.01	TCGA.AX.A1C7.01	TCGA.A5.A0GW.01	TCGA.FI.A2CX.01	TCGA.BG.A2AD.01	TCGA.BK.A139.02	TCGA.FI.A2EX.01	TCGA.EY.A2ON.01	TCGA.AJ.A3BK.01	TCGA.EO.A3L0.01	TCGA.AX.A3G7.01	TCGA.AJ.A3BI.01	TCGA.AX.A1CN.01	TCGA.EY.A4KR.01	TCGA.E6.A8L9.01	TCGA.2E.A9G8.01	TCGA.AJ.A3EL.01	TCGA.EY.A1GV.01	TCGA.AP.A0L9.01	TCGA.AJ.A3EM.01	TCGA.AP.A1DK.01	TCGA.AX.A2H2.01	TCGA.BS.A0V8.01	TCGA.QS.A744.01	TCGA.QS.A5YQ.01	TCGA.B5.A11L.01	TCGA.EO.A3AY.01	TCGA.B5.A11P.01	TCGA.EY.A72D.01	TCGA.QF.A5YS.01	TCGA.A5.A0GP.01	TCGA.D1.A179.01	TCGA.D1.A1O8.01	TCGA.A5.A2K7.01	TCGA.AX.A3GB.01	TCGA.EY.A1GL.01	TCGA.A5.A0GV.01	TCGA.KJ.A3U4.01	TCGA.AX.A1CE.01	TCGA.D1.A0ZS.01	TCGA.D1.A160.01	TCGA.QS.A5YR.01	TCGA.AP.A1DV.01	TCGA.AX.A1CF.01	TCGA.5S.A9Q8.01	TCGA.AJ.A3NG.01	TCGA.B5.A5OD.01	TCGA.BS.A0UJ.01	TCGA.D1.A168.01	TCGA.BG.A0MH.01	TCGA.D1.A17A.01	TCGA.AX.A3G8.01	TCGA.FI.A3PX.01	TCGA.E6.A2P8.01	TCGA.AP.A05H.01	TCGA.BS.A0TG.01	TCGA.AP.A059.01	TCGA.A5.A0GQ.01	TCGA.K6.A3WQ.01	TCGA.BG.A2AE.01	TCGA.BS.A0T9.01	TCGA.DI.A2QU.01	TCGA.AP.A052.01	TCGA.EO.A1Y5.01	TCGA.B5.A3FD.01	TCGA.AP.A1DO.01	TCGA.EY.A2OQ.01	TCGA.B5.A3FB.01	TCGA.AX.A1CA.01	TCGA.BS.A0TD.01	TCGA.D1.A16I.01	TCGA.EY.A1GP.01	TCGA.AP.A0LF.01	TCGA.DI.A1C3.01	TCGA.BS.A0U5.01	TCGA.AP.A1DM.01	TCGA.B5.A1MV.01	TCGA.D1.A3DH.01	TCGA.AP.A05N.01	TCGA.BK.A0CB.01	TCGA.AX.A1CR.01	TCGA.BG.A18C.01	TCGA.B5.A0JY.01	TCGA.BS.A0UT.01	TCGA.B5.A0K6.01	TCGA.BS.A0UV.01	TCGA.SJ.A6ZJ.01
Hgroup	TCGA.EY.A1GU.01	TCGA.AJ.A8CW.01	TCGA.5B.A90C.01	TCGA.BG.A0MT.01	TCGA.EO.A3B1.01	TCGA.A5.A0VP.01	TCGA.BG.A0RY.01	TCGA.BG.A0MO.01	TCGA.B5.A11W.01	TCGA.D1.A0ZN.01	TCGA.AP.A0LO.01	TCGA.AX.A2H5.01	TCGA.EO.A2CG.01	TCGA.BG.A0M6.01	TCGA.A5.A0GG.01	TCGA.D1.A17K.01	TCGA.D1.A1O7.01	TCGA.AX.A0J0.01	TCGA.D1.A16J.01	TCGA.B5.A0JU.01	TCGA.B5.A1MS.01	TCGA.B5.A1N2.01	TCGA.EY.A1GF.01	TCGA.D1.A175.01	TCGA.AP.A05D.01	TCGA.D1.A0ZP.01	TCGA.EO.A1Y8.01	TCGA.DI.A1NO.01	TCGA.D1.A17N.01	TCGA.B5.A1MW.01	TCGA.AJ.A3NC.01	TCGA.A5.A1OF.01	TCGA.D1.A0ZU.01	TCGA.D1.A0ZQ.01	TCGA.AP.A1E1.01	TCGA.D1.A16D.01	TCGA.EY.A1GE.01	TCGA.EY.A1GQ.01	TCGA.A5.A0G3.01	TCGA.AJ.A2QL.01	TCGA.EY.A2OM.01	TCGA.D1.A1NZ.01	TCGA.EY.A1GI.01	TCGA.AX.A2HK.01	TCGA.B5.A1MY.01	TCGA.B5.A0JS.01	TCGA.EY.A3L3.01	TCGA.D1.A2G7.01	TCGA.A5.A7WK.01	TCGA.B5.A1MZ.01	TCGA.EY.A1GW.01	TCGA.AX.A06B.01	TCGA.AJ.A3NF.01	TCGA.FI.A2F9.01	TCGA.AJ.A23N.01	TCGA.AJ.A2QK.01	TCGA.EY.A1GH.01	TCGA.B5.A0JX.01	TCGA.BG.A186.01	TCGA.BS.A0UF.01	TCGA.AJ.A3NH.01	TCGA.B5.A0K9.01	TCGA.EC.A1NJ.01	TCGA.D1.A1NU.01	TCGA.FI.A2EU.01	TCGA.EY.A2OO.01	TCGA.E6.A1M0.01	TCGA.AX.A1C9.01	TCGA.AX.A05T.01	TCGA.AX.A05Y.01	TCGA.B5.A11F.01	TCGA.B5.A11Z.01	TCGA.D1.A17U.01	TCGA.BG.A0MS.01	TCGA.D1.A176.01	TCGA.D1.A174.01	TCGA.BG.A0YV.01	TCGA.AX.A06L.01	TCGA.B5.A11I.01	TCGA.EY.A212.01	TCGA.D1.A16F.01	TCGA.AP.A051.01	TCGA.D1.A169.01	TCGA.AJ.A5DV.01	TCGA.D1.A0ZO.01	TCGA.AX.A06J.01	TCGA.D1.A17H.01	TCGA.D1.A15W.01	TCGA.BG.A0VZ.01	TCGA.B5.A0K8.01	TCGA.AX.A1C5.01	TCGA.BK.A6W3.01	TCGA.D1.A17D.01	TCGA.BG.A0MG.01	TCGA.B5.A11H.01	TCGA.BG.A0MI.01	TCGA.B5.A0K1.01	TCGA.EO.A3AS.01	TCGA.D1.A17C.01	TCGA.BK.A56F.01	TCGA.E6.A2P9.01	TCGA.AX.A3GI.01	TCGA.D1.A17R.01	TCGA.EY.A1GX.01	TCGA.D1.A0ZR.01	TCGA.PG.A5BC.01	TCGA.AX.A2HJ.01	TCGA.A5.A0R6.01	TCGA.BK.A4ZD.01	TCGA.B5.A0JN.01	TCGA.D1.A15V.01	TCGA.A5.A0GU.01	TCGA.BK.A0CA.01	TCGA.D1.A102.01	TCGA.D1.A165.01	TCGA.A5.AB3J.01	TCGA.AP.A0LH.01	TCGA.BG.A222.01	TCGA.SJ.A6ZI.01	TCGA.BG.A0LX.01	TCGA.D1.A1NY.01	TCGA.A5.A0GX.01	TCGA.BS.A0UL.01	TCGA.FI.A2D2.01	TCGA.B5.A11R.01	TCGA.AJ.A5DW.01	TCGA.B5.A11Y.01	TCGA.BG.A0YU.01	TCGA.D1.A16E.01	TCGA.D1.A16V.01	TCGA.D1.A16X.01	TCGA.D1.A162.01	TCGA.B5.A11M.01	TCGA.EY.A1GK.01	TCGA.AX.A2H8.01	TCGA.D1.A103.01	TCGA.B5.A11J.01	TCGA.B5.A0JT.01	TCGA.AX.A05U.01	TCGA.AX.A1CC.01	TCGA.BG.A0M7.01	TCGA.AJ.A6NU.01	TCGA.A5.A1OK.01	TCGA.FI.A2CY.01	TCGA.D1.A2G5.01	TCGA.BK.A6W4.01	TCGA.D1.A167.01	TCGA.FI.A2D5.01	TCGA.BK.A13C.01	TCGA.B5.A11E.01	TCGA.D1.A17Q.01	TCGA.EY.A1GR.01	TCGA.B5.A11S.01	TCGA.FI.A2F4.01	TCGA.AJ.A3QS.01	TCGA.D1.A16N.01	TCGA.AX.A2HD.01	TCGA.AJ.A2QN.01	TCGA.B5.A0KB.01	TCGA.4E.A92E.01	TCGA.D1.A0ZZ.01	TCGA.BG.A187.01	TCGA.BG.A18A.01	TCGA.D1.A17B.01
Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AR|367	201.575539039474	4.81735280049754	0.115299426874054	41.7812380434441	0	0
FXYD2|486	401.552460148451	-5.34368196944614	0.302569359524806	-17.6610149085768	8.37206823359423e-70	7.37746652744323e-66
EEF1A2|1917	1559.69146846177	-5.25209401539637	0.342746304637732	-15.3235613173061	5.32198810181694e-53	3.12649061021406e-49
ALDH6A1|4329	467.862157687303	1.31697657152943	0.0917899582201447	14.3477194789746	1.10098439122949e-46	4.85093722775714e-43
DRAP1|10589	2375.94174731482	-1.01479201820231	0.0722865798804745	-14.0384566524002	9.06656488995676e-45	3.19578279241196e-41
CORO6|84940	108.508411177026	-2.89259161818712	0.208165148212943	-13.8956575729388	6.73025552345548e-44	1.97690038908966e-40
VGF|7425	174.393508202235	-3.73968840043652	0.270130381042726	-13.8440126060646	1.38267634139264e-43	3.48118397724342e-40
MRPL52|122704	1414.5729646873	-1.05372654468433	0.0764841619130558	-13.777055514868	3.50269580938938e-43	7.71643886808479e-40
BARX1|56033	242.04355986007	-4.06181615674399	0.303688136447591	-13.3749582853559	8.47012041303554e-41	1.65863780177043e-37
RFX3|5991	198.329999962159	1.39547348441902	0.105098388779453	13.2777819015608	3.11484768408419e-40	5.48960755842997e-37
COX17|10063	689.665239698218	-1.0680052776905	0.0812181576728628	-13.1498338338613	1.70548829133057e-39	2.73250233149181e-36
KCNQ2|3785	121.620373170784	-5.47074973029787	0.419657704113142	-13.0362189867553	7.61403157084822e-39	1.11824743670524e-35
IL6ST|3572	396.581021293382	1.96584310755634	0.151609872609678	12.9664584087966	1.89589796279624e-38	2.57025428433238e-35
BCL7C|9274	1980.50370626807	-1.23408848981433	0.0952754774168748	-12.9528449845978	2.26405197259886e-38	2.85011799750588e-35
GADD45GIP1|90480	2789.3734651879	-1.23943254950981	0.0959077375152557	-12.9231757689275	3.33103579373292e-38	3.91374498858327e-35
PFDN6|10471	1368.00875527823	-1.14183822807916	0.0884278622972202	-12.9126521711138	3.81916344067572e-38	4.2068085299043e-35
RPL35|11224	16918.7986839862	-1.21579523339926	0.0944018878595999	-12.8789292350537	5.91504923735565e-38	6.13216633877388e-35
DHRS2|10202	122.111980285618	-3.34058689339548	0.261836855785841	-12.758276077558	2.80336589655741e-37	2.74480669782932e-34
BANF1|8815	5446.5040284571	-0.799565368894685	0.062886253318802	-12.7144698037787	4.91431390166783e-37	4.55841411594705e-34
ATP5H|10476	3175.55960886061	-0.956086005322908	0.0753441444034161	-12.6895860706006	6.75417949408401e-37	5.95178297018683e-34
ERN1|2081	134.294908286298	1.67274656843392	0.132110466166943	12.6617263337799	9.63568402306457e-37	8.08663310583286e-34
SMAD9|4093	101.283049987659	2.1683282715775	0.171586099547874	12.6369692958288	1.32046246917622e-36	1.0578104798528e-33
TIMM16|51025	561.697425964759	-0.99790528228905	0.0793267068907191	-12.5796887505209	2.7310376650491e-36	2.09268729603588e-33
NFIC|4782	999.42073820688	1.49283895070741	0.118986702473433	12.5462671010715	4.16695151738705e-36	3.05993139760122e-33
C6orf125|84300	2630.2623433677	-0.978755108235499	0.0781253239948596	-12.5280134300614	5.24602977000817e-36	3.69824114666496e-33
ZMYND19|116225	763.323372867644	-0.773040910274678	0.061924656566349	-12.4835720234703	9.17751240415376e-36	6.22094148503099e-33
ANKRD17|26057	2608.65093897475	0.697601475486531	0.0560167169791824	12.4534516320509	1.33925454100109e-35	8.74186001133451e-33
LENG1|79165	251.787309546522	-0.914398472024762	0.0737115255363785	-12.4050949342174	2.4522194237469e-35	1.54349696871841e-32
AURKAIP1|54998	3579.78670426321	-1.01781883970318	0.0824494554349346	-12.3447612156322	5.19882547227276e-35	3.05413667077784e-32
ZNHIT1|10467	2992.19088840871	-0.954928858760386	0.077348779818644	-12.3457520726166	5.13521187623592e-35	3.05413667077784e-32
WIBG|84305	1096.71849857728	-0.735420424263923	0.0596797368063397	-12.3227826330796	6.82963235725555e-35	3.88275615046038e-32
SURF2|6835	699.849080845811	-1.08327270796155	0.0882380479500266	-12.2767075329574	1.20815668926644e-34	6.6539229661349e-32
S100A3|6274	196.519183463094	-2.71752809304568	0.221456995478917	-12.2711323124782	1.29430517156983e-34	6.91237404355959e-32
GATA4|2626	54.3503212742777	-4.60556243903442	0.376680770391768	-12.2266991071628	2.23851633785362e-34	1.16034152759801e-31
C11orf48|79081	1380.97280038344	-1.0380198707098	0.0851361990358126	-12.1924619899128	3.4096233858295e-34	1.71689150148169e-31
PSME2|5721	4530.3566001289	-1.25083172586478	0.102636771230611	-12.1869746180375	3.64711213186321e-34	1.7854640058877e-31
HIPK1|204851	2175.61414585289	0.841807558374612	0.0692985079857948	12.1475567489443	5.91056042550016e-34	2.81534370105445e-31
ZBED3|84327	86.0463198413245	1.22158611922797	0.100702489360035	12.1306447039309	7.26750151361625e-34	3.37059070199929e-31
ZXDA|7789	72.5525485186491	1.14975355095777	0.0950423790682405	12.0972724192042	1.09178773856603e-33	4.93376079602248e-31
TMEM93|83460	645.753340608485	-0.750696887106095	0.0624720967291133	-12.0165149948658	2.90987195674826e-33	1.28208958414328e-30
FMO2|2327	171.661734442381	3.34526417227221	0.278618253001372	12.0066224528934	3.27968234397399e-33	1.40978345439506e-30
KRT18|3875	28619.7832624084	-1.29254858400404	0.1077897699725	-11.9913845658433	3.94259408283053e-33	1.65438757418584e-30
EHF|26298	2221.22279327237	1.67750816706217	0.139969616805123	11.9848021688717	4.26862167528806e-33	1.749539265239e-30
LIMS1|3987	705.886775308645	1.31929299611855	0.110131097909884	11.9792957770936	4.56182244280867e-33	1.82721724391045e-30
PA2G4|5036	5852.7616574244	-0.74685637131675	0.0627878795278557	-11.8949131095502	1.25783864407602e-32	4.92625516959907e-30
MRPS15|64960	2287.37511716428	-0.893337901058317	0.0752064332997559	-11.8784771709313	1.53131628373849e-32	5.86693873578418e-30
ZNF704|619279	399.021177819574	1.43134618094472	0.120659050783653	11.862733642014	1.8484010610204e-32	6.931110702005e-30
PTTG1|9232	1365.90408297583	-1.24203309067461	0.104723554729031	-11.8601120243515	1.90719785731899e-32	7.00259479945624e-30
TRMT112|51504	4307.87099374373	-0.732435548866025	0.0618530903426783	-11.841535237903	2.38054934738103e-32	8.56220442821291e-30
WDR31|114987	59.1847925835777	1.48474590632096	0.125414684508281	11.838692670976	2.46261640987231e-32	8.68023032151793e-30
KIAA1244|57221	443.148193492899	1.56580447150873	0.132302986538377	11.8349896134396	2.57375364951937e-32	8.89408516061359e-30
KBTBD7|84078	176.468622662336	1.34655166467031	0.113891749851192	11.8230834667979	2.96594666662965e-32	1.00522777024386e-29
SNRPB|6628	7047.57757917348	-0.828123737932277	0.0705609825612352	-11.7362841030963	8.30561128877629e-32	2.76185081798855e-29
BUD31|8896	2501.80496123225	-0.735428032341175	0.0629934503814528	-11.6746745556536	1.71721654355874e-31	5.60448599327394e-29
MKL2|57496	965.989484824465	0.664153103097039	0.0569367990925711	11.6647425510735	1.92985972558506e-31	6.18397232794748e-29
POP7|10248	1099.16880511964	-0.685441134696185	0.0588175150596441	-11.6536908096357	2.19731553862897e-31	6.91526590228517e-29
SNRPF|6636	2239.79042019279	-0.771276787300547	0.0662809536989281	-11.6364769101537	2.68895026703149e-31	8.31404552739702e-29
PIK3R1|5295	4651.29458544945	1.60564417675235	0.138003502316658	11.6348074490755	2.74208222207928e-31	8.33214777274575e-29
PFDN4|5203	505.087357386802	-1.07976305839835	0.0931405035572867	-11.5928411073517	4.48020621091845e-31	1.33829075019029e-28
LBP|3929	206.116517371063	-4.17772778978211	0.362050424859826	-11.5390771641812	8.38196254195163e-31	2.46206179732259e-28
RAD23A|5886	4479.3958106236	-0.708868269319357	0.061677727948451	-11.4930995822644	1.42891197347681e-30	4.12838436402545e-28
RNASEH2C|84153	1426.9671780012	-0.871310691874851	0.0758393119329246	-11.4889055513251	1.50000219477214e-30	4.26387720655873e-28
RPL24|6152	14338.4177521021	-1.15536897872578	0.100747873206267	-11.4679242544438	1.91190426887962e-30	5.34847632297371e-28
ATF4|468	9553.55943085574	-0.641220094175128	0.055936906094886	-11.4632742305666	2.01741032248038e-30	5.55544367553034e-28
GZMB|3002	419.241275167958	-2.4364292675993	0.212671747924438	-11.4562902283803	2.18682408967658e-30	5.92932119330156e-28
CISD3|284106	1262.70111131146	-1.00309748519624	0.0876179443947813	-11.4485393617153	2.39141032336587e-30	6.38579023318184e-28
C14orf156|81892	1401.04890948913	-0.901924365259138	0.0788001884757803	-11.4457132997385	2.47063899976449e-30	6.49888682564917e-28
BATF3|55509	51.549692330105	-1.59120257064906	0.139175944868926	-11.4330286900342	2.85957582121175e-30	7.41134768721115e-28
KIAA0564|23078	811.157434427749	0.950126516769339	0.0832625970628484	11.4112044337527	3.67603591025231e-30	9.389341577143e-28
MAGI1|9223	795.609351206693	0.912442146414062	0.0799807363988699	11.4082738856472	3.80199073249934e-30	9.57232638136691e-28
MT2A|4502	3414.967864015	-1.47908175862233	0.12966888824414	-11.4066047658056	3.87563430646887e-30	9.62030690383203e-28
NUDT1|4521	624.198254909003	-1.03081695877238	0.0904591116453768	-11.3953911333272	4.40845781149172e-30	1.07909250652403e-27
DGKH|160851	56.7125459939032	1.20856040362309	0.106132333442662	11.3872970132709	4.83764402397876e-30	1.16792655176167e-27
GEMIN6|79833	353.173757724569	-0.811056940641808	0.071261876977737	-11.3813580983166	5.17869089736973e-30	1.23336822128708e-27
ZNF516|9658	1192.72407883915	1.51352672028937	0.133093708072683	11.3718878390768	5.77253837025243e-30	1.35646954983105e-27
ARID1B|57492	2216.32621800277	0.643121883725619	0.0567162684716356	11.3392841429131	8.38273512580789e-30	1.94391215601629e-27
SLC35E3|55508	454.205358377296	1.31115827975341	0.115737316315258	11.3287427209901	9.45522018004098e-30	2.16414026562392e-27
