Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AR|367	199.866334705933	4.75002973290762	0.117901656375533	40.2880661640419	0	0
FXYD2|486	414.590219797071	-5.35771882481504	0.30704698374235	-17.4491824004069	3.49195287696582e-68	3.07710887518228e-64
EEF1A2|1917	1614.34224554219	-5.25419469459965	0.348828135035037	-15.0624166083161	2.86133566825672e-51	1.68093932724521e-47
ALDH6A1|4329	465.792593036652	1.3175823549124	0.093987110352027	14.0187558695806	1.19694598350948e-44	5.27374400334277e-41
DRAP1|10589	2419.48724764308	-1.04081472593099	0.0749932572691518	-13.8787774238889	8.518452036819e-44	2.50215331161497e-40
VGF|7425	180.51129437488	-3.75459493636975	0.270520051110563	-13.8791742828528	8.47142163163715e-44	2.50215331161497e-40
KCNQ2|3785	141.327802657995	-5.8168638508999	0.423352249316964	-13.740009319154	5.84682665810217e-43	1.47206390031989e-39
CORO6|84940	111.527149260305	-2.88473274217414	0.211695334070445	-13.6268130558522	2.77433603945287e-42	6.11186229491468e-39
MRPL52|122704	1497.95651291252	-1.14182451896199	0.0838514837235342	-13.6172249822875	3.16361971051622e-42	6.19507041979309e-39
RFX3|5991	197.725798275313	1.43896602400157	0.107358220011161	13.4034079910413	5.77492140656005e-41	1.01777214869214e-37
LBP|3929	327.903461214397	-5.02416737299729	0.376452117709109	-13.3460993753249	1.24815491729941e-40	1.99977111477134e-37
GADD45GIP1|90480	3032.32318691527	-1.39744230776884	0.105571668392009	-13.2369065399236	5.37161222888871e-40	7.88910782682789e-37
BCL7C|9274	2075.08086389314	-1.32277478113181	0.100759682614652	-13.1280165519245	2.27538415510825e-39	3.08472079612521e-36
RPL35|11224	17844.5740994292	-1.28780999206683	0.0999739459652203	-12.8814560597103	5.72452714257604e-38	7.20636188291144e-35
PFDN6|10471	1395.0379830847	-1.16099391781634	0.0901845486673219	-12.8735347126821	6.34314680710116e-38	7.45277462189005e-35
LENG1|79165	260.054596458795	-0.993500713644993	0.0778618384154893	-12.7597900828315	2.74940991228017e-37	3.0284750183766e-34
COX17|10063	689.778151929255	-1.04627958506303	0.0821060439972395	-12.7430276034028	3.40903890438287e-37	3.39311413192454e-34
TIMM16|51025	576.941565516582	-1.04605887755054	0.0820969797613426	-12.7417461713141	3.46550467400373e-37	3.39311413192454e-34
ZNHIT1|10467	3058.11420986242	-1.02925728222012	0.0808981501993862	-12.7228778369265	4.41302313972774e-37	4.09342735866114e-34
BANF1|8815	5502.34536360533	-0.814603732122425	0.0647132687879872	-12.5878934471881	2.46155047635134e-36	2.1691182797608e-33
C6orf125|84300	2685.89534990004	-1.01835603939155	0.0811517369442545	-12.5487891909336	4.03634749202022e-36	3.38745658092211e-33
WIBG|84305	1106.19673064499	-0.753482858616676	0.0601005032287069	-12.537047414551	4.68113652500907e-36	3.75001591439818e-33
SURF2|6835	720.449026303433	-1.13644432619032	0.090737484672853	-12.5245297496143	5.48152724576353e-36	4.20027983388419e-33
ANKRD17|26057	2590.33422123527	0.713824828783407	0.0570922686434809	12.5030033968516	7.1883267405356e-36	5.27862793646664e-33
ATP5H|10476	3247.36535399138	-0.980395872878962	0.0790932885304324	-12.395436971896	2.76633638061039e-35	1.9501564948751e-32
KRT18|3875	29240.5723411471	-1.34538479481875	0.108866613040774	-12.3581027942411	4.40428830701785e-35	2.98542988934164e-32
AURKAIP1|54998	3760.14004177867	-1.10011214681606	0.0891053010216779	-12.3462031349674	5.10651015798311e-35	3.33322722312201e-32
TMEM93|83460	657.559389958573	-0.782233670310059	0.0634617644715537	-12.3260624223691	6.55735033096596e-35	4.12738365117657e-32
ZMYND19|116225	773.702988443799	-0.768588405618228	0.062499972771232	-12.2974198473891	9.35137406878698e-35	5.6830557444242e-32
C11orf48|79081	1477.62833861599	-1.15047374002129	0.0937023691711182	-12.2779578595319	1.18963268771942e-34	6.98869549612235e-32
PSME2|5721	4646.86843528574	-1.29732418930485	0.105775359904669	-12.2648997883258	1.39785120455441e-34	7.94700955776354e-32
ERN1|2081	131.781330011845	1.64065616095768	0.136172279808191	12.0483857894476	1.97785311862645e-33	1.08930260508352e-30
FMO2|2327	167.307112218933	3.3928319329914	0.282698267048677	12.0016014544836	3.48487389317928e-33	1.86113386343611e-30
POP7|10248	1108.56940246481	-0.722205991090835	0.0603802410446412	-11.9609656834076	5.68963714098363e-33	2.94924014625575e-30
PTTG1|9232	1414.0557274266	-1.28599087544384	0.108000621546173	-11.9072543938467	1.08491038732075e-32	5.46298876175456e-30
S100A3|6274	246.217586923868	-2.80512961292003	0.236071584251934	-11.882538179294	1.45869718736038e-32	7.14113311945537e-30
RPS19BP1|91582	2377.44645625801	-0.907824013818902	0.0766606924448832	-11.8421055806612	2.36441322413467e-32	1.12622753140944e-29
RNASEH2C|84153	1518.22028404982	-1.01238453374037	0.0857167065841643	-11.8108193149759	3.43200498200102e-32	1.59172778428384e-29
MRPS15|64960	2347.021259944	-0.926672128224848	0.07870322387215	-11.7742588249013	5.29807149298543e-32	2.39418492288141e-29
CISD3|284106	1280.98373050277	-1.05039541260291	0.0893140808379386	-11.7606921859148	6.22220776417933e-32	2.74150474089741e-29
TMSB10|9168	55932.1187286994	-1.24614959093359	0.106036577467767	-11.7520729232551	6.89074392191328e-32	2.96201148487316e-29
ZNF391|346157	55.6630864558105	1.12558278790212	0.0958796690025609	11.7395356034453	7.9924104792746e-32	3.3537676734937e-29
TRMT112|51504	4381.83984770167	-0.756728003224649	0.0645319209838341	-11.7264137141403	9.33297553740423e-32	3.82521769467935e-29
BARX1|56033	253.976453257515	-3.69364955012818	0.315267113357875	-11.7159367204131	1.05617380627358e-31	4.23045617312854e-29
COMMD4|54939	2300.04398424273	-0.888433303021941	0.0758623449469968	-11.7111236627693	1.11788194250004e-31	4.37812252324904e-29
ZBED3|84327	86.0754824127945	1.20448167250321	0.102920291655198	11.7030534322467	1.22948368161501e-31	4.71052617495281e-29
SNRPB|6628	7170.30271730061	-0.849805278549918	0.0730500062127418	-11.6331992645565	2.79424920946884e-31	1.04778400143997e-28
BUD31|8896	2559.76330944761	-0.791055954404808	0.0680817611938368	-11.61920521052	3.29184314454316e-31	1.20865507457143e-28
PA2G4|5036	5938.33430149006	-0.752605894287418	0.0648333854770078	-11.6083077992945	3.73942707013871e-31	1.34388102819892e-28
SMAD9|4093	102.07581474789	2.0498240354451	0.176607732812197	11.6066493964048	3.81264476906185e-31	1.34388102819892e-28
NFIC|4782	984.514687131298	1.43936151104384	0.124165359654713	11.5922952669449	4.50885470726045e-31	1.55811873256389e-28
RAD23A|5886	4551.6690589542	-0.742363764042225	0.0640564281875801	-11.5892157125639	4.67392604242244e-31	1.58410139560871e-28
DHRS2|10202	127.942156782042	-3.11219431560891	0.269249459838279	-11.5587764502042	6.66516967982099e-31	2.21635755541821e-28
WDR31|114987	58.8640600394049	1.49675783223538	0.129551213313227	11.5534065174407	7.09513131019834e-31	2.31564063353584e-28
