Lgroup	TCGA.N5.A4RM.01	TCGA.ND.A4WF.01	TCGA.N7.A4Y8.01	TCGA.N5.A4RV.01	TCGA.N5.A4RF.01	TCGA.ND.A4WC.01	TCGA.N7.A4Y0.01	TCGA.N5.A59E.01	TCGA.N7.A4Y5.01	TCGA.N8.A4PP.01	TCGA.N8.A4PL.01	TCGA.N7.A59B.01	TCGA.QM.A5NM.01	TCGA.N9.A4Q4.01	TCGA.N6.A4V9.01	TCGA.N5.A4RS.01	TCGA.N5.A4RN.01	TCGA.N5.A4RJ.01
Hgroup	TCGA.ND.A4WA.01	TCGA.NF.A4WX.01	TCGA.N8.A56S.01	TCGA.N6.A4VE.01	TCGA.NA.A4QW.01	TCGA.N5.A4RU.01	TCGA.N5.A4RT.01	TCGA.N8.A4PQ.01	TCGA.N9.A4Q8.01	TCGA.N8.A4PN.01	TCGA.NA.A4QV.01	TCGA.N6.A4VG.01	TCGA.NA.A5I1.01	TCGA.N8.A4PI.01	TCGA.NA.A4QY.01	TCGA.N6.A4VF.01	TCGA.NG.A4VU.01	TCGA.NG.A4VW.01
Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AR|367	114.69051774483	5.43498960304711	0.382332683515835	14.2153413437437	7.35917291914926e-46	1.3139803247141e-41
PI15|51050	1508.55632666264	3.41551851053691	0.504214710100698	6.77393666252774	1.2532455511399e-11	1.11883496578014e-07
ST20|400410	245.26628690771	-1.55665021953366	0.232096311668959	-6.70691493690744	1.9878205712103e-11	1.18308454329866e-07
PKHD1L1|93035	233.024002474442	5.27672255497004	0.800115905248495	6.5949477073965	4.25405778416677e-11	1.89890504340744e-07
TCEB2|6923	8157.25817034438	-1.25512535012412	0.199610211204485	-6.28788147936152	3.21827453176161e-10	1.14924583529207e-06
C19orf24|55009	1719.78025909484	-1.46803113689006	0.237474496529245	-6.18184755982532	6.33556905975412e-10	1.88535975936516e-06
FAM128B|80097	7532.57178797367	-1.29348861806928	0.211035647420197	-6.12924230518167	8.8298564424372e-10	2.25224409685309e-06
PRG4|10216	210.535830973114	-3.83934853367989	0.629965029785639	-6.09454231925592	1.09750996746607e-09	2.44950505863832e-06
BLOC1S1|2647	2905.47352322568	-1.04405130004664	0.172326736999713	-6.05855665942528	1.37348369041181e-09	2.72483903247811e-06
MIF|4282	33980.9341441624	-1.83985977591905	0.304970887147609	-6.0329029866662	1.61040103282444e-09	2.87537104410804e-06
CGB2|114336	17.2839396680788	-3.99024185965415	0.672027947547287	-5.93761297311727	2.89201757579207e-09	4.69427034688795e-06
C10orf125|282969	580.314697179055	-1.74004942838966	0.294405986117627	-5.91037380501645	3.41332261116893e-09	4.85330672725194e-06
THAP3|90326	1667.78903272034	-1.39209316410132	0.235761565309828	-5.90466542870076	3.53363133319940e-09	4.85330672725194e-06
ZNF511|118472	1651.50414323154	-0.94490133967906	0.160863217354512	-5.87394281438917	4.25550221471106e-09	5.42728514597614e-06
C16orf13|84326	2618.36540308996	-1.43364974968453	0.245422324347067	-5.84156210523502	5.17135925218033e-09	6.15564129651199e-06
UBE2S|27338	4038.10178045749	-1.48523433438017	0.254765947906637	-5.82979925921831	5.54940924914277e-09	6.19279388396526e-06
RPS15|6209	17542.9683906421	-1.33175135070743	0.23254011844316	-5.72697459528022	1.02237471758388e-08	1.07379415190942e-05
LOC100271831|100271831	186.349943834355	-1.98924854574251	0.348086275892385	-5.71481464083206	1.09823667796429e-08	1.08938977139179e-05
CPNE7|27132	157.154968264971	-3.11818509953068	0.552048213075011	-5.64839270498099	1.61954881689476e-08	1.48532392365654e-05
NCRNA00162|378825	34.886726685719	-5.81188505442175	1.02978960072345	-5.64375970619512	1.66376244598884e-08	1.48532392365654e-05
LSM7|51690	2782.55716507698	-1.35452547291165	0.242258141314829	-5.59124851515871	2.25442639042705e-08	1.8536479843775e-05
