Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AR|367	114.69051774483	5.43498960304676	0.382332683511883	14.2153413438897	7.35917290380008e-46	1.3139803219735e-41
PI15|51050	1508.55632666264	3.41551851053691	0.504214710102885	6.77393666249835	1.25324555139455e-11	1.11883496600749e-07
ST20|400410	245.26628690771	-1.55665021953364	0.232096311663472	-6.70691493706586	1.98782056905306e-11	1.18308454201475e-07
PKHD1L1|93035	233.024002474442	5.27672255497012	0.800115905260791	6.59494770729525	4.25405778706978e-11	1.89890504470327e-07
TCEB2|6923	8157.25817034438	-1.25512535012412	0.199610211198969	-6.28788147953524	3.21827452816113e-10	1.14924583400634e-06
C19orf24|55009	1719.78025909484	-1.46803113689005	0.237474496524385	-6.18184755995181	6.33556905467644e-10	1.88535975785413e-06
FAM128B|80097	7532.57178797367	-1.29348861806928	0.211035647414849	-6.12924230533701	8.82985643381681e-10	2.25224409465427e-06
PRG4|10216	210.535830973114	-3.8393485336799	0.629965029791031	-6.09454231920377	1.09750996782384e-09	2.44950505943683e-06
BLOC1S1|2647	2905.47352322568	-1.04405130004663	0.172326736993807	-6.05855665963288	1.37348368863954e-09	2.72483902896212e-06
MIF|4282	33980.9341441624	-1.83985977591905	0.304970887144293	-6.0329029867318	1.61040103217042e-09	2.87537104294029e-06
CGB2|114336	17.2839396680788	-3.99024185965392	0.672027947542002	-5.93761297316363	2.89201757497461e-09	4.69427034556107e-06
C10orf125|282969	580.314697179055	-1.74004942838965	0.294405986113967	-5.91037380508991	3.41332260964667e-09	4.85330672364421e-06
THAP3|90326	1667.78903272034	-1.39209316410131	0.235761565304933	-5.90466542882331	3.53363133057265e-09	4.85330672364421e-06
ZNF511|118472	1651.50414323154	-0.944901339679048	0.160863217348461	-5.87394281461006	4.25550220903781e-09	5.42728513874072e-06
C16orf13|84326	2618.36540308996	-1.43364974968452	0.24542232434238	-5.84156210534659	5.17135924871621e-09	6.15564129238853e-06
UBE2S|27338	4038.10178045749	-1.48523433438017	0.254765947902152	-5.82979925932097	5.54940924572905e-09	6.19279388015576e-06
RPS15|6209	17542.9683906421	-1.33175135070743	0.232540118438224	-5.72697459540179	1.02237471685153e-08	1.07379415114024e-05
LOC100271831|100271831	186.349943834355	-1.98924854592761	0.348086353253815	-5.71481337125878	1.0982448770338e-08	1.08939790441325e-05
CPNE7|27132	157.154968264971	-3.11818509953068	0.552048213077891	-5.64839270495151	1.61954881717238e-08	1.48532392460524e-05
NCRNA00162|378825	34.886726685719	-5.81188505442193	1.02978960074353	-5.64375970608521	1.66376244705152e-08	1.48532392460524e-05
LSM7|51690	2782.55716507698	-1.35452547291165	0.242258141310078	-5.59124851526836	2.25442638900313e-08	1.8536479818969e-05
MIER2|54531	1319.75798348611	-0.829708987956457	0.148454246060768	-5.58898792033759	2.28396838990376e-08	1.8536479818969e-05
BUD31|8896	4637.21203998849	-1.0357825478392	0.185878149623233	-5.57237389084564	2.51291386027564e-08	1.8695032073009e-05
