gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
CDKN1A	904665	228	37	463806	153375	0	46	1	0	50	93	21277407	0	0
CDKN2A	225405	357	-15	975465	253989	0	34	0	0	50	73	25276609	0	0
ELF3	751933	168	31	1116161	292435	0	70	2	0	50	82	23183347	0	0
HRAS	1970020	236	42	631905	176688	0	19	1	0	50	108	23275372	0	0
KDM6A	59340	NaN	36	4174663	1123523	0	119	8	0	2	11	1463811	0	0
KRAS	259193	512	16	701026	168917	0	15	0	0	50	74	23574760	0	0
PSIP1	200332	583	6	1669947	388959	0	23	1	0	50	82	23855743	0	0
RB1	349930	450	41	2825372	721885	0	91	0	0	3	1	2092853	0	0
RHOB	621277	189	19	558694	166463	0	29	0	0	50	86	24290919	0	0
SNRPG	671278	370	38	247445	53170	0	2	0	0	50	117	29381742	0	0
ZFP36L1	543449	259	46	948471	304296	0	37	2	0	50	69	21366978	0	0
ARID1A	975965	182	27	6543182	1964836	0	141	9	0	3	41	6974677	9.992007e-16	1.570577e-12
TP53	2069567	213	34	1263401	348877	0	246	9	0	2	10	699799	1.554312e-15	2.255187e-12
PIK3CA	401889	613	11	3228646	804503	0	103	5	0	50	105	25085606	1.776357e-15	2.393260e-12
TSC1	1919595	461	33	3442144	949289	0	35	6	0	50	87	22341216	1.578848e-12	1.985349e-09
FBXW7	117295	501	51	2496536	669124	0	40	1	0	5	6	3892044	2.936318e-12	3.461552e-09
CREBBP	637890	242	39	7118645	2021278	0	56	8	0	10	26	7110874	1.610949e-09	1.787395e-06
EP300	1167197	154	42	7085107	1951748	0	85	7	0	2	10	2752979	1.944807e-07	2.037941e-04
FGFR3	859388	222	42	2476086	765648	0	62	7	0	5	21	3311264	3.577938e-07	3.551951e-04
PTEN	259678	300	34	1238452	287936	0	20	0	0	50	71	20953070	6.705622e-07	6.324072e-04
C3orf70	760533	598	32	731701	197138	0	19	0	0	50	86	27940017	1.721691e-06	1.546406e-03
RHOA	1623187	201	33	580371	153375	0	20	1	0	14	16	4495728	2.144885e-06	1.838946e-03
NFE2L2	372300	145	36	1780377	469941	0	30	1	0	50	80	21916265	3.728108e-06	3.057373e-03
KLF5	274388	328	28	1310436	390186	0	23	4	0	23	40	9202500	5.237685e-06	4.116384e-03
EPHA2	866090	197	37	2855229	819636	0	26	5	0	50	103	25776407	1.494921e-05	1.127888e-02
STAG2	338292	NaN	7	3896952	936201	0	63	10	0	0	10	936201	3.901166e-05	2.830146e-02
METTL3	707390	470	30	1707575	485074	0	23	1	0	50	79	27207907	5.529360e-05	3.862770e-02
BCLAF1	286851	153	21	2718623	725566	0	26	2	0	50	77	29673768	6.024403e-05	4.058296e-02
MARK2	1321109	201	51	2331709	660944	0	12	1	0	16	17	9911297	1.935431e-04	1.258831e-01
RBM10	819569	NaN	38	2769748	765239	0	17	4	0	50	66	19044267	2.650126e-04	1.666222e-01
FOXA1	67481	487	-58	1331704	414317	0	14	3	0	29	64	12418467	3.069389e-04	1.867575e-01
ASXL2	602691	287	31	4119857	1220047	0	45	4	0	10	18	5661378	3.587308e-04	2.114494e-01
NEK11	312654	797	12	2029458	446628	0	18	1	0	33	51	17726060	3.848031e-04	2.199441e-01
PARD3	139914	776	0	4065869	1089985	0	25	4	0	50	64	24421799	8.794716e-04	4.878998e-01
ZFP36L2	227876	208	47	1357062	469941	0	20	3	0	50	71	19477398	9.585907e-04	5.165982e-01
ACTB	1906749	195	34	1092848	315748	0	22	4	0	8	16	3696951	1.004658e-03	5.263851e-01
GPS2	1911735	206	36	995915	262987	0	11	1	0	50	95	25358000	1.042315e-03	5.313551e-01
CDKN1B	791330	136	44	582416	159919	0	7	0	0	50	80	23335086	1.149750e-03	5.706998e-01
NKX2-2	283479	694	-10	772601	240901	0	12	2	0	19	48	12775115	1.393684e-03	6.740427e-01
HES1	420702	294	33	793869	255216	0	12	2	0	28	46	11376335	1.461226e-03	6.890412e-01
ATM	415837	582	16	9242173	2314940	0	69	6	0	3	8	3296949	1.537504e-03	7.073266e-01
RXRA	300063	295	42	1355426	393049	0	24	6	0	15	31	5096140	1.601803e-03	7.193621e-01
BTG2	574553	420	26	459307	133334	0	8	1	0	22	38	10685534	2.112217e-03	9.265266e-01
