gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
APC	247811	399	28	5637829	1081115	0	483	10	0	5	14	1916682	0	0
DEFB116	562665	594	-29	212313	31671	0	7	0	0	50	110	9029363	0	0
KRAS	259193	512	16	481321	73117	0	180	4	0	0	4	73117	0	0
NRAS	600650	472	11	392955	68425	0	20	1	0	50	137	11380837	0	0
SOX9	159643	606	-41	991967	210749	0	67	3	0	22	76	5299223	0	0
TP53	2069567	213	34	857854	169694	0	240	3	0	16	33	2488715	0	0
BRAF	305191	616	25	1539758	314364	0	64	1	0	4	9	1319234	7.993606e-15	2.153934e-11
PIK3CA	401889	613	11	2215406	355028	0	164	4	0	0	4	355028	9.214851e-15	2.172632e-11
SMAD4	156084	422	41	1115132	213486	0	61	2	0	7	16	1490492	1.191602e-12	2.497334e-09
FBXW7	117295	501	51	1707888	309672	0	81	4	0	13	38	2582946	4.287637e-11	8.087341e-08
B2M	673122	428	36	247894	44574	0	27	1	0	6	25	1874454	8.180079e-07	1.402660e-03
GML	447193	438	36	323748	58650	0	14	1	0	50	136	11511040	2.417562e-04	3.800004e-01
RNF43	782135	399	22	1506132	358156	0	58	2	0	7	31	2711976	3.030080e-04	4.396414e-01
P2RY11	1675365	272	15	14076	2346	0	5	0	0	5	18	1218747	6.120838e-04	8.246518e-01
PCBP1	686152	156	52	677603	159919	0	18	0	0	12	30	2385100	7.068459e-04	8.888351e-01
SPANXD	NaN	NaN	NaN	201365	36363	0	8	1	0	36	190	14782537	8.458120e-04	9.971067e-01
HLA-B	2552688	347	28	716703	158355	0	24	1	0	49	146	16217507	2.312689e-03	1
SMAD2	108087	185	42	954822	174386	0	26	0	0	7	15	1984325	2.332967e-03	1
DUSP22	224772	684	46	391000	64906	0	15	2	0	28	75	5140868	2.363667e-03	1
SMAD3	444194	194	45	916113	169303	0	24	2	0	50	83	9364841	2.665077e-03	1
ARID1A	975965	182	27	4421428	1000960	0	57	4	0	2	4	1680518	2.999525e-03	1
CCNA1	197057	880	1	925888	192372	0	21	4	0	25	74	5682794	4.412910e-03	1
RPL22	627248	240	31	276437	37145	0	14	0	0	50	117	10283300	4.734967e-03	1
CD58	692758	418	19	516120	89930	0	16	0	0	50	110	11960299	4.814463e-03	1
CLEC4D	321790	564	13	454733	67643	0	9	1	0	29	71	6318951	7.888349e-03	1
TRIM55	277437	480	30	1173391	214659	0	23	1	0	16	37	3691431	8.713683e-03	1
OR4A15	1067	1102	-42	671738	136850	0	18	0	0	3	5	597057	8.714275e-03	1
MBD6	1347795	303	44	1818932	570860	0	39	7	0	14	66	7545127	9.160679e-03	1
PDYN	461602	543	28	503999	100487	0	15	2	0	28	74	5447021	1.085456e-02	1
OR2W1	155147	738	1	628728	124338	0	13	2	0	19	60	4566880	1.450359e-02	1
RAB3C	142186	420	9	474283	74681	0	12	1	0	50	109	10784562	1.585833e-02	1
GABRB2	11638	1049	7	1033413	198237	0	11	0	0	5	2	1680518	1.661364e-02	1
MAGEC1	17504	NaN	-11	2222444	462944	0	45	14	0	21	177	7897027	2.022547e-02	1
MAGEA12	NaN	NaN	NaN	614261	127857	0	12	3	0	35	189	14303171	2.389057e-02	1
EXD3	1632320	208	30	1722746	401948	0	26	3	0	27	46	6441334	2.514379e-02	1
KRTAP12-1	819099	391	35	186507	42619	0	6	0	0	50	131	13109839	2.869263e-02	1
LRRC18	NaN	NaN	NaN	518466	100878	0	11	1	0	50	286	22073905	3.317689e-02	1
