gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
PBRM1	1217701	231	47	4281256	1081172	0	155	1	0	50	20	23678984	0	0
VHL	825905	170	39	532576	161624	0	173	4	0	3	4	446780	0	0
BAP1	1078407	229	62	1867220	540052	0	41	1	0	50	9	20895420	1.110223e-15	6.980342e-12
SETD2	593886	365	46	6529396	1776440	0	56	0	0	7	0	3405140	7.327472e-15	3.455269e-11
PTEN	259678	300	34	1077968	250624	0	13	1	0	50	18	18237880	2.017034e-10	7.609060e-07
KDM5C	877207	NaN	80	4017104	1193668	0	22	3	0	50	22	22638396	2.277917e-09	7.161011e-06
TP53	2069567	213	34	1099684	303668	0	12	1	0	50	12	18449700	1.786278e-07	4.813253e-04
MAX	501431	387	39	719476	174440	0	6	0	0	50	9	23893652	5.999252e-07	1.414474e-03
MTOR	577167	416	32	6583864	1829840	0	33	3	0	50	13	17990104	9.241259e-06	1.936763e-02
ZNF800	313691	807	-5	1702392	450696	0	9	0	0	50	13	23926404	2.129766e-04	3.713511e-01
TCEB1	258047	417	25	299752	75116	0	4	0	0	50	9	17237876	2.165657e-04	3.713511e-01
PCK1	181790	562	-4	1603424	431116	0	5	0	0	50	7	19947392	3.263460e-04	5.129615e-01
DCDC1	84163	938	-25	920972	246352	0	6	1	0	50	21	23385640	4.971579e-04	7.213378e-01
OR10G7	158396	830	-10	751872	247776	0	8	1	0	44	12	20166688	8.641415e-04	1
CENPW	142596	704	-1	227128	66572	0	3	0	0	50	11	21173100	1.006539e-03	1
C8orf47	630526	229	39	940196	269848	0	5	0	0	50	8	25404872	1.418047e-03	1
SDR16C5	435368	613	-7	802424	216448	0	5	0	0	50	9	14552212	1.537004e-03	1
STAG2	338292	NaN	7	3391968	814884	0	9	0	0	50	17	21893644	1.837079e-03	1
CCNB2	748599	329	34	1035604	276968	0	5	1	0	28	5	11819556	2.700657e-03	1
KLRC2	378365	334	0	614100	152724	0	4	0	0	50	18	21701404	3.327621e-03	1
OR2J2	162844	808	12	766112	237808	0	6	0	0	50	11	18762624	3.431784e-03	1
NPNT	262174	361	7	1585980	433608	0	7	0	0	50	10	18278108	3.514245e-03	1
SPG21	705779	185	57	814884	209328	0	4	0	0	50	9	20194100	3.535880e-03	1
TMEM203	1723416	200	39	326096	112852	0	3	0	0	50	24	24584292	3.756651e-03	1
FBXO43	810757	396	25	1804920	488076	0	5	0	0	50	11	28712824	3.909933e-03	1
FBXL13	720636	510	30	1940556	492348	0	5	1	0	50	10	21619168	4.028813e-03	1
SLC22A9	1061448	478	28	1407624	405840	0	5	0	0	50	18	23370332	4.082564e-03	1
ERBB4	20702	1173	-5	3415820	895696	0	13	1	0	50	12	19724536	4.224518e-03	1
ARID1A	975965	182	27	5695288	1710224	0	15	0	0	5	3	6655064	4.544405e-03	1
NDUFC1	387523	299	20	200428	59096	0	2	0	0	50	15	23654776	4.777158e-03	1
C6orf62	422850	362	40	603420	150588	0	4	0	0	50	19	24131104	5.753307e-03	1
KCTD7	615008	246	43	730156	216092	0	4	1	0	31	7	12698520	5.770203e-03	1
SNX29	477277	758	18	1127808	302244	0	5	0	0	43	4	14755844	6.114417e-03	1
GAP43	43284	622	-2	720188	203632	0	4	0	0	50	7	20390256	6.208292e-03	1
HMGN2	1003175	167	31	251692	61232	0	2	0	0	50	11	19508088	6.379907e-03	1
SUZ12	717248	310	27	1943404	491636	0	4	0	0	50	11	27332612	6.802963e-03	1
HMGN5	141842	NaN	-22	767180	160912	0	4	0	0	50	15	22104752	6.870759e-03	1
SCGB2A1	2778889	450	53	258812	59452	0	2	0	0	50	13	20487088	7.214631e-03	1
KRT12	1036346	358	5	1245644	372376	0	4	0	0	50	7	13481008	7.492699e-03	1
NDUFS1	311488	433	24	1886088	523320	0	5	0	0	50	10	23292368	7.647226e-03	1
LHFPL1	25206	NaN	7	560344	160556	0	3	0	0	50	17	25634136	7.847235e-03	1
HSP90AA1	1488666	145	41	2225712	560700	0	8	0	0	50	21	29412364	8.365322e-03	1
GOLT1A	557652	370	34	341048	102172	0	2	0	0	50	10	22031772	8.476873e-03	1
SLITRK6	18898	822	-27	2110724	591316	0	8	1	0	50	19	21785420	8.522040e-03	1
ITM2B	340844	457	36	697760	179068	0	3	0	0	50	19	19850916	8.576476e-03	1
SPPL3	1410077	392	45	987544	288716	0	6	0	0	50	22	29704996	8.627417e-03	1
DDA1	842088	211	43	276612	70488	0	2	0	0	50	13	21639816	9.211964e-03	1
WDR25	410676	215	23	1364548	407264	0	6	0	0	50	14	20569324	9.390717e-03	1
LMO4	279257	521	-10	433252	115700	0	3	0	0	50	22	24546200	9.836008e-03	1
WAC	204806	355	17	1669996	463868	0	4	0	0	50	3	17826700	9.863559e-03	1
PAPOLG	370439	436	18	1932368	518692	0	6	1	0	50	15	25177744	1.034725e-02	1
KCNH7	70298	965	-6	3122120	847636	0	10	1	0	50	13	18286296	1.130478e-02	1
RPL34	160719	574	14	312568	86864	0	2	0	0	50	13	20184844	1.188383e-02	1
EIF1	1617880	323	9	302244	75828	0	2	0	0	50	18	24149616	1.217892e-02	1
OR51E1	212267	935	-3	774300	252048	0	3	1	0	43	6	16673972	1.223136e-02	1
CNR2	923316	254	23	876828	284088	0	4	0	0	50	15	19342192	1.230968e-02	1
ATG7	184628	425	30	1834824	497688	0	4	0	0	50	21	25932108	1.251493e-02	1
SFXN4	789279	149	29	901392	239232	0	4	0	0	50	14	23654420	1.268420e-02	1
OR5K2	390532	796	2	785692	228908	0	3	0	0	50	12	19516632	1.296805e-02	1
UBIAD1	582356	524	31	817020	273408	0	4	0	0	50	15	24818184	1.318276e-02	1
GNB1	1492510	229	26	890000	245284	0	4	0	0	50	6	18853404	1.330509e-02	1
RIC8B	230956	396	11	1334644	368816	0	3	0	0	50	9	24770124	1.341087e-02	1
ZCCHC17	675993	215	30	651124	154148	0	4	0	0	50	16	16586396	1.356878e-02	1
TP53BP1	794398	368	43	5048792	1404064	0	6	0	0	27	4	14539040	1.361476e-02	1
STAG1	245682	512	22	3349248	825564	0	5	1	0	50	12	23710668	1.403840e-02	1
OR2T33	18846	936	-35	787116	240300	0	4	0	0	50	15	20010048	1.408451e-02	1
PARD6B	480540	161	43	939484	264152	0	4	1	0	50	13	16432248	1.424596e-02	1
BRD7	303953	520	14	1745112	417588	0	4	0	0	44	3	17823140	1.444406e-02	1
CCDC125	434060	261	49	1371668	313636	0	4	0	0	50	10	20040308	1.444867e-02	1
