gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
C12orf74	208773	509	-1	753080	241660	0	5	1	0	50	156	34165666	0	0
C22orf29	NaN	NaN	NaN	1392636	453534	0	5	1	0	50	247	63040102	0	0
CBX5	753625	205	59	810966	187146	0	6	1	0	50	92	31532134	0	0
CLEC2B	295505	634	25	640118	145558	0	4	0	0	50	156	33504754	0	0
DEFA4	131884	628	11	390590	118582	0	9	0	0	50	139	31496728	0	0
DEFB121	598822	450	-79	348440	91606	0	3	0	0	50	328	44532318	0	0
KEAP1	1996822	207	30	2478420	716550	0	109	2	0	50	73	30143994	0	0
KRAS	259193	512	16	963268	232106	0	185	0	0	50	122	32393680	0	0
NDUFAF3	1799657	241	41	726104	236602	0	2	1	0	50	95	35810640	0	0
RB1	349930	450	41	3882296	991930	0	37	1	0	6	3	4252654	0	0
STK11	2214581	234	29	1768052	487816	0	88	4	0	1	4	713178	0	0
TP53	2069567	213	34	1736018	479386	0	329	14	0	0	14	479386	1.887379e-15	2.966645e-12
RBM10	819569	NaN	38	3805864	1051502	0	44	1	0	6	10	4920310	2.331468e-15	3.382781e-12
EGFR	423489	336	-13	5333942	1408372	0	87	4	0	1	6	2001282	4.329870e-15	5.833572e-12
SMARCA4	1984564	190	40	6831672	1916982	0	53	3	0	10	11	9142054	1.054712e-14	1.326265e-11
SMAD4	156084	422	41	2255868	608646	0	25	3	0	47	112	35697678	1.116195e-07	1.315855e-04
NF1	462449	396	26	11717138	3131464	0	85	6	0	0	6	3131464	1.846929e-07	2.049222e-04
CDKN2A	225405	357	-15	1340370	349002	0	30	2	0	11	23	5127126	2.171345e-07	2.275328e-04
COL11A1	37620	742	-20	7567892	2281720	0	170	20	0	15	77	9800718	5.999013e-07	5.955441e-04
COL25A1	157338	437	-5	2838100	855926	0	43	5	0	17	40	10581336	1.010570e-06	9.530690e-04
BRAF	305191	616	25	3117976	879530	0	49	1	0	6	26	6443892	4.108514e-06	3.690228e-03
MUC7	264556	861	26	1406686	518726	0	28	3	0	50	159	36431650	1.054672e-05	9.042378e-03
ZNF679	NaN	NaN	NaN	1705108	409136	0	28	3	0	21	52	14856470	1.207054e-05	9.898890e-03
MGA	765304	256	41	12165614	3497326	0	55	8	0	16	30	12861932	1.493554e-05	1.137664e-02
TCEAL5	455954	NaN	17	846372	207378	0	17	1	0	50	119	36195610	1.507879e-05	1.137664e-02
B2M	673122	428	36	497932	132632	0	10	1	0	11	45	8627262	3.674520e-05	2.665723e-02
CRB1	212549	428	-23	5700928	1489862	0	79	12	0	20	108	17397272	4.782693e-05	3.341154e-02
LPPR4	100692	868	-15	3020188	884588	0	75	7	0	1	7	1370156	5.768862e-05	3.886153e-02
ARID1A	975965	182	27	8990876	2699848	0	40	1	0	0	1	2699848	8.276976e-05	5.383459e-02
ZFP36L1	543449	259	46	1303278	418128	0	14	2	0	50	82	29360004	1.024358e-04	6.440482e-02
TAF1L	567793	334	5	7252610	1991728	0	79	14	0	29	95	22309714	1.238920e-04	7.538230e-02
PLG	181774	624	-9	3347272	879530	0	38	5	0	12	38	11778958	1.655031e-04	9.755375e-02
SLC32A1	450934	551	36	2028820	638432	0	25	3	0	34	68	21347570	1.815475e-04	1.037682e-01
U2AF1	687433	279	59	1100958	288306	0	13	1	0	50	64	29999560	2.293237e-04	1.272207e-01
FERD3L	103347	812	-15	654168	197262	0	22	3	0	6	20	2835290	2.400084e-04	1.293440e-01
ASCL3	548433	243	21	719922	210750	0	7	0	0	50	79	32744368	2.520360e-04	1.320529e-01
MS4A1	333232	899	13	1222350	325398	0	13	0	0	14	26	8957156	3.482014e-04	1.775074e-01
CD163	665695	608	13	4706750	1253260	0	46	5	0	5	20	6643402	3.824669e-04	1.898445e-01
ATM	415837	582	16	12699514	3180920	0	55	2	0	1	4	3836774	4.320728e-04	2.089681e-01
LAX1	515575	280	39	1668016	449600	0	19	2	0	10	7	5045636	4.599103e-04	2.168707e-01
SPRR2D	687290	704	30	296736	79242	0	7	0	0	50	117	33829028	6.955712e-04	3.107969e-01
LILRB2	717623	458	-6	2384566	732848	0	30	4	0	32	85	18753378	7.006781e-04	3.107969e-01
SULT6B1	545763	253	35	1127934	261330	0	10	0	0	50	92	35568418	7.085285e-04	3.107969e-01
ANTXR1	338803	288	14	2417724	677772	0	17	3	0	49	73	30693068	7.585257e-04	3.251662e-01
ZSCAN4	532349	849	-37	1750630	458030	0	25	4	0	11	27	6701850	9.718173e-04	4.073426e-01
VCAN	253331	529	0	13395832	3880610	0	113	17	0	15	37	10377330	1.231075e-03	5.047941e-01
CTNNB1	305811	448	8	3144952	911564	0	23	0	0	10	11	7040736	1.361080e-03	5.462275e-01
KRTAP5-3	NaN	NaN	NaN	946970	265264	0	13	1	0	50	247	62851832	1.422986e-03	5.591740e-01
AQP10	1653296	236	29	1168398	396210	0	14	2	0	28	49	18599390	1.457430e-03	5.610214e-01
TAAR6	178165	618	22	1352734	393962	0	16	2	0	40	101	26383652	1.505383e-03	5.678905e-01
ZEB1	323935	635	16	4574118	1193688	0	46	7	0	11	41	10151406	1.587148e-03	5.869959e-01
EPHA6	89830	1046	-18	4743842	1288666	0	60	7	0	10	37	6806382	1.742965e-03	6.303813e-01
TMCO2	627703	373	18	734534	204568	0	7	0	0	33	52	22208554	1.771297e-03	6.303813e-01
SVOP	574926	NaN	32	1234714	361928	0	12	1	0	42	106	33921758	1.896242e-03	6.542111e-01
ELSPBP1	881809	433	29	965516	207940	0	13	0	0	50	99	35774672	1.907624e-03	6.542111e-01
OR8H2	9992	1007	-32	1215044	364738	0	33	6	0	5	96	7063778	1.955461e-03	6.586412e-01
MET	558228	262	2	5704300	1557302	0	24	5	0	15	28	12725928	2.069941e-03	6.849688e-01
FAM71A	409070	224	26	2301390	708120	0	22	0	0	6	10	4048086	2.193835e-03	7.086003e-01
CD1A	120861	833	3	1330816	361928	0	21	2	0	32	103	18669640	2.216489e-03	7.086003e-01
OR5AR1	NaN	NaN	NaN	1216730	352936	0	17	2	0	26	68	18629176	2.317258e-03	7.284686e-01
HOXB1	946208	524	29	1174018	366986	0	21	1	0	50	125	27728518	2.369841e-03	7.327113e-01
TGFBR3	284037	252	1	3446746	963830	0	27	2	0	12	18	8847566	2.408446e-03	7.327113e-01
HOXB3	946208	524	29	1659024	532776	0	22	2	0	50	125	27728518	2.515162e-03	7.456019e-01
NELL1	45732	989	-19	3397852	832322	0	60	10	0	17	94	11066342	2.529876e-03	7.456019e-01
SPEF2	140884	598	-5	7598802	1900122	0	67	10	0	21	62	15090262	2.639540e-03	7.659538e-01
CNR1	172187	799	37	1851790	547388	0	19	4	0	22	52	14929530	2.747972e-03	7.853372e-01
ARHGEF6	306872	NaN	39	3235996	835694	0	26	5	0	21	34	11460866	2.973785e-03	8.371871e-01
NAV3	23591	1077	-25	9505106	2708278	0	166	28	0	7	103	12149316	3.102182e-03	8.604904e-01
CHRND	279084	156	34	2087830	609770	0	22	4	0	41	77	24427892	3.191765e-03	8.725083e-01
COL19A1	93520	947	15	4734850	1383644	0	69	11	0	25	97	14739012	3.325758e-03	8.961491e-01
GDF10	NaN	NaN	NaN	1833244	603026	0	21	4	0	21	53	15050360	3.469607e-03	9.134453e-01
SPAG7	1416161	231	30	962144	234916	0	10	1	0	50	66	29490950	3.486802e-03	9.134453e-01
GPR101	252008	NaN	13	2003530	569306	0	27	4	0	8	54	13049640	3.608104e-03	9.278127e-01
RNF165	452638	289	33	1403876	401830	0	15	2	0	50	86	28954802	3.640025e-03	9.278127e-01
ELTD1	74049	903	-17	2853274	736220	0	45	6	0	3	18	3143266	3.773926e-03	9.412169e-01
MAX	501431	387	39	1135802	275380	0	10	2	0	17	32	10271674	3.792413e-03	9.412169e-01
FCRL4	232460	820	28	2086144	597968	0	21	4	0	36	114	28692910	3.911844e-03	9.499209e-01
PYHIN1	97254	914	6	2047928	548512	0	34	4	0	9	35	6590574	3.928206e-03	9.499209e-01
RPL5	582788	274	4	1249326	311910	0	8	1	0	50	141	38213752	4.485709e-03	1
NID1	555035	318	19	4988312	1455580	0	50	10	0	18	49	14427664	4.542640e-03	1
FRZB	330424	450	6	1311146	371482	0	12	1	0	47	92	26898444	4.655871e-03	1
BTK	374364	NaN	37	2775156	684516	0	26	4	0	15	35	9663590	4.695701e-03	1
AKR1D1	220333	478	16	1361164	350126	0	13	2	0	50	89	28681670	5.091150e-03	1
CHRDL1	108458	NaN	14	1924288	471518	0	20	2	0	7	26	8944230	5.260838e-03	1
APCS	492825	646	-4	887960	255148	0	15	1	0	50	171	33850384	5.406520e-03	1
LRRIQ3	58597	1188	-18	2582952	622134	0	41	4	0	20	79	10636412	5.413759e-03	1
OR4C3	278638	642	-40	1272930	392838	0	19	3	0	50	181	34503990	5.559524e-03	1
GNG2	204232	471	27	300670	76994	0	5	0	0	50	77	29262778	5.830312e-03	1
MMP13	374035	482	-10	1956322	495122	0	18	2	0	10	28	9495552	5.851675e-03	1
GNG13	1187310	273	39	291116	66316	0	7	0	0	50	148	36784586	5.937939e-03	1
CCL15	779228	525	19	473766	123078	0	9	0	0	50	136	33717190	6.152039e-03	1
C7	211302	644	5	3483838	899762	0	44	5	0	21	55	11300696	6.397017e-03	1
SETD2	593886	365	46	10307642	2804380	0	47	3	0	3	8	4191396	6.432984e-03	1
GDF5	1521661	167	53	1920916	624944	0	16	2	0	48	66	30236724	6.509949e-03	1
PLCB1	85844	872	-34	5242336	1302716	0	58	9	0	8	26	6255622	6.591223e-03	1
MRGPRX3	631291	436	20	1238648	401830	0	10	2	0	31	41	18610068	6.736736e-03	1
P2RX5	504736	354	20	1743886	473204	0	12	0	0	23	39	16734112	6.985416e-03	1
CCDC63	888826	474	46	2348036	582232	0	24	1	0	50	106	36274290	7.064882e-03	1
POTEG	148332	835	-50	2128294	515354	0	54	7	0	3	20	2419972	7.169579e-03	1
LSP1	871765	481	43	1419050	368110	0	16	0	0	43	83	30857172	7.276608e-03	1
KRTAP5-10	586193	626	50	795792	234354	0	13	0	0	40	89	21642620	7.311404e-03	1
SFTPB	1158965	170	43	1603948	463088	0	7	0	0	17	19	11862134	7.359584e-03	1
WDR49	145736	911	-20	2904416	720484	0	41	3	0	6	44	6939014	7.593119e-03	1
UQCRQ	686574	200	66	342258	91044	0	5	0	0	50	69	25319786	7.751929e-03	1
OR51F1	207755	972	-1	1203804	377664	0	19	2	0	19	83	15973726	7.917696e-03	1
PSG11	263820	178	-32	1347676	385532	0	28	6	0	7	84	9391020	8.284161e-03	1
ADAMTS2	1496298	677	-4	4970328	1428042	0	48	6	0	22	57	14591768	8.566086e-03	1
MAGED2	257482	NaN	20	2437956	713178	0	14	0	0	5	2	3262972	8.702722e-03	1
CDKN1B	791330	136	44	800288	219742	0	5	0	0	50	82	32064348	9.137867e-03	1
PNLIP	128161	704	-16	1931032	506924	0	23	3	0	17	106	20419708	9.277607e-03	1
CCL28	500147	320	6	529966	134318	0	6	0	0	50	126	39615942	9.316869e-03	1
HIST1H2BF	394491	544	55	492874	152864	0	6	0	0	50	64	21745466	9.446763e-03	1
ABCG5	544941	480	35	2604308	774436	0	19	4	0	12	44	12737730	9.764345e-03	1
MGAT5B	1010920	228	17	3321420	955962	0	29	4	0	33	68	18741014	9.875588e-03	1
PGBD1	273319	502	35	3293882	850306	0	20	5	0	28	38	13862854	1.025435e-02	1
CORO1C	451218	217	40	1968124	501866	0	12	1	0	50	49	25147252	1.048953e-02	1
DRD2	108041	610	5	1785474	507486	0	29	4	0	15	29	6656328	1.104249e-02	1
HK3	1129866	222	54	3636702	1158282	0	24	6	0	21	50	18061556	1.118063e-02	1
CTCFL	181464	562	10	2740312	685640	0	23	5	0	20	40	11506950	1.123583e-02	1
LCE2B	169158	818	24	441170	127012	0	9	0	0	50	183	31863714	1.124235e-02	1
HIST1H4D	398813	636	53	393962	135442	0	9	1	0	29	56	11915524	1.140973e-02	1
STRA8	425774	594	40	1366784	357994	0	13	0	0	15	30	10924718	1.176446e-02	1
PTEN	259678	300	34	1701736	395648	0	14	0	0	50	89	28791260	1.198564e-02	1
ROPN1L	628188	219	21	944160	254586	0	8	1	0	26	29	16683532	1.209623e-02	1
KLHL6	712779	593	32	2499214	690698	0	19	2	0	12	33	13000746	1.249558e-02	1
TXLNB	192994	504	14	2789768	735658	0	25	2	0	21	45	12747846	1.325356e-02	1
PATE1	607531	493	3	551322	121392	0	7	0	0	50	99	31115692	1.330630e-02	1
DLX5	99426	991	-15	1144232	336076	0	20	1	0	23	121	15098692	1.344306e-02	1
ZCCHC5	263052	NaN	20	1874270	533338	0	33	7	0	4	13	2157518	1.361890e-02	1
SVEP1	211688	369	1	14482740	3901404	0	75	9	0	6	21	9019538	1.362365e-02	1
HTR6	776287	266	32	1634858	609208	0	15	0	0	17	37	14845230	1.367749e-02	1
U2AF1L4	1151198	321	30	984624	180402	0	6	0	0	50	64	30152986	1.384531e-02	1
CYP1A1	746043	199	41	2041746	593472	0	12	2	0	45	66	27962872	1.399234e-02	1
FAM127C	304745	NaN	42	446228	133756	0	7	1	0	29	46	14433284	1.430056e-02	1
LIPG	243067	352	56	2054110	540644	0	13	1	0	50	65	23597818	1.435547e-02	1
KRTAP10-6	874480	461	25	1435348	419252	0	14	2	0	50	129	35738142	1.452582e-02	1
IRF6	220312	429	18	1909676	504676	0	13	1	0	44	71	29723618	1.467810e-02	1
OR2H1	404210	854	21	1208300	395086	0	16	2	0	37	101	21801104	1.470002e-02	1
LCE1F	64902	818	18	466460	133756	0	12	2	0	7	25	3120224	1.483889e-02	1
CYC1	2720766	211	27	1283608	409136	0	10	1	0	31	47	21349818	1.515432e-02	1
USP26	88462	NaN	12	3677166	947532	0	26	2	0	15	35	12072322	1.529009e-02	1
TBX4	312575	408	-11	2173816	638432	0	22	3	0	22	41	14180946	1.532991e-02	1
ZSCAN5B	486579	522	-32	1973182	555818	0	23	5	0	25	64	11646326	1.534998e-02	1
RGS7	134467	834	-27	2091764	491188	0	34	5	0	14	91	11777272	1.536699e-02	1
PIK3CA	401889	613	11	4436428	1105454	0	35	2	0	7	10	3925570	1.562458e-02	1
HEPACAM2	311972	785	12	1947892	530528	0	16	0	0	20	53	17559690	1.566919e-02	1
OR8I2	9992	1007	-32	1208300	363052	0	37	7	0	5	96	7063778	1.567024e-02	1
TFDP1	729832	370	53	1700050	452972	0	13	1	0	47	88	29561762	1.608653e-02	1
HSPA1L	2509866	183	32	2504272	749708	0	14	1	0	31	30	19791392	1.624492e-02	1
PMS1	424679	385	20	3846328	953714	0	19	1	0	18	20	12568006	1.643346e-02	1
VEGFC	145765	585	-14	1726464	443418	0	25	4	0	4	14	3252294	1.661224e-02	1
FTSJ1	726793	NaN	2	1371842	381598	0	9	0	0	28	37	18528016	1.723574e-02	1
WISP1	235882	481	12	1476374	418690	0	15	1	0	18	30	11025878	1.749656e-02	1
C10orf120	321415	530	1	1369032	350688	0	12	2	0	7	6	3137084	1.767786e-02	1
CMKLR1	437015	597	27	1479184	425996	0	23	1	0	8	18	4267828	1.779421e-02	1
DEFB115	562665	594	-29	363052	93854	0	6	1	0	5	8	3061214	1.782963e-02	1
CD5L	116471	778	28	1405000	388904	0	23	3	0	5	30	4750024	1.803372e-02	1
SAMD7	400118	622	17	1802334	505800	0	16	1	0	9	17	5804336	1.803881e-02	1
ODF1	525392	236	55	1011038	265264	0	8	0	0	50	96	35281798	1.808285e-02	1
ZNF235	661800	671	-34	3043230	721608	0	14	1	0	9	7	5993168	1.814995e-02	1
ANGPT4	824412	579	36	2038374	566496	0	16	1	0	11	14	6750182	1.815605e-02	1
DZIP3	172270	941	0	5100712	1230218	0	32	2	0	1	5	3201152	1.827149e-02	1
UCMA	246179	354	35	594596	138814	0	6	0	0	50	72	29829836	1.829863e-02	1
DIRC1	124843	739	-7	418128	119706	0	7	1	0	47	188	33196216	1.852654e-02	1
FDX1L	1802015	191	21	731724	229296	0	6	0	0	50	92	40706222	1.874451e-02	1
BIRC8	427680	921	-46	952028	250090	0	14	1	0	27	96	17116272	1.879329e-02	1
FRMD7	151115	NaN	25	2932516	758138	0	21	3	0	22	39	15340914	1.880094e-02	1
GKN1	338803	222	16	840752	207940	0	9	1	0	50	117	34628754	1.928212e-02	1
ZNF804A	18097	1171	4	4861862	1278550	0	122	19	0	3	40	3038172	2.020693e-02	1
RIT1	2096440	179	32	903696	242784	0	10	2	0	12	50	11707584	2.047066e-02	1
