gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
KRTAP9-9	1149433	468	-14	498162	130062	0	2	0	0	50	27	19340792	0	0
RB1	349930	450	41	2825372	721885	0	16	0	0	50	22	25856980	0	0
TP53	2069567	213	34	1263401	348877	0	380	2	0	26	9	9283073	0	0
NF1	462449	396	26	8527241	2278948	0	31	1	0	24	4	10455676	6.772360e-15	3.193507e-11
BRCA1	1466229	201	27	5654016	1401234	0	18	0	0	30	11	13094953	1.279820e-08	4.827994e-05
TOP2A	1220026	191	23	4666281	1139883	0	20	3	0	50	19	24342862	4.076198e-08	1.281421e-04
CDK12	1409087	239	28	4282230	1269945	0	19	0	0	21	7	9364055	2.981951e-07	8.035080e-04
FLG2	387153	671	6	6763633	2051135	0	49	12	0	25	22	10116615	3.384302e-05	7.979337e-02
MAGEA11	NaN	NaN	NaN	1264219	351740	0	9	1	0	32	21	24339590	1.656283e-04	3.471202e-01
PTEN	259678	300	34	1238452	287936	0	8	0	0	50	26	20953070	3.900878e-04	7.140584e-01
PEG3	NaN	NaN	NaN	4307179	1092848	0	18	1	0	50	43	46640724	4.164268e-04	7.140584e-01
TAS2R1	349235	840	-18	853992	250308	0	8	0	0	50	33	22562076	7.979506e-04	1
C6orf47	2517236	193	20	803276	282619	0	3	0	0	50	15	31553941	1.557861e-03	1
NOTCH4	2119974	392	28	5759538	1764426	0	16	1	0	14	2	7505559	1.575251e-03	1
C1orf85	2266205	211	33	1144791	380370	0	4	1	0	50	14	25443072	2.221822e-03	1
KRAS	259193	512	16	701026	168917	0	6	0	0	50	27	23574760	2.230360e-03	1
CERCAM	1928973	188	64	1729252	521066	0	8	0	0	50	19	27301159	2.572178e-03	1
TM9SF1	974559	220	41	1770152	539062	0	7	0	0	45	8	25627122	2.639823e-03	1
DPF3	317807	599	41	1076897	282619	0	5	0	0	50	17	20345705	2.692208e-03	1
TKTL1	2436137	NaN	14	1759518	496935	0	8	1	0	50	23	32913866	2.915239e-03	1
NRAS	600650	472	11	575463	148467	0	5	0	0	50	29	24160857	3.056204e-03	1
RPL39L	475647	452	36	157056	39264	0	2	0	0	29	15	11690856	3.118729e-03	1
STX16	1026997	504	15	973011	266259	0	5	0	0	50	22	22293772	3.430627e-03	1
NCF2	618153	407	31	1604098	409409	0	7	0	0	50	8	19305618	3.715899e-03	1
CREBBP	637890	242	39	7118645	2021278	0	14	2	0	18	4	9522747	4.421634e-03	1
IL18BP	747702	311	59	621680	163600	0	3	0	0	50	18	19088848	5.016690e-03	1
PPM1F	471638	379	52	1309618	399593	0	7	0	0	50	21	23958402	5.667099e-03	1
SOD1	268523	621	34	462988	127199	0	5	0	0	50	27	17998045	5.795801e-03	1
MAB21L1	NaN	NaN	NaN	1024954	300206	0	7	1	0	32	21	24288056	5.905776e-03	1
PLAC8	361292	169	58	356239	90389	0	2	0	0	50	23	24373128	5.942359e-03	1
LENEP	1612870	224	35	177506	58078	0	2	0	0	50	17	21241006	6.156036e-03	1
PDE4DIP	NaN	NaN	NaN	8472844	2325983	0	23	4	0	50	46	47873859	6.313196e-03	1
C15orf57	892776	192	48	584461	152966	0	3	0	0	50	22	27908933	6.647832e-03	1
PHACTR3	137383	818	-29	1655632	464624	0	9	0	0	50	42	24654520	6.676147e-03	1
AOC2	1631295	190	28	2120665	683030	0	9	2	0	50	22	24566176	7.122449e-03	1
OR4N2	275024	858	-57	866671	265850	0	8	1	0	50	37	20937937	7.196645e-03	1
ZDHHC15	101818	NaN	-11	1121069	272803	0	6	0	0	50	41	31095452	7.984553e-03	1
CCDC80	255516	510	24	2754615	780372	0	11	0	0	28	12	14693325	8.082355e-03	1
ACTG1	3582152	268	26	1090394	318202	0	5	0	0	36	7	16226257	8.155084e-03	1
PAK3	109883	NaN	18	1758291	458898	0	9	0	0	50	31	22774347	8.828366e-03	1
TDGF1	277267	528	52	572600	155011	0	4	0	0	50	23	20428323	9.123694e-03	1
B2M	673122	428	36	362374	96524	0	2	0	0	50	24	23021792	1.012559e-02	1
GJA8	NaN	NaN	NaN	1231499	373417	0	7	2	0	26	13	13674097	1.034485e-02	1
IL21R	228256	597	36	1561971	461352	0	7	1	0	50	27	22248782	1.055426e-02	1
CCNB1IP1	393743	401	-18	822090	215952	0	3	0	0	50	8	22009926	1.080762e-02	1
MYH1	76487	723	-50	5858925	1468719	0	20	4	0	50	47	31182569	1.103718e-02	1
KIFC1	1441897	236	31	1917392	612682	0	8	2	0	50	23	22819746	1.128010e-02	1
ZFAND2A	774288	346	36	456444	100614	0	2	0	0	50	10	21271272	1.146408e-02	1
ABCC3	1585602	196	18	4492047	1382829	0	17	1	0	50	22	27901980	1.179540e-02	1
ARL5B	74299	539	-5	548469	138651	0	4	0	0	50	25	25783360	1.192858e-02	1
EPHX1	925960	168	8	1352563	365237	0	7	2	0	50	24	21656959	1.219379e-02	1
OR52N5	139577	922	2	921477	279756	0	4	0	0	50	19	19661448	1.230088e-02	1
BCL2L1	864206	213	21	672396	193866	0	5	0	0	50	18	19638953	1.269672e-02	1
CDYL	116037	445	26	1599599	435994	0	6	0	0	50	32	25412397	1.304593e-02	1
HOXA7	356045	385	28	662989	192230	0	6	0	0	50	32	26092564	1.332414e-02	1
PCOLCE	1767777	242	60	1287532	410636	0	4	0	0	50	23	25167406	1.336745e-02	1
PSEN2	428197	373	1	1321888	379961	0	5	0	0	50	18	20408691	1.342096e-02	1
MATN1	286775	493	27	1437226	429041	0	5	0	0	50	13	21513400	1.346691e-02	1
MYF5	27810	974	-1	740699	211453	0	6	1	0	50	42	23310955	1.349961e-02	1
SHD	2132502	244	39	996733	285482	0	4	0	0	50	10	23564126	1.355518e-02	1
EIF2S3	528219	NaN	41	1400825	396730	0	4	1	0	50	31	32376849	1.363731e-02	1
SH2D2A	1649536	208	53	1161151	352967	0	4	0	0	50	35	24949409	1.383198e-02	1
TGM3	555761	399	27	2049499	566465	0	6	1	0	50	21	25306875	1.393393e-02	1
UBC	1090586	206	33	1951339	581189	0	11	5	0	39	27	15924415	1.397972e-02	1
OR10S1	107524	830	-5	925158	296934	0	5	0	0	50	22	22582117	1.433569e-02	1
