gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
CDKN2A	225405	357	-15	419760	109296	0	39	1	0	38	10	7522064	0	0
RAP2B	59808	598	-2	225456	66000	0	3	0	0	50	22	11141504	0	0
TP53	2069567	213	34	543664	150128	0	111	0	0	50	14	9121200	0	0
KRAS	259193	512	16	301664	72688	0	121	3	0	0	3	72688	3.219647e-15	1.214580e-11
SMAD4	156084	422	41	706464	190608	0	40	0	0	50	12	12261744	3.219647e-15	1.214580e-11
RNF43	782135	399	22	956384	302368	0	13	1	0	50	28	14447312	5.436943e-10	1.709194e-06
LCE4A	169158	818	24	126544	33968	0	3	0	0	50	7	9978672	2.811420e-06	7.575573e-03
TGFBR2	80018	417	-9	753280	200816	0	10	0	0	50	24	10734240	3.837865e-05	9.048725e-02
FBXW7	117295	501	51	1074304	287936	0	6	0	0	50	16	11869264	1.672623e-03	1
STK11	2214581	234	29	553696	152768	0	4	0	0	50	17	10127744	1.883005e-03	1
PMEPA1	197938	488	15	360976	106832	0	6	1	0	50	18	8486016	2.013116e-03	1
HIST1H1B	228884	634	40	272976	88704	0	3	0	0	50	8	7318960	2.880098e-03	1
KDM6A	59340	NaN	36	1796432	483472	0	7	0	0	9	3	2805968	3.588685e-03	1
KCNA6	277089	903	16	634304	205216	0	8	1	0	50	17	9875008	4.177905e-03	1
GPX5	247624	576	27	294096	67056	0	4	0	0	50	17	11377168	4.455158e-03	1
PRTFDC1	164255	142	18	303424	72512	0	3	0	0	50	16	9827664	5.034805e-03	1
ARID1A	975965	182	27	2815648	845504	0	13	0	0	8	5	3546576	7.372622e-03	1
POM121L12	10922	1116	-24	353232	118272	0	5	1	0	40	18	8443952	7.909033e-03	1
RREB1	664661	310	35	2133296	648736	0	10	3	0	50	14	10737760	8.515053e-03	1
SNRPE	527029	280	26	128304	28512	0	2	0	0	50	9	7450960	8.957372e-03	1
PRSS1	285408	636	11	315744	87648	0	4	1	0	16	8	3325872	1.025677e-02	1
PLD5	75320	854	-18	580272	143616	0	5	0	0	50	20	10308496	1.072234e-02	1
KLHL38	517269	192	22	724768	203456	0	4	0	0	50	6	9524592	1.083806e-02	1
RYBP	102513	607	32	277728	75504	0	2	0	0	50	15	11505648	1.092073e-02	1
ATP5G3	343228	752	28	179520	56496	0	3	0	0	50	15	11225632	1.130668e-02	1
SGCZ	3398	1175	-34	397584	112992	0	2	0	0	50	19	9741248	1.168491e-02	1
PCDHB7	915569	724	-11	943184	314512	0	10	3	0	50	36	11883696	1.362561e-02	1
MRPL48	553005	214	42	281072	72160	0	4	0	0	50	10	9237008	1.446382e-02	1
MAP2K4	45834	583	-52	521488	134288	0	4	0	0	50	26	10658560	1.601176e-02	1
GPR21	NaN	NaN	NaN	431904	121968	0	3	0	0	50	37	19722032	1.614545e-02	1
ENY2	135626	732	20	139392	31680	0	1	0	0	50	40	23671648	1.617218e-02	1
KLK15	655673	589	25	319616	96976	0	5	0	0	50	21	12183600	1.625050e-02	1
