gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
CABP5	993450	433	26	451656	81672	0	2	0	0	50	26	17488140	0	0
CD68	1957426	194	24	857064	210576	0	2	0	0	50	20	15894552	0	0
ENO1	800628	171	28	1110444	216972	0	3	0	0	50	14	14926788	0	0
HHEX	359162	317	17	672564	141204	0	3	0	0	50	13	16945464	0	0
MAGOH	545236	258	25	395568	56088	0	2	0	0	50	14	12804792	0	0
MYL6	2878044	171	40	434436	70356	0	2	0	0	50	11	14993700	0	0
PARVG	201266	327	30	870348	156948	0	5	0	0	50	12	13543776	0	0
PSG11	263820	178	-32	836892	174660	0	2	0	0	50	23	13638732	0	0
PTEN	259678	300	34	1073544	150552	0	19	0	0	50	8	12354612	0	0
RYBP	102513	607	32	553992	104304	0	7	0	0	50	15	16302420	0	0
SNRNP27	844060	221	37	400488	81672	0	2	0	0	50	19	12513528	0	0
SPOP	943930	348	28	978096	164328	0	62	0	0	50	9	13436028	0	0
TMEM211	363566	415	-21	318324	75276	0	2	0	0	50	18	14061852	0	0
TP53	2069567	213	34	1079448	213528	0	66	0	0	37	10	10429416	0	0
XCL1	389559	440	15	282408	66912	0	2	0	0	50	16	12477612	0	0
CTNNB1	305811	448	8	1951272	416232	0	12	0	0	45	11	11276640	1.331105e-05	1.569206e-02
FOXA1	67481	487	-58	1131600	268632	0	33	4	0	6	9	1272804	1.577937e-04	1.750768e-01
CDKN1B	791330	136	44	501348	93972	0	7	0	0	50	11	14421012	2.002683e-04	2.098589e-01
ATM	415837	582	16	7999428	1268868	0	22	2	0	50	17	15746460	4.160681e-04	4.130461e-01
LCE2D	169158	818	24	276996	54612	0	4	0	0	50	15	13746480	9.032078e-04	8.518152e-01
CLEC1A	396940	445	-1	730620	120540	0	5	0	0	45	6	12159288	1.121928e-03	1
FILIP1	441614	325	19	3046956	556452	0	7	0	0	50	4	12735420	3.598202e-03	1
BRAF	305191	616	25	1937496	395568	0	8	0	0	43	21	14702928	4.766787e-03	1
SLC10A2	199120	713	24	860508	189420	0	4	0	0	50	42	32465112	4.891850e-03	1
OR10R2	177013	929	7	812292	178596	0	4	0	0	50	19	13946724	5.224952e-03	1
OR10G8	158396	830	-10	740460	180564	0	8	0	0	50	39	16325544	6.693410e-03	1
NTM	9703	1115	-5	968748	207132	0	8	0	0	50	28	16028868	6.694530e-03	1
NKX3-1	378220	544	16	570720	128904	0	4	0	0	50	16	16989252	6.846683e-03	1
ZMYM3	728738	NaN	25	3467616	691752	0	13	0	0	50	20	21903840	9.817212e-03	1
TLK1	439214	379	38	2049180	338988	0	5	1	0	50	11	15363192	1.043025e-02	1
C10orf99	216191	860	-17	204180	47724	0	2	0	0	50	20	17196384	1.068747e-02	1
SMAD4	156084	422	41	1403184	268632	0	8	0	0	50	19	16983840	1.072148e-02	1
CSDC2	1467336	183	66	368508	93972	0	3	0	0	50	17	15020268	1.090461e-02	1
RHOA	1623187	201	33	497904	90528	0	2	0	0	50	8	13812900	1.165979e-02	1
IDH1	260367	539	17	1074528	182040	0	6	0	0	50	16	15787296	1.170534e-02	1
CDK12	1409087	239	28	3681144	771456	0	16	1	0	50	22	15351384	1.226280e-02	1
HOXB13	727820	415	24	682896	162360	0	4	0	0	50	23	20075568	1.277690e-02	1
CD5L	116471	778	28	876252	170724	0	5	1	0	15	4	4159368	1.286852e-02	1
LILRB5	717623	458	-6	1454352	340464	0	9	1	0	50	25	12810204	1.365592e-02	1
RP1	148553	735	-8	5456772	922500	0	15	4	0	50	20	14298012	1.380615e-02	1
HIST1H3G	390169	544	57	325212	81180	0	4	0	0	50	9	9491172	1.393054e-02	1
OR4C6	1295	1091	-20	751776	161376	0	5	1	0	49	24	12122880	1.437769e-02	1
OR2T3	112460	903	-20	770472	171216	0	3	0	0	50	20	14891364	1.449553e-02	1
LINGO2	8941	927	-34	1489284	306516	0	7	0	0	50	26	13443900	1.486967e-02	1
GPR87	NaN	NaN	NaN	905280	164328	0	4	0	0	50	40	27813252	1.773405e-02	1
FGF16	547612	NaN	-7	291264	56088	0	2	0	0	50	26	13403556	1.796729e-02	1
MYL6B	2878044	171	40	542184	102336	0	2	0	0	50	11	14993700	1.827876e-02	1
PYHIN1	97254	914	6	1280184	235176	0	4	0	0	50	13	11943300	1.845688e-02	1
ARSF	217524	NaN	-11	1484364	299628	0	6	0	0	50	22	15746460	1.913600e-02	1
ABHD8	842088	211	43	1055832	258792	0	4	1	0	50	9	15613128	1.955430e-02	1
HSPA8	709511	307	8	1618680	322752	0	7	0	0	45	34	16653216	1.977037e-02	1
OR5D16	4214	1074	-46	802944	166296	0	4	1	0	29	10	7902012	2.054451e-02	1
MSGN1	135007	1245	10	462972	108732	0	2	0	0	50	8	15520632	2.083267e-02	1
DEGS2	405420	237	39	784740	181548	0	6	0	0	50	12	13002084	2.106179e-02	1
KCNE3	633655	283	23	255348	55596	0	2	0	0	50	20	15930960	2.136957e-02	1
SMARCA1	278446	NaN	-7	2754216	454608	0	8	0	0	50	15	14298996	2.204427e-02	1
LCE1D	64902	818	18	288804	56580	0	3	0	0	50	20	14475624	2.257385e-02	1
OR10J1	347588	699	-5	777852	173676	0	5	0	0	50	18	12037764	2.303577e-02	1
PPP2R2B	309460	509	1	1275756	204180	0	6	0	0	50	16	16966128	2.323609e-02	1
LCE1F	64902	818	18	291264	59040	0	3	0	0	50	20	14475624	2.338673e-02	1
RPL7	259225	340	19	650424	109224	0	2	0	0	50	11	15185580	2.401151e-02	1
CUL3	255624	463	20	1996044	333084	0	5	0	0	38	10	11547240	2.425138e-02	1
SERPINB5	200746	166	24	969732	163836	0	4	0	0	50	15	13088184	2.441894e-02	1
UBLCP1	126518	284	33	847716	133332	0	3	0	0	50	9	13385844	2.464154e-02	1
HIST1H4B	408919	685	43	242064	66912	0	3	0	0	50	20	11834568	2.466618e-02	1
EPB41L3	57432	1036	-5	2749788	548580	0	12	1	0	42	14	10835316	2.494673e-02	1
CA8	206353	885	-14	752268	138252	0	5	0	0	50	17	15871920	2.550178e-02	1
IFNA17	193208	498	-3	476748	86100	0	2	0	0	50	16	12841692	2.606833e-02	1
CARD16	NaN	NaN	NaN	533328	88560	0	2	0	0	50	40	27737484	2.712796e-02	1
LPPR5	37516	947	-17	798516	171708	0	5	1	0	50	22	13778952	2.745954e-02	1
BANF2	594840	432	1	259776	41328	0	2	0	0	50	19	12267528	2.772384e-02	1
MYCT1	188249	600	-9	572196	130380	0	4	0	0	50	28	18156768	2.802156e-02	1
CYP2C8	318306	717	-10	1254600	228288	0	5	0	0	50	24	15048804	2.857926e-02	1
CD83	210380	594	40	521028	102828	0	2	0	0	50	10	12660144	2.870318e-02	1
HIST1H2BG	390169	544	57	308484	69372	0	2	0	0	50	9	9491172	3.005267e-02	1
C19orf10	921603	203	35	441816	93480	0	3	0	0	50	18	15322848	3.086899e-02	1
OC90	100916	999	6	1223604	238620	0	5	1	0	50	28	16224192	3.095233e-02	1
P2RY14	130485	632	8	846732	157932	0	3	0	0	50	11	14557788	3.162132e-02	1
LRRC15	344707	269	34	1428276	315372	0	5	0	0	50	12	11858184	3.172462e-02	1
SPRR2E	687290	704	30	185976	33456	0	1	0	0	50	8	15120636	3.191600e-02	1
DCDC1	84163	938	-25	911184	164328	0	6	0	0	50	38	15896028	3.209236e-02	1
AURKAIP1	1736268	273	28	485604	119556	0	2	0	0	50	17	15239208	3.300788e-02	1
B3GAT3	2695768	217	42	795072	214512	0	3	0	0	50	12	17155056	3.304205e-02	1
RAG1	97499	412	-17	2610060	475764	0	9	0	0	27	5	7817880	3.315978e-02	1
ITIH2	199302	528	-8	2435400	438864	0	6	1	0	50	15	16229604	3.345096e-02	1
MS4A5	383569	899	18	518568	94464	0	2	0	0	50	11	12779208	3.352479e-02	1
TUBA3C	193250	922	-15	1115364	235668	0	5	0	0	50	14	12543540	3.384194e-02	1
IL6ST	317374	438	51	2359632	412296	0	6	0	0	50	12	15920136	3.389284e-02	1
C17orf78	498943	171	21	706020	134316	0	3	0	0	50	14	14935152	3.413178e-02	1
ORMDL1	398590	452	25	388188	78228	0	2	0	0	50	21	17325288	3.419170e-02	1
OR4D5	107524	830	-5	762600	179088	0	5	0	0	50	25	13448328	3.421093e-02	1
C4orf51	221010	1168	26	523488	95448	0	2	0	0	50	17	13979688	3.424725e-02	1
NALCN	47011	804	5	4485564	817212	0	11	1	0	29	6	9559560	3.428916e-02	1
PIK3CA	401889	613	11	2787672	446736	0	11	3	0	50	28	14895300	3.525705e-02	1
PIWIL1	224466	621	-26	2223840	399504	0	7	1	0	50	24	17940288	3.601276e-02	1
C3orf62	1661046	201	34	682896	116112	0	3	0	0	50	9	14813136	3.707720e-02	1
OR6N2	103627	985	1	772440	165312	0	4	0	0	50	27	14193708	3.735571e-02	1
DPM1	386595	367	36	678468	123492	0	2	1	0	42	10	12081060	3.738725e-02	1
KRT25	836683	269	-10	1133568	227304	0	6	1	0	50	21	11728788	3.778644e-02	1
CA2	100997	1460	-18	674040	120048	0	3	0	0	50	22	13862100	3.791522e-02	1
GSTO1	293891	376	8	636156	101844	0	2	0	0	50	16	13839468	3.839580e-02	1
BIRC5	683401	191	24	527916	79212	0	2	0	0	50	13	16649280	3.854285e-02	1
CLEC1B	305376	565	19	610572	90036	0	3	0	0	50	8	17757756	3.887550e-02	1
TIMM22	1306390	270	27	482160	107256	0	3	0	0	50	13	13730244	4.075349e-02	1
RTP1	425258	445	28	659772	125460	0	3	0	0	50	26	17093064	4.147895e-02	1
TAF1D	290677	527	0	733080	110208	0	3	0	0	50	16	13553124	4.201538e-02	1
A1CF	113129	613	19	1601952	324720	0	8	0	0	50	17	13899984	4.268069e-02	1
OR5A1	430021	507	-1	756696	176136	0	3	1	0	50	17	14102688	4.284570e-02	1
IFNA16	193208	498	-3	479700	83148	0	3	0	0	50	16	12841692	4.324791e-02	1
SCTR	211577	497	30	1124712	224352	0	4	0	0	50	10	14941548	4.347884e-02	1
PDP1	319459	423	5	1486332	281916	0	4	0	0	50	8	12596676	4.395221e-02	1
RAB5C	2150553	206	33	552024	108240	0	4	0	0	50	31	15963432	4.425067e-02	1
TSSK2	487560	277	18	883632	176136	0	4	0	0	50	12	13816836	4.437786e-02	1
AADACL4	145424	454	23	1006140	210084	0	6	1	0	50	18	13626432	4.445763e-02	1
ETV3	895723	423	31	1281168	278472	0	5	0	0	50	16	13460628	4.477492e-02	1
POM121L12	10922	1116	-24	694212	184500	0	8	0	0	11	5	3293448	4.485133e-02	1
LTBR	2686552	198	48	1084368	238128	0	3	0	0	50	18	19329204	4.523498e-02	1
GSTA2	539666	498	11	586956	94956	0	2	0	0	50	13	14808216	4.596929e-02	1
LCE1A	62450	804	15	273060	53628	0	2	0	0	50	25	13099500	4.631683e-02	1
OR4A15	1067	1102	-42	845256	172200	0	3	0	0	50	29	13593468	4.656572e-02	1
VHL	825905	170	39	522996	116604	0	3	0	0	50	17	12493356	4.733593e-02	1
FBXO46	929036	203	43	1411548	375396	0	5	0	0	50	9	16074132	4.737138e-02	1
PASD1	153115	NaN	3	2013264	330624	0	6	1	0	50	13	15040440	4.803139e-02	1
CD200R1L	240755	616	6	680436	142188	0	3	0	0	50	13	15106368	4.884529e-02	1
SCN10A	304612	680	21	4912620	968748	0	7	3	0	38	5	13743036	4.921608e-02	1
PLCB4	77680	715	-57	3226044	482652	0	9	0	0	50	29	15887664	4.923505e-02	1
IFNA13	232155	466	-14	484620	83148	0	2	0	0	50	14	12697044	5.078821e-02	1
KRT78	1781225	288	27	1309212	262236	0	6	1	0	50	15	13786332	5.149822e-02	1
PKN1	954144	204	43	2362092	548580	0	5	0	0	40	4	13370592	5.276120e-02	1
BDKRB1	326763	501	16	855588	195324	0	2	0	0	50	12	14770332	5.329256e-02	1
GIGYF2	325071	328	35	3434160	580560	0	5	0	0	50	3	12361500	5.357544e-02	1
GRM1	92600	941	-13	2986440	634680	0	9	1	0	39	12	13218564	5.358510e-02	1
MAP2K4	45834	583	-52	1040088	182040	0	5	1	0	50	26	14860860	5.387608e-02	1
FAM71B	166999	1198	18	1474032	320784	0	4	1	0	50	11	13511796	5.448882e-02	1
DBH	765804	481	31	1544880	324720	0	6	1	0	50	14	17906340	5.490546e-02	1
LHX3	799089	244	42	1045500	245508	0	5	0	0	50	14	16646328	5.565473e-02	1
PFN2	622464	490	17	441324	83148	0	4	0	0	50	18	13562472	5.571069e-02	1
FSCN3	411207	619	-7	1242300	252396	0	6	0	0	50	10	10246392	5.580591e-02	1
TSPAN7	99411	NaN	23	635664	131856	0	3	0	0	50	17	12088932	5.619284e-02	1
MOGAT2	528291	418	45	836400	171216	0	3	0	0	50	18	17095524	5.619332e-02	1
FGF7	273513	370	-7	501348	82164	0	3	0	0	50	16	13739100	5.630360e-02	1
IL7	52129	920	6	482160	62976	0	2	0	0	29	5	7921200	5.645440e-02	1
OR6K6	103627	985	1	840828	174660	0	3	1	0	50	27	14193708	5.690138e-02	1
ZNF485	310272	630	-6	1145376	175152	0	5	0	0	50	13	13934916	5.825527e-02	1
CDKL2	485383	451	31	1293468	208116	0	6	0	0	50	26	15626904	5.839877e-02	1
GPR32	652250	593	27	845748	207132	0	4	0	0	50	31	16062816	5.849651e-02	1
C19orf47	1006719	289	35	868380	210084	0	4	0	0	50	22	15554088	5.861146e-02	1
CCR1	211405	639	48	875760	179088	0	3	0	0	50	10	10671480	5.883534e-02	1
UGT2A3	NaN	NaN	NaN	1336272	244032	0	3	0	0	50	40	27892956	5.951165e-02	1
TBXA2R	2164055	269	35	976128	286344	0	7	1	0	50	24	14647332	6.000396e-02	1
HPD	829168	195	44	1037136	182040	0	3	0	0	50	9	14015112	6.041868e-02	1
CLCNKB	886121	197	43	1822368	427056	0	5	1	0	50	8	14400348	6.061971e-02	1
GZMH	897577	582	3	618936	127920	0	3	0	0	50	38	15606732	6.133386e-02	1
CTNNAL1	337834	433	14	1903548	338988	0	6	1	0	50	14	12527796	6.199257e-02	1
TUSC2	843769	206	51	268632	66912	0	1	0	0	50	8	14654220	6.209202e-02	1
OR10J3	285980	737	-6	795072	177120	0	3	0	0	50	25	16943988	6.224228e-02	1
TMEM167B	989913	215	18	191880	39360	0	1	0	0	50	13	12224232	6.309029e-02	1
IRAK3	239871	696	4	1551276	256332	0	4	1	0	50	18	14708832	6.339947e-02	1
STAT4	529053	318	19	1979808	320784	0	5	0	0	50	11	14912028	6.344773e-02	1
EPHB1	74866	856	9	2462952	503808	0	7	3	0	50	26	16288644	6.425519e-02	1
MYOT	946917	396	47	1265424	239112	0	5	0	0	50	20	16819512	6.452261e-02	1
SNRPD2	950605	194	45	306024	55104	0	1	0	0	50	7	13494084	6.453545e-02	1
METTL14	238966	636	31	1185228	203196	0	3	0	0	50	5	10242948	6.455986e-02	1
HFM1	263616	615	-10	3790860	597780	0	10	1	0	50	20	15544248	6.463823e-02	1
HRCT1	853975	298	55	271092	73308	0	1	0	0	50	6	12120912	6.474874e-02	1
HRAS	1970020	236	42	540216	108240	0	4	1	0	36	20	10735440	6.551504e-02	1
SNRPA1	372683	406	2	663216	125952	0	2	0	0	50	11	13979196	6.678886e-02	1
NDST4	26862	1055	-20	2233680	392616	0	9	2	0	30	17	8243460	6.724210e-02	1
KDM6A	59340	NaN	36	3587664	661248	0	11	2	0	47	20	13873416	6.724730e-02	1
ZMYND12	571804	519	24	955956	152028	0	4	0	0	50	14	13461612	6.731806e-02	1
ATOH1	58522	802	24	848700	199260	0	3	0	0	50	11	12897780	6.741787e-02	1
LCE5A	325831	700	20	295692	59532	0	1	0	0	50	15	18936588	6.750033e-02	1
DLX3	1160590	191	12	702084	155964	0	3	0	0	26	12	7270776	6.862909e-02	1
CD160	NaN	NaN	NaN	467892	85116	0	2	0	0	50	40	27734040	6.868447e-02	1
GNGT1	228127	480	-12	201228	30012	0	1	0	0	50	19	14520888	6.869549e-02	1
IRF4	208360	631	48	1159152	206640	0	5	1	0	41	8	8903232	6.906039e-02	1
ZNF679	NaN	NaN	NaN	1075020	158916	0	4	0	0	50	40	27807840	6.916397e-02	1
AKR1A1	873800	161	27	825576	170232	0	2	0	0	50	16	15316944	6.916543e-02	1
C2orf73	659505	429	8	735540	132348	0	4	0	0	50	20	13444392	6.935372e-02	1
KRTAP3-3	977588	404	10	239112	55104	0	1	0	0	50	8	9828192	6.948774e-02	1
MOAP1	325787	222	35	871332	167772	0	4	0	0	50	16	12254244	6.972977e-02	1
ATP6V1C2	744427	428	42	1106508	208116	0	3	0	0	50	16	17089128	6.995525e-02	1
OR9I1	NaN	NaN	NaN	762108	167772	0	2	0	0	50	40	27816696	7.000306e-02	1
MOSPD3	1884430	247	60	560388	155964	0	3	0	0	50	17	16745220	7.012583e-02	1
MRGPRX1	561250	695	15	775392	180072	0	4	1	0	50	20	13299252	7.024241e-02	1
ITPRIP	293891	376	8	1337256	284376	0	5	0	0	50	16	13839468	7.082572e-02	1
REG3G	21996	1408	-29	457560	81672	0	3	0	0	50	35	16045104	7.089380e-02	1
ZNF827	110708	1103	30	2714364	521028	0	5	1	0	50	12	15774504	7.112947e-02	1
DIRC2	423454	412	37	1160628	284868	0	4	0	0	50	13	14817072	7.133149e-02	1
PARK7	387339	207	26	479208	105288	0	2	0	0	50	25	17375964	7.207691e-02	1
AGA	44980	837	-8	878220	177612	0	4	0	0	50	29	16395900	7.228764e-02	1
RPL11	960799	225	28	470352	81672	0	3	0	0	50	24	14626668	7.308803e-02	1
PLAA	116221	568	-17	2025564	378348	0	7	0	0	50	18	17261820	7.363313e-02	1
RPL37	212186	526	19	249936	53136	0	1	0	0	50	10	13202820	7.366326e-02	1
PRSS48	203766	298	16	811800	173184	0	3	0	0	50	7	10499772	7.368563e-02	1
CES1	317734	581	-28	1437624	293232	0	3	0	0	50	17	16146456	7.376878e-02	1
PDLIM5	137154	349	18	1623108	341940	0	4	0	0	50	7	13479816	7.385557e-02	1
GDAP2	204311	596	-6	1319544	244032	0	3	0	0	50	13	15458640	7.446914e-02	1
HOXC4	1185281	279	54	658788	133332	0	4	0	0	50	19	13621020	7.466722e-02	1
LCE4A	169158	818	24	253380	45756	0	1	0	0	50	15	13746480	7.474253e-02	1
CHRNA6	594393	454	34	1248204	234684	0	6	0	0	50	14	18122328	7.476389e-02	1
FAM83B	25624	495	-15	2540688	464448	0	6	1	0	50	15	16441164	7.505451e-02	1
WDR49	145736	911	-20	1819416	296184	0	5	1	0	50	24	15050772	7.506330e-02	1
RSPO2	187803	942	-9	645504	90528	0	4	0	0	50	15	14207484	7.527786e-02	1
JUND	1178047	210	43	802452	224844	0	3	0	0	50	15	16068228	7.550953e-02	1
CAMK1	954590	264	39	1066164	170724	0	3	0	0	50	20	18765372	7.559769e-02	1
COL11A1	37620	742	-20	4633164	1115364	0	16	3	0	19	7	5873988	7.620285e-02	1
SP3	296444	376	27	1909452	422628	0	3	0	0	50	9	15155076	7.659156e-02	1
SNRPG	671278	370	38	212052	29028	0	1	0	0	50	25	18056892	7.714439e-02	1
ANAPC5	959300	258	39	1952748	341940	0	5	0	0	50	16	18116424	7.743786e-02	1
