gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
SERP1	503198	347	15	224840	51040	0	2	0	0	50	325	28358880	0	0
TP53	2069567	213	34	1359160	375320	0	83	8	0	14	66	4253480	0	0
CDKN2A	225405	357	-15	1049400	273240	0	61	8	0	5	29	1561560	1.110223e-16	6.980342e-13
NRAS	600650	472	11	619080	159720	0	131	1	0	9	46	3457960	3.330669e-16	1.570577e-12
BRAF	305191	616	25	2441120	688600	0	286	14	0	2	46	1710280	1.443290e-15	5.444667e-12
PTEN	259678	300	34	1332320	309760	0	45	0	0	0	0	309760	2.199005e-07	6.912938e-04
B2M	673122	428	36	389840	103840	0	9	1	0	11	72	6754440	1.973195e-05	5.316916e-02
DDX3X	627364	NaN	54	2159520	550440	0	38	3	0	3	29	2888600	3.093274e-05	7.293167e-02
NF1	462449	396	26	9173560	2451680	0	109	25	0	3	32	3327280	2.860040e-04	5.994009e-01
RBM46	73501	1021	-18	1684760	451000	0	44	5	0	3	12	1932920	3.505874e-04	6.612780e-01
HIST1H2AA	272695	635	29	395560	132440	0	19	3	0	27	186	11879560	5.720137e-04	9.808474e-01
PRB2	175992	673	-18	1231560	438240	0	75	5	0	1	5	776160	1.442935e-03	1
PPIAL4G	119504	375	34	518760	137280	0	17	2	0	21	113	10416560	1.462567e-03	1
ARID2	820796	602	10	5698000	1678160	0	106	18	0	0	18	1678160	1.521865e-03	1
PARM1	175795	775	18	935880	311520	0	35	4	0	24	112	8478360	1.803060e-03	1
RAC1	NaN	NaN	NaN	679800	191400	0	30	2	0	1	4	682440	2.338955e-03	1
ATAD2B	233701	431	27	4689960	1230240	0	30	3	0	4	3	3589080	3.441194e-03	1
SULT1E1	9735	1009	4	985160	220000	0	29	7	0	11	208	10080400	5.145717e-03	1
ALDH18A1	369001	454	26	2517240	724680	0	28	4	0	6	21	4094200	6.801706e-03	1
CTNNB1	305811	448	8	2462240	713680	0	31	2	0	5	12	2236080	7.474913e-03	1
RB1	349930	450	41	3039520	776600	0	26	8	0	4	13	2392280	7.718437e-03	1
KRTDAP	827597	367	29	336160	91520	0	10	1	0	50	311	23809280	8.027018e-03	1
LUZP2	1913	1282	-32	1147080	285120	0	44	9	0	6	48	2466640	8.758775e-03	1
PHKA1	385429	NaN	18	3936680	1074040	0	90	21	0	7	31	2479400	9.203555e-03	1
ZNF691	803442	334	27	892760	241120	0	10	0	0	11	58	8398720	1.075086e-02	1
ZSWIM2	278175	629	-5	2045560	509960	0	62	10	0	8	68	4647720	1.141215e-02	1
MPP7	245887	473	-2	1892880	471240	0	64	11	0	4	59	3488760	1.158161e-02	1
UGT2A1	19584	1065	-8	1674200	445720	0	46	6	0	3	29	2056120	1.206672e-02	1
PPP6C	951081	168	46	1095600	299640	0	32	5	0	3	9	851840	1.272379e-02	1
AMTN	264427	861	27	665280	208560	0	22	4	0	4	14	1434840	1.833108e-02	1
GDA	285414	207	11	1483240	387200	0	28	5	0	23	103	10501040	1.906695e-02	1
IGFL2	1177162	249	28	450120	114840	0	14	2	0	8	41	3978480	2.070825e-02	1
HNRNPA2B1	915230	445	43	1168200	291720	0	14	1	0	4	5	2165680	2.537911e-02	1
CDK4	1160849	344	39	946000	294800	0	15	1	0	15	78	7948600	2.960511e-02	1
LY6G6D	2517236	193	20	414920	126280	0	6	0	0	4	2	2324520	3.098452e-02	1
THOC2	333292	NaN	4	5253600	1261920	0	53	4	0	1	4	1694880	3.192826e-02	1
