gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
KRAS	259193	512	16	536716	81532	0	43	0	0	50	128	12531948	0	0
NEDD8	944836	220	40	190968	34880	0	2	0	0	50	117	14486100	0	0
RHOA	1623187	201	33	441232	80224	0	25	0	0	50	88	12240700	0	0
TP53	2069567	213	34	956584	189224	0	243	3	0	28	59	6142368	1.887379e-15	8.899936e-12
PIK3CA	401889	613	11	2470376	395888	0	96	5	0	50	141	13199900	1.118994e-12	4.221292e-09
ARID1A	975965	182	27	4930288	1116160	0	152	6	0	3	33	3770092	1.289359e-09	4.053315e-06
SMAD4	156084	422	41	1243472	238056	0	38	3	0	14	34	2788220	7.882967e-08	2.124122e-04
CDH1	924096	240	30	1952408	409840	0	47	4	0	6	14	1733536	2.475441e-06	5.362718e-03
OR5M3	NaN	NaN	NaN	671440	132544	0	24	2	0	41	230	20243916	2.558820e-06	5.362718e-03
CYP7B1	8894	1018	22	1145808	197944	0	22	2	0	50	113	13022012	3.591800e-06	6.774853e-03
RNF43	782135	399	22	1679472	399376	0	53	1	0	4	6	1530360	5.892146e-06	1.010342e-02
PTEN	259678	300	34	951352	133416	0	48	4	0	10	21	1508124	2.458929e-05	3.865027e-02
EDNRB	63780	954	31	1079972	207100	0	50	6	0	7	38	2071000	5.026487e-05	7.293046e-02
ACVR2A	90992	951	-2	1176764	202740	0	54	1	0	4	16	1254808	8.365094e-05	1.127017e-01
CDH11	23628	1085	-56	1773648	346184	0	45	5	0	16	66	4005968	1.405075e-04	1.766835e-01
IRF2	207866	400	55	799188	144316	0	30	2	0	50	109	12348828	1.544847e-04	1.821181e-01
PLOD2	118043	471	-12	1757516	294300	0	21	0	0	4	1	1862156	2.225786e-04	2.469576e-01
TLR4	58763	944	-8	1883520	320896	0	32	4	0	32	129	8590072	3.231460e-04	3.386211e-01
GPSM3	2119974	392	28	347056	88072	0	19	0	0	50	170	15322784	3.773759e-04	3.746349e-01
MAP2K7	952640	320	27	947864	187480	0	41	0	0	21	68	6146728	7.858900e-04	7.411729e-01
MYCT1	188249	600	-9	507068	115540	0	12	1	0	50	144	16090144	1.403366e-03	1
ERBB3	2693176	215	38	3089932	630020	0	60	5	0	21	49	5563796	1.425013e-03	1
OR52E8	203856	922	-5	678852	151292	0	20	1	0	50	112	10331020	1.760226e-03	1
FAM19A2	136152	930	-44	302148	56244	0	12	0	0	50	180	10291344	2.176174e-03	1
OR10J3	285980	737	-6	704576	156960	0	17	4	0	8	40	3638420	2.485183e-03	1
CHRNA6	594393	454	34	1106132	207972	0	16	1	0	18	20	4486440	2.502939e-03	1
FCRL3	180228	829	21	1629768	341824	0	29	5	0	45	118	11404016	2.646018e-03	1
CD1E	135429	902	5	877232	157832	0	13	1	0	50	105	10074652	2.939527e-03	1
OR2AK2	NaN	NaN	NaN	715912	162192	0	14	2	0	41	230	20273564	2.951185e-03	1
OR10K1	177013	929	7	660976	158704	0	12	4	0	8	21	1931916	4.342909e-03	1
OR2T12	18846	936	-35	684084	154780	0	22	1	0	17	60	3210268	4.622481e-03	1
KCNMB2	144490	882	-8	532792	98536	0	13	2	0	3	13	1227340	4.863144e-03	1
CTNNB1	305811	448	8	1729176	368856	0	35	5	0	9	21	2423288	5.284421e-03	1
IAPP	NaN	NaN	NaN	200996	41420	0	6	0	0	50	272	24543312	6.034141e-03	1
DAO	494991	393	49	784364	160884	0	19	1	0	50	121	15008428	6.176287e-03	1
LRRK2	31336	994	12	5838476	949172	0	77	16	0	33	146	10399908	6.532330e-03	1
OR51A7	65798	1006	-15	678852	138212	0	11	1	0	13	24	2581120	6.881517e-03	1
CRX	881316	336	39	637868	157396	0	14	0	0	37	72	9897200	7.021305e-03	1
B2M	673122	428	36	276424	49704	0	34	2	0	1	4	230644	8.091845e-03	1
GRXCR1	32225	966	18	649640	122080	0	19	2	0	50	131	12672776	8.716440e-03	1
SAMSN1	157937	898	56	871128	133416	0	15	2	0	50	84	9876272	8.774362e-03	1
CASP8	571730	386	37	1339392	185736	0	25	0	0	37	77	8684248	1.123724e-02	1
AQP8	189953	551	12	557644	146932	0	13	1	0	50	124	13720048	1.131544e-02	1
ZNF804B	3101	1030	-20	3054616	485704	0	46	7	0	15	35	3089932	1.171314e-02	1
CTCF	1074126	147	45	1666392	272936	0	26	3	0	23	44	6911908	1.177193e-02	1
OR10A4	427462	681	8	676236	153908	0	15	5	0	13	44	2951284	1.259225e-02	1
CDH9	39282	1140	-26	1786292	318716	0	35	2	0	9	30	2460348	1.282119e-02	1
RGS18	96080	925	-20	549360	81968	0	13	0	0	50	177	12375424	1.501731e-02	1
NEUROD4	115336	828	15	728120	143880	0	15	2	0	39	108	8434856	1.594138e-02	1
PZP	352696	301	19	3332348	671004	0	33	5	0	6	13	2323008	1.615624e-02	1
KCTD9	178615	515	22	896416	162192	0	15	1	0	50	77	12814912	1.625651e-02	1
GYPC	176465	753	-3	286016	61912	0	5	0	0	50	123	13187692	1.734628e-02	1
SNRPN	NaN	NaN	NaN	507940	143444	0	14	3	0	8	32	2609896	1.740928e-02	1
KLF3	294258	364	39	765180	157396	0	37	3	0	12	28	2088440	1.817112e-02	1
