gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
GNA11	1000335	173	25	149440	27200	0	36	0	0	50	2	2360880	9.992007e-16	9.423462e-12
GNAQ	328481	671	-24	151600	25360	0	41	0	0	50	1	2231840	9.992007e-16	9.423462e-12
SF3B1	736523	276	30	540080	105520	0	18	0	0	50	0	2579360	1.777389e-11	1.117504e-07
EIF1AX	262207	NaN	37	65200	8240	0	10	0	0	50	2	2160080	9.617862e-11	4.535303e-07
BAP1	1078407	229	62	298480	62160	0	13	0	0	50	0	2401040	2.514837e-08	9.486973e-05
CYSLTR2	404943	430	46	138960	27920	0	3	0	0	50	3	2645840	6.638859e-04	1
EIF1B	195546	675	10	48800	7840	0	2	0	0	50	1	2320800	2.111921e-03	1
TMEM39A	270591	599	29	200000	39840	0	2	0	0	50	1	2356720	8.694676e-03	1
MC2R	133238	815	-2	118240	24800	0	2	0	0	50	0	1903120	1.366178e-02	1
TBX6	2171952	164	62	170720	44160	0	2	0	0	50	0	2769920	1.601069e-02	1
LSM1	705837	277	46	56080	10160	0	1	0	0	50	1	2676640	2.817293e-02	1
SELE	269222	597	12	257360	44240	0	2	0	0	50	2	1997680	2.934015e-02	1
SNTN	155962	905	-12	62240	11040	0	1	0	0	50	1	2735040	3.000158e-02	1
HDAC5	923807	171	32	457200	98320	0	3	0	0	50	0	2644000	3.309571e-02	1
CD160	NaN	NaN	NaN	76080	13840	0	1	0	0	50	4	4509600	3.456616e-02	1
RAB38	149319	616	-15	87520	15840	0	1	0	0	50	0	2685520	3.729683e-02	1
GNB1	1492510	229	26	141360	28720	0	2	0	0	50	3	2182960	4.262211e-02	1
E2F7	106320	887	-11	366800	78320	0	2	0	0	50	1	3666640	4.401586e-02	1
KRTAP9-3	996799	468	-7	66400	10720	0	1	0	0	50	1	1925680	4.630121e-02	1
OR51L1	97256	1024	-11	123040	28320	0	1	0	0	50	0	2794720	4.994858e-02	1
WDR16	79661	336	-24	257120	49600	0	2	0	0	50	0	1905360	5.812112e-02	1
LHFPL4	858637	425	36	97680	22640	0	1	0	0	50	1	2528800	6.063137e-02	1
CA7	868790	142	24	109440	21600	0	1	0	0	50	0	2232480	6.078306e-02	1
OR5L2	4183	1091	-36	122640	27120	0	1	0	0	50	0	2330480	6.085529e-02	1
GSTA4	477320	400	17	95280	15600	0	1	0	0	50	1	2195440	6.097182e-02	1
GAP43	43284	622	-2	115200	23200	0	1	0	0	50	0	2188960	6.223578e-02	1
SSX5	590474	NaN	11	99760	15760	0	1	0	0	50	1	2300080	6.411015e-02	1
CCDC89	325720	554	-19	155760	24240	0	1	0	0	50	0	2778800	6.716248e-02	1
OSM	548674	211	43	100160	22880	0	1	0	0	50	1	2274640	6.797723e-02	1
