Meth_ID	Gene	logE_M_pearson_cor	logE_M_pearson_p	logE_M_pearson_q	logE_M_spearman_cor	logE_M_spearman_p	logE_M_spearman_q
|100133144	AR	0.386777458701759	5.67092645272274e-16	3.17039042625372e-14	0.393439143598984	1.61178251591931e-16	8.57900853521269e-15
|100134869	AR	0.379935134632564	2.00457715915088e-15	9.59662513547519e-14	0.374946682669161	4.94049969954258e-15	1.65278564245742e-13
|10357	AR	0.0206545082786112	0.677811206846024	0.742477132359443	0.00553392685856395	0.911378251159551	0.931671384597538
|10431	AR	-0.266887520590709	4.5727088320148e-08	3.36638661694063e-07	-0.254787091386494	1.88264318963593e-07	1.1016802086173e-06
|155060	AR	0.1727435944031	0.000464205518907945	0.00129715933327849	0.176679747968528	0.000341453691638407	0.00094073400077656
|388795	AR	-0.00480419705599545	0.923025396486505	0.942775004933185	0.0140006830870515	0.778251586609674	0.824316322265698
|390284	AR	0.0771506445430001	0.120187856852732	0.174260747514873	0.0616568135898316	0.214518967457118	0.283439289224807
|57714	AR	0.200358747170966	4.68102440167469e-05	0.000167136447775183	0.176685623003476	0.000341295540535659	0.00094045380504864
|645851	AR	0.294796436568173	1.32538380834802e-09	1.40196153949702e-08	0.301939806094677	5.02265281879514e-10	5.20705637592576e-09
|653553	AR	-0.0606975267963393	0.221750272919444	0.293996462425429	-0.0704502145353625	0.155994800519075	0.215334607394796
|729884	AR	0.0731702486417848	0.140592010213935	0.19908092638549	0.0668476115191415	0.178316068460512	0.241787785315605
|8225	AR	-0.141555965656497	0.00421744033247336	0.00922565072728548	-0.146535299711582	0.00304501234407141	0.00666709234488496
|90288	AR	0.0897536528058016	0.0704828689835256	0.11005104004363	0.0856498515921825	0.084387208839158	0.126009760622064
A1BG|1	AR	-0.190245582616978	0.000112656002121049	0.000368370754727513	-0.164922378786106	0.000838240345123977	0.00210001265410007
A2LD1|87769	AR	-0.0327237022669889	0.510331406207897	0.589810699092859	-0.0452096401466171	0.362964794679398	0.441354169721828
A2M|2	AR	0.121702019900063	0.01401677162001	0.0267001389423012	0.13049182548734	0.00839501143525579	0.016440683027079
A2ML1|144568	AR	0.063720947855136	0.199536906928961	0.269129280232876	0.0590520121191701	0.234556547668926	0.305895119605651
A4GALT|53947	AR	-0.295696530495768	1.17456765457719e-09	1.25760264301131e-08	-0.247267936809494	4.37760755011117e-07	2.35109419035629e-06
AAAS|8086	AR	-0.0810236745799693	0.102627180072575	0.152385812835036	-0.0582313880624562	0.241134521837902	0.313052065809396
AACS|65985	AR	-0.14924119546518	0.00254038306566897	0.00588952937204036	-0.188022757522374	0.000135833396822447	0.000412276259985784
AADAC|13	AR	0.100670554319012	0.0423702720695386	0.0707303339357228	0.0833172325070728	0.0932277026696059	0.137717106444018
AADAT|51166	AR	0.277962170101799	1.17575874294826e-08	1.00143868392219e-07	0.263317297785783	6.99402022165609e-08	4.54447647787794e-07
AAGAB|79719	AR	0.130486895040266	0.00839749670675697	0.0169250296557671	0.120732958104582	0.0148045357530427	0.0272413922736571
AAK1|22848	AR	0.0913227976759944	0.06568762119442	0.103504754478297	0.0908524305971489	0.0670960736505703	0.103241708384992
AAMP|14	AR	0.0125305305705868	0.801020700400904	0.845423178250178	0.0134293513168764	0.787078792822969	0.831874400381844
AARS|16	AR	-0.138956876886297	0.00497938825876319	0.0107026975088369	-0.146676300550341	0.00301661796944282	0.00661622635214815
AARS2|57505	AR	0.0308749472135779	0.534526598318659	0.612680168823882	-0.0344164888211622	0.488688542073233	0.565267729704927
AARSD1|80755	AR	-0.136489889074904	0.00581509806407621	0.0122818881525748	-0.131138969488462	0.00807444198824389	0.0158988539799247
AASDH|132949	AR	0.184447374742718	0.000182711089992055	0.000565793077930787	0.195436064087983	7.21791496973059e-05	0.000233043533712619
