Meth_ID	Gene	logE_M_pearson_cor	logE_M_pearson_p	logE_M_pearson_q	logE_M_spearman_cor	logE_M_spearman_p	logE_M_spearman_q
|100133144	AR	0.0699134687264877	0.0214553671828349	0.0260910891295767	0.091969469445448	0.00246059751129953	0.00325888296343869
|100134869	AR	-0.0761511872985701	0.0122228909187025	0.0151565235536392	-0.054515307933222	0.0730570383303315	0.0853327486934551
|10357	AR	-0.285882383433693	8.48942288227613e-22	2.60975695656013e-21	-0.268259549066513	2.73370918194796e-19	8.26333461700643e-19
|10431	AR	-0.338970473345516	1.68861571769614e-30	7.30016095804411e-30	-0.336425507389007	4.85004928246487e-30	2.40213772064521e-29
|155060	AR	-0.0658150977912707	0.0304067146437525	0.0364833370325117	-0.103809894430921	0.000626222021285053	0.000864117272188748
|388795	AR	-0.0563846072395201	0.0637343711751008	0.074331265044944	-0.0723445258643454	0.0173101674125476	0.0214225763531223
|390284	AR	0.176023500735292	5.57760228693201e-09	9.91696870069068e-09	0.119692177442127	7.92118879362176e-05	0.000116217079176763
|57714	AR	0.341046300481409	7.08924301880912e-31	3.10505922330787e-30	0.391326607333657	6.4511416584805e-41	5.21086753535126e-40
|645851	AR	0.120628602499792	6.95334240247957e-05	0.000100525194175121	0.116106800406456	0.000129331586122088	0.000187103289273706
|653553	AR	-0.00540867920715221	0.858952698154579	0.870783014948862	-0.10111156580966	0.000866481545048124	0.00118526031459801
|729884	AR	0.0790546354729474	0.00928247996961561	0.0116128325305992	0.0788459726965603	0.00947056301151109	0.0119910628404738
|8225	AR	-0.200620171928173	2.75056343260198e-11	5.42613180699982e-11	-0.246828179827814	1.75838811247049e-16	4.66716719892846e-16
|90288	AR	0.437352802491099	9.00257174442548e-52	9.05743948937671e-51	0.349438989952309	1.98249030409155e-32	1.10085834880694e-31
A1BG|1	AR	0.0115490129087513	0.704343257064227	0.724892464128264	-0.0631181348735866	0.037906572718992	0.0455237643693333
A2LD1|87769	AR	-0.092773952193661	0.00225249959797672	0.00295678612401746	-0.112632720396651	0.000205261719988233	0.00029318422588709
A2M|2	AR	-0.0120324079140517	0.692586033680212	0.713483206947267	-0.00529401390639131	0.861912615712141	0.875302866274877
A2ML1|144568	AR	-0.536175212618343	1.45872587932768e-81	5.05146967947221e-80	-0.358753160845969	3.28995832606362e-34	1.97804672623974e-33
A4GALT|53947	AR	-0.121402280781529	6.23912488139663e-05	9.04689070086875e-05	-0.18484366054976	9.00936003019295e-10	1.73542708273899e-09
AAAS|8086	AR	0.0390840569886371	0.19892275161418	0.2205597356176	-0.0327337008319553	0.282026338638032	0.309134465952969
AACS|65985	AR	0.173042931434633	1.01188983086372e-08	1.77719403388318e-08	0.151050880038615	5.98948605672621e-07	9.95398606416927e-07
AADAT|51166	AR	-0.309094114389298	2.19678960402615e-25	7.77680900213546e-25	-0.297729979245942	1.37734888129468e-23	5.10108103433967e-23
AAGAB|79719	AR	0.42016099364606	1.61496612381601e-47	1.36477480135406e-46	0.359952469382658	1.9215112516839e-34	1.16808923176194e-33
AAK1|22848	AR	0.269822963257887	1.66573751903208e-19	4.65448398292563e-19	0.328653964945472	1.14452620450847e-28	5.35213945414123e-28
AAMP|14	AR	-0.125056027899636	3.70714722053384e-05	5.44511266333249e-05	-0.168447476075111	2.48462267236337e-08	4.43900801704259e-08
AARS|16	AR	-0.283261746067453	2.05780369223458e-21	6.22355677322386e-21	-0.24845082013949	1.10042988809413e-16	2.95446224337036e-16
AARS2|57505	AR	-0.318566509122998	6.05649992207009e-27	2.28689025482917e-26	-0.242198593865462	6.57377945005449e-16	1.70309267087119e-15
AARSD1|80755	AR	-0.233333961557352	7.60979117071888e-15	1.75086981428597e-14	-0.236910343907965	2.86736397352904e-15	7.20463863483291e-15
AASDH|132949	AR	0.388804551872518	2.27322216292324e-40	1.45470818352216e-39	0.408662364832607	8.29271470844794e-45	8.01142205612161e-44
AASDHPPT|60496	AR	0.207564263281894	5.3901484653387e-12	1.09614513044078e-11	0.194262117019435	1.16279678054965e-10	2.34559659030558e-10
AASS|10157	AR	0.269716588641182	1.72301856908855e-19	4.81216897671035e-19	0.205747037028715	8.30367026121993e-12	1.77148438458623e-11
AATF|26574	AR	-0.200441379505443	2.86624920746337e-11	5.64779641609685e-11	-0.239549279616189	1.38103190526303e-15	3.51785550339885e-15
AATK|9625	AR	0.00401730791664099	0.894990472800959	0.903948652542665	-0.0472385184244113	0.120441346435123	0.137680799612505
ABAT|18	AR	0.628337902879131	6.43333373685019e-120	1.30221397056743e-117	0.514772725224681	2.95429450458345e-74	1.15741634703761e-72
ABCA10|10349	AR	0.122816550171362	5.10923547080532e-05	7.44854074510013e-05	0.0832897298272037	0.0061194637049651	0.00785811051850476
ABCA1|19	AR	0.28073133067894	4.79535705647423e-21	1.42719159865625e-20	0.301675287666155	3.34276317966268e-24	1.27038449583828e-23
ABCA11P|79963	AR	0.185269098955947	8.23202385953974e-10	1.51826772625832e-09	0.149022085214739	8.49015483572313e-07	1.39990402125485e-06
ABCA12|26154	AR	0.412406822781399	1.11584128553534e-45	8.74315639537207e-45	0.385501802032008	1.16357401174657e-39	8.87584070064017e-39
ABCA13|154664	AR	-0.490479806504546	1.43382799277802e-66	2.5608589665131e-65	-0.344753993544831	1.47976795222892e-31	7.87742469998382e-31
ABCA17P|650655	AR	-0.215432487881061	7.92419120523931e-13	1.6731034777435e-12	-0.200776050797138	2.65343736790936e-11	5.5228786346631e-11
ABCA2|20	AR	0.283989878128904	1.61055376127368e-21	4.88829803693973e-21	0.196731722754579	6.68044915157628e-11	1.36163602162852e-10
ABCA3|21	AR	0.332527785626383	2.39463937858193e-29	9.95259187338757e-29	0.296200803978917	2.37045679656225e-23	8.69576632404486e-23
ABCA4|24	AR	0.00757931482785365	0.803339410634733	0.818846591872332	0.0430909712230772	0.156645553959058	0.176996567913734
ABCA5|23461	AR	0.0789512968561212	0.00937520654568985	0.0117219381495966	0.0559434351798774	0.0658410837769089	0.0772439072282331
