Meth_ID	Gene	logE_M_pearson_cor	logE_M_pearson_p	logE_M_pearson_q	logE_M_spearman_cor	logE_M_spearman_p	logE_M_spearman_q
|100133144	AR	0.208626544363416	0.000316176459149961	0.00109083882049521	0.232451180660748	5.72218430805549e-05	0.000222479268865714
|100134869	AR	0.258515335158743	7.11255447325739e-06	3.92853840454721e-05	0.233261457029587	5.38147806626848e-05	0.000210434876221495
|10357	AR	0.0300465214067512	0.607873216382718	0.689490392689516	0.0305236740092728	0.602182960145832	0.679451356391162
|10431	AR	-0.313196691490809	4.11219383006815e-08	4.33967138681012e-07	-0.350855912134128	6.08853813205588e-10	8.0203217546304e-09
|155060	AR	0.241350226189557	2.8811682051064e-05	0.000134467880966961	0.241329259599439	2.88591933193684e-05	0.000120589847656385
|388795	AR	0.109464515596911	0.060852382565574	0.102855922108871	0.116809560733542	0.0453719113481044	0.0784673201225313
|390284	AR	0.0677531985839864	0.246820133672461	0.333488584445532	0.0835071064612589	0.153221466079707	0.221634458607615
|57714	AR	0.154457207513606	0.00797688343477907	0.0179140696823102	0.188832774386426	0.00114060160945409	0.00312120567704563
|645851	AR	0.27512563829712	1.66711576668594e-06	1.1080405981592e-05	0.286727557967315	5.70925281907457e-07	3.69218899047672e-06
|653553	AR	-0.164371886961725	0.00471880031415245	0.0113871870007228	-0.153075565943814	0.00856288491345317	0.0183058410394819
|729884	AR	0.0491225757153519	0.40135970618175	0.497369266402732	0.0663421473100541	0.256821988109097	0.340473390671314
|8225	AR	-0.0545679195962083	0.351153668274168	0.446233393701843	-0.113593228524268	0.0516880250742858	0.087621966485109
|90288	AR	0.169476663016379	0.00356084100250584	0.00895228527301656	0.119978371800451	0.0397951780525917	0.0701561544116811
A1BG|1	AR	0.0117903848115078	0.840457152085449	0.880191480347295	0.000616446561471001	0.991602555962454	0.993988320702675
A2LD1|87769	AR	-0.0871241791732131	0.13613491687563	0.203371618805117	-0.0752655497368588	0.19814182157375	0.274621060085149
A2M|2	AR	0.458829319337256	1.03111655575892e-16	1.1762444573824e-14	0.496453134955347	1.06080041894639e-19	1.0282405910585e-17
A2ML1|144568	AR	0.077457175002738	0.185354746011814	0.263029003628003	0.115562242716099	0.0477399706082692	0.0819397714565063
A4GALT|53947	AR	-0.0449034837183881	0.44305690525838	0.537249348779939	-0.102709117431323	0.0787058577912257	0.125900842249458
A4GNT|51146	AR	0.166530185251295	0.00419314797515456	0.0102754491298212	0.19698628022696	0.000682379908481448	0.00199248279389264
AAAS|8086	AR	-0.104410923196809	0.0738508189073505	0.121364600378024	-0.115727741076586	0.0474199415216855	0.0814655260093376
AACS|65985	AR	0.0609801167453242	0.297362052375783	0.389172266939008	0.0432455338058551	0.460093286558045	0.549023536271875
AACSL|729522	AR	0.0683978700244968	0.24234209847097	0.328603109020757	0.0414169987398474	0.479298104063991	0.567288954478336
AADAC|13	AR	0.0450821882848525	0.441242280145906	0.535636419102437	0.0641381378445587	0.272998236186838	0.358601552766496
AADAT|51166	AR	0.186906304991193	0.00128396009433948	0.00370879696531027	0.187724487863175	0.00122116530483875	0.00331795637682114
AAGAB|79719	AR	-0.173355575853102	0.00286017625546844	0.00741247159781034	-0.155076595429861	0.00772598139392582	0.0167494482216861
AAK1|22848	AR	0.159379168184233	0.0061688437212947	0.014385390121317	0.197993727649937	0.000639497252510284	0.00188003671587394
AAMP|14	AR	0.0142595167485973	0.807640872759368	0.854072103720353	-0.0111456562658912	0.849074071476067	0.885825509384493
AANAT|15	AR	0.110095901518399	0.0593697897407452	0.100705240154011	0.0997022371064958	0.0879133475659966	0.1383723414055
AARS|16	AR	0.0239454319121837	0.682621720437516	0.753977317218858	0.0125184253429883	0.830749617683104	0.871494547321112
AARS2|57505	AR	0.231244962235399	6.26722529425286e-05	0.000265324667910442	0.18952766489516	0.00109261244366555	0.00300607351399961
AARSD1|80755	AR	-0.220137006457217	0.000141651257585094	0.000539484428445251	-0.26780338296975	3.19820995012098e-06	1.7009445814646e-05
AASDH|132949	AR	0.200807957320947	0.000532563142976519	0.00171873582459069	0.155430538300342	0.00758578680921481	0.0164921012457235
AASDHPPT|60496	AR	0.0202855605203947	0.729058051120439	0.79201700306029	0.0224018901441888	0.702072673247554	0.76582688204568
AASS|10157	AR	0.192621826342235	0.000900659898845351	0.0027163967344852	0.190702456401878	0.00101568632444733	0.00282173712694137
AATF|26574	AR	-0.30514753880438	9.41084001674218e-08	9.0539515915519e-07	-0.326095032925269	1.03561495748769e-08	1.02214403897063e-07
AATK|9625	AR	0.0659076858405334	0.259957143201268	0.34823624655233	0.085490198453262	0.143663060584999	0.210033641059272
ABAT|18	AR	0.170575177178886	0.00334811698579994	0.00850546488939239	0.185432985358827	0.0014045655495819	0.00375528694211398
ABCA10|10349	AR	0.120573260178878	0.0388155357319142	0.0701625222257701	0.152897957879199	0.00864092695008272	0.0184609127310405
ABCA1|19	AR	0.0483132144165098	0.409171699391385	0.50496027576495	0.0820455168052414	0.160568760903879	0.230390823273479
ABCA11P|79963	AR	0.0602932173991781	0.30284719405848	0.39511745095827	0.0740276947979754	0.205641830807891	0.283236785282754
ABCA12|26154	AR	0.0160627757376917	0.783882032508693	0.834809970985538	0.0509094129426406	0.384431531570006	0.475267793637381
ABCA13|154664	AR	0.160718286784848	0.00574516251457831	0.0135252885310913	0.133438432150744	0.0221090606591136	0.0421992423134697
ABCA17P|650655	AR	-0.0170332823316927	0.771176087729831	0.824735447394231	-0.0581704439597859	0.320218846380612	0.40918614912417
ABCA2|20	AR	0.195006893502828	0.000774478001466552	0.00238516466604088	0.130918458719397	0.0247750971013817	0.0465233598312508
ABCA3|21	AR	0.136113111765136	0.0195545231353763	0.0390554786156652	0.0942662331917509	0.106736397012604	0.163249055226592
ABCA4|24	AR	0.131971260265019	0.0236293346770101	0.0458293214433012	0.151256826457831	0.00939251216027853	0.0198967959090084
ABCA5|23461	AR	0.185884422193955	0.00136655019246469	0.00391119306663942	0.208573004693524	0.000317328171251599	0.00101415591837585
ABCA6|23460	AR	0.45292996165475	2.81377486845175e-16	2.72740987104436e-14	0.489331804622167	4.16601653340967e-19	3.4245064337621e-17
ABCA7|10347	AR	0.154029923702607	0.00815417335939937	0.0182559857227995	0.157039111773126	0.00697681793624813	0.0153173946023756
ABCA8|10351	AR	0.438410634097738	3.06937939120913e-15	2.22815684031108e-13	0.474237755832311	6.82403000439607e-18	4.43535500557045e-16
ABCA9|10350	AR	0.484989305581167	9.44592544745197e-19	1.7217252590035e-16	0.518712612874022	1.19266049806872e-21	1.72411412863055e-19
ABCB10|23456	AR	0.135581119107776	0.020041142261092	0.0398801370091672	0.146592126447162	0.0118549678943117	0.0244401225251676
ABCB1|5243	AR	0.319954104374874	2.01302235087877e-08	2.28392231406536e-07	0.354169932629028	4.08751805878403e-10	5.54559792295707e-09
ABCB4|5244	AR	0.315636669779731	3.18379453442116e-08	3.45560197719796e-07	0.360067834786945	1.9882994335145e-10	2.92471870180743e-09
ABCB6|10058	AR	-0.00972772185757035	0.868086865315992	0.900912776611206	-0.0371774691865763	0.525451404186421	0.609820374891141
ABCB7|22	AR	0.111538167760234	0.0560947613331489	0.0960838469919036	0.111694966101044	0.0557479099637984	0.0935117237354142
ABCB8|11194	AR	-0.128300307433453	0.0278339536882848	0.0526633379005408	-0.127680283125314	0.0286040498822352	0.0527332137725596
ABCB9|23457	AR	0.112493994784776	0.0540078868529544	0.0929738481302938	0.0698011727237733	0.23279181311598	0.314053573140939
ABCC10|89845	AR	0.184698126692595	0.00146852764828218	0.00416326967608519	0.211442351969301	0.000260809437235149	0.000850712595408717
ABCC11|85320	AR	0.0805748799248679	0.168225763045201	0.242748285044744	0.0820095804154193	0.160752689482573	0.230575814723571
ABCC1|4363	AR	0.0672734901306837	0.250189501690819	0.337361511245846	0.0789569045202476	0.176961372629536	0.249912856461571
ABCC2|1244	AR	-0.0803437048107663	0.169453794490899	0.244352109366058	-0.0377046208659799	0.51959197492305	0.604568264466044
ABCC3|8714	AR	0.0126557291387023	0.828921667861709	0.871211999271263	0.0229585586374144	0.695034598215558	0.759898639771635
ABCC4|10257	AR	0.272843979528362	2.04653100948599e-06	1.32858679325456e-05	0.267347132180098	3.32862223490792e-06	1.7630343100812e-05
ABCC5|10057	AR	0.0911130863578878	0.119031244357571	0.181490719824705	0.0800872534470691	0.170823907629185	0.242737573683061
ABCC6|368	AR	0.0735727787669969	0.208449040667412	0.290322422172079	0.110290535912703	0.0589188167093916	0.0980946820293673
ABCC6P2|730013	AR	0.0617676743591303	0.291154910351201	0.382331769121323	0.0788718611785457	0.177429660176838	0.250447640699107
ABCC9|10060	AR	0.506284946486486	1.52155589960752e-20	3.59365787049556e-18	0.578090779136837	1.2978709759695e-27	5.30829229171525e-25
ABCD1|215	AR	-0.0305651570664885	0.601689386579373	0.684374233436173	-0.0590838865674824	0.312665806219029	0.401124084193015
ABCD2|225	AR	0.317638565910956	2.5764430386743e-08	2.8480140616697e-07	0.357301133447454	2.7931900191518e-10	3.94267705649466e-09
ABCD3|5825	AR	0.16532623024963	0.00447945773912529	0.010886380699622	0.174317099988584	0.00270708959155115	0.00669443673993021
ABCD4|5826	AR	0.0581693073284042	0.32022831823661	0.413507504890168	0.0380604406404054	0.515655992098824	0.600738872551423
ABCE1|6059	AR	-0.100533122274471	0.0852866328690108	0.137028987887366	-0.0921220307497185	0.114982457111072	0.173941436472311
ABCF1|23	AR	-0.0145758478538298	0.803459589428099	0.850850259243435	-0.0560356776408678	0.338329506149993	0.428832009722542
ABCF2|10061	AR	-0.144036710965917	0.013432266587865	0.0282192030082571	-0.132256731361854	0.0233266530819739	0.044179426872783
ABCF3|55324	AR	-0.0874020335709885	0.134885478919107	0.201836336960798	-0.0890549087916725	0.127634377259671	0.189692534987807
ABCG1|9619	AR	-0.0360062378724757	0.538589222413846	0.627761358911363	-0.0730632122897636	0.211626182613697	0.290263328664247
ABCG2|9429	AR	0.402574292848008	7.00372144686636e-13	2.83000975765065e-11	0.423564286449487	3.14866542632577e-14	1.03529353988347e-12
ABCG4|64137	AR	0.0387926292796335	0.507605416910711	0.599396890090537	0.0673836624328766	0.249412862625179	0.3323051702272
ABCG5|64240	AR	0.00363214360781713	0.950552331441256	0.96260716504248	0.0236777168968143	0.685980774479107	0.752089676838192
ABHD10|55347	AR	0.0493917856253466	0.398781152528407	0.495125214478666	0.0380292475898354	0.516000424622239	0.601014872576948
