Meth_ID	Gene	logE_M_pearson_cor	logE_M_pearson_p	logE_M_pearson_q	logE_M_spearman_cor	logE_M_spearman_p	logE_M_spearman_q
|100133144	AR	0.145679474466063	0.396568756729668	0.708795346338141	0.184357904950285	0.281762231846796	0.58718843048803
|100134869	AR	-0.0565194145911378	0.743357547226505	0.904930913186432	0.030377139915047	0.860395383817103	0.946264187333897
|10357	AR	0.0275536302928075	0.873261250153787	0.959334875242624	-0.00167320934769541	0.992272652628328	0.996788925331631
|10431	AR	-0.156527153271815	0.361950206182963	0.684741583031098	-0.158311345974258	0.356434975368528	0.652711820614813
|155060	AR	-0.0392231799007536	0.820329800003878	0.935814204656219	0.0142866336610916	0.934091115489468	0.974345150874966
|388795	AR	-0.0977465481876522	0.570617447623997	0.820580038271776	0.0729837324576486	0.672285781501155	0.85402142651732
|390284	AR	-0.0949503968294286	0.581740850722451	0.826189232920023	-0.200527704900727	0.240931327969005	0.548207012391765
|553137	AR	0.0588557749595269	0.733127898464146	0.90117890728694	-0.00347512710675201	0.98395168793568	0.993906155210954
|57714	AR	0.363051662899691	0.0295330116333859	0.258344598537086	0.346869168618395	0.0382089418832937	0.249461900988953
|645851	AR	0.201709123171218	0.238113059775219	0.578129491380366	0.154707510456145	0.367627299028633	0.661721248407158
|653553	AR	-0.16782425367866	0.327890954185468	0.658766662535278	-0.248793359161172	0.143413144739246	0.437702345315886
|8225	AR	-0.226145073654526	0.184759739257682	0.525869223782879	-0.208636334816482	0.222035978234958	0.529339326167309
|90288	AR	-0.271796408469537	0.108807083373611	0.428032367849191	-0.329364824673274	0.0498130669243	0.277043894094233
A1BG|1	AR	0.33995355212452	0.0424988713466633	0.296693167855433	0.382263981742721	0.0214030921231459	0.200904010785478
A1CF|29974	AR	0.310413463796018	0.06539286016714	0.348634354689315	0.339532789170808	0.0427719424429032	0.2582637014173
A2LD1|87769	AR	-0.0534970922781066	0.756654880550523	0.910874764342936	0.0408005664014959	0.813229283684771	0.925636697056955
A2M|2	AR	0.630213818865794	3.80248659009582e-05	0.0707521372124602	0.709183346600133	1.2880962949985e-06	0.00777587628382369
A4GALT|53947	AR	-0.072009442854786	0.67642155935851	0.876236795733744	-0.154964927278868	0.36682098553168	0.661476586896194
A4GNT|51146	AR	0.0290688472877697	0.866352676939771	0.956947175226374	0.0137718000156469	0.936461318984437	0.97499858262336
AAAS|8086	AR	-0.303017220998147	0.0724244418279976	0.363537826672725	-0.368620890138436	0.0269510037253739	0.218923068517881
AACS|65985	AR	-0.229941059454772	0.17730000055492	0.520406171912153	-0.242229230181751	0.154625449373838	0.45146863147028
AADAC|13	AR	0.145791477194518	0.396201860753624	0.708629391628885	0.190617157225916	0.26545588183423	0.572260244427114
AADAT|51166	AR	-0.263019648468125	0.121176281408355	0.446237309405872	-0.124975867431711	0.467687791277135	0.732219060190654
AAGAB|79719	AR	-0.0582196550063767	0.735908723439911	0.901855869482165	-0.070017375780485	0.684906685340067	0.861022614096851
AAK1|22848	AR	0.0978590508468411	0.570171932587676	0.820475462876204	0.037454147706105	0.828309738439943	0.93211240792913
AAMP|14	AR	-0.0090756315015172	0.958103982805817	0.989790984023205	-0.0424737757491913	0.805713430905079	0.922717081313702
AARS|16	AR	0.241666632964049	0.155615194100355	0.493522665730665	0.225111011470714	0.186829721382962	0.491204035498088
AARS2|57505	AR	0.197959819339831	0.247134131662666	0.586423528718285	0.0287019757335444	0.868024538859404	0.949415989490587
AARSD1|80755	AR	-0.291813325721564	0.0841856353933927	0.384307149865962	-0.346354334972951	0.0385156841391277	0.249461900988953
AASDH|132949	AR	-0.0937537889326078	0.586530472965217	0.829270242204868	-0.0982045178685847	0.568804860199764	0.798755355796638
AASDHPPT|60496	AR	0.0170418161753612	0.921416714385204	0.977722923019826	0.0849475514983825	0.62230259694959	0.827730057983699
AASS|10157	AR	0.487478534979154	0.00256500073932053	0.120519110367962	0.425381299548719	0.00969926255374993	0.147636506421598
AATF|26574	AR	-0.177705846744936	0.299788299620145	0.632085581929824	-0.184181736657857	0.282230365063673	0.587507091533638
