Meth_ID	Gene	logE_M_pearson_cor	logE_M_pearson_p	logE_M_pearson_q	logE_M_spearman_cor	logE_M_spearman_p	logE_M_spearman_q
|100133144	AR	0.0567690796671024	0.235760535071898	0.30055785559337	0.0499736778357335	0.296700581112989	0.363484721922482
|100134869	AR	-0.0124292351565744	0.795333342013249	0.83755564662151	-0.00371235695159045	0.938247968637273	0.951798279637421
|10357	AR	-0.224401943335735	2.09958717350633e-06	7.11162540844367e-06	-0.200781420953415	2.30368352687783e-05	6.34772218121529e-05
|10431	AR	-0.306482525595155	5.59182207459456e-11	3.48502685587186e-10	-0.300297919410047	1.40386104336695e-10	7.6141691209703e-10
|155060	AR	0.0664487364723422	0.165067116550999	0.220134983938676	0.0732166230283327	0.126020278365561	0.172444036000587
|388795	AR	0.126074734452567	0.00825260213437999	0.0151419920759168	0.112076128074299	0.0189621982780445	0.0314946328411091
|390284	AR	0.0234801789544561	0.624086448708324	0.68684374522648	-0.0105688104024144	0.825432792299722	0.859176617401961
|57714	AR	0.29860290365838	1.79989474816443e-10	1.05464602012958e-09	0.319960027602188	6.97126819168348e-12	4.41213314391666e-11
|645851	AR	0.0545564889598106	0.254549433285226	0.321119000226372	0.079183737550767	0.0979129795618115	0.137902091931127
|653553	AR	0.11485891720915	0.0161762799857874	0.0277667938772663	0.119367001786022	0.012420325423364	0.0215283128469898
|8225	AR	-0.173142415277559	0.0002718120411559	0.000661355277309905	-0.205618325002383	1.44172767067753e-05	4.09508958364968e-05
|90288	AR	0.160472364284544	0.000749746985620626	0.0016961343171267	0.118291371485399	0.0132386572772421	0.0228083380654053
A1BG|1	AR	0.197974622971822	3.00833191176321e-05	8.57472154260929e-05	0.202632722884214	1.92792186837955e-05	5.36232601463114e-05
A1CF|29974	AR	-0.0625903813355883	0.191057011688065	0.250231248916533	-0.0730918382387149	0.126668766924915	0.173248423615523
A2BP1|54715	AR	0.203786467378933	1.72399998708779e-05	5.09969550892261e-05	0.195691139353421	3.72759523049535e-05	9.94199418852471e-05
A2LD1|87769	AR	-0.242007052635605	2.94766262945153e-07	1.1304540122213e-06	-0.2189828774273	3.7253890882185e-06	1.15002600113431e-05
A2M|2	AR	0.524253502981087	2.71755916832248e-32	3.91397030133437e-30	0.565221776221779	2.44096081132766e-38	8.04531295102784e-36
A4GALT|53947	AR	0.377704871104567	2.66865886568923e-16	3.10510144596386e-15	0.403531881868037	1.39183589740704e-18	1.94098254236446e-17
AAAS|8086	AR	-0.177801768497433	0.000183781807928057	0.000460233256294414	-0.157201274830405	0.00096298025916344	0.00205331160261286
AACS|65985	AR	-0.0498488016829227	0.297910766465446	0.367886204081798	-0.0472234523115268	0.324113685253072	0.391968984727096
AADAC|13	AR	-0.0387080391846945	0.419040410093077	0.492993793834792	-0.0298707040947494	0.532955856068055	0.599877219225743
AADAT|51166	AR	-0.0445718683648856	0.352051719417524	0.424707145709646	-0.085794302475755	0.0728579973505231	0.105984825716399
AAGAB|79719	AR	-0.124101320806673	0.00932553336393714	0.0169204230705609	-0.169891125821399	0.000355087659647933	0.000815374687407069
AAK1|22848	AR	0.271387361940786	7.82588481427657e-09	3.70007834018996e-08	0.289940555234806	6.24992246027768e-10	3.1302577745967e-09
AAMP|14	AR	-0.159627689759267	0.000800169372165456	0.00180187923657125	-0.163706086681496	0.000582669358248663	0.0012867375507053
AANAT|15	AR	0.0562569633053043	0.240019849260478	0.305002597497262	0.0646230764655587	0.177013609404416	0.232068863427085
AARS|16	AR	0.0661786703939179	0.16679518716618	0.222069658420039	0.0409853371033433	0.392181458260151	0.462156079009951
AARS2|57505	AR	0.048675020513084	0.309446462934401	0.38029563518089	0.00708935831031266	0.882384476148072	0.906015318941351
AARSD1|80755	AR	-0.149799762949147	0.00166726515297099	0.00352955255147848	-0.157419318804194	0.000947186676650309	0.00202189967008465
AASDH|132949	AR	0.0630695248943241	0.187675309500116	0.246178411872225	0.0581477268816873	0.224559903478829	0.28545072949074
AASDHPPT|60496	AR	-0.125958738866863	0.0083124824516756	0.0152437017696628	-0.118777882976105	0.0128628157502572	0.0222188872347972
AASS|10157	AR	0.307206754393299	5.01326480494642e-11	3.13814264032055e-10	0.293571323310028	3.72808586879398e-10	1.91878869985766e-09
AATF|26574	AR	-0.0565205816939083	0.237820610478599	0.302740957303044	-0.0502345595734182	0.294182941678905	0.360890518748461
AATK|9625	AR	0.0537601217601827	0.26155946227893	0.328728285106591	0.0685718291515536	0.15194705958124	0.202868322362146
ABAT|18	AR	0.0915616842274573	0.0555190389450684	0.0841699078708118	0.0702266628884077	0.142281598048292	0.191650763042257
ABCA10|10349	AR	0.157425400492061	0.000946749609082229	0.00210431092595776	0.155635243913452	0.00108375243575888	0.00229313987610759
ABCA1|19	AR	0.408673832153676	4.62107819975325e-19	7.4157920660647e-18	0.454948322653249	9.21404260879175e-24	2.41467089101043e-22
ABCA11P|79963	AR	-0.0967052410429237	0.0430885673798713	0.0671420089393231	-0.0968428555665107	0.0427911650489995	0.0657166467540145
ABCA12|26154	AR	0.0232279469358022	0.627817398517954	0.690196433175062	0.0348701475577239	0.466666185861606	0.5359281532754
ABCA13|154664	AR	-0.000583073361255331	0.990291619153232	0.992666280305722	0.0114319106045885	0.811434171487635	0.847481429928493
ABCA17P|650655	AR	0.0205967339641314	0.667289113767997	0.726045462218747	0.0586158616955448	0.220844208278713	0.281248988385262
ABCA2|20	AR	0.124320763254647	0.00920038539065195	0.0167110433669334	0.117732743627297	0.0136821146937638	0.0235038351945893
ABCA3|21	AR	0.246024083832623	1.84263297139491e-07	7.26498424125543e-07	0.242271502707748	2.85861000020459e-07	1.03188114560881e-06
ABCA4|24	AR	0.181899411736554	0.000129201528973922	0.000331445143703645	0.219167860600922	3.65404098671486e-06	1.12962857992976e-05
ABCA5|23461	AR	0.00918664952741908	0.847963919481395	0.881711679669455	0.0317476169529866	0.507524778688101	0.575638090261092
ABCA6|23460	AR	0.502930864636197	1.85833093365469e-29	1.4610061409132e-27	0.518502908530588	1.65411987612278e-31	1.38292490521309e-29
ABCA7|10347	AR	0.0695961215770685	0.14590740793263	0.197201093333124	0.0725669205717014	0.129425074628484	0.176651776225021
ABCA8|10351	AR	0.475329896497055	4.51512629863917e-26	1.94923802600445e-24	0.45101190834771	2.47143911022163e-23	6.16564700292409e-22
ABCA9|10350	AR	0.40585977275303	8.46897347277073e-19	1.31954305772561e-17	0.419569432306785	4.19109762719715e-20	6.84759029862078e-19
ABCB10|23456	AR	-0.144016912536041	0.00251773280547961	0.00514319696699822	-0.109754563207577	0.0215974871590958	0.0354762634099811
ABCB1|5243	AR	0.131978247157419	0.00566933590431296	0.0108095169723017	0.132150151242821	0.00560645032780395	0.0103902413676721
ABCB4|5244	AR	0.259252439643526	3.69922269727429e-08	1.60103479314606e-07	0.281869886058897	1.9202057979545e-09	9.04877843583783e-09
ABCB5|340273	AR	0.440528354455976	3.21607001146444e-22	7.9884382502158e-21	0.374500237767787	4.96254957052993e-16	5.06570203033427e-15
ABCB6|10058	AR	-0.0808304494566117	0.0911069168900731	0.130493184738339	-0.12499513683424	0.00882508757052027	0.0157276880390087
ABCB7|22	AR	-0.0512178217477931	0.284822555948613	0.353916753889892	-0.0599553057089613	0.210455939574775	0.269763244960891
ABCB8|11194	AR	-0.170232623112925	0.000345336218794967	0.000825598752117023	-0.180163405694006	0.00015014485681996	0.0003653226435317
ABCB9|23457	AR	-0.0425389941637751	0.374469115171807	0.44790468036357	-0.0863679181590949	0.0709563391921307	0.103508443051658
ABCC10|89845	AR	0.0681685455046409	0.154376360088045	0.2073717717336	0.0828954321348409	0.0831136645946058	0.119124025546659
ABCC11|85320	AR	-0.0106401972722015	0.82427280303771	0.861625492270268	-0.00901293074975215	0.850804955145154	0.880924673849622
ABCC13|150000	AR	-0.158274079994066	0.000887551947460394	0.00198405540987657	-0.147631046534416	0.00194929489969816	0.00395045113940248
