Meth_ID	Gene	logE_M_pearson_cor	logE_M_pearson_p	logE_M_pearson_q	logE_M_spearman_cor	logE_M_spearman_p	logE_M_spearman_q
|100133144	AR	0.250760341477924	0.0855943262629935	0.243566308646261	0.290660397520951	0.0450515465457099	0.158471041968688
|100134869	AR	0.145778615394308	0.3228317808189	0.548041897856297	0.195781147000659	0.182333424727206	0.378089593205244
|10357	AR	-0.196000170766757	0.181835005353855	0.388764013569707	-0.158133244486748	0.283059366340636	0.497996561528754
|10431	AR	-0.393914662607993	0.00560288464705837	0.0561065475157771	-0.38659646787506	0.00664286877707453	0.0584224354455379
|155060	AR	0.228676778265128	0.117969689189459	0.296525371641274	0.200505964694523	0.171797376843332	0.363588511191352
|340602	AR	0.0531931765610963	0.719540406359598	0.854517212889057	0.0042847725774555	0.976941652781683	0.989396062076396
|388795	AR	0.085990341414303	0.561151061696745	0.7469034205748	0.0991624848610434	0.502498358981025	0.6991075043093
|390284	AR	-0.0699226969036648	0.636749980622216	0.801133506776913	-0.138694213051222	0.347152477751864	0.561296610289818
|57714	AR	0.302248953599626	0.0368019558821609	0.146377752152101	0.264174253047957	0.0696175759052008	0.205285209184589
|645851	AR	0.411288485079924	0.00368307394020386	0.0464567010719894	0.405547226326713	0.00424106088858988	0.0481889795747251
|653553	AR	-0.157554844171677	0.28484636569784	0.508019110485233	-0.213938553832554	0.144261286309784	0.325218671473801
|8225	AR	-0.314171079452819	0.0296557289158934	0.129594169665528	-0.371853382235757	0.00925680873717546	0.0673344028773684
|90288	AR	0.193461545184784	0.187672225258242	0.395974252829414	0.123295879161283	0.403777235328517	0.616066175720934
A1BG|1	AR	-0.132820646061161	0.368147782531439	0.593931818578807	-0.101126646681442	0.494029412581989	0.692397520487214
A2LD1|87769	AR	-0.267395280021953	0.0661581475448303	0.207988306974108	-0.169818504956418	0.248529369765715	0.458578241601605
A2M|2	AR	-0.127961698276181	0.38608087560947	0.609228028541197	-0.140113917594266	0.342190534741689	0.557244177861137
A4GALT|53947	AR	-0.0977083940027909	0.508815484528333	0.71052479517425	-0.194936354564119	0.184265044079431	0.380389628553039
AAAS|8086	AR	-0.228732046213008	0.117878459954084	0.296342291586862	-0.162719982241197	0.269148818736657	0.483124528463126
AACS|65985	AR	-0.187175413277661	0.202698942478694	0.414719785718356	-0.261225635920097	0.0729088979594473	0.211240453861287
AADAT|51166	AR	0.209413967341493	0.153144309746207	0.350599756546342	0.137496656097419	0.351372238241871	0.56564313507225
AAGAB|79719	AR	-0.155426254667343	0.291486179248072	0.51558077945383	-0.200069132527432	0.172752578556065	0.364523699728817
AAK1|22848	AR	0.175031134048962	0.234086409048212	0.452338717028639	0.143171742763899	0.331653148671748	0.546995140894585
AAMP|14	AR	-0.125264722099227	0.396253340446319	0.618886566621858	-0.202580917488202	0.167312331843069	0.357951970608887
AANAT|15	AR	0.197943054329744	0.177456435427633	0.382601109007095	0.153897738239793	0.296315709412486	0.510961589172831
AARS|16	AR	-0.0646320154190276	0.66251961847561	0.818869653071613	-0.0305782516963324	0.836543972653	0.915900821377082
AARS2|57505	AR	-0.00206766174083312	0.988871804591657	0.994761273768456	0.0951202043839483	0.520158292684559	0.713258758445414
AARSD1|80755	AR	-0.432163927953944	0.002159425264465	0.0374632196458935	-0.447316139100634	0.00143447691598672	0.0344959583139973
AASDH|132949	AR	0.280217297770247	0.0537220423078379	0.182648142153172	0.36988763748385	0.00966485444393864	0.0688417925732712
AASDHPPT|60496	AR	0.293072497272535	0.0432205383840309	0.160310779507153	0.280446251272077	0.0535184726633121	0.175654844479789
AASS|10157	AR	0.235200170202073	0.107566831035673	0.280031795386454	0.251396912160561	0.084776493731126	0.231944110544388
