Meth_ID	Gene	logE_M_pearson_cor	logE_M_pearson_p	logE_M_pearson_q	logE_M_spearman_cor	logE_M_spearman_p	logE_M_spearman_q
|100133144	AR	0.0143137807268489	0.848331410371715	0.902272931423362	0.00533463123805101	0.94318016765781	0.962839460995399
|100134869	AR	0.047915490444168	0.521822289406614	0.645267775964604	0.0278702102028906	0.709572752687589	0.797539441701135
|10357	AR	-0.153571482823501	0.0390140201047702	0.0894002621230009	-0.136892182670662	0.0661218265247466	0.131296190416516
|10431	AR	-0.188811252855409	0.0109110471682186	0.0317189397542467	-0.186734354691277	0.0118349313098439	0.0319247188004243
|155060	AR	0.123288762291847	0.0982284397350274	0.18473174129465	0.146704382806357	0.0487573659218272	0.102702606460212
|26823	AR	0.223732710454934	0.00246474407509033	0.00918233246969975	0.195845897044532	0.00823645632239048	0.0237462601792837
|340602	AR	0.115571960040153	0.12131309787425	0.217320949453039	0.183097465795402	0.01361927376307	0.035921354875227
|388795	AR	0.0480258057528201	0.520863225052997	0.644417616658921	0.0436594230501041	0.559498603015673	0.674075452357695
|390284	AR	0.0546036019551147	0.46534634601806	0.595524123973904	0.0265031731290438	0.723222248865487	0.807940814639786
|391714	AR	0.0378371240185118	0.613066670189353	0.722878748745101	0.0425963085772153	0.569109885343081	0.682019389801691
|553137	AR	0.00307456378108294	0.967234074804897	0.980218457422493	0.0685788371769805	0.358973777310302	0.48589254359393
|57714	AR	0.111917887833168	0.133618026069547	0.234492348394375	0.0878625502714733	0.239532424877395	0.357465157517028
|645851	AR	0.132585619616196	0.0751967379990847	0.150227304105296	0.145220966760267	0.0511087924521266	0.106649859826734
|652919	AR	0.151288554476469	0.0420530346352829	0.0948416325197013	0.194411828437937	0.00872890036444719	0.0249087890303667
|653553	AR	0.0180128819131328	0.809803823772282	0.873885783454588	0.0226742065216705	0.761908316352977	0.836586456142767
|728788	AR	0.154690420888048	0.0375933864713327	0.0867522112748573	0.187585349476629	0.0114483689915404	0.0310984857575336
|729884	AR	0.0383276657841182	0.608467771864164	0.719019086819442	0.0525253834483509	0.482525813454344	0.607114624456937
|8225	AR	-0.14856107027072	0.0459418421007456	0.101988525758028	-0.16272750224007	0.0286174301290055	0.0662482515545872
|90288	AR	0.0960939360040299	0.198151801992602	0.317086308229058	0.124091516913175	0.0960418153030553	0.176630229926233
A1BG|1	AR	0.196730380329094	0.0079451722338962	0.0244868660487856	0.25234566427141	0.00061011877214183	0.00259361954525585
A1CF|29974	AR	-0.159156825417618	0.0323497888036652	0.077030912892927	-0.100835020489705	0.176809870574728	0.283436240214575
A2BP1|54715	AR	0.214977416450872	0.00365793891529726	0.0128037847160278	0.160332688006286	0.0310774557589199	0.0708289913064939
A2LD1|87769	AR	-0.128949310660093	0.0836219328273714	0.163077801204689	-0.124886226745117	0.093915332430871	0.173558052667954
A2M|2	AR	0.635587158171295	7.15631486171943e-22	3.51891554550913e-19	0.651893556297797	2.81945575669714e-23	8.92122792348253e-21
A2ML1|144568	AR	0.0872850684083316	0.242646990857874	0.369774692682352	0.0776236001362459	0.298966792268364	0.422281418883631
A4GALT|53947	AR	0.210695517944652	0.00441319424895812	0.0150043862493678	0.188750019605199	0.0109373492517169	0.0299589634315171
A4GNT|51146	AR	0.0794481165728831	0.287717848890208	0.419275664812757	0.0838531525894554	0.261738841244984	0.382239377002771
AAA1|404744	AR	-0.0587924023850906	0.431767147777045	0.564149986273035	-0.0295557774149964	0.692869617821474	0.784618532319755
AAAS|8086	AR	-0.0996600535302296	0.181933519931744	0.29706784861995	-0.122376764402483	0.100760273788022	0.183406883783854
AACS|65985	AR	-0.0685910236375502	0.35888818856711	0.493624013616358	-0.0917097179435276	0.219496035098236	0.335355884946082
AACSL|729522	AR	-0.028319597674275	0.705105600539957	0.79695361232667	-0.00706074267647018	0.924842546129972	0.951463543398125
AADAC|13	AR	-0.00798892601005998	0.914997569666644	0.947383772912371	-0.00738676120379485	0.921383182030512	0.948820769735803
AADACL2|344752	AR	0.00333254221480565	0.964486504835411	0.978557946467522	0.107441654201816	0.149970454486805	0.249620952738361
AADACL3|126767	AR	0.0461616877162955	0.537189603694767	0.658693058589753	0.0277401095969246	0.710867880478548	0.798711410953733
AADACL4|343066	AR	0.096748639535337	0.195098281086154	0.313335662500688	0.0673212193195559	0.367874682899104	0.495010337716315
AADAT|51166	AR	0.202123190605159	0.006358999018742	0.0203756280794628	0.133888922899316	0.0723497680694536	0.141211097645582
AAGAB|79719	AR	-0.36452065048349	4.53965692627811e-07	5.00786674871528e-06	-0.368408297618233	3.34816146530499e-07	3.27991978425259e-06
AAK1|22848	AR	0.38300349099102	1.02966901319436e-07	1.32172185365077e-06	0.397228663119404	3.08302874524546e-08	3.78598322952685e-07
AAMP|14	AR	-0.246801815137152	0.000810046533069533	0.00357478694335776	-0.248798013072509	0.000731984850912815	0.0030302512853423
AANAT|15	AR	0.0908431435669729	0.223901667512981	0.347882245497499	0.0748454263936024	0.316647322916545	0.442546335804668
AARS|16	AR	-0.0453273494862473	0.544578656583053	0.665047330196144	-0.0468237340496154	0.531362168484183	0.650245634180238
