Meth_ID	Gene	logE_M_pearson_cor	logE_M_pearson_p	logE_M_pearson_q	logE_M_spearman_cor	logE_M_spearman_p	logE_M_spearman_q
|100133144	AR	0.165372101397983	0.0366339743696555	0.0885800761129304	0.210622919306169	0.00750953631313613	0.0237769438205854
|100134869	AR	0.00639051748754257	0.936077093178278	0.959203306528619	-0.0431297407998476	0.588144104063621	0.712232190237447
|10357	AR	0.0914466076819628	0.250119071397901	0.387863168390796	0.0701453181764913	0.377707231618094	0.521823095663639
|10431	AR	-0.360254971317871	2.87904077834912e-06	3.47413839775678e-05	-0.403424938474159	1.59161030405034e-07	2.47105472250876e-06
|155060	AR	0.0100045799038573	0.900080274153014	0.937295357255906	0.0382251259814836	0.630953241917387	0.74549538518539
|340602	AR	0.0434953101546789	0.584982243785959	0.708551489517696	0.0676042926417296	0.395657862446208	0.539064864219989
|390284	AR	-0.156489024991641	0.0481413199819787	0.109655943577337	-0.132735107496497	0.0942822791601845	0.181847143449416
|57714	AR	0.352859196542681	4.72958148739547e-06	5.27997220796533e-05	0.372802648540959	1.44883853306702e-06	1.62382317377998e-05
|645851	AR	0.0137781476391658	0.862711930752588	0.91249303738533	0.00900035157623344	0.909977991787464	0.942372567037294
|653553	AR	-0.0782990933389309	0.325036744764564	0.468915894563045	-0.102060266730432	0.199070037834041	0.323749946093961
|728788	AR	0.0273475835534467	0.731391928557187	0.822050621361091	0.0181897375009995	0.819413906881245	0.882409909703385
|8225	AR	-0.000916993037760628	0.990817985415632	0.994015624355291	-0.0702156334231806	0.377228380667542	0.521246024579686
|90288	AR	0.174943388220812	0.0269238745846443	0.0693834149727032	0.222585843197	0.00474912581017246	0.0162208670979783
A1BG|1	AR	-0.297272851258824	0.000134854353228429	0.000894150976073524	-0.289159732802063	0.000221222769293931	0.0012196586507612
A2BP1|54715	AR	-0.00743886691946836	0.925618705955494	0.952839497610103	-0.0143618891362944	0.8568107006007	0.907659210361679
A2LD1|87769	AR	-0.0229575792959415	0.773228817879517	0.852602306493669	-0.039766201804758	0.617240692075247	0.734937632032321
A2M|2	AR	0.123610398470141	0.11940387565593	0.223041624841841	0.0839241767256533	0.291042567807514	0.431276308537438
A2ML1|144568	AR	0.305906233666993	8.36032794771039e-05	0.000601090301664357	0.321746690603252	3.34276184221865e-05	0.000240439076473845
A4GALT|53947	AR	-0.0731575112285948	0.357910195115906	0.502412310288278	-0.120432438767139	0.129188519335532	0.232921913179568
