Meth_ID	Gene	logE_M_pearson_cor	logE_M_pearson_p	logE_M_pearson_q	logE_M_spearman_cor	logE_M_spearman_p	logE_M_spearman_q
|100133144	AR	0.124844560112317	0.321742919389712	0.537973948767139	0.154955743467009	0.217757407969194	0.430289025542647
|100134869	AR	0.103033136558149	0.414077751700535	0.623274875052131	0.110031796682669	0.382910834615483	0.59961312013963
|10357	AR	0.117980362493974	0.349269883732494	0.565136176399582	0.0873688811188811	0.487973479228562	0.688830197408038
|10431	AR	-0.295194574324579	0.0169763773542412	0.0887474755425702	-0.318094405594406	0.0100909863070323	0.0639831237649574
|155060	AR	-0.208233540145393	0.0960007058452242	0.259635416822899	-0.188068181818182	0.133348627022759	0.319827742989873
|26823	AR	0.0843760446663002	0.503970627321972	0.695385300222583	0.0205808649774012	0.870734266609295	0.934579247333906
|390284	AR	-0.0925320349245538	0.463487088947253	0.662744468813214	-0.0597465034965035	0.635605815350426	0.799221369826758
|553137	AR	0.218959028093867	0.0797077494217799	0.232365472180979	0.183087664867408	0.144336728086746	0.335002262745565
|57714	AR	0.16431991288122	0.190874845227658	0.392095175940656	0.186713286713287	0.136207128063424	0.323445457102198
|645851	AR	-0.0162328284134782	0.897878094287967	0.949275657088589	-0.0158216783216783	0.900304386453282	0.950217729739496
|653553	AR	-0.110532914624218	0.380734433407106	0.592701151474612	-0.0953671328671329	0.4488997836335	0.656432539230518
|728788	AR	0.447262736012864	0.000187495479876526	0.00591245999333741	0.405535092209452	0.000804239441835422	0.0134148112750147
|729884	AR	0.196842416330935	0.116038492771116	0.289385708326539	0.226335515043177	0.0698357119201792	0.216342997475385
|8225	AR	-0.278854822405125	0.0244871024265468	0.111599614863749	-0.209527972027972	0.0939137079733027	0.258775394698899
|90288	AR	-0.0643960687280428	0.610308279494704	0.777625856718431	-0.0853669363189452	0.49895697505437	0.697190092785185
A1BG|1	AR	-0.370432291342965	0.00238611464493858	0.0260138780238563	-0.31673951048951	0.0104287666917944	0.0651256189706692
A2LD1|87769	AR	-0.104661210157252	0.40669979034095	0.616487516146472	-0.0516608391608392	0.682076573378874	0.828049776582903
A2M|2	AR	0.236380957174289	0.0579933848020332	0.189754581012527	0.209265734265734	0.0943328167808542	0.259066532877142
