|57714
ABCC4|10257
ABHD2|11057
ACBD5|91452
ADAM10|102
ADAM9|8754
ADAT1|23536
ADCY9|115
AFF4|27125
AGPS|8540
AIP|9049
AKAP10|11216
AKAP11|11215
AKAP2|11217
AKAP6|9472
AKAP9|10142
AKT1S1|84335
ALDH6A1|4329
ALG10|84920
AMOT|154796
ANKFY1|51479
ANKIB1|54467
ANKRD17|26057
ANKRD36BP1|84832
ANKRD39|51239
ANKRD50|57182
ANKRD56|345079
ANKRD5|63926
AP1G1|164
AP2S1|1175
APC|324
APOOL|139322
AR|367
ARFGEF2|10564
ARHGAP42|143872
ARHGAP5|394
ARHGEF12|23365
ARHGEF35|445328
ARID1B|57492
ARL10|285598
ARL5B|221079
ARL6IP4|51329
ARPC3|10094
ARPC5L|81873
ASAH2B|653308
ASCC3|10973
ASH1L|55870
ASXL2|55252
ATE1|11101
ATF2|1386
ATF4|468
ATF7|11016
ATF7IP|55729
ATP11A|23250
ATP11B|23200
ATP11C|286410
ATP5E|514
ATP5G2|517
ATP5I|521
ATP6V0B|533
ATP7B|540
ATP8B5P|158381
ATRN|8455
ATRX|546
ATXN1L|342371
AUP1|550
AVL9|23080
B3GAT3|26229
B4GALT5|9334
B4GALT7|11285
BAD|572
BAG4|9530
BANF1|8815
BBX|56987
BCL7C|9274
BDP1|55814
BICC1|80114
BIRC6|57448
BLOC1S1|2647
BMP2K|55589
BNIP1|662
BOD1L|259282
BOLA1|51027
BPTF|2186
BRAF|673
BRD3|8019
BRMS1|25855
BRWD3|254065
BTBD8|284697
BUD31|8896
C10orf118|55088
C11orf10|746
C11orf30|56946
C11orf31|280636
C11orf48|79081
C11orf51|25906
C11orf67|28971
C11orf83|790955
C12orf45|121053
C12orf47|51275
C12orf57|113246
C14orf118|55668
C14orf135|64430
C14orf156|81892
C14orf174|161394
C14orf21|161424
C14orf37|145407
C17orf37|84299
C17orf79|55352
C17orf89|284184
C19orf10|56005
C19orf24|55009
C19orf43|79002
C19orf50|79036
C19orf53|28974
C19orf55|148137
C19orf56|51398
C19orf61|56006
C19orf70|125988
C1orf122|127687
C1orf123|54987
C1orf31|388753
C1orf50|79078
C1orf54|79630
C1orf58|148362
C20orf107|388799
C20orf177|63939
C20orf94|128710
C2orf86|51057
C3orf54|389119
C4orf12|404201
C5orf41|153222
C5orf42|65250
C6orf1|221491
C6orf125|84300
C6orf129|154467
C7orf40|285958
C7orf59|389541
C8orf37|157657
C8orf59|401466
C9orf102|375748
C9orf129|445577
C9orf142|286257
C9orf41|138199
C9orf5|23731
CAMSAP1|157922
CAPN7|23473
CBL|867
CBR3|874
CBX6|23466
CCDC159|126075
CCDC72|51372
CCDC85B|11007
CCM2|83605
CCNT1|904
CDC14B|8555
CDC14C|168448
CDC34|997
CDC42BPB|9578
CDK12|51755
CDK8|1024
CDKL1|8814
CDKL5|6792
CEBPB|1051
CELF1|10658
CENPP|401541
CEP97|79598
CHCHD1|118487
CHD6|84181
CHD9|80205
CHMP2A|27243
CLCN3|1182
CLDN5|7122
CLIC4|25932
CLOCK|9575
CLTB|1212
CNOT1|23019
CNPY3|10695
CNTN4|152330
COG5|10466
COL4A3BP|10087
COMMD1|150684
COMMD4|54939
COX4I2|84701
COX5B|1329
COX6B1|1340
COX6C|1345
CREBBP|1387
CSNK1G1|53944
CSNK2A1P|283106
CSNK2B|1460
CSRNP3|80034
CTAGE1|64693
CTCF|10664
CTDSPL2|51496
CTNNA1|1495
CTNNB1|1499
CTTNBP2NL|55917
CUTA|51596
CXorf38|159013
CYHR1|50626
DCAF7|10238
DCDC1|341019
DCP1A|55802
DDI2|84301
DDX39|10212
DDX46|9879
DENND1B|163486
DENND4C|55667
DGAT1|8694
DGCR6L|85359
DGKH|160851
DGUOK|1716
DHX33|56919
DIP2B|57609
DIP2C|22982
DIXDC1|85458
DKFZp686O24166|374383
DLG1|1739
DMXL1|1657
DNAJB14|79982
DNAJB2|3300
DNAJC13|23317
DNAJC17|55192
DNAJC22|79962
DNAJC6|9829
DNAL1|83544
DNLZ|728489
DOCK11|139818
DPM3|54344
DPP8|54878
DPY19L3|147991
DRAP1|10589
DTWD2|285605
DYNC1H1|1778
DYNC1LI2|1783
EDF1|8721
EEF1D|1936
EFHD2|79180
EGFL7|51162
EGFR|1956
EIF2B4|8890
EIF3A|8661
EIF4EBP1|1978
ELF1|1997
ELMOD2|255520
ELOF1|84337
ENSA|2029
ENTPD5|957
EP300|2033
EPB41L5|57669
EPC1|80314
EPS8|2059
ERC1|23085
ERCC4|2072
ERN1|2081
ETV3|2117
EXOC5|10640
EXOC6B|23233
EXOSC1|51013
EXOSC4|54512
EYA3|2140
FAM100B|283991
FAM115A|9747
FAM120A|23196
FAM128B|80097
FAM160A1|729830
FAM161B|145483
FAM167B|84734
FAM168A|23201
FAM176B|55194
FAM179B|23116
FAM50A|9130
FAM58A|92002
FAM59A|64762
FAM63B|54629
FAM73A|374986
FAT1|2195
FAU|2197
FBL|2091
FBXO3|26273
FBXO34|55030
FBXW2|26190
FBXW8|26259
FER|2241
FITM2|128486
FKBP2|2286
FKBP8|23770
FKTN|2218
FLJ33630|644873
FNDC3A|22862
FNIP2|57600
FRG1B|284802
FRMD3|257019
FRMD4B|23150
FTO|79068
FUBP1|8880
FUBP3|8939
FUT11|170384
FYCO1|79443
FZD1|8321
G3BP2|9908
GADD45GIP1|90480
GALNT4|8693
GAN|8139
GAPVD1|26130
GAR1|54433
GAS5|60674
GATC|283459
GATSL1|389523
GBAP1|2630
GEMIN6|79833
GEMIN7|79760
GIPC1|10755
GLUD2|2747
GLYR1|84656
GMCL1|64395
GMFB|2764
GMPPA|29926
GNA11|2767
GNAL|2774
GNL3L|54552
GNLY|10578
GOLIM4|27333
GON4L|54856
GSK3B|2932
GSTCD|79807
GSTO1|9446
GTF2A1|2957
GTF2H3|2967
GTF2I|2969
GTF3C4|9329
GUK1|2987
H2AFX|3014
HAVCR1|26762
HAX1|10456
HEATR5A|25938
HEBP2|23593
HELZ|9931
HERC2|8924
HIGD2A|192286
HIP1|3092
HIPK1|204851
HIPK3|10114
HOXA6|3203
HRAS|3265
HSCB|150274
HSPA4L|22824
HUWE1|10075
IDE|3416
IGF1R|3480
IL6ST|3572
ILKAP|80895
IPMK|253430
IPP|3652
IREB2|3658
ITCH|83737
JAK1|3716
JMJD1C|221037
JTB|10899
KBTBD7|84078
KCND3|3752
KDM1B|221656
KDM3B|51780
KIAA0430|9665
KIAA0564|23078
KIAA0754|643314
KIAA1012|22878
KIAA1109|84162
KIAA1430|57587
KIAA1432|57589
KIAA1549|57670
KIAA1671|85379
KIAA1704|55425
KIAA1958|158405
KIAA2018|205717
KIDINS220|57498
KIF13A|63971
KIF1B|23095
KIF21A|55605
KIF27|55582
KIRREL|55243
KLF12|11278
KLF7|8609
KLHDC10|23008
KLHL11|55175
KLHL28|54813
KLHL8|57563
KRBA2|124751
KRTCAP2|200185
L2HGDH|79944
LAGE3|8270
LARP1B|55132
LASS6|253782
LATS1|9113
LCOR|84458
LDLRAD2|401944
LDOC1L|84247
LEMD2|221496
LEPROT|54741
LIMD2|80774
LIN37|55957
LMBRD2|92255
LMTK2|22853
LNPEP|4012
LNX2|222484
LOC100132707|100132707
LOC100271836|100271836
LOC150381|150381
LOC220429|220429
LOC283922|283922
LOC284441|284441
LOC388789|388789
LOC389333|389333
LOC402377|402377
LOC441208|441208
LOC541471|541471
LOC550643|550643
LOC606724|606724
LOC641298|641298
LOC650623|650623
LOC652276|652276
LOC729020|729020
LOC729234|729234
LOC729991|729991
LONP2|83752
LPP|4026
LRBA|987
LRCH1|23143
LRCH3|84859
LRRC37A4|55073
LSM10|84967
LSM12|124801
LSM2|57819
LSM4|25804
LSM7|51690
LSMD1|84316
LYRM4|57128
LYSMD4|145748
MAD2L2|10459
MAGI1|9223
MAML2|84441
MAN1A1|4121
MAN1A2|10905
MAN2A1|4124
MAP2K2|5605
MAP3K13|9175
MAP3K2|10746
MAP3K7|6885
MAP3K9|4293
MAPK8|5599
MARCH6|10299
MARCH8|220972
MBD5|55777
MDN1|23195
MEA1|4201
MED13L|23389
MED1|5469
MED27|9442
METTL14|57721
MFSD9|84804
MGAT5|4249
MIA2|117153
MIF|4282
MIIP|60672
MKL2|57496
MLL3|58508
MOB2|81532
MON1B|22879
MPDZ|8777
MPHOSPH9|10198
MPP5|64398
MPZL3|196264
MRPL14|64928
MRPL17|63875
MRPL20|55052
MRPL23|6150
MRPL27|51264
MRPL40|64976
MRPL53|116540
MRPL55|128308
MRPS15|64960
MRPS17|51373
MRPS21|54460
MRTO4|51154
MSI2|124540
MTM1|4534
MTMR12|54545
MTOR|2475
MXD3|83463
MYCBP2|23077
MYEOV2|150678
MYO5B|4645
MYO6|4646
MYO9A|4649
MYPOP|339344
N4BP2|55728
NAA10|8260
NAA30|122830
NACC2|138151
NBEAL1|65065
NBPF10|100132406
NBR1|4077
NCOA2|10499
NCOA6|23054
NCOR1|9611
NCRNA00152|112597
NDUFA13|51079
NDUFA1|4694
NDUFA2|4695
NDUFA3|4696
NDUFB11|54539
NDUFB7|4713
NDUFS5|4725
NEDD8|4738
NEK1|4750
NEK4|6787
NENF|29937
NEO1|4756
NEU3|10825
NF1|4763
NFIC|4782
NFKB1|4790
NFKBIL1|4795
NHLRC2|374354
NHP2|55651
NHP2L1|4809
NIN|51199
NME2|4831
NOL12|79159
NOP16|51491
NOSIP|51070
NOTCH2|4853
NR2C2|7182
NUP160|23279
NXT1|29107
OCLN|4950
OSBPL8|114882
OST4|100128731
PACSIN2|11252
PAFAH1B1|5048
PAFAH1B2|5049
PAR5|8123
PARD3|56288
PARD3B|117583
PARP4|143
PCDHGA2|56113
PCDHGA6|56109
PCDHGB2|56103
PCDHGB3|56102
PCGF1|84759
PCNX|22990
PCYT1A|5130
PDCD5|9141
PDCD6IP|10015
PDP2|57546
PDPK1|5170
PDPR|55066
PDZD8|118987
PEX16|9409
PFAS|5198
PFDN2|5202
PFDN5|5204
PFDN6|10471
PGLS|25796
PIK3CA|5290
PIK3R4|30849
PKD2|5311
PKP2|5318
PLEKHA7|144100
PLEKHM3|389072
PLEKHO1|51177
PLS1|5357
PLXNC1|10154
POLE4|56655
POLR2F|5435
POLR2H|5437
POLR2I|5438
POLR3A|11128
POP7|10248
PPARA|5465
PPCDC|60490
PPFIBP1|8496
PPIB|5479
PPIH|10465
PPM1A|5494
PPP1R14B|26472
PPP1R7|5510
PPP2R5E|5529
PPP4R2|151987
PPTC7|160760
PQBP1|10084
PRAF2|11230
PRKAR2A|5576
PRPF8|10594
PRR24|255783
PSENEN|55851
PSMA4|5685
PSMB1|5689
PSMB3|5691
PSMB4|5692
PSMC1|5700
PSMD13|5719
PSMD4|5710
PSME2|5721
PSMG3|84262
PSMG4|389362
PTAR1|375743
PTPLB|201562
PTPN11|5781
PTPN21|11099
PTPRG|5793
PTPRK|5796
PTRH2|51651
PUM1|9698
PUS1|80324
PVRL3|25945
PXK|54899
QPCTL|54814
QSER1|79832
RAB11FIP2|22841
RAB13|5872
RAB19|401409
RAB24|53917
RAB4B|53916
RABAC1|10567
RAD54L2|23132
RAG1|5896
RALGAPA2|57186
RAPGEF2|9693
RAPGEF6|51735
RASA1|5921
RASA2|5922
RASEF|158158
RB1|5925
RBL1|5933
RBL2|5934
RBM34|23029
RBM43|375287
RBMX2|51634
RBX1|9978
RC3H2|54542
RDBP|7936
RDX|5962
RECQL|5965
REL|5966
RER1|11079
REST|5978
REV3L|5980
RFX3|5991
RFXANK|8625
RGP1|9827
RHOG|391
RIF1|55183
RNF111|54778
RNF113A|7737
RNF168|165918
RNF169|254225
RNF181|51255
RNF217|154214
RNF25|64320
RNF38|152006
RNF7|9616
ROBLD3|28956
ROCK1|6093
ROCK2|9475
ROMO1|140823
ROR1|4919
RORA|6095
RPF2|84154
RPGRIP1L|23322
RPIA|22934
RPL11|6135
RPL12|6136
RPL13A|23521
RPL13AP20|387841
RPL18|6141
RPL19|6143
RPL24|6152
RPL27A|6157
RPL28|6158
RPL30|6156
RPL31|6160
RPL32|6161
RPL34|6164
RPL35|11224
RPL36|25873
RPL37|6167
RPL37A|6168
RPL38|6169
RPL39|6170
RPL7A|6130
RPL8|6132
RPLP1|6176
RPLP2|6181
RPP21|79897
RPP30|10556
RPRD1B|58490
RPS10|6204
RPS11|6205
RPS14|6208
RPS15|6209
RPS16|6217
RPS17|6218
RPS18|6222
RPS19|6223
RPS19BP1|91582
RPS20|6224
RPS24|6229
RPS27A|6233
RPS3|6188
RPS6KA3|6197
RPS6KA6|27330
RPS7|6201
RPS8|6202
RPS9|6203
RRAGC|64121
RREB1|6239
RRP1|8568
RSF1|51773
RSPH3|83861
RSPRY1|89970
RSRC1|51319
RUNDC2A|84127
S100A11|6282
S100A13|6284
SAC3D1|29901
SARNP|84324
SBF2|81846
SBNO1|55206
SCAPER|49855
SCNM1|79005
SCYL2|55681
SDF2L1|23753
SDHAF1|644096
SDHAF2|54949
SEC24B|10427
SEC61B|10952
SECISBP2L|9728
SEMA5A|9037
SEPT11|55752
SEPW1|6415
SERF2|10169
SERGEF|26297
SERINC5|256987
SERPINB6|5269
SERTAD4|56256
SESN3|143686
SETD2|29072
SETX|23064
SF3B5|83443
SFRS2IP|9169
SGK196|84197
SH3BGRL3|83442
SH3D19|152503
SHFM1|7979
SHPRH|257218
SIK2|23235
SIPA1L1|26037
SKAP2|8935
SLC12A6|9990
SLC16A12|387700
SLC24A1|9187
SLC25A19|60386
SLC25A28|81894
SLC25A40|55972
SLC2A13|114134
SLC30A1|7779
SLC30A4|7782
SLC35E2|9906
SLC7A6OS|84138
SLC9A3R2|9351
SLFN5|162394
SLK|9748
SLMAP|7871
SMAD9|4093
SMARCA5|8467
SMCR8|140775
SMG1|23049
SMPD2|6610
SMUG1|23583
SNHG6|641638
SNORD116-4|100033416
SNRNP200|23020
SNRPA|6626
SNRPD2|6633
SNRPF|6636
SNRPG|6637
SNX12|29934
SNX19|399979
SNX30|401548
SOCS7|30837
SOS2|6655
SPAG9|9043
