Meth_ID	Gene	logE_M_pearson_cor	logE_M_pearson_p	logE_M_pearson_q	logE_M_spearman_cor	logE_M_spearman_p	logE_M_spearman_q
|100133144	AR	-0.0259951955535477	0.734239066989925	0.841276082945464	-0.0136259280752764	0.858777883042166	0.921670264976756
|100134869	AR	0.00634629460576686	0.933956366500458	0.964106539499597	0.0360847350785288	0.637402705849918	0.77485725209005
|10357	AR	0.0395589191732076	0.605333047565327	0.75249629647925	0.0483970066355005	0.527178377731945	0.689735271642018
|10431	AR	-0.129978735362059	0.0882974821523518	0.213762785311795	-0.169885646569749	0.0254458258202159	0.0856453061385102
|155060	AR	0.0500772095371261	0.51291950001805	0.680200555118067	0.0592710543884569	0.438565032477045	0.611752532847368
|26823	AR	0.017420038024578	0.820049716117056	0.89692937700303	0.0171342345828055	0.822953166915569	0.900516274612591
|388795	AR	-0.00410254589146606	0.957278077610001	0.976796528979408	0.0122698648637935	0.872707039305883	0.930070149002805
|390284	AR	-0.0498293838292634	0.515010054985532	0.681912369197924	-0.0744627396079921	0.330227048044336	0.509925067740931
|391714	AR	-0.0331677828834767	0.664861744142222	0.793958689568996	-0.0498627950253268	0.514727956350325	0.678359734943259
|57714	AR	0.0688044113083432	0.368393560977536	0.552079918636667	0.0331263997739654	0.665254645095213	0.794103174419257
|645851	AR	0.0637662715544365	0.404572549598353	0.585516536925475	0.0357232253375191	0.640780127410208	0.776373407243777
|652919	AR	0.169729405759451	0.0255831900433049	0.0895903926381027	0.196060216600037	0.00973183362457341	0.0430725763497815
|653553	AR	0.188546301201206	0.0129812225327754	0.055433060560871	0.202161666317623	0.00764534827341946	0.0362074191536376
|728788	AR	-0.0198103934322884	0.795865600326709	0.881924065819305	-0.00238793281758061	0.975125432278749	0.987271408791947
|8225	AR	0.119762963442966	0.116538393421611	0.258400498044347	0.134739896972658	0.077153315336097	0.189223005434251
|90288	AR	0.0502029894186973	0.51186015212092	0.67922553825449	0.0435121537436922	0.569740766634906	0.722573867360178
A1BG|1	AR	0.0733918790114928	0.337248432698459	0.522837985406849	0.0740141671074723	0.333156737415966	0.512513553200465
A2LD1|87769	AR	-0.0795162175698966	0.29836866716256	0.482739886603003	-0.0950883714180957	0.213335061404725	0.380931639612839
A2M|2	AR	0.145180266916618	0.0566742685719365	0.157204518962362	0.139816466890721	0.0665517830279446	0.170023720716595
A2ML1|144568	AR	-0.108480168810795	0.155408061254352	0.313490091075588	-0.132088373193428	0.0832103786506691	0.199402801326253
A4GALT|53947	AR	0.0939666016637126	0.21880929244801	0.393010074846679	0.100200415144693	0.189628162804364	0.352100581394968
A4GNT|51146	AR	-0.149025600037216	0.0503642873531635	0.144291363778648	-0.156903192255702	0.0392491883888275	0.116559583337965
AAAS|8086	AR	0.0194725806925205	0.79927217998515	0.883950003130222	0.0385593570656445	0.614486418292557	0.757935903669417
AACS|65985	AR	-0.0486131995356155	0.525332503804489	0.690273487442767	-0.0272310136965531	0.722112080915441	0.834220578593396
AADAT|51166	AR	0.302064162245324	5.36822011715521e-05	0.000882335394746148	0.294615850534152	8.33126715048029e-05	0.00115052466044318
AAGAB|79719	AR	-0.318157747450619	1.9923154334231e-05	0.000402909146457639	-0.381687546645994	2.20175662278374e-07	1.05766331750629e-05
AAK1|22848	AR	-0.122410569530775	0.108619932663673	0.245958569390782	-0.140174016145708	0.0658523132787608	0.16873208499441
