Meth_ID	Gene	logE_M_pearson_cor	logE_M_pearson_p	logE_M_pearson_q	logE_M_spearman_cor	logE_M_spearman_p	logE_M_spearman_q
|100133144	AR	0.237196521303135	5.2572549155661e-08	1.42418407832117e-07	0.211809461058347	1.26328417369263e-06	2.96676463076705e-06
|100134869	AR	-0.17575242916897	6.17277619326288e-05	0.000121247193314176	-0.226026128033676	2.23004355284575e-07	5.66047568478515e-07
|10357	AR	0.230699035613155	1.2292954190433e-07	3.20915930909854e-07	0.228445420004326	1.64093235101928e-07	4.23371351864298e-07
|10431	AR	-0.430954125964838	1.16659047969588e-24	1.45108368470108e-23	-0.41064943131071	2.49177828108838e-22	2.38656986477576e-21
|155060	AR	-0.0806764350010669	0.067611385875827	0.0885285037568522	-0.0602386316932027	0.172687885834603	0.21032420712035
|26823	AR	-0.0739901631824911	0.0937996264033924	0.119767853591652	-0.0810873819905592	0.0662205019436973	0.0869292205519943
|340602	AR	-0.312424386611492	4.2258749063481e-13	1.83096464904351e-12	-0.322649390413169	6.4489137645094e-14	3.00972586085929e-13
|390284	AR	0.174483493446052	6.98697052166852e-05	0.00013640060218952	0.176069036220559	5.98406648810812e-05	0.000117930162614294
|57714	AR	0.626057177239336	2.74206472523924e-57	9.84858247148427e-55	0.606039658897118	7.45750467194795e-53	1.29866040953922e-50
|645851	AR	0.0675454733542557	0.126170140014524	0.157267964272315	-0.00967295044296861	0.826827537925485	0.850862935225653
|653553	AR	-0.0412990385608178	0.350080534054603	0.398533307389154	-0.0268934305766941	0.542960772915458	0.591435125106621
|728788	AR	0.154768750337859	0.000429034268583737	0.000762609628867267	0.158950668935231	0.000296987361988512	0.000539749327501786
|8225	AR	-0.328464482658843	2.14350892020668e-14	1.04864057276853e-13	-0.290310763602157	1.93507902295108e-11	7.23713745918828e-11
|90288	AR	0.309940562500825	6.60006799810531e-13	2.80812369909515e-12	0.324477210012312	4.57333829665787e-14	2.15716421981892e-13
A1BG|1	AR	0.153034613225007	0.000498396965836063	0.000876771805205482	0.176826213679659	5.55461039199253e-05	0.000109956921756747
A2BP1|54715	AR	-0.210384934391317	1.49348943730211e-06	3.48602191972494e-06	-0.233356892164269	8.71085175440662e-08	2.31180856289979e-07
A2LD1|87769	AR	0.190178187736689	1.41952883926223e-05	2.9862937387286e-05	0.174314891787999	7.10248099950056e-05	0.000138828540171644
A2M|2	AR	0.331173457120282	1.27278657634738e-14	6.37687898175787e-14	0.374615147586005	1.43406487218563e-18	9.96504570595738e-18
A2ML1|144568	AR	0.275260579006691	2.17510415448369e-10	7.35847637819835e-10	0.307514967281854	1.01598869574091e-12	4.25757051885593e-12
A4GALT|53947	AR	-0.0177310543362963	0.688387998136858	0.726497799129696	-0.0231135018699935	0.601104123769783	0.646195366576732
A4GNT|51146	AR	0.111053167912746	0.0117549373529522	0.017244309050791	0.0770581924124073	0.0809200327954495	0.104569474956416
AAAS|8086	AR	-0.327876631837903	2.39856190091248e-14	1.16844326566067e-13	-0.33658809275181	4.4209180612651e-15	2.26632849765716e-14
AACS|65985	AR	-0.274200730523371	2.56512435228523e-10	8.62714471974197e-10	-0.277564920829272	1.51592407917927e-10	5.21127240778676e-10
AACSL|729522	AR	-0.215578554912148	8.06723922728682e-07	1.93892658968946e-06	-0.210353077201179	1.49907125659611e-06	3.49526487202014e-06
AADAT|51166	AR	-0.261028402130505	1.87845020447702e-09	5.80575143872066e-09	-0.283399973264351	5.98477976605073e-11	2.13839592055367e-10
AAGAB|79719	AR	0.0510005885532448	0.248418400612437	0.292256941896985	0.054068047200021	0.221058523872918	0.263485132160475
AAK1|22848	AR	-0.0395383053950311	0.371020835010051	0.419766320749001	-0.00545432015705243	0.901823735515878	0.917199056120213
AAMP|14	AR	-0.306701311966261	1.17312736675334e-12	4.87342549465725e-12	-0.269244488318032	5.49523608584528e-10	1.79461773290344e-09
AANAT|15	AR	-0.076523415879916	0.0830558441991237	0.107008650623488	-0.0243963924660234	0.58105797505529	0.627383947513822
AARS|16	AR	-0.0889107626259785	0.0439224070144713	0.0592088745742032	-0.126813714067371	0.00398053322556815	0.00624085056464122
AARS2|57505	AR	-0.20314997608865	3.43357912720844e-06	7.72577710168017e-06	-0.182989728756206	2.99485079765725e-05	6.09289919183514e-05
AARSD1|80755	AR	-0.624715204611829	5.5652354489714e-57	1.95805426816871e-54	-0.631525347702635	1.47845200281146e-58	4.47166886464378e-56
AASDH|132949	AR	0.331636628184882	1.16365973061064e-14	5.86421916273822e-14	0.34848438221129	4.02077914047344e-16	2.26308300299582e-15
AASDHPPT|60496	AR	-0.119247413708899	0.00679745691813699	0.0103076926087327	-0.216725122274954	7.02707586458559e-07	1.69530909467472e-06
AASS|10157	AR	0.440532303533488	8.16519810017629e-26	1.12344784714317e-24	0.450385705179423	4.84039410003331e-27	6.85689353201103e-26
AATF|26574	AR	-0.201848161219387	3.97597543914573e-06	8.87899178379176e-06	-0.167324748380673	0.000138304953614224	0.000261158532344931
AATK|9625	AR	-0.232798619567029	9.36768245096775e-08	2.47773619905928e-07	-0.249619864212415	9.66233345587989e-09	2.80482621281982e-08
ABAT|18	AR	-0.0430929733317412	0.329530661814028	0.377281751206923	-0.119243650183704	0.00679921854947769	0.0103476807726867
ABCA10|10349	AR	-0.0112818732672076	0.79859708804371	0.8270447406664	-0.0269055852973078	0.542778406175936	0.591311198892457
ABCA1|19	AR	0.552294482869783	2.22053411516443e-42	1.60848773720314e-40	0.578223404346512	3.4322265630679e-47	3.28731033040503e-45
ABCA11P|79963	AR	-0.109818989581305	0.0127295917468747	0.0186170819236613	-0.14824898388732	0.000747595617398705	0.00129061382088204
ABCA12|26154	AR	-0.0191366760789917	0.665129698321378	0.7043511055934	-0.0544147639127184	0.218107099950522	0.260316855935016
ABCA13|154664	AR	0.372441773320603	2.33783598447585e-18	1.66477870187376e-17	0.401148323787304	2.71115258876604e-21	2.37019627942832e-20
ABCA17P|650655	AR	-0.371055778097321	3.18662424851672e-18	2.23777605068954e-17	-0.384764187341933	1.39324312259481e-19	1.05952851493315e-18
ABCA2|20	AR	-0.0941186396495991	0.0328952370207551	0.0452424320891757	-0.117437331054743	0.00769346720970716	0.011618375498892
ABCA3|21	AR	-0.257348919617946	3.21351406290822e-09	9.74340176653847e-09	-0.27946870859697	1.1220830564818e-10	3.90329134256381e-10
ABCA4|24	AR	-0.0504822295283106	0.253265616647096	0.297452090128478	-0.0564841553820733	0.20107759639451	0.241826143135079
ABCA5|23461	AR	0.00205882985307889	0.962861275103215	0.970176994902363	-0.023250118346453	0.598954631257302	0.644085444291161
ABCA6|23460	AR	0.290104989605317	2.00213591861182e-11	7.43897052518702e-11	0.287651886702606	2.99879612017196e-11	1.10138996829494e-10
ABCA7|10347	AR	0.13202444141141	0.00270821363118413	0.00432711797976037	0.133961692553583	0.00233877622512086	0.00378596264047734
ABCA8|10351	AR	0.230255928394837	1.30143112008213e-07	3.39127456321281e-07	0.213607107096627	1.02103951122105e-06	2.42328209986934e-06
ABCA9|10350	AR	0.154431208342753	0.000441787551425829	0.000783582035656511	0.116004090010995	0.0084762935895814	0.0127225580258039
ABCB10|23456	AR	-0.0247460480114248	0.575648929374116	0.620106694726928	-0.0865724295755768	0.0498046004480094	0.0668247577028315
ABCB1|5243	AR	0.0582825634280278	0.187081631621912	0.225544568472851	0.014856997631127	0.736848304160434	0.770782401779375
ABCB4|5244	AR	0.134161999959492	0.00230332878242822	0.00371046423183167	0.157019122153423	0.000352386122386445	0.000633090532507536
ABCB6|10058	AR	-0.302582098716318	2.41308963008916e-12	9.75420052115759e-12	-0.266085242495574	8.85943615141891e-10	2.84214140771236e-09
ABCB7|22	AR	0.394183180043534	1.48653641729734e-20	1.29761457388386e-19	0.444625799531711	2.55298081290742e-26	3.38044464013241e-25
ABCB8|11194	AR	-0.0759790603702898	0.0852764529210576	0.109640245235218	-0.0631584774986218	0.152761977513165	0.188034877361628
ABCB9|23457	AR	-0.227914320557479	1.75575356724319e-07	4.50904089070052e-07	-0.262664926176294	1.4754463992412e-09	4.6358111760376e-09
ABCC10|89845	AR	0.128292761420996	0.00357327035799768	0.00561970269767196	0.128556236900041	0.0035048199792837	0.00553679982065894
ABCC11|85320	AR	0.175920741993986	6.07176698323022e-05	0.000119344730123007	0.140636017313268	0.00139068713323137	0.00232297705424947
ABCC12|94160	AR	-0.138464929510864	0.00165099050245347	0.00271438835230763	-0.137070214742036	0.00184104380473151	0.00302483514662835
