|57714
AARSD1|80755
ABCA1|19
ABCD3|5825
ABHD15|116236
ACADM|34
ACAT2|39
ACSM5|54988
ACTL6B|51412
ADAM28|10863
ADAM9|8754
AFF1|4299
AGL|178
AHCYL1|10768
AHCYL2|23382
AHNAK|79026
AKAP13|11214
AKIRIN1|79647
ALOX5|240
AMOT|154796
ANKFY1|51479
ANKRD27|84079
ANKRD36BP1|84832
ANKRD39|51239
ANO6|196527
ANTXR1|84168
AP1S1|1174
AP3B2|8120
APBB1IP|54518
AR|367
ARAP2|116984
ARHGAP5|394
ARHGAP6|395
ARHGEF10L|55160
ARHGEF6|9459
ARID1A|8289
ASAP3|55616
ASPHD1|253982
ATL3|25923
ATP11A|23250
ATP8B4|79895
B3GALT5|10317
BARD1|580
BBS1|582
BBX|56987
BHLHE41|79365
BIN2|51411
BLNK|29760
BMP2K|55589
C11orf51|25906
C12orf45|121053
C12orf47|51275
C14orf80|283643
C15orf33|196951
C16orf91|283951
C17orf81|23587
C19orf55|148137
C1orf109|54955
C1orf230|284485
C1orf83|127428
C21orf88|114041
C22orf36|388886
C2orf67|151050
C2orf77|129881
C3|718
C3AR1|719
C3orf15|89876
C4orf31|79625
C5orf33|133686
C7orf58|79974
CACHD1|57685
CAMK2N2|94032
CAMLG|819
CAP1|10487
CARD8|22900
CASS4|57091
CCDC135|84229
CCDC146|57639
CCDC163P|126661
CCDC64|92558
CCR1|1230
CD274|29126
CD2AP|23607
CD3EAP|10849
CD53|963
CD84|8832
CD86|942
CDC14A|8556
CDK5R2|8941
CELF3|11189
CEPT1|10390
CHCHD6|84303
CHGB|1114
CLCC1|23155
CLIC4|25932
CLTA|1211
CLTB|1212
CNN3|1266
COL4A6|1288
COL8A2|1296
COX7A2|1347
CPT2|1376
CREB3L2|64764
CSDE1|7812
CSF1|1435
CSF1R|1436
CSF2RB|1439
CSPP1|79848
CTNND1|1500
CTTNBP2NL|55917
CX3CR1|1524
CYB5RL|606495
CYBB|1536
CYBRD1|79901
CYSLTR1|10800
DAAM1|23002
DBT|1629
DDR2|4921
DDX41|51428
DFFA|1676
DHPS|1725
DLEC1|9940
DMD|1756
DNAJB4|11080
DNAJC10|54431
DNAJC16|23341
DNAL1|83544
DNALI1|7802
DOCK2|1794
DOCK7|85440
DOCK8|81704
DPY19L3|147991
DR1|1810
DTHD1|401124
DUSP18|150290
DYNC2H1|79659
EBP|10682
ECM2|1842
ECSIT|51295
EGF|1950
EIF2C1|26523
EIF2C3|192669
ELF1|1997
ELF4|2000
ELK3|2004
ELMO2|63916
EMP1|2012
EPB41L2|2037
ERBB2IP|55914
EVI2B|2124
EVI5|7813
EYA3|2140
F2RL1|2150
FAHD1|81889
FAM114A1|92689
FAM59A|64762
FAM76A|199870
FAT1|2195
FBLL1|345630
FBXL15|79176
FBXO42|54455
FDPS|2224
FIBP|9158
FLJ23867|200058
FNBP1L|54874
FOXJ3|22887
FPGT|8790
FUT10|84750
FXR2|9513
FYB|2533
FYCO1|79443
GALNT4|8693
GAN|8139
GAPT|202309
GBAP1|2630
GIT1|28964
GJA1|2697
GLI3|2737
GLIS3|169792
GNA13|10672
GNAI3|2773
GNG12|55970
GOLIM4|27333
GPBP1L1|60313
GPC4|2239
GPR162|27239
GPR34|2857
GPRIN1|114787
GRAMD3|65983
GRIPAP1|56850
H6PD|9563
HARS|3035
HAS2|3037
HCG22|285834
HDAC1|3065
HEATR5A|25938
HEXIM2|124790
HIPK1|204851
HIST2H2BA|337875
HK2|3099
HP1BP3|50809
HPS3|84343
HS3ST1|9957
IDH3G|3421
IFI44L|10964
IKZF1|10320
IL13RA1|3597
IL6R|3570
IMP3|55272
INO80C|125476
IPP|3652
IQCH|64799
IQGAP1|8826
ITGAM|3684
ITGB4|3691
ITGB5|3693
ITPR2|3709
ITSN1|6453
JAK1|3716
JAM2|58494
JUB|84962
KANK2|25959
