Meth_ID	Gene	logE_M_pearson_cor	logE_M_pearson_p	logE_M_pearson_q	logE_M_spearman_cor	logE_M_spearman_p	logE_M_spearman_q
|100133144	AR	0.132149907824951	0.0113855816218341	0.0171422526363522	0.152430151028348	0.00346357895434463	0.00566163296892415
|100134869	AR	-0.000463640414584865	0.992947093483195	0.994305687677898	-0.0235273407644012	0.653700771577354	0.695148016852716
|10357	AR	0.124235214416944	0.0174139845328145	0.0254846905074392	0.101665336283421	0.0519730136117533	0.0703444428516173
|10431	AR	-0.453104035245277	6.26721708928386e-20	7.39256134465637e-19	-0.47961280956922	1.88237724710148e-22	2.80891158995189e-21
|155060	AR	-0.245906620412124	1.91976220746523e-06	4.80194054721107e-06	-0.24204396616285	2.80545000871904e-06	6.89205837509693e-06
|390284	AR	-0.0310215232207594	0.554125849178775	0.601535888459241	-0.0875986660488764	0.094259075659901	0.121923889660403
|553137	AR	-0.0852429869469986	0.103486586928063	0.132440786593176	-0.093455102209137	0.0741485881132711	0.097777757347402
|57714	AR	0.315997106733777	6.25520010435639e-10	2.33677440557407e-09	0.352109565689214	4.01648483104155e-12	1.90428216326855e-11
|645851	AR	0.101995325979276	0.0512121138345452	0.0694020911413191	0.0946996343255432	0.070360620337283	0.0931948295533558
|653553	AR	-0.491093141018851	1.29512066851832e-23	2.40238915712137e-22	-0.502227189575201	8.75581931801273e-25	1.74909983671617e-23
|8225	AR	-0.210807320042729	4.80412059150265e-05	0.000100730753540545	-0.19587445988707	0.000162546829205209	0.000319790627692213
|90288	AR	0.221645133083661	1.87602435738578e-05	4.14687921173372e-05	0.200036420734052	0.000116754497175397	0.000234250985547797
A1BG|1	AR	0.274075958820668	9.94055334520415e-08	2.89898296343293e-07	0.196731864378329	0.000151919825121035	0.000300425092639866
A1CF|29974	AR	0.365504453119994	5.20193241279398e-13	2.76697435673591e-12	0.378833270275199	6.17812814747267e-14	3.58852962851578e-13
A2LD1|87769	AR	0.0965363896067014	0.0650603405464231	0.0864378517679047	0.0773969708792997	0.13944958330829	0.174770587751753
A2M|2	AR	-0.0906145877935456	0.0834174799399097	0.108656649503478	-0.109595899492471	0.0360965688534783	0.050280375041946
A4GALT|53947	AR	-0.0647973585013388	0.216196230008846	0.259619294404268	-0.075185782705152	0.151144396243165	0.188167936589438
AAAS|8086	AR	-0.298973947930918	5.40762382538063e-09	1.81429779563354e-08	-0.271767729798041	1.28366894571493e-07	3.68880130197324e-07
AACS|65985	AR	-0.396891743165167	2.93662610084752e-15	2.00095712440736e-14	-0.413475177543028	1.5123062566167e-16	1.18030261937884e-15
AADAC|13	AR	0.539885682533935	4.47116392890046e-29	1.67809348296565e-27	0.555945306531167	4.46528932451763e-31	1.93267804876501e-29
AADAT|51166	AR	0.453236346579817	6.09569085537236e-20	7.21136799870319e-19	0.47660017439311	3.7372300617312e-22	5.42589190477313e-21
AAGAB|79719	AR	-0.24483867236881	2.13340375425386e-06	5.30091571716688e-06	-0.259888528862686	4.61058688354969e-07	1.24118139796077e-06
AAK1|22848	AR	-0.0298996456060686	0.568552417660755	0.614751358320853	0.00834029683911091	0.873656080376996	0.891880329073676
AAMP|14	AR	-0.177046351658822	0.00066790272628251	0.00120397467486282	-0.192905118583697	0.000204979437105962	0.00039825919112382
AARS|16	AR	0.0745245510596468	0.154782293646101	0.191497595665888	0.0811440463450986	0.121231994319216	0.153745773513996
AARS2|57505	AR	0.0178301882638429	0.73387777834562	0.769431927403974	0.0347265952364196	0.507787876862889	0.559188332218684
AARSD1|80755	AR	-0.418610411981596	5.83439456043497e-17	4.78307468521199e-16	-0.453872072849891	5.33388283544042e-20	6.11251583867802e-19
AASDH|132949	AR	0.356230719274004	2.16352695127729e-12	1.0679015157117e-11	0.381146646966361	4.22560784057491e-14	2.50226229647284e-13
AASDHPPT|60496	AR	0.287467888865454	2.15096773684977e-08	6.76288450127283e-08	0.272990075795572	1.12144447951766e-07	3.24754992171112e-07
AASS|10157	AR	0.550551680386844	2.15684737283612e-30	9.46250668938266e-29	0.527907102710151	1.18620098388676e-27	3.43507590675553e-26
AATF|26574	AR	-0.275852835300929	8.15129283531731e-08	2.40109707174248e-07	-0.303896411454607	2.93956046136904e-09	1.01262008961281e-08
