Meth_ID	Gene	logE_M_pearson_cor	logE_M_pearson_p	logE_M_pearson_q	logE_M_spearman_cor	logE_M_spearman_p	logE_M_spearman_q
|100133144	AR	0.0383097943004372	0.400378787907212	0.484202415385935	0.0121458426242477	0.789833026912296	0.833857138791662
|100134869	AR	0.0975616399744943	0.0318787457197804	0.055116832707564	0.0791792838500365	0.0818286477508771	0.12039924782111
|10357	AR	-0.0864221612920331	0.057442665310347	0.0921969823202769	-0.0689135225239581	0.130031521302672	0.180362606905845
|10431	AR	-0.24601896769869	4.1837471182536e-08	2.93116269167164e-07	-0.26673145730411	2.50307900045052e-09	1.6861207648171e-08
|155060	AR	0.0857633752089499	0.059377131335354	0.0948981626364151	0.0767038219027684	0.0918719589073383	0.133308107331789
|388795	AR	-0.0733811209655369	0.106878252514999	0.157927305184334	-0.0278913586434877	0.540443569794025	0.611593612254815
|390284	AR	-0.167006212678287	0.000223737136327437	0.000670011642293823	-0.162112804819063	0.00034231531004059	0.000864880713284106
|57714	AR	0.228439818504991	3.77424365355308e-07	2.12763614882159e-06	0.245300026945589	4.5931003410069e-08	2.46636951313621e-07
|645851	AR	0.0121471430063511	0.789811051842535	0.837973213795303	-0.0148010151691928	0.745333838480794	0.796347553649294
|653553	AR	-0.196272785664029	1.3662869200523e-05	5.42379251546558e-05	-0.231198056437657	2.70316616681117e-07	1.23998973714454e-06
|729884	AR	-0.0606571056110621	0.182783721342384	0.250820528208573	-0.060162951089106	0.186381467150782	0.246760168194734
|8225	AR	-0.035835486502865	0.431519079154717	0.515061934523336	-0.0629827826275398	0.166538524411835	0.223462636383327
|90288	AR	0.160153348634381	0.000404515527517717	0.00113629284640382	0.192271471458053	2.05494861337246e-05	6.61250379083718e-05
A1BG|1	AR	-0.0154625277917773	0.73437146508424	0.791424193865584	0.0348777524860742	0.443938482759003	0.518832053311591
A2LD1|87769	AR	-0.053203292281201	0.24269647335241	0.318807295445551	-0.0638738272461884	0.160609779052419	0.21661549508846
A2M|2	AR	0.443152979838285	1.06334253617658e-24	4.1837695423384e-22	0.503384337418061	1.86415161597155e-32	8.4926823093946e-30
A2ML1|144568	AR	0.0536838504916811	0.238461469114064	0.314126080756557	0.0417038288942642	0.359923841853393	0.434306931774304
A4GALT|53947	AR	-0.0900987101476467	0.0475826360916827	0.0781324666621655	-0.12935484054998	0.00436597932052891	0.00874408074930547
A4GNT|51146	AR	0.0172725222188846	0.704657265497399	0.766270513837373	0.0931455064118518	0.0405249847152158	0.0647980544370385
AAAS|8086	AR	-0.049743379191481	0.274744811081523	0.353792187551571	-0.0893311283671504	0.0495148492771194	0.0773437761152658
AACS|65985	AR	-0.0372171184986538	0.413961269519792	0.497661717894225	-0.0714035432491179	0.116690102938693	0.16425230198184
AACSL|729522	AR	0.190882793680276	2.36306797514215e-05	8.87598888818852e-05	0.199470086123383	9.80157087898465e-06	3.35345444776645e-05
AADAC|13	AR	0.114234105080636	0.0119069747043991	0.0231428703359781	0.0897446540203097	0.048465894923413	0.0759863768261299
AADACL2|344752	AR	0.0497954325299677	0.274242251101754	0.353276423176841	0.0697604826619035	0.125367080449967	0.174788990637821
AADAT|51166	AR	0.0402953710443906	0.376391166168801	0.460305444243733	-0.00242360749276186	0.957587236628627	0.966760938761436
AAGAB|79719	AR	-0.189736695343006	2.64988001113937e-05	9.8612903595969e-05	-0.208979313749714	3.53582998874517e-06	1.31809407332378e-05
AAK1|22848	AR	0.167237807451308	0.000219214331144998	0.00065757866858405	0.156250078685722	0.00056095007559746	0.00135706647690654
AAMP|14	AR	-0.0923427141008525	0.0422928299731498	0.0705165628907993	-0.120121197409511	0.00815900515557413	0.0153681533297029
AANAT|15	AR	-0.063887401848792	0.160520703671398	0.224324703096484	-0.0700875063252684	0.123601258118418	0.172786254889055
AARS|16	AR	0.0224321203780746	0.622512560976028	0.693630524272189	-0.00757274143946573	0.868021662454792	0.896579603431726
AARS2|57505	AR	0.0520191510473622	0.253356087276484	0.330179206784891	0.0394478159203796	0.386520312546505	0.460510697971034
AARSD1|80755	AR	-0.258358930416124	8.05024774752321e-09	6.62070731615781e-08	-0.305876568529508	6.09545998460006e-12	6.61596258641983e-11
AASDH|132949	AR	0.0299460074415111	0.511016274852711	0.591199796194208	0.0411448597991112	0.366404433152069	0.441083762622996
AASDHPPT|60496	AR	0.0229381720373504	0.614682251360875	0.686762125560469	0.028351328273864	0.533783066095664	0.605719221306249
AASS|10157	AR	0.139432940215715	0.00210767362276331	0.00494083219462132	0.112436843859768	0.0133211041860137	0.0238954466550895
AATF|26574	AR	-0.169132513323572	0.000185298835164969	0.000565466848999814	-0.221799094834984	8.2871457242821e-07	3.48898508703239e-06
AATK|9625	AR	0.0738616484249149	0.10459538007425	0.154990603427665	0.102641121532595	0.0239311372326036	0.0404033399425428
ABAT|18	AR	0.107976705027527	0.0174874110479164	0.0325599118156086	0.145561723802603	0.00132183424906751	0.0029523409263136
ABCA10|10349	AR	0.0933334923015742	0.0401201641839615	0.067295832027201	0.110471641602104	0.0150348575712466	0.0266438176142309
ABCA1|19	AR	0.140207263314681	0.00198900111729056	0.00469762446692144	0.155210002098422	0.000611238226110683	0.00146602329875702
ABCA11P|79963	AR	0.0120548309262565	0.791371440454792	0.839268707250267	-0.00109818060709017	0.980774829710136	0.984870873082475
ABCA12|26154	AR	0.0529214767508191	0.245204406359141	0.321418844770913	0.0302135940626402	0.507246179419148	0.580514699418542
ABCA13|154664	AR	0.0513317088964202	0.259691442299097	0.336939087842462	-0.00904994809387794	0.842584954231451	0.876243811356694
ABCA17P|650655	AR	0.00592411561144242	0.896570630982091	0.922576721562171	0.0321614122945588	0.480247735540604	0.554122153937546
ABCA2|20	AR	0.157641133190278	0.000499683702019052	0.0013665915085867	0.159215918972486	0.000437857941215743	0.00108381422338103
ABCA3|21	AR	0.304505997771971	7.64594015585567e-12	1.25823684389899e-10	0.325459061303483	2.09754196730708e-13	3.03110572103674e-12
ABCA4|24	AR	-0.039895841729469	0.38114544415758	0.464904525417884	-0.0495787979529125	0.276337918382296	0.347430066739046
ABCA5|23461	AR	0.00297763840324485	0.947904246972213	0.962018895742933	-0.0559869948278262	0.21888681685671	0.283614143658661
ABCA6|23460	AR	0.361595484868645	2.13752354967273e-16	1.04238894906857e-14	0.43952222746283	2.79731545695542e-24	2.81553053434955e-22
ABCA7|10347	AR	0.0865706743018264	0.0570138639358494	0.0916394741853742	0.0856183959909147	0.0598100062237433	0.0913884225724134
ABCA8|10351	AR	0.38938270048094	5.69324052664608e-19	5.35659673898353e-17	0.420627751893299	3.57082370885758e-22	2.53352869048125e-20
ABCA9|10350	AR	0.346986183729891	3.85799424878387e-15	1.39727189194448e-13	0.392026820679367	3.14256761721595e-19	1.24780116030373e-17
ABCB10|23456	AR	-0.0747646382948683	0.100410049815734	0.149672703841053	-0.0832407246345778	0.0672892343351295	0.101335556065099
ABCB11|8647	AR	0.149021117105281	0.00100770501851642	0.00256663076071153	0.142755772008175	0.00164028125654589	0.00359222632679601
ABCB1|5243	AR	0.288569304179375	9.7836269432846e-11	1.24815143435625e-09	0.326008883303825	1.90135799942097e-13	2.77073313855015e-12
ABCB4|5244	AR	0.328486055036814	1.21856346544964e-13	3.03973641410147e-12	0.375889695563321	1.08761779476268e-17	3.40485339293517e-16
ABCB5|340273	AR	0.0687049712212348	0.131200421521962	0.188383652433292	0.149995462132653	0.00093258407563168	0.00214578621974158
ABCB6|10058	AR	-0.0638668577626293	0.160655526671839	0.224476874716939	-0.100060389167661	0.0277244702049665	0.0461195376370116
ABCB7|22	AR	0.0999220771854049	0.0279416053223458	0.0491690456739633	0.077814227449391	0.0872510492700534	0.127370787162759
ABCB8|11194	AR	-0.00564564292821351	0.901407141548899	0.926177246987628	-0.00164983766237333	0.971120812186473	0.977217129770531
ABCB9|23457	AR	-0.0774521059389199	0.0887370034284309	0.134543265313802	-0.11887372435904	0.00885122631736138	0.0165477786183758
ABCC10|89845	AR	0.0668902787862716	0.141716973942001	0.201486002861902	0.0604344929349966	0.184398073700561	0.244489503860313
ABCC11|85320	AR	0.0730601386589335	0.108424965336728	0.159844417943408	0.0697491432863168	0.125428659199282	0.174860762446285
ABCC1|4363	AR	-0.0529702280556279	0.244769267123287	0.320921353562431	-0.0555113864660162	0.222831737492526	0.288078787205631
ABCC2|1244	AR	-0.0519539536724219	0.253952288840665	0.330881464921321	-0.0607573160221009	0.182060429554048	0.241723303661299
ABCC3|8714	AR	-0.111248200940311	0.0143357957080098	0.0273779696963117	-0.106987219840921	0.0185529425858237	0.0321832206458697
ABCC4|10257	AR	0.221168921027388	8.91819335562768e-07	4.64475822420657e-06	0.223082448910768	7.13194428969006e-07	3.02766600154768e-06
ABCC5|10057	AR	-0.0417272624787966	0.359653733380989	0.44321945245912	-0.0682057425077838	0.134031510095191	0.185198619424371
ABCC6|368	AR	0.208671596932506	3.65717559268592e-06	1.65092630666437e-05	0.250328869604166	2.37611414658981e-08	1.35180046354791e-07
ABCC6P1|653190	AR	0.147196469088546	0.00116359838966824	0.00291353996556792	0.191192033572457	2.29087909640467e-05	7.2903858303231e-05
ABCC6P2|730013	AR	0.0516217950768455	0.257004844261612	0.334179650282186	0.0822633645337758	0.0705784751878697	0.105669338619078
ABCC8|6833	AR	-0.00084947363161082	0.985128213013494	0.989127689577173	0.0426476150727486	0.34914577056102	0.423248482595923
ABCC9|10060	AR	0.415581388778447	1.23916349653002e-21	2.08275713125512e-19	0.466862925846295	1.43181885985229e-27	2.81677819338214e-25
ABCD1|215	AR	0.0801304013645005	0.0782141397694886	0.120605966659783	0.0790185204795106	0.0824527328587981	0.121224773779322
ABCD2|225	AR	0.240839115478237	8.14378337248347e-08	5.32622507534695e-07	0.274358939574581	8.33207868033024e-10	6.13547197421851e-09
ABCD3|5825	AR	0.127125690123845	0.00509594197384932	0.0108847560087945	0.143488613646716	0.00155093762583243	0.00341296964260977
ABCD4|5826	AR	-0.00158319938766609	0.972286788321238	0.979985379565514	-0.00424554685762587	0.925775705315088	0.942006535892057
ABCE1|6059	AR	-0.0302354719924851	0.506938581089553	0.587306479008388	-0.0505518184647896	0.267010184265802	0.337210410709773
ABCF1|23	AR	0.0923338355484441	0.0423127395551891	0.0705361720923865	0.0719670037299844	0.113825222088287	0.160690063181312
ABCF2|10061	AR	-0.0395733033944793	0.38501023706275	0.468661033893287	-0.065573199684831	0.149745546717353	0.203705515774704
ABCF3|55324	AR	-0.0518012698195893	0.255352323288359	0.332480401682316	-0.0761949257185951	0.0940542244249557	0.136063067873722
ABCG1|9619	AR	0.106981383880668	0.0185593914610853	0.0343379485918894	0.142068985928283	0.00172827138276964	0.00376539569324289
ABCG2|9429	AR	0.0426126341136379	0.349541571145392	0.432944385752953	0.0878568346982942	0.053410251398526	0.0826750958701075
ABCG4|64137	AR	0.0154270591646274	0.734957895342616	0.791711224203308	0.0433466454182781	0.341295968142166	0.415215446273871
ABCG5|64240	AR	-0.0185384615002758	0.684135392010787	0.747994941675555	0.0270067791158589	0.553367913865493	0.624016761649258
ABHD10|55347	AR	-0.143417763256564	0.00155937600820816	0.00378518192009249	-0.151968170406045	0.000796075091945318	0.00186062535328167
ABHD11|83451	AR	-0.229133300618877	3.47180614166473e-07	1.97302841421614e-06	-0.278338375867467	4.62982290413298e-10	3.57978982207906e-09
ABHD12|26090	AR	-0.0938497985763457	0.0390258719296327	0.0656383848096572	-0.093323232752827	0.0401421691823624	0.0642393448775243
ABHD12B|145447	AR	-0.00791084385231299	0.862186696313901	0.894693765305176	0.0338699843813099	0.457223654965084	0.531702553553808
ABHD13|84945	AR	0.0370428488852389	0.416152381782715	0.499901817635934	0.0709066640695689	0.11926302565139	0.167438285627837
ABHD14A|25864	AR	-0.0792556880783012	0.0815333877486124	0.125098075520341	-0.0462407556222828	0.31000607081379	0.383140792736323
ABHD14B|84836	AR	-0.0509887257155611	0.262892870339428	0.340403991871068	-0.0575042632970699	0.206636694239085	0.269699521310844
ABHD15|116236	AR	0.035738908573682	0.432762276144957	0.516118801641051	-0.00736968043086831	0.871529555157283	0.899107303431434
ABHD1|84696	AR	-0.110987807047851	0.0145669504333425	0.0277398576506463	-0.0804301783600989	0.077102138373801	0.114273115260229
ABHD2|11057	AR	0.200646344454672	8.66251445397198e-06	3.58683210301753e-05	0.203883201933243	6.1429014478008e-06	2.17966611732583e-05
ABHD3|171586	AR	-0.203135341305516	6.65387473973017e-06	2.83723841118741e-05	-0.239413162881646	9.75680703101262e-08	4.89310090732591e-07
ABHD4|63874	AR	-0.100548562988052	0.0269696450583388	0.0476767584243808	-0.109571815498435	0.0158821700171234	0.0279621811589993
ABHD5|51099	AR	-0.110884679038601	0.0146594001214858	0.0279036322048557	-0.0673368192082891	0.139071144501536	0.191053716650805
ABHD6|57406	AR	-0.13794282588998	0.00235443890544549	0.00545722939229781	-0.116895139511374	0.0100567216520788	0.01856735976909
ABHD8|79575	AR	0.0211706186163843	0.642216947256327	0.71190117534257	0.0123927546114843	0.78566348455581	0.83056746177136
ABI1|10006	AR	-0.0749777467998963	0.0994419713866257	0.148512798312324	-0.059075670784243	0.194480685556669	0.255936877868267
ABI2|10152	AR	0.144338393359051	0.00145294281990653	0.00355172918641935	0.139592879993893	0.00208264350802283	0.00446166618127598
ABI3|51225	AR	0.216023005847255	1.61081744350239e-06	7.82888028689314e-06	0.248200360725639	3.14616189042908e-08	1.73902792615288e-07
ABI3BP|25890	AR	0.379620333443917	4.87750227000884e-18	3.62400512010271e-16	0.442006871842388	1.44484543990761e-24	1.573154984634e-22
ABL1|25	AR	0.266479760843736	2.59409009911613e-09	2.40927509634648e-08	0.251400800990442	2.06085141554664e-08	1.18451061440715e-07
ABL2|27	AR	0.121143654515042	0.0076281073175746	0.0156244431947292	0.115593577271764	0.0109271645376891	0.0200003684322529
