Meth_ID	Gene	logE_M_pearson_cor	logE_M_pearson_p	logE_M_pearson_q	logE_M_spearman_cor	logE_M_spearman_p	logE_M_spearman_q
|100133144	AR	0.184602140824586	0.00131951372000006	0.00842004990268274	0.18311492349915	0.00146874868847227	0.00924493537863315
|100134869	AR	0.24004508501064	2.64633046226477e-05	0.00045754041435004	0.250095667729641	1.24576057635524e-05	0.000257532269152208
|10357	AR	-0.0137730799803683	0.812212980064619	0.881995836491633	-0.0173390834719368	0.764871012742166	0.848800882607842
|10431	AR	-0.212359767146654	0.000211247729667577	0.00215030932976369	-0.169397882198691	0.0032849035072362	0.0169044749746197
|155060	AR	0.167422724312601	0.00363404440467036	0.0180897977932456	0.15956532850365	0.00565122906214243	0.0252311694533659
|26823	AR	0.0692630448417604	0.231657603217494	0.379430989235502	0.119161504222696	0.0391433877230488	0.104632226490335
|340602	AR	0.0202613816465037	0.726707772611204	0.821858316292836	0.0221047331302505	0.702970661383409	0.804266560338856
|388795	AR	-0.00431349909839817	0.940691755966454	0.966222833894544	-0.0561595088254234	0.332337800140876	0.487754217075716
|390284	AR	0.00530852527044401	0.927045127727987	0.957353245106245	-0.014344446259545	0.804576529182642	0.875958067901776
|391714	AR	0.151216825413715	0.00870774013696905	0.0347285165462648	0.139378440404727	0.0156993695135386	0.0538027863982306
|553137	AR	0.0499801069052253	0.388354048749461	0.543682014015856	0.0600541152754924	0.299847051691657	0.453677885495689
|57714	AR	0.0876656584925101	0.129774175805169	0.250115020658409	0.0948686096512183	0.10098329308467	0.208626274449818
|645851	AR	0.128967178497879	0.0254970111014721	0.0769957801465226	0.1733161479572	0.00262520571293104	0.0142840083847185
|652919	AR	0.096699007864592	0.0945630137686805	0.198406747721555	0.0769997801325293	0.183490885453565	0.320692482368419
|653553	AR	-0.0599732129967863	0.300499775142517	0.456192541487848	-0.049039211546795	0.397144354352495	0.550440857343051
|728788	AR	0.0439604638814094	0.448088456055444	0.59774515141287	0.00382871220630757	0.947347064030951	0.968503474346571
|729884	AR	-0.0946416995958114	0.101824257230898	0.209157292714928	-0.124893827535476	0.0305666916478458	0.0875934859264664
|8225	AR	0.0163389424908322	0.778069133149501	0.858172462451204	0.0124463605151168	0.82991567391974	0.89304609192225
|90288	AR	0.099667252905283	0.0848208702869437	0.183543870130949	0.0725088056533962	0.210333283830785	0.353297386324865
A1BG|1	AR	-0.0999849546347064	0.0838278243558725	0.182018462492495	-0.133617040189335	0.0206718060210174	0.0659459220254307
A1CF|29974	AR	0.0617259655989423	0.286569077234199	0.440932676464097	0.0586744514387869	0.311107163918202	0.46511721529557
A2BP1|54715	AR	0.228274066075332	6.60385169689186e-05	0.000887243599531458	0.195926267271024	0.000643679713952331	0.00492925199260631
