Meth_ID	Gene	logE_M_pearson_cor	logE_M_pearson_p	logE_M_pearson_q	logE_M_spearman_cor	logE_M_spearman_p	logE_M_spearman_q
|100133144	AR	0.139497556867302	0.0640531528988909	0.0905752425075351	0.0671007967655173	0.374867027915927	0.432596005601983
|100134869	AR	-0.0647519853859866	0.391851490632799	0.456842004056853	-0.0731806549739054	0.333041499956463	0.390245521405785
|10357	AR	0.101598052484887	0.178437435739549	0.228824700194366	0.00635701768765874	0.933075324104605	0.946068540106062
|10431	AR	-0.394236506215846	5.65661260215186e-08	2.06236814568337e-07	-0.424014702835184	4.07733034297756e-09	1.83590177128402e-08
|155060	AR	-0.194244395780502	0.00957901567378662	0.0158680267627619	-0.188214251513945	0.0121159631550368	0.0194547878465743
|388795	AR	-0.0948847255306415	0.209024825807343	0.263581240509693	-0.0217946090026698	0.773394039324403	0.809139725629764
|390284	AR	0.280281223298515	0.000157776875855765	0.00035316394333028	0.280614450393933	0.000154837364453485	0.000344510178740088
|553137	AR	0.271228224996755	0.000260631555328084	0.000564448683772248	0.255025213747884	0.000613280266366929	0.00123582479875024
|57714	AR	0.698663661296919	3.05070432935815e-27	2.66233963784408e-25	0.652522167056028	7.60267148266309e-23	3.58104269971799e-21
|645851	AR	0.173658168087784	0.0208000597451577	0.0324391828689541	0.0360315957475586	0.633983593578561	0.683163550458491
|653553	AR	-0.220494745992944	0.00318709777271601	0.00574644382771484	-0.290256558413461	8.8932083192729e-05	0.000205676039411453
|729884	AR	0.046592984981618	0.538012032979211	0.599755057177323	0.0471769624310506	0.532923828753083	0.588338779086262
|8225	AR	-0.466691236626259	5.85647315498282e-11	3.22336593333306e-10	-0.420698233181963	5.53561108793611e-09	2.44328286824688e-08
|90288	AR	-0.127664309577776	0.0903859618898948	0.123959714646516	-0.0629166213560179	0.40543989383103	0.463257626827334
A1BG|1	AR	-0.177018859381258	0.0184211692943909	0.0289852272122709	-0.200574457989881	0.00743243343501847	0.0123791245021872
A1CF|29974	AR	0.0855921544588169	0.257322840450239	0.316247038249379	0.12449481970406	0.0987406150274314	0.131938541642787
A2BP1|54715	AR	-0.00822448045761721	0.913483137775524	0.93041428178745	0.161455014170921	0.0318007731052069	0.047283120055602
A2LD1|87769	AR	-0.0885618994034999	0.241118304227625	0.29866333756576	-0.114417662013346	0.129411374960304	0.168640102716727
A2M|2	AR	0.646005726152953	2.76131410649279e-22	9.27960846364644e-21	0.599594990345536	1.16750713200426e-18	2.47299237960902e-17
A2ML1|144568	AR	-0.00253588661935736	0.973276829660611	0.978427923736937	-0.00750613537893441	0.921014024959385	0.935848359470011
A4GALT|53947	AR	-0.0203003723334583	0.78855078903174	0.825491226162443	-0.0925289623020871	0.220603326817412	0.271119145940943
A4GNT|51146	AR	0.213990501274886	0.00423651119292412	0.00749398047336259	0.189943789887556	0.0113339913227704	0.0182764139859198
AAAS|8086	AR	-0.500694467786355	1.27588041995888e-12	8.76071133154477e-12	-0.511946053536443	3.26799502101522e-13	2.67611119926153e-12
