|57714
A2M|2
AAAS|8086
AAK1|22848
AARSD1|80755
AASS|10157
ABCA1|19
ABCA6|23460
ABCA8|10351
ABCA9|10350
ABCB8|11194
ABCC4|10257
ABCC9|10060
ABCD2|225
ABHD11|83451
ABI3BP|25890
ABL1|25
ABL2|27
ACAP2|23527
ACD|65057
ACOT8|10005
ACPL2|92370
ACSL4|2182
ACSS3|79611
ACTR2|10097
ACVR1|90
ADAM10|102
ADAM17|6868
ADAM22|53616
ADAM23|8745
ADAMTS12|81792
ADAMTS15|170689
ADAMTS2|9509
ADAMTS3|9508
ADAMTS5|11096
ADAMTS9|56999
ADAMTSL1|92949
ADAMTSL3|57188
ADAP2|55803
ADAT1|23536
ADAT3|113179
ADCK5|203054
ADCY5|111
ADCY9|115
ADORA3|140
ADPRH|141
ADRM1|11047
AES|166
AFAP1L1|134265
AFF1|4299
AFF4|27125
AGAP3|116988
AGL|178
AHCYL1|10768
AHNAK|79026
AIMP1|9255
AKAP10|11216
AKAP11|11215
AKAP12|9590
AKAP13|11214
AKAP2|11217
AKT1S1|84335
AKT3|10000
ALDH1A3|220
ALDH1L2|160428
ALDH6A1|4329
ALKBH4|54784
ALKBH6|84964
ALKBH7|84266
ALMS1|7840
AMOTL1|154810
ANAPC11|51529
ANGPT1|284
ANGPTL1|9068
ANKFY1|51479
ANKRD12|23253
ANKRD13C|81573
ANKRD17|26057
ANKRD26|22852
ANKRD36BP1|84832
ANKRD39|51239
ANKRD40|91369
ANKRD44|91526
ANKRD50|57182
ANKRD6|22881
ANO6|196527
ANTXR1|84168
AOAH|313
AOC3|8639
AP1S1|1174
AP1S2|8905
AP2S1|1175
AP4E1|23431
APBB2|323
APC|324
APOA1BP|128240
APOOL|139322
APPL1|26060
AQR|9716
AR|367
ARF1|375
ARF5|381
ARFGAP1|55738
ARFIP2|23647
ARFRP1|10139
ARHGAP18|93663
ARHGAP20|57569
ARHGAP28|79822
ARHGAP29|9411
ARHGAP31|57514
ARHGAP42|143872
ARHGEF12|23365
ARHGEF17|9828
ARHGEF6|9459
ARID1A|8289
ARID1B|57492
ARID2|196528
ARID4A|5926
ARID5B|84159
ARL10|285598
ARL13B|200894
ARL6IP4|51329
ARNT|405
ARPC5L|81873
ARSB|411
ARSK|153642
ART4|420
ASAM|79827
ASAP1|50807
ASH1L|55870
ASPN|54829
ASPSCR1|79058
ASXL2|55252
ATE1|11101
ATF2|1386
ATF4|468
ATF7|11016
ATF7IP|55729
ATG4B|23192
ATG4C|84938
ATG4D|84971
ATM|472
ATOX1|475
ATP10D|57205
ATP11A|23250
ATP11C|286410
ATP13A3|79572
ATP5D|513
ATP5E|514
ATP5G1|516
ATP5G2|517
ATP5I|521
ATP5J2|9551
ATP6V0B|533
ATP6V0C|527
ATP7A|538
ATP8B2|57198
ATP8B4|79895
ATPIF1|93974
ATRX|546
ATXN1|6310
ATXN1L|342371
ATXN7|6314
AURKAIP1|54998
AVPR1A|552
AXL|558
AZI2|64343
B3GNTL1|146712
