Meth_ID	Gene	logE_M_pearson_cor	logE_M_pearson_p	logE_M_pearson_q	logE_M_spearman_cor	logE_M_spearman_p	logE_M_spearman_q
|100133144	AR	0.277460541107865	0.000177119707568651	0.000735819456275134	0.308527199119744	2.79025104595154e-05	0.000137602436503358
|100134869	AR	0.0598014161374712	0.427813174362448	0.53502256683026	0.0735116438830975	0.329471957694634	0.435741459915361
|10357	AR	0.243312584934625	0.00106545189492624	0.00350744584200405	0.2254045632654	0.00248540105724982	0.00715317855516037
|10431	AR	-0.367385979527487	4.54606587724534e-07	4.10472171833611e-06	-0.392319274582353	6.09352558296716e-08	6.20603857819196e-07
|155060	AR	-0.290602575722652	8.31723744392715e-05	0.000381172272097247	-0.232470637113946	0.00179268927540075	0.00540328509644233
|340602	AR	-0.158876600166771	0.0341566498309145	0.0681868237725841	-0.187321832281627	0.0122873994113526	0.0285102466141797
|388795	AR	-0.194052049489524	0.0094465349021531	0.0229944564258207	-0.156862643355323	0.0365256581929267	0.0714732847884772
|390284	AR	-0.0254917194554901	0.735543491236056	0.804840799334045	-0.0623421723604455	0.408411116880705	0.515191712312418
|57714	AR	0.369343892118862	3.90579097169862e-07	3.60052313899609e-06	0.420654869215675	5.02838671135765e-09	7.01256571044083e-08
|645851	AR	0.041578972293691	0.581590603012084	0.676888840399788	0.0625736289688199	0.40666984216615	0.513343887622573
|653553	AR	-0.282193890824886	0.000135485604157539	0.000583751199351624	-0.286693176391809	0.000104552052533186	0.000443609660824356
|728788	AR	0.0615140970504619	0.414676769391977	0.522661602326404	0.0703132327619192	0.351005189463612	0.458451838973534
|8225	AR	-0.324568530600046	9.86856327549779e-06	5.98451734482564e-05	-0.351229629485954	1.53200197017471e-06	1.06242111732489e-05
|90288	AR	0.0804664033835596	0.28564473755457	0.389521907535046	0.0953601226502487	0.205446198300837	0.298420155762375
A1BG|1	AR	-0.431230968637267	1.86456295776433e-09	3.62834632886074e-08	-0.430645276036482	1.97163845470684e-09	3.11455515061582e-08
A2BP1|54715	AR	0.16374023092789	0.0289668261645088	0.0593651214822116	0.0944720741919111	0.209717692997217	0.303411686553193
A2LD1|87769	AR	-0.0989713029861872	0.188722251800103	0.279967601130403	-0.065708101784996	0.383524123882523	0.49031122790856
A2M|2	AR	0.203460018216031	0.00645116793408913	0.016554332823957	0.216565585948226	0.00368984572137023	0.0100666652858734
A4GALT|53947	AR	0.00143848751062462	0.984795941284248	0.989258400754672	-0.0103809563844239	0.890614116180263	0.923491358960214
AAAS|8086	AR	-0.435529680504011	1.23359091528208e-09	2.54747108219016e-08	-0.405936365089282	1.89143070315356e-08	2.21679392298776e-07
AACS|65985	AR	0.0151731767001087	0.840682320569874	0.885059755822633	0.0479098961950945	0.525389774890404	0.627516565978941
AADAT|51166	AR	-0.0328115449110932	0.663712268042177	0.746224227096462	-0.0422410746000329	0.575584673288916	0.671394936116531
AAGAB|79719	AR	-0.058302986559717	0.439500768673411	0.546449661273525	-0.0447737938409277	0.552882645678758	0.651461340752191
AAK1|22848	AR	0.278788452825639	0.000164372509387747	0.000690067256819245	0.268776848181849	0.000286011494320369	0.00107805821032393
AAMP|14	AR	0.0899535990015506	0.232439689565192	0.331294945565671	-0.04689468016324	0.534213287885591	0.635114815041609
AANAT|15	AR	-0.07542450229763	0.317008174270157	0.423310771538601	-0.0801731227184618	0.287410048423205	0.390209921957516
AARS|16	AR	0.168365562063762	0.0246711785679122	0.0517157164687717	0.161000066972041	0.0318011440613051	0.0636899365723897
AARS2|57505	AR	-0.269418414089683	0.000276212732594068	0.00109131703717195	-0.197787281862163	0.00813496634293741	0.0199617813081064
AARSD1|80755	AR	-0.328566117760721	7.54572126372429e-06	4.74639215207467e-05	-0.394799849603583	4.94319616865818e-08	5.19268620784313e-07
AASDH|132949	AR	0.409575967091841	1.37115623780641e-08	2.02618339544284e-07	0.433425946362725	1.51106568240051e-09	2.46144646685767e-08
AASDHPPT|60496	AR	-0.0139416234096814	0.853462008116537	0.894595246832306	-0.105845316746689	0.159677559491639	0.243316106107199
AASS|10157	AR	0.143923628668931	0.0552832764694626	0.101611063415169	0.137824621750105	0.0665619804818198	0.118081984905281
AATF|26574	AR	0.0017737625676665	0.981252845230568	0.986981150838859	-0.0316834663693954	0.674604173355027	0.756840944437307
AATK|9625	AR	-0.290597526675696	8.31971312783023e-05	0.000381172272097247	-0.156964742870581	0.0364023039646042	0.0712903335083701
ABAT|18	AR	-0.061723352972555	0.413088131987647	0.521130883900177	0.0632328476025081	0.401734592836379	0.508727856499046
ABCA10|10349	AR	-0.196747380851758	0.00848281693203859	0.0209816959279504	-0.134260723961131	0.0739795165535446	0.129143478186692
ABCA1|19	AR	0.1849874687539	0.0134349676797862	0.0309367063698356	0.226580468627244	0.00235545624843246	0.0068380650130366
ABCA11P|79963	AR	-0.111619241294851	0.137985710659013	0.216723539351949	-0.0834137247807976	0.268307887286999	0.369833378987844
ABCA12|26154	AR	-0.0181616446173109	0.809850194532878	0.861511749993997	0.0139552239409547	0.853320662112389	0.897150781197442
ABCA17P|650655	AR	0.00690395597305616	0.927125174845606	0.949800358415754	0.0247291301344174	0.743173714388731	0.812604663956746
ABCA2|20	AR	-0.223322217553519	0.00273156261880823	0.00789154815006775	-0.0543321485559349	0.471336260641629	0.576394840420082
ABCA3|21	AR	-0.145482088180162	0.0526696260748157	0.0976283315164094	-0.0929039727599152	0.217415198369071	0.312384818633277
ABCA4|24	AR	0.15402673106282	0.0400957412990659	0.0778599555571912	0.176875243892685	0.0181846232476457	0.0397436391183343
ABCA5|23461	AR	0.081281554362046	0.280776423893872	0.384074019687206	0.0790027494641972	0.294527304719534	0.398158605822015
ABCA6|23460	AR	0.280269782229087	0.000151164793517204	0.000642690713317993	0.309290778526431	2.6591346744793e-05	0.000132110932861393
ABCA7|10347	AR	-0.364102998188616	5.85067726099504e-07	5.09283172203178e-06	-0.306664412523688	3.13613991316433e-05	0.000152633390706801
ABCA8|10351	AR	0.264104753373326	0.000367713798925384	0.00139356025429477	0.298513951739649	5.1815399740566e-05	0.000238959927114812
ABCA9|10350	AR	0.103791074463884	0.167982241169735	0.255052549236476	0.153388075068629	0.0409390020812908	0.0785775630123966
ABCB10|23456	AR	0.255359800629565	0.000581421549753116	0.00207059415321198	0.254265856766369	0.000615039750134474	0.00211679558154808
ABCB1|5243	AR	0.0706827774008621	0.348473008447123	0.455821350096014	0.124559770767855	0.0976035224867172	0.162539624483908
ABCB4|5244	AR	-0.043078845536007	0.568027153909976	0.665225830235963	-0.0342970623591591	0.649476285777517	0.736610828189444
ABCB6|10058	AR	-0.342775541124822	2.81801291974815e-06	1.99734732518027e-05	-0.296197258551654	5.96024061588088e-05	0.000269989865783013
ABCB7|22	AR	0.343625861249239	2.6525803577362e-06	1.89359245729416e-05	0.413860378298125	9.34288287604716e-09	1.19378900234997e-07
ABCB8|11194	AR	-0.34002704940666	3.42249356819826e-06	2.3685356109854e-05	-0.281888459008347	0.000137868635308904	0.000567396823914729
ABCB9|23457	AR	-0.0722166769486868	0.338085922280015	0.445512104318055	-0.0677353413454601	0.368989580800265	0.476578273872862
ABCC10|89845	AR	-0.332407616916047	5.80955744385931e-06	3.77327200816301e-05	-0.237884058449422	0.00138655291510134	0.00430653389148647
ABCC11|85320	AR	0.0629627456194493	0.403752391452072	0.512370062136559	0.0768831097567792	0.307712996687525	0.412262067332999
ABCC1|4363	AR	0.00911976992961995	0.903835034753996	0.931938733780217	0.120526575001893	0.10903545463826	0.178238414844409
ABCC2|1244	AR	0.108846273417553	0.148104319897507	0.229674231275701	0.119216647921684	0.112966209244591	0.183497352036626
