Meth_ID	Gene	logE_M_pearson_cor	logE_M_pearson_p	logE_M_pearson_q	logE_M_spearman_cor	logE_M_spearman_p	logE_M_spearman_q
|100133144	AR	0.431720342820035	8.42163556934954e-24	4.09179833699511e-23	0.382670096871838	1.22115716543078e-18	4.63184563254344e-18
|100134869	AR	0.16751323322727	0.000186681397443681	0.000316850649346665	0.0943464251470824	0.0362754967669962	0.0478817653701236
|10357	AR	0.343906315015019	3.91838792915621e-15	1.28822893093695e-14	0.301429452444823	1.03876025514702e-11	2.84129055655904e-11
|10431	AR	-0.492500355546035	1.74394734305816e-31	1.15618741481269e-30	-0.464404597113614	0	0
|155060	AR	-0.114404175608187	0.0110192400550431	0.0156223055978321	-0.161070692349456	0.000329736151014648	0.000542805645137752
|340602	AR	-0.267457041908224	1.60249017109575e-09	3.90234563932606e-09	-0.251029709572968	1.60131067115594e-08	3.61622853022026e-08
|388795	AR	-0.0915215417421952	0.0422332700850206	0.0555541350194283	-0.154840216030448	0.000560351844280772	0.000900158567980975
|390284	AR	0.00803406798630696	0.85877378273927	0.876274859828269	0.0232270266419986	0.60691367571269	0.644878541053385
|57714	AR	0.727696233301901	1.98318423830755e-82	1.1199464039544e-80	0.742932906248855	0	0
|645851	AR	0.361451574334843	1.16165793782001e-16	4.10428642482294e-16	0.258793484270807	5.50328749578729e-09	1.28144685450102e-08
|653553	AR	-0.497936775263788	2.99372383072892e-32	2.04537482191491e-31	-0.50568760514288	0	0
|728788	AR	0.124800216051064	0.0055229499227184	0.00809869653234307	0.131150871172443	0.00353143862223155	0.00525560452796059
|729884	AR	-0.0470866351677199	0.296754808740366	0.338564272752472	-0.0732021781789128	0.104488227945119	0.128780339043058
|8225	AR	-0.512196437917799	2.52495764787306e-34	1.89168640830646e-33	-0.492076891229859	0	0
|90288	AR	-0.235365385037269	1.24237599387593e-07	2.67483551481488e-07	-0.213094511068457	1.90763677769765e-06	3.75638914588594e-06
A1BG|1	AR	-0.331424012597257	4.19868996756346e-14	1.314399054913e-13	-0.355132223277866	4.23092994790831e-16	1.4621496272627e-15
A2BP1|54715	AR	-0.102050801282857	0.0234475537024633	0.0319005264590227	-0.109500000342152	0.0149974294365265	0.0207482509730709
A2LD1|87769	AR	-0.122968249307278	0.00626100331085032	0.00912116391999373	-0.082707577325461	0.0665220902911412	0.0844407460516336
A2M|2	AR	0.0287213925191305	0.52462597052426	0.568812647381962	0.0476552248913444	0.290843363263436	0.331600323614842
A2ML1|144568	AR	0.0721097426083179	0.109795254444997	0.135553971941841	0.0620917986403057	0.168669846355201	0.200121887002961
A4GALT|53947	AR	-0.392165742197941	1.42356003655938e-19	5.69688616861031e-19	-0.390506190047652	0	0
AAAS|8086	AR	-0.416523491512772	4.13633214827948e-22	1.84809818215216e-21	-0.389678877186678	2.51633805109404e-19	9.67658106542616e-19
AACS|65985	AR	0.167132204558801	0.000193182332485725	0.000327432837505818	0.177936308725442	7.11094004808957e-05	0.000124016637695722
