Meth_ID	Gene	logE_M_pearson_cor	logE_M_pearson_p	logE_M_pearson_q	logE_M_spearman_cor	logE_M_spearman_p	logE_M_spearman_q
|100133144	AR	0.0444792023396949	0.58386599957113	0.705254579544925	0.0479877770730541	0.55451945906737	0.671733373068351
|100134869	AR	-0.0410233385126428	0.61345259391705	0.728907647891942	-0.0642721371717054	0.428408964368366	0.55933559768485
|10357	AR	-0.0849094826127062	0.295096709232829	0.436066313934382	-0.161304548480365	0.0456586711157687	0.0990313119150833
|10431	AR	-0.236806329293953	0.00310725787296889	0.0115806219927809	-0.251486474815195	0.0016542884010754	0.00624362793909703
|155060	AR	-0.0287591326853335	0.723296179524086	0.81279975769353	0.00488442963395162	0.952059512423427	0.968966750665604
|388795	AR	0.11961191747002	0.139525231345143	0.249340581518258	0.135593576115917	0.09359812881525	0.174935860170681
|390284	AR	0.0807040622874656	0.319748202108389	0.462248175301871	0.0328494744247685	0.685889806854733	0.779059287920055
|57714	AR	0.311648817183705	8.34072337317685e-05	0.00054183322228986	0.301667372060939	0.000143499894623915	0.000784614528331583
|645851	AR	0.0856737801787195	0.290755675403145	0.431312564191246	0.105177174632129	0.194224061806875	0.308752244082058
|653553	AR	0.0367020147852462	0.651339915784705	0.759500697315944	0.0783843271920382	0.333900848842235	0.465444898438595
|729884	AR	0.149453003576566	0.0643198327144669	0.136791544707562	0.192007674853906	0.0170522112797364	0.0442501551198089
|8225	AR	-0.244320945559039	0.0022607093413764	0.00885765105458278	-0.202321591542451	0.0118571017471694	0.0327630942340173
|90288	AR	-0.00456828050831633	0.955159155284922	0.970903228015821	0.0388359162722855	0.632511443471303	0.736252871404812
A1BG|1	AR	0.0756835540915374	0.350874190775151	0.494413632455895	0.125883802447552	0.119792689607962	0.212084524911379
A1CF|29974	AR	-0.107381426506572	0.184989565087583	0.307727824698198	-0.0593332431805163	0.464808753266329	0.592401294851617
A2BP1|54715	AR	0.196601792378578	0.0145340520839422	0.0412694420873919	0.186808124795621	0.0203516886859977	0.0511964756033104
A2LD1|87769	AR	-0.102063599099283	0.207832223829549	0.336025903903168	-0.135059164880094	0.0949103136246359	0.176863413053808
A2M|2	AR	0.586846714728953	1.26379133883539e-15	5.89780676964072e-13	0.55792483805679	5.60963133238121e-14	9.52159932816114e-12
A4GALT|53947	AR	0.456438284935636	2.69092964968137e-09	6.70480263507189e-08	0.476198186581405	4.31580934789416e-10	1.2482592966514e-08
AAAS|8086	AR	-0.29154155291135	0.00024399650715355	0.00134689504124691	-0.253401776236789	0.00151950618726236	0.00580857058566729
AACS|65985	AR	-0.194292754028585	0.0157559146559672	0.0439661185375766	-0.171964475019086	0.0329617391506148	0.076130330379035
AADAC|13	AR	0.00988405208891836	0.903167111641174	0.937551287510143	0.0157308307070218	0.846460929158617	0.899381014324155
AADAT|51166	AR	-0.147776136594422	0.0674044731966069	0.141814675117072	-0.147701798298165	0.067543962884996	0.135362303520802
AAGAB|79719	AR	0.0143425497201734	0.859865546804043	0.909705189428675	-0.0454953959139492	0.575292976465303	0.689162191246454
AAK1|22848	AR	0.257840978024102	0.00124476001898902	0.00535591110089295	0.274463515732095	0.000571807052924663	0.00253749482982528
AAMP|14	AR	-0.0530621034779454	0.513382982575296	0.647901181123201	-0.0121017457204705	0.881584717261986	0.923550009179907
AANAT|15	AR	0.0912600785364255	0.260321532406902	0.397974369672224	0.12761169842286	0.114755854005513	0.204911070744609
AARS|16	AR	0.0725417684179075	0.37128770547245	0.514157843975268	0.114607362575699	0.156974571314082	0.261477901107491
AARS2|57505	AR	-0.0681023140209758	0.401347652423798	0.544303323468561	-0.0566238725858505	0.485478255701632	0.610898778691159
AARSD1|80755	AR	-0.098664860307879	0.22345361839789	0.355283022916792	-0.0745718087399568	0.358015687165318	0.490974257031494
AASDH|132949	AR	0.0427977744166971	0.598179094905629	0.716081422055983	-0.017078241345503	0.833492834112591	0.890534049045363
AASDHPPT|60496	AR	0.0523705775233622	0.518895005751908	0.652710720792467	0.0495874004103833	0.541381153591965	0.66040468944348
AASS|10157	AR	0.341179508685943	1.49056166775438e-05	0.000123146068502942	0.375593074827775	1.58715491493207e-06	1.61489602863463e-05
