Meth_ID	Gene	logE_M_pearson_cor	logE_M_pearson_p	logE_M_pearson_q	logE_M_spearman_cor	logE_M_spearman_p	logE_M_spearman_q
|100133144	AR	0.140024407639082	0.0259353070217074	0.0400928536130749	0.127806050302435	0.0422397889750583	0.062161098452532
|100134869	AR	0.112637531691149	0.0737061473434595	0.103137486395178	0.0922606812963419	0.143371145480386	0.186458001008372
|10357	AR	0.147289222958614	0.0190794318478465	0.0304563991210703	0.111463472825113	0.0767814535879133	0.106629091593926
|10431	AR	-0.363147082534412	2.64826530188313e-09	1.51131083664555e-08	-0.356738693782427	5.2377834950435e-09	2.77647837686638e-08
|155060	AR	0.0975419302704275	0.12174060761672	0.162242356404947	0.0902105086749547	0.152516474673433	0.196989035599756
|388795	AR	-0.0581363905474781	0.357094344830569	0.419228558109348	-0.0249055339569749	0.693399262448014	0.740103057931609
|390284	AR	0.105416547476706	0.0943047641720858	0.129089692078685	0.0977954453921434	0.120769889866819	0.16002058769475
|57714	AR	0.29513579036029	1.77018430018396e-06	5.96090556935547e-06	0.297816808044577	1.41056249358173e-06	4.78497967886326e-06
|645851	AR	0.368210142761932	1.52857442907433e-09	9.11963049210448e-09	0.355736728138234	5.81923820783338e-09	3.06310776043256e-08
|653553	AR	0.0593727533832852	0.346943258597008	0.40879063244989	0.0781754253268514	0.215272920150347	0.267430607847991
|8225	AR	-0.249529424754154	5.99477028584486e-05	0.000152627700229328	-0.204840231106273	0.00104966645222009	0.00212035186636498
|90288	AR	-0.0190640252263104	0.762836768639491	0.801118195685953	-0.00875490582277639	0.889791240961633	0.910258860404975
A1BG|1	AR	-0.0825513579223904	0.190604670965162	0.241341166114162	-0.0700606369856118	0.266900341858311	0.323890505076205
A2LD1|87769	AR	-0.304420072373301	7.98375315822821e-07	2.8751243415265e-06	-0.327896364572666	9.39820431453019e-08	3.95935554315221e-07
A2M|2	AR	0.452546682119117	3.54377179165138e-14	5.35906403300552e-13	0.439116764285823	2.38080483654804e-13	3.0159291895751e-12
A4GALT|53947	AR	0.120428052018989	0.0557470657256836	0.0801076570282037	0.0887565164625791	0.159265193358182	0.204571689356969
AAAS|8086	AR	-0.200246272282221	0.00136557095497785	0.00273279374369826	-0.223035513366391	0.00035000206570432	0.000768471688787295
AACS|65985	AR	-0.115076007690701	0.0676385576393202	0.0955196156709273	-0.130979724054935	0.0373405530520082	0.0556091556118844
