Meth_ID	Gene	logE_M_pearson_cor	logE_M_pearson_p	logE_M_pearson_q	logE_M_spearman_cor	logE_M_spearman_p	logE_M_spearman_q
|100133144	AR	0.165259454210666	0.000478477063478881	0.00201435658777438	0.150509506277457	0.00148794465535962	0.00488573520621677
|100134869	AR	0.129728529759779	0.00625095193101441	0.017015502988512	0.123661541639411	0.00917595611267466	0.0226288875700093
|10357	AR	0.0937885610421785	0.0485190492127437	0.0926114039761297	0.0798749841615493	0.0931310489003607	0.155571613989997
|10431	AR	-0.146665195000092	0.00196828726675526	0.00652768976701394	-0.147597623994011	0.00184025876251578	0.00586116891164236
|155060	AR	-0.00124980054315191	0.97907313199201	0.985666620697723	0.00992784201702054	0.834938780474496	0.87859047201143
|390284	AR	-0.0409631341553674	0.389734278631163	0.497222844067596	-0.0363758971577283	0.445037874768552	0.54552387720418
|57714	AR	0.151578384050312	0.00137499020036912	0.00485815358722532	0.128577379967774	0.00673133873135101	0.0174783095055007
|645851	AR	0.0895864811103424	0.059559604771318	0.109675043769267	0.0886387338755037	0.0623176396148047	0.11194518202977
|653553	AR	-0.216844091750199	4.10363560380443e-06	3.83410135619091e-05	-0.209350783248312	8.86284402099569e-06	6.27921616032973e-05
|8225	AR	-0.145823975171161	0.0020907306739908	0.00685406204208627	-0.160321130854471	0.000707212454243778	0.00259227361863666
|90288	AR	-0.0697447832763732	0.142758504451946	0.221987786970005	-0.0620998297032638	0.19202337038984	0.280677124201071
A1BG|1	AR	-0.184574979070093	9.32555834438033e-05	0.000511505942011308	-0.208732731663766	9.43244291783592e-06	6.62284762343697e-05
A2LD1|87769	AR	-0.0143429795401589	0.763378383687075	0.826132064442672	-0.0189491853580252	0.690819573882868	0.765952199644655
A2M|2	AR	0.0559235153289616	0.240135700133616	0.337821152621882	0.0887931577743626	0.0618612013739344	0.111317603048302
A2ML1|144568	AR	-0.00717447910886224	0.880306555412018	0.916500436663426	-0.00261455651560808	0.956238316815811	0.969264801930543
A4GALT|53947	AR	0.139663586734834	0.00322200579754546	0.00975657878992119	0.168825520657832	0.000358377858349742	0.00147145206060004
AAAS|8086	AR	-0.156511903376505	0.000948818394863043	0.00356951948870462	-0.125296734534584	0.00828688124901517	0.0208045000395123
AACS|65985	AR	-0.031210721678956	0.51233040503367	0.614228724145062	-0.0687401806255673	0.14861673963047	0.227447894700424
AADAT|51166	AR	0.0927995191147782	0.050950175971935	0.0962353197429932	0.0868334163310278	0.0678625491065773	0.120108896513675
AAGAB|79719	AR	0.0328620780922911	0.490257775122258	0.59321551538708	0.0434718839438438	0.361335233775085	0.463454273459758
AAK1|22848	AR	0.205984569719002	1.24146050004903e-05	9.63751643608559e-05	0.18141070826423	0.0001233510292086	0.000600737723154382
AAMP|14	AR	-0.252533552995545	7.13375818475748e-08	1.36241157807172e-06	-0.228744981534002	1.14121086544436e-06	1.11902632506661e-05
AANAT|15	AR	-0.0912359529945676	0.0550004275690835	0.102660708291133	-0.0713250858209079	0.133902834421698	0.208789892777394
AARS|16	AR	0.108182731121377	0.0227720830658516	0.049643926015493	0.0878937028147292	0.0645589375487361	0.115241768242664
AARS2|57505	AR	-0.0184292447768395	0.69888379735588	0.774716705917996	-0.0233949451554382	0.623368002923322	0.708065444503081
AARSD1|80755	AR	-0.260118115838063	2.77139467159185e-08	6.14188867650356e-07	-0.259670756765538	2.93280440501212e-08	4.96162918066042e-07
AASDH|132949	AR	0.136369328405612	0.00403288889507323	0.0117854673876993	0.151368020107235	0.00139657736565058	0.00462544173227757
AASDHPPT|60496	AR	0.0904993088722575	0.0569993755534776	0.105754003339883	0.0782389774476396	0.100050436268466	0.165034544487778
AASS|10157	AR	0.0541079143784798	0.255766229461016	0.355491494992557	0.0432533906238991	0.36375590728627	0.465965734939271
AATF|26574	AR	-0.134595384241036	0.00454221259556999	0.0130148360204832	-0.132840218668013	0.00510259009308287	0.0138450222166817
AATK|9625	AR	-0.136415635387324	0.00402031453309656	0.0117549879413655	-0.115702847541347	0.0148272551055452	0.0338168353613849
ABAT|18	AR	0.179539399426489	0.000145219656906748	0.000743691073863147	0.204287732290124	1.46827587789372e-05	9.68096573219099e-05
