Meth_ID	Gene	logE_M_pearson_cor	logE_M_pearson_p	logE_M_pearson_q	logE_M_spearman_cor	logE_M_spearman_p	logE_M_spearman_q
|100133144	AR	-0.117256504773773	0.0172640722757291	0.0251503893173797	-0.0898917253704648	0.0683411343253444	0.089278629378959
|100134869	AR	-0.0860263628829046	0.0811462399404972	0.106048126764589	-0.0967901943815587	0.0496149132072784	0.0663458456466215
|10357	AR	-0.0751542480667486	0.127762600844863	0.160572596188168	-0.0696551816446411	0.158166556730196	0.192867614766487
|10431	AR	-0.352128041876939	1.80038196445287e-13	7.18181877395502e-13	-0.371427267341736	6.34394750561485e-15	2.79614115406564e-14
|155060	AR	0.0703116566489271	0.154273350914798	0.190785630445429	0.0790797145147865	0.108983899194597	0.137249295138981
|26823	AR	0.0594675411623278	0.228412563289246	0.272114526357807	0.0630764727435497	0.201356884603007	0.240480520107987
|388795	AR	0.0796178928966389	0.106588312898805	0.136103702354671	0.101036297631997	0.0403810140198805	0.0547715291310274
|390284	AR	0.0344621788737588	0.485435006194301	0.535214206000715	0.0399413831335605	0.418756151859181	0.46673253656916
|391714	AR	-0.000502997964303587	0.991878692922498	0.992885676367089	-0.0180673661221587	0.714631389831859	0.749953936020415
|57714	AR	0.112830611394933	0.0219881787986731	0.0315634026739195	0.105350253721108	0.0325303779131115	0.0447202652816842
|645851	AR	0.0358944325595509	0.467472253831337	0.517280823786696	0.0617960732931275	0.210675938948474	0.25084014030666
|652919	AR	0.181141161988607	0.000218837709909592	0.000403715352575895	0.177691623376706	0.000289326756003216	0.000516804676484005
|653553	AR	0.238432694224594	9.79381737376361e-07	2.28768069703213e-06	0.223139557789299	4.80180059603164e-06	1.02610634358341e-05
|728788	AR	-0.0112874381954188	0.81931883926925	0.845654087674333	0.0415060255658109	0.400749834276628	0.448811967805495
|8225	AR	-0.129562228477649	0.00846487401709321	0.0128744947075275	-0.151083457937754	0.00210494334160592	0.00340570080038595
|90288	AR	0.00445753941600339	0.928125325505743	0.939219796312924	0.0100580823735266	0.838711695409292	0.860624068392622
A1BG|1	AR	0.269070610518638	2.89649314034835e-08	7.71999014446161e-08	0.318758019721958	3.4961450475084e-11	1.16297644942123e-10
A2LD1|87769	AR	-0.0115054884621687	0.815890246412806	0.842374641846101	-0.0915486952078262	0.0633837393594414	0.0831654198937735
A2M|2	AR	0.758833250840226	2.29347344165098e-78	3.76894135577978e-76	0.766652619113797	6.55446693960709e-81	1.33982896148407e-78
A2ML1|144568	AR	0.0428785867878007	0.385342177421043	0.435396398916853	0.110362952953857	0.0250802545428681	0.035073855051523
A4GALT|53947	AR	0.594705982949635	9.15151108068362e-41	1.60794160098972e-39	0.592086288843826	2.4582302473089e-40	4.29217243806164e-39
A4GNT|51146	AR	0.0657513052801385	0.182862605841397	0.222493539745736	0.106128053080561	0.0312633112383016	0.0430985790752867
AAAS|8086	AR	-0.246646043794668	3.98462909583078e-07	9.68537600120585e-07	-0.277605338668632	1.00032366990687e-08	2.7215428266481e-08
AACS|65985	AR	-0.24909982006196	3.02682723075585e-07	7.43162121604359e-07	-0.242373394384587	6.38709926197348e-07	1.48922740060091e-06
AADAT|51166	AR	0.183351197184555	0.000182498844229445	0.000339471107783177	0.134813915044952	0.00613212295508379	0.00935955608933842
AAGAB|79719	AR	-0.309876940294903	1.27900442985365e-10	4.15558679069721e-10	-0.311318619548054	1.03920711073367e-10	3.33317826064251e-10
AAK1|22848	AR	0.473755362458541	1.93571534316002e-24	1.54213215694146e-23	0.471819681172889	3.15100373899417e-24	2.49608339664557e-23
AAMP|14	AR	-0.440796101810645	5.15448684801905e-21	3.35662426365561e-20	-0.422362762626583	2.96012377964915e-19	1.73731074210361e-18
AANAT|15	AR	0.0817134674844485	0.0976542241331174	0.125383386052801	0.0954013538018512	0.0529942175210524	0.0705047284774887
AARS|16	AR	-0.0854509400073351	0.0832086431522677	0.108493227071389	-0.108550587166888	0.0275837631371788	0.0383414078866731
AARS2|57505	AR	-0.171524928424443	0.000470613075745098	0.00083803424791664	-0.238950256158543	9.26300317177593e-07	2.12431877363946e-06
AARSD1|80755	AR	0.0710362136804626	0.15006109425185	0.18609973822503	0.0244564779090585	0.620615569425331	0.662891618856012
AASDH|132949	AR	-0.0666288579134577	0.177077098658979	0.216102390078035	-0.0816630123574621	0.0978620943892175	0.124401973771581
AASDHPPT|60496	AR	-0.243047478222258	5.93234240356829e-07	1.41669644349069e-06	-0.259794739786121	8.82657040888661e-08	2.21981955279456e-07
AASS|10157	AR	0.544341065512382	3.71947219004718e-33	4.58762272623774e-32	0.533142141269958	1.23902348877111e-31	1.43726724697449e-30
AATF|26574	AR	-0.249661876614036	2.84093266836127e-07	6.98441088106066e-07	-0.307555721504815	1.78249250892711e-10	5.60775890289719e-10
AATK|9625	AR	0.0497261189340751	0.313989363018709	0.362222278246359	0.0042555349151297	0.931374300776915	0.941427728976822
ABAT|18	AR	0.118322909468621	0.0162682001359259	0.0237822754821551	0.0865258925209579	0.0793895525857914	0.102497703184398
ABCA10|10349	AR	0.422454683933584	2.90270200211758e-19	1.70659736792336e-18	0.399050434118291	3.51960060443431e-17	1.7931776696513e-16
ABCA1|19	AR	0.56155931463286	1.30269169368571e-35	1.81209279415435e-34	0.560286673138129	2.00112633679852e-35	2.78133330492677e-34
ABCA11P|79963	AR	-0.0300824430632137	0.542597643063842	0.590700895826208	-0.0557252778142689	0.259091867443015	0.302767560100378
ABCA12|26154	AR	-0.0727982948244456	0.140182331029544	0.174844574203231	-0.0447251322843647	0.365192054753752	0.412823659413433
ABCA13|154664	AR	0.103665876074693	0.035425165737575	0.0491634896583236	0.124843106552674	0.01120406044608	0.0164985031360092
ABCA17P|650655	AR	0.0358390648803528	0.468159762261612	0.517973197031626	0.130238425435918	0.00812569779596392	0.012188183128049
ABCA2|20	AR	0.0841741886663043	0.0879358783244808	0.114058747386439	0.0714823681768648	0.147511170951665	0.180876536027199
ABCA3|21	AR	0.399511536252763	3.21370460167453e-17	1.6473430132498e-16	0.395443357744104	7.13303739524259e-17	3.5605709594716e-16
ABCA5|23461	AR	0.0362648047315938	0.462887658968319	0.512579965622446	0.0244881363914214	0.62016321199673	0.662451969462054
ABCA6|23460	AR	0.745378629066982	3.29526999721232e-74	3.8073172977104e-72	0.764707724434434	2.87432683240438e-80	5.53786969709911e-78
ABCA7|10347	AR	-0.0982906995008897	0.0461682206129531	0.0628908341255034	-0.0872764302003908	0.0768081933574853	0.0995175803554277
ABCA8|10351	AR	0.70962739875851	2.47700165081225e-64	1.3657730812801e-62	0.705870061451995	2.21291745862155e-63	1.16644410193127e-61
ABCA9|10350	AR	0.750775393967302	7.62672893347639e-76	1.00660811325143e-73	0.759558450733993	1.34481259444636e-78	2.23185630773365e-76
ABCB10|23456	AR	-0.205585088015124	2.60797372414453e-05	5.29748613234496e-05	-0.253336248660893	1.87014693234555e-07	4.56759476613378e-07
ABCB11|8647	AR	0.117648308629418	0.0168921570360439	0.0246385604105611	0.152297588142364	0.00193511481267833	0.0031488587991568
ABCB1|5243	AR	0.521426723065511	4.22868810025721e-30	4.50325730219259e-29	0.564398525061418	4.96595057590563e-36	7.1388733750712e-35
ABCB4|5244	AR	0.460044936783245	5.71516008413368e-23	4.15968360096608e-22	0.518579496769054	9.76970310361646e-30	1.02670698070733e-28
ABCB5|340273	AR	0.508988292685362	1.54897080843029e-28	1.54088122794709e-27	0.529931252987251	3.30544597753483e-31	3.73355023419399e-30
ABCB6|10058	AR	-0.128286593625336	0.00913923035825359	0.0138284689713889	-0.187897897363219	0.0001247755181847	0.000232827255461643
ABCB7|22	AR	-0.130249496078372	0.00812024714681855	0.0123839125352536	-0.133079562142604	0.00682931164573662	0.0103529819847913
ABCB8|11194	AR	-0.185880978488789	0.000147863960135632	0.000277764843639299	-0.203487254759617	3.1628839452518e-05	6.25486794364213e-05
ABCB9|23457	AR	-0.0290170143636358	0.556991973490775	0.604800120467213	-0.0232870015592242	0.637424849350145	0.677951480000452
ABCC10|89845	AR	-0.02124444570842	0.667229429475335	0.709156026686042	-0.0199281995916749	0.686720648652175	0.723950409604261
ABCC11|85320	AR	0.00267376971511935	0.956850070437666	0.962462717139966	-0.0369073145023719	0.454994029897363	0.502477923912215
ABCC13|150000	AR	-0.0871048695823778	0.0773921574411624	0.101482229760523	-0.0570417186600237	0.247990717403882	0.291114252057138
ABCC1|4363	AR	0.271283822796526	2.20629841549169e-08	5.93420636079456e-08	0.27600285321179	1.22476255801748e-08	3.30480843488232e-08
ABCC2|1244	AR	-0.0595228408484919	0.227979419628812	0.27163811996943	-0.0610198048296429	0.21647503065703	0.257034388600491
ABCC3|8714	AR	-0.0984808079558753	0.0457462294320148	0.0623514634688105	-0.125330440772684	0.0108887720140604	0.0160610345388666
