Meth_ID	Gene	logE_M_pearson_cor	logE_M_pearson_p	logE_M_pearson_q	logE_M_spearman_cor	logE_M_spearman_p	logE_M_spearman_q
|100133144	AR	0.384725973382346	1.26985852253272e-06	1.72429338922229e-05	0.389547243737416	9.09057333266647e-07	1.85865653381001e-05
|100134869	AR	0.422873683561565	7.76199859374012e-08	1.77013373058268e-06	0.422447350759129	8.02395881239739e-08	2.82318867421043e-06
|10357	AR	0.0552012913885557	0.503716884546376	0.62059259885794	0.0171196909102897	0.835832023148659	0.897188415215757
|10431	AR	-0.367969421506665	3.89610244494522e-06	4.31530948260807e-05	-0.31858805178212	7.50137948388006e-05	0.000655697976703973
|155060	AR	0.208281992744724	0.0108028297364261	0.0300815177444501	0.18103572592022	0.0271397509024836	0.0727818316076252
|340602	AR	-0.112914991678987	0.170348658274172	0.26992356434892	-0.0814863185805197	0.323184763715836	0.469520628632578
|388795	AR	-0.127429150050246	0.121455859808405	0.206564378456058	-0.0699892070373526	0.39634169097017	0.541525923571502
|390284	AR	-0.205570230909483	0.0119000901353674	0.0324610954344296	-0.206562030972193	0.0114879272712828	0.0374711596707542
|391343	AR	-0.10039234664935	0.223146264733883	0.333640897460394	-0.0337601133885647	0.682729986459134	0.788034585629425
|391714	AR	-0.0516663549756298	0.531462524923747	0.645168593007822	-0.00235074429074027	0.977300957726402	0.987796433663119
|57714	AR	0.364992203355578	4.72419676444176e-06	5.10845058029727e-05	0.347217007242715	1.4353353109319e-05	0.000173233064796505
|645851	AR	0.32248045578845	6.04840258208342e-05	0.000420378839804722	0.31449615406244	9.37696034040184e-05	0.000789386514600416
|653553	AR	-0.209432490880967	0.0103648722562946	0.0291107194895027	-0.228647094577648	0.00503568631101093	0.0196867666154423
|729884	AR	-0.038624636101495	0.640015101792197	0.737965166959201	-0.0065028705142391	0.937263310774614	0.963089351976133
|8225	AR	-0.167775667907493	0.0408315717125104	0.087454785987012	-0.170779709599892	0.0373060286605883	0.0928890870401098
|90288	AR	0.18510046856355	0.0238227033512962	0.0565649066873826	0.0901731377974489	0.274102715918036	0.415027162985191
A1BG|1	AR	-0.0453185308984994	0.583138286806011	0.689139010644463	-0.145386771153913	0.0768708450957593	0.161266492813229
A2BP1|54715	AR	0.390489059567367	8.51067204011859e-07	1.25010598059149e-05	0.325170408142832	5.20325745080994e-05	0.000491793536317785
A2LD1|87769	AR	-0.115504861361779	0.160693780827411	0.257724368709583	-0.100445315125799	0.222900929792187	0.356401055203903
A2M|2	AR	0.304111994931128	0.000162853290901748	0.000956682410356768	0.264749362874691	0.00110284341997769	0.00584546446798664
A2ML1|144568	AR	0.231256145332301	0.0045448775804496	0.0147876865558876	0.267803988801045	0.000960119443889611	0.00523401920561091
A4GALT|53947	AR	-0.04031874358392	0.625403399951399	0.725122847404591	-0.0653098613291991	0.428745701061164	0.571918150016947
A4GNT|51146	AR	0.128794323275587	0.117484002800629	0.201136231166274	0.063124132227799	0.444389374811656	0.586801143133378
AAAS|8086	AR	-0.221794027458694	0.00655817078508752	0.020026908485002	-0.161204220254257	0.0495252967780537	0.115580684739966
AACS|65985	AR	0.0752573451946512	0.361668269600463	0.483093427923184	0.0627068992126208	0.447411809361959	0.58891233276088
AACSL|729522	AR	-0.182322848347189	0.0260491218685097	0.0607687580061706	-0.0929376171814854	0.259600494381973	0.399320817488227
AADAT|51166	AR	0.0785446615197656	0.341017237456425	0.462877880188851	0.0737644999531513	0.371297206032661	0.517320803705567
AAGAB|79719	AR	-0.254068070042044	0.00176811773803558	0.00682388334219503	-0.179500993123591	0.0284909545125494	0.0756639442922109
AAK1|22848	AR	0.334045340911737	3.13488009758472e-05	0.000241922981240074	0.286403830991563	0.000398557822860534	0.00255940308774122
AAMP|14	AR	-0.0636607422556142	0.440519182024678	0.562281516206585	-0.0782503015659025	0.342835352585796	0.489311144876847
AANAT|15	AR	-0.137940010967185	0.0934210256483954	0.168567481838584	-0.109215970456529	0.184875088791785	0.311210190160715
AARS|16	AR	0.129251302602886	0.116177242181226	0.199455726659555	0.176584224424317	0.0312173824226401	0.0810886095989956
AARS2|57505	AR	-0.0708072177877388	0.39083123891855	0.512352131909733	-0.0499823143709507	0.544945010763903	0.676730092953666
AARSD1|80755	AR	-0.270733412130598	0.000839349967089841	0.00368287055120723	-0.278765452264796	0.000576127211747065	0.00344707394636959
AASDH|132949	AR	0.116280645149075	0.157882919611001	0.25436295390277	0.222267570003428	0.00644109868651873	0.023810112933457
AASDHPPT|60496	AR	0.0721153294239582	0.382115584278501	0.50393475779552	0.114845953623022	0.163110423909191	0.283534468923746
AASS|10157	AR	-0.053323726106924	0.518359007032011	0.633459621227671	-0.0620411939186946	0.452258043532829	0.593681034009404
AATF|26574	AR	-0.306049486738085	0.00014714247071	0.000881269450838209	-0.187244578681551	0.0222177072562055	0.0621299444542342
AATK|9625	AR	0.0505126231110832	0.540681268612514	0.653171198634458	-0.0283949609567361	0.731030575568759	0.823625169635807
ABAT|18	AR	0.247390101080185	0.00235187251466916	0.00858307708232731	0.207761724675012	0.011006168648043	0.0362081982451246
ABCA10|10349	AR	0.190766670319648	0.0197830782046557	0.0487871059343429	0.175873809392529	0.0319140244352488	0.0824886176480973
ABCA1|19	AR	-0.0667244065037014	0.418792808374021	0.540872134171638	-0.0168276512581858	0.838594057326905	0.898879848853931
ABCA11P|79963	AR	0.109650195829372	0.183124307958473	0.285989042139185	0.0697231065066451	0.398144210631834	0.543185553100905
ABCA12|26154	AR	0.305572776119752	0.000150871363268096	0.000897858752028401	0.273796329723459	0.000728122598283607	0.0041856668843342
ABCA13|154664	AR	0.268230673384889	0.000941590255627199	0.00405544974990233	0.291216136563188	0.00031428963744352	0.00210965436635673
ABCA17P|650655	AR	0.197637059347159	0.0156907174378727	0.0405560130463353	0.168519576640131	0.0399334733339112	0.0979099412355083
ABCA2|20	AR	0.145673111674507	0.076285068185979	0.143547952278874	0.0730570747089244	0.375914601305226	0.521833067583687
ABCA3|21	AR	0.341182966939297	2.06194922656191e-05	0.000173090858150464	0.302972092993533	0.000172812493112093	0.00129758912092778
ABCA4|24	AR	-0.132875471921179	0.10621030633907	0.186428747696801	-0.140124615683395	0.0882963515633317	0.178783779352139
ABCA5|23461	AR	0.158058487935465	0.0542017289521836	0.109648624428687	0.136291821988391	0.0974414930502518	0.19251102904495
ABCA6|23460	AR	0.107335391418935	0.192599107417368	0.297288521584532	0.104824095996475	0.203276045111266	0.333598513741046
ABCA7|10347	AR	-0.200345012823345	0.0142928545877068	0.0376430703888257	-0.21223120108982	0.00936415791527904	0.0319527414151129
ABCA8|10351	AR	0.274359547768616	0.000709208720025344	0.00320350551341057	0.278443586264061	0.000585008752137757	0.00348847994737728
ABCA9|10350	AR	0.237332489586191	0.00356404617858692	0.0120756673189913	0.23625463681941	0.00372273222558077	0.0154179187028244
ABCB10|23456	AR	0.0474006126818197	0.565935197806316	0.675310612368602	0.036613791165946	0.657539335695636	0.769494059431183
ABCB1|5243	AR	0.373064860905343	2.78892962377983e-06	3.28539603627786e-05	0.290474247012192	0.000326101588080611	0.00217580459444033
ABCB4|5244	AR	0.202114454510525	0.0134393283512474	0.0358355228169673	0.0924459681333879	0.262140433050475	0.401978795094987
ABCB5|340273	AR	-0.063026664785106	0.445094394453099	0.566535891844846	-0.0476062638204885	0.564249190188342	0.693010052825397
ABCB6|10058	AR	-0.0537230842099057	0.515226498460856	0.63079695468523	-0.0286597919456005	0.728619591163417	0.822274158584879
ABCB7|22	AR	0.140681342071842	0.0870269069562027	0.15949486972315	0.138196428415156	0.0928075542961477	0.185782216500099
ABCB8|11194	AR	-0.0924071668043162	0.262341607931929	0.378776990413405	-0.0574955853923011	0.48612271237111	0.625598499840535
ABCB9|23457	AR	0.279515957912821	0.000555898348913793	0.00262901919725557	0.254595089753712	0.00172820084868688	0.00835264170017877
ABCC10|89845	AR	-0.0195199256307964	0.813210055337977	0.873092251990645	-0.0103556172289515	0.900250267796942	0.939658007485741
ABCC11|85320	AR	0.111886344116169	0.174300496266662	0.274746064958351	0.119130519172943	0.147873092318911	0.263960518431389
ABCC12|94160	AR	-0.185209074425759	0.0237390751498166	0.0564080508636038	-0.140975851318901	0.0863612891731775	0.175705663023274
ABCC13|150000	AR	-0.083536558563119	0.311118628684159	0.431165459106759	-0.0595921375358786	0.470337197042546	0.610537278693427
ABCC1|4363	AR	0.20578725676382	0.0118088077479123	0.0322863621610612	0.194819470527426	0.017270082081213	0.0511233516492955
ABCC2|1244	AR	-0.061037440755278	0.459620418440602	0.581488478180756	-0.0314604703483858	0.703289243182922	0.80413192797635
ABCC3|8714	AR	0.0783400031879713	0.342280661799214	0.464236032516555	-0.000584079304207808	0.994359360087748	0.996316271641654
ABCC4|10257	AR	0.097166484115107	0.238449545378815	0.351004676696323	0.117552308659911	0.153355337595304	0.270919132500275
ABCC5|10057	AR	0.245623596975028	0.00253307332573425	0.00913776279013605	0.210027299367421	0.0101446403270778	0.0339388493771036
ABCC6|368	AR	0.0299721485721553	0.716711662772276	0.800858537432832	0.0187522107046594	0.820429878942717	0.886568658443172
ABCC6P1|653190	AR	0.0105346336949232	0.898535056349602	0.933916898513952	-0.0023578444732152	0.977232415985857	0.987783283075146
ABCC6P2|730013	AR	0.00920011749908393	0.911332215119206	0.942925630673594	-0.0257589142914388	0.75516872020157	0.841081957081371
