Meth_ID	Gene	logE_M_pearson_cor	logE_M_pearson_p	logE_M_pearson_q	logE_M_spearman_cor	logE_M_spearman_p	logE_M_spearman_q
|100133144	AR	0.328081418790593	5.82507586443812e-14	2.01326570748549e-13	0.305648143601127	3.1426724730086e-12	9.7425737806296e-12
|100134869	AR	0.215657777436811	1.18706925032903e-06	2.35999171667184e-06	0.189837555432711	2.00266745832499e-05	3.58433652064136e-05
|10357	AR	-0.00208278780356175	0.963021274771612	0.96715416693252	-0.028591028884826	0.524410362451611	0.564046613274637
|10431	AR	-0.357770685565521	1.74875718134571e-16	7.42186643538888e-16	-0.359579385558321	1.20289368250033e-16	5.23980239308378e-16
|155060	AR	0.0434047601906192	0.333724828460811	0.372502791304154	0.07239171911266	0.106626092742936	0.128765985996684
|340602	AR	0.121953392560282	0.00643326960797632	0.008996859198605	0.142210899385219	0.0014637456697727	0.00219829314466532
|388795	AR	0.105059455670752	0.0190220181859621	0.0252582539534459	0.106686705320923	0.0172362437767215	0.0230560075733551
|390284	AR	-0.0556175499512152	0.215346734796821	0.247806114915424	-0.0533008793460023	0.235104220372439	0.269364273701566
|57714	AR	0.398159826805303	2.28472058230085e-20	1.28189334302987e-19	0.391300296601391	1.14055774774674e-19	6.22925688550561e-19
|645851	AR	0.381165469821526	1.14630812229956e-18	5.69067522256836e-18	0.356461315979293	2.28940861763088e-16	9.75328591617262e-16
|653553	AR	-0.281218292230222	1.66690360013431e-10	4.45591920651483e-10	-0.259352656048265	4.25528664727257e-09	1.03474274382877e-08
|729884	AR	-0.355952103401344	2.5414169804275e-16	1.06571266060784e-15	-0.336094760084798	1.29084160385951e-14	4.82462071504634e-14
|8225	AR	-0.359822391297488	1.14370842334558e-16	4.92847652812012e-16	-0.343740990519814	2.94033194864417e-15	1.15481708631015e-14
|90288	AR	0.378786402175107	1.94776790408013e-18	9.51959591519463e-18	0.385626474688931	4.19242745064478e-19	2.18829647199238e-18
A1BG|1	AR	-0.260430035329232	3.65206892771923e-09	8.86652872667742e-09	-0.284260585360849	1.03766778496219e-10	2.87276774709628e-10
A2BP1|54715	AR	0.14423570111974	0.00124852943959493	0.00187658095697903	0.206364396713991	3.42201309581767e-06	6.56317571444871e-06
A2LD1|87769	AR	-0.283104484132501	1.24330790729317e-10	3.35874537918593e-10	-0.289318475252662	4.65873969730268e-11	1.32102162840547e-10
A2M|2	AR	0.28819131435203	5.57670364814949e-11	1.5439020665079e-10	0.307118914737852	2.44439828104065e-12	7.65248358180117e-12
A4GALT|53947	AR	-0.0676918585815362	0.131416297984831	0.156151848007505	-0.0643334569960916	0.151704302135815	0.179134192072769
A4GNT|51146	AR	0.108692380021859	0.0152382065080682	0.0204466466078236	0.106324586196954	0.0176204322575842	0.023515775295686
AAAS|8086	AR	-0.16725224233425	0.000177222764048515	0.000289568110109914	-0.175523827852871	8.2251687425939e-05	0.000139226309166129
AACS|65985	AR	0.309845459093353	1.52843700355211e-12	4.77608217226437e-12	0.315169346110338	6.02485312551991e-13	1.98228373973609e-12
AADAT|51166	AR	0.120501476009227	0.00709910321540441	0.00988290424492679	0.137900106873271	0.00203975673815001	0.00301843151950549
AAGAB|79719	AR	0.298052045390774	1.12517999919504e-11	3.28849224743057e-11	0.299373668230635	9.03663753780697e-12	2.69818015017738e-11
