Meth_ID	Gene	logE_M_pearson_cor	logE_M_pearson_p	logE_M_pearson_q	logE_M_spearman_cor	logE_M_spearman_p	logE_M_spearman_q
|100133144	AR	0.300690519636622	1.78646621773664e-12	1.42218633959516e-11	0.307036037469716	5.73994872374935e-13	5.20370493826805e-12
|100134869	AR	0.296071481255727	4.0124840349504e-12	3.03423522746616e-11	0.306114567233758	6.78044459855485e-13	6.07775028890431e-12
|10357	AR	0.116208196469264	0.00757497593514755	0.0135231010320919	0.0897249206129124	0.0394911750155048	0.0614767345658856
|10431	AR	-0.374482509592155	5.46651632481094e-19	1.11146149572753e-17	-0.388974835283788	1.75797633493283e-20	4.74924903076144e-19
|155060	AR	0.145072728628694	0.000837369384263822	0.0017846345800977	0.143843812168862	0.000927827159609966	0.00201921211538191
|388795	AR	-0.106865092745183	0.014109898066623	0.0239163318700912	-0.0931511849910866	0.0325170583763792	0.0517400130827935
|390284	AR	0.200577255233702	3.46964635439038e-06	1.08116107297896e-05	0.171486794180485	7.59816963438878e-05	0.000199990313666531
|57714	AR	0.144736353117785	0.000861282298726994	0.0018319180078507	0.187891631949503	1.41309218492787e-05	4.18288667388355e-05
|645851	AR	0.257159545960959	2.09201060609349e-09	1.05358854057171e-08	0.230268758407243	9.01136583762147e-08	3.77941951014378e-07
|653553	AR	-0.0662176879202547	0.128968489370105	0.175125843539641	-0.0837717173385321	0.0546162406140721	0.0822532612000986
|729884	AR	0.0117067524098606	0.788609350934254	0.827512755347063	0.0159674526164522	0.714581901698407	0.765620342195502
|8225	AR	-0.159245567545017	0.000242090153171958	0.000563642801094334	-0.200987400137418	3.31056689685128e-06	1.08549885926725e-05
|90288	AR	0.286556412926081	2.03071008053601e-11	1.37896084832674e-10	0.249303284881389	6.57698528806424e-09	3.29526916007019e-08
A1BG|1	AR	-0.202482892808169	2.78757271422538e-06	8.82445713114458e-06	-0.193137072196965	7.99454943817971e-06	2.46699422641943e-05
A1CF|29974	AR	-0.0248806306860371	0.568743021195201	0.632755978966838	0.142207708501552	0.00106228902534761	0.00228935512467503
A2BP1|54715	AR	0.0619426335652661	0.155615786142874	0.206818247207497	0.0499203049873011	0.252629159956329	0.318350566815109
A2LD1|87769	AR	-0.0532426454552292	0.222378795955729	0.283186382629009	-0.0625503471533811	0.151592070686643	0.203775688354478
A2M|2	AR	0.181954846681388	2.64270837293431e-05	7.17704821231586e-05	0.185571448236931	1.80902637903973e-05	5.27110782148294e-05
A2ML1|144568	AR	0.300179397576217	1.95519974687199e-12	1.5480654350403e-11	0.311901063251249	2.35880157175504e-13	2.25269305348531e-12
A4GALT|53947	AR	0.106434239023659	0.0145052733690415	0.0245129178104489	0.0771426854361887	0.0768343430460447	0.111599610976187
AAAS|8086	AR	-0.245959182941056	1.05856900207284e-08	4.79864510771603e-08	-0.248938365664685	6.92991529828939e-09	3.46021383947102e-08
AACS|65985	AR	0.202762005635734	2.69915080242539e-06	8.56312684799907e-06	0.228277701205428	1.16999893469584e-07	4.81929443547891e-07
AACSL|729522	AR	-0.0900231784611378	0.0388375107681085	0.0597127580806699	-0.0729527348153474	0.0943290414050608	0.134036055100405
AADAC|13	AR	0.129626762334352	0.00287031274286149	0.00556206496308759	0.126755527991764	0.00356012132776475	0.0069333055917065
AADAT|51166	AR	0.338514611936122	1.35226269962906e-15	1.6473702727701e-14	0.293794262733072	5.94780479329845e-12	4.6370803283727e-11
