Meth_ID	Gene	logE_M_pearson_cor	logE_M_pearson_p	logE_M_pearson_q	logE_M_spearman_cor	logE_M_spearman_p	logE_M_spearman_q
|100133144	AR	0.0841361547073705	0.533780150798752	0.715561324911907	0.0835034840382434	0.536871737303644	0.718521971030292
|100134869	AR	0.0558191888736949	0.680038258858514	0.82115404526453	0.0446273760004146	0.741680265659268	0.859230341985323
|10357	AR	0.150231733643021	0.264661407557554	0.473717588894248	0.106399183303821	0.430849175294645	0.631836491247944
|10431	AR	-0.305674793121649	0.0207604033150804	0.10217456192556	-0.383335223916415	0.00324695789284754	0.0338292184375576
|155060	AR	-0.00458014301489386	0.973025958736991	0.986410223032547	-0.0220058012376772	0.870928662782714	0.933311610883468
|340602	AR	0.045092117977112	0.739085037483535	0.859517962915168	0.175799199217361	0.190851569520251	0.391958404838534
|388795	AR	0.0196528705000253	0.884629814980826	0.942146305326258	0.0260428145976553	0.847510758124011	0.921021793857308
|390284	AR	-0.0359027929075175	0.790901326504056	0.892108066301622	-0.0165934760437271	0.902494419839463	0.95212747684255
|57714	AR	0.13478305619236	0.317496348373415	0.530286780948729	0.176921456489661	0.187990042958814	0.388374786608104
|645851	AR	0.298290545724648	0.0242132944719053	0.111865809220617	0.307335807270829	0.0200440573155744	0.100540572211909
|653553	AR	-0.398884368162522	0.0021159713279009	0.0261879892302574	-0.428124645581319	0.000893161194454392	0.0162491338485301
|8225	AR	-0.288733920929379	0.0293894726707023	0.126127080700889	-0.258657289658176	0.0520454676653431	0.179748949638357
|90288	AR	0.173292107648178	0.197356457955893	0.396896825464006	0.171962859156282	0.200868626390276	0.403912978642921
A1BG|1	AR	-0.337936865303101	0.0101415358675818	0.0665217326400555	-0.383302814783517	0.00324978838389527	0.0338292184375576
A2LD1|87769	AR	-0.0864704262439656	0.522449788557735	0.707292056727774	-0.056359482109456	0.677110651582532	0.817904946447381
A2M|2	AR	0.0920355828222078	0.495930628078307	0.68646214172789	0.0647534475300133	0.632259025134477	0.786947811551343
A2ML1|144568	AR	0.169444065621749	0.207645000141995	0.409666429831053	0.167993129316868	0.211620889949178	0.416416077612555
A4GALT|53947	AR	0.143787681432947	0.285935839650183	0.496762024268067	0.17043962991008	0.20494759408991	0.40887684446063
AAAS|8086	AR	-0.210453192441443	0.116103509756347	0.287684384259937	-0.171022994302242	0.203378572822905	0.406827836842481
AACS|65985	AR	0.0392685361843495	0.771805055710853	0.878680129895241	-0.00593087132031653	0.965075433490289	0.983457029723515
AACSL|729522	AR	0.0516628398678905	0.702713852601214	0.836598721911458	0.0763928614718141	0.572208376958537	0.744055775840668
AADAC|13	AR	0.0210809337856279	0.87630991659025	0.938184222838961	0.0141485016946442	0.916806297514901	0.959307583196776
AADAT|51166	AR	0.294571097315307	0.0261283041345797	0.117292036111159	0.276482312752024	0.0373494713253422	0.148000601889381
AAGAB|79719	AR	-0.176641299695136	0.188701484878183	0.386114409435958	-0.152096060689866	0.258709765547095	0.46834687031253
AAK1|22848	AR	0.178737471334298	0.183425013527097	0.379397730747014	0.146845781160406	0.275703701205398	0.486610550123819
AAMP|14	AR	-0.253713836678251	0.0568647265654892	0.186152731162907	-0.217043963017267	0.104859109773623	0.273349317566299
AANAT|15	AR	-0.0668815911844119	0.621085732283773	0.778668591088471	-0.0348358562987156	0.796980977391159	0.891934697261837
AARS|16	AR	0.0549617090027428	0.684694187613342	0.824401312581874	0.0684804978132723	0.612746445655439	0.773154087863857
AARS2|57505	AR	-0.0625788370218509	0.643761227237821	0.795242956427604	-0.0144220641395675	0.915203587239502	0.958623426177881
AARSD1|80755	AR	-0.134080404879898	0.320049044628749	0.532695146583954	-0.171768404358894	0.201386113724011	0.40457659453631
AASDH|132949	AR	0.398228414730915	0.00215543608610545	0.0263973404268962	0.413054398783794	0.00140655903215083	0.0212460557218583
AASDHPPT|60496	AR	0.296804710810961	0.0249636071140335	0.114021310878154	0.30344671132308	0.0217552899361621	0.105953478349179
AASS|10157	AR	-0.0216809662369209	0.872818035427336	0.936757681060678	-0.0791755116695808	0.558252511480171	0.734397257749554
AATF|26574	AR	-0.0228486624883405	0.866029603324525	0.933333402084764	-0.0428448736910298	0.751660462662371	0.865045853077312
AATK|9625	AR	-0.134107354184007	0.319950899188186	0.532634487945621	-0.0876342953559339	0.516845717553379	0.702293508071705
ABAT|18	AR	0.0426574024848624	0.752712493738979	0.866981196241904	0.0303997666582345	0.822383620819277	0.906528116952388
ABCA10|10349	AR	-0.155988082531165	0.246577495717373	0.45520183973221	-0.154688791321698	0.250583774434577	0.459856384525188
ABCA1|19	AR	0.422627288660237	0.00105664128120995	0.0177925499543966	0.405308616021194	0.00176219774901698	0.0240889502270611
ABCA11P|79963	AR	-0.0163820016637797	0.903731153339381	0.951781758140444	-0.0350342726626348	0.795849436371965	0.891361694386116
ABCA12|26154	AR	0.00307753131348756	0.981873514970079	0.99097283793032	-0.00304695226981723	0.982053594117185	0.991764477447648
ABCA13|154664	AR	0.183031608356075	0.172949400692594	0.366511771567158	0.18204209948753	0.175323855165862	0.373192745584838
ABCA17P|650655	AR	-0.16951206824167	0.207459959314953	0.409518797232264	-0.159592915092913	0.235691590962049	0.443462872489078
ABCA2|20	AR	0.0845363789105884	0.531828956061756	0.714246466817441	0.0909076177786223	0.501248556616866	0.6905566812951
ABCA3|21	AR	0.0314625007733466	0.816280458877504	0.905905281993684	0.0621607168981809	0.645982449212713	0.795498358463444
ABCA4|24	AR	0.199033805775697	0.137735630702148	0.318554007243481	0.208325906267731	0.119922878944234	0.29731023908274
ABCA5|23461	AR	0.202144233199491	0.131564892148236	0.309691449179971	0.162564210615889	0.226971053868274	0.434200027150776
ABCA6|23460	AR	0.0217211229314042	0.872584429302559	0.936718890557191	0.0186517582239507	0.890469735824084	0.944216612040917
ABCA7|10347	AR	-0.157420647347934	0.242211117878335	0.449854836161197	-0.0951532141882478	0.481385860756435	0.675591520562498
ABCA8|10351	AR	0.139728892759253	0.299896793529252	0.511531134191122	0.117483106754904	0.38411087324892	0.591894623955462
ABCA9|10350	AR	0.150166420939657	0.264871560637346	0.473985022222614	0.15079969537395	0.262838620050455	0.47269883074699
ABCB10|23456	AR	0.289293796994102	0.0290625939264226	0.125284815016151	0.254249647584061	0.0563255419586811	0.188497864298629
ABCB1|5243	AR	0.429399535301344	0.000858668350786408	0.0158048071176198	0.456677091664373	0.000356006467679183	0.00958884815051653
ABCB4|5244	AR	0.256823588021339	0.0537928022293933	0.180126596293731	0.306557988081279	0.0203768523930743	0.10161939819943
ABCB5|340273	AR	0.0580651879592587	0.667899450520463	0.812312661524401	0.0736687371540935	0.586024812662431	0.754283806209238
ABCB6|10058	AR	-0.329852717753319	0.0122201274443428	0.0746569357135805	-0.304451394442915	0.0213017925349805	0.104630283959157
ABCB7|22	AR	0.229925607689465	0.0853275672065032	0.238881214175495	0.221743287287463	0.0973691004135714	0.262095029410712
ABCB8|11194	AR	-0.0711229968695126	0.599070856944433	0.7639298946238	-0.0853656560530806	0.527797236794776	0.710898044130634
ABCB9|23457	AR	-0.0246904464349878	0.855342038678559	0.927501098259696	0.0221354377692688	0.870174843241681	0.932967066296195
ABCC10|89845	AR	-0.0282075845844078	0.835005753553519	0.916666323247997	0.0145841098040571	0.914254373907882	0.958094189105893
ABCC11|85320	AR	0.0816551133553485	0.545953770859849	0.725180170325842	0.0897860129208439	0.506565474756945	0.694528854748255
ABCC1|4363	AR	0.187715994530787	0.162025421110896	0.351413366068979	0.291455332150856	0.0278290077927501	0.123070650497396
ABCC2|1244	AR	0.119871680479466	0.374449506863319	0.583931273013504	0.155272155713861	0.248779576439628	0.458103603586836
ABCC3|8714	AR	0.211197939085655	0.114788577443414	0.285565531636966	0.179125277526719	0.182460598792212	0.381331828852141
ABCC4|10257	AR	0.435538548168211	0.000708801618582796	0.014394106076494	0.38852068518008	0.00282124729417894	0.0312436398550349
ABCC5|10057	AR	0.0274878341809779	0.839159121503475	0.918846418472189	0.0332517703532501	0.806029500504457	0.897928721525968
ABCC6|368	AR	0.31128948422862	0.0184228801771403	0.0947485928681344	0.331221338216585	0.0118443683275231	0.0726440565451816
ABCC6P1|653190	AR	0.250918351386105	0.0597459189835294	0.192254458875824	0.289691607453382	0.0288321893015258	0.126247304125398
ABCC6P2|730013	AR	0.199155259813679	0.137490680121226	0.318243275545377	0.173129587940606	0.197783509947052	0.399898383796212
ABCC8|6833	AR	0.1453177303949	0.280785653883346	0.491609807757425	0.151626662619187	0.260199695528067	0.470056166523192
ABCC9|10060	AR	0.32206357272777	0.0145600892210598	0.082881615694559	0.349338043506513	0.00773325817460074	0.0563353174618067
ABCD1|215	AR	-0.106812610697058	0.429050294997965	0.631631431260883	-0.0487433358784485	0.718798315179173	0.843666687337118
ABCD2|225	AR	0.285240198446411	0.0314994543199944	0.13145711356894	0.285538324944894	0.031314608430028	0.132414086344461
ABCD3|5825	AR	0.298665945755005	0.0240267632207642	0.111413869368973	0.265916935427307	0.045575243667583	0.166143703952876
ABCD4|5826	AR	-0.229792888143594	0.0855130734539137	0.239135853006452	-0.316961319741507	0.0162928367651896	0.0882912199469549
ABCE1|6059	AR	0.333325057700784	0.0112862177828123	0.0712183239532445	0.328563789318956	0.0125833519529614	0.0754869949506186
ABCF1|23	AR	-0.190852187974667	0.155000392040823	0.342648113775264	-0.188912835661886	0.159317450381056	0.352763086585429
ABCF2|10061	AR	-0.153472085826119	0.254375262422701	0.463736765260448	-0.155920338371819	0.246785295572696	0.455890020122255
ABCF3|55324	AR	-0.0980106616894895	0.468255918326061	0.664019583564636	-0.0893519793995229	0.508630701157232	0.695675279686256
ABCG1|9619	AR	0.393140568585919	0.0024845012365911	0.0287346647240692	0.413799808840445	0.00137598680415782	0.0209677071260236
ABCG2|9429	AR	0.40529787628414	0.00176274210118737	0.0235191208477588	0.358639464648212	0.00615399063039162	0.0489625107067794
ABCG4|64137	AR	-0.130036923970912	0.334991532695217	0.547636850568875	-0.110353097517365	0.413820014843613	0.617350951030415
ABCG5|64240	AR	-0.235376584238106	0.0779781110860813	0.225829256798492	-0.181005007234797	0.177837782533165	0.375902217854443
ABCG8|64241	AR	-0.130591188808896	0.332917829524267	0.545386310535769	-0.0678482785443792	0.616038113060861	0.775493840466334
ABHD10|55347	AR	-0.189545679120526	0.157899108522529	0.346174997922725	-0.188653562598702	0.159901237061224	0.353346327641371
ABHD11|83451	AR	0.018992518400094	0.888481269711153	0.943801662099549	0.0561002090462728	0.678514947590349	0.81839881026599
ABHD12|26090	AR	-0.24362269713152	0.0678224859441056	0.207102090524405	-0.231984573283201	0.0824900192335114	0.237088427179386
ABHD12B|145447	AR	0.141271332208828	0.29454010632618	0.505993525942438	0.139180944521827	0.301814854904608	0.512519444533108
ABHD13|84945	AR	0.19382357991098	0.148554458971488	0.33341459946384	0.115344103983642	0.392887390031168	0.598905243588921
ABHD14A|25864	AR	-0.0969699738219826	0.473015408539963	0.668080090677557	-0.0860462478439366	0.524499744229339	0.708234638207378
ABHD14B|84836	AR	0.0576639758189341	0.670061779096866	0.813545472300098	0.0309183127846009	0.819404339574567	0.904887803681393
ABHD15|116236	AR	0.222679606697776	0.0959277083441352	0.255940640482382	0.254897830242019	0.0556788174771588	0.187277378481034
ABHD1|84696	AR	-0.130333455678557	0.333881096929802	0.546380500443561	-0.106334365038025	0.431131593908377	0.631986673244909
ABHD2|11057	AR	0.344347425457781	0.00871802226064454	0.0605944663164364	0.362949879323633	0.0055233579176823	0.0459127464847303
ABHD3|171586	AR	-0.0764078347430342	0.572132852037837	0.743535844217784	-0.14276223041527	0.28942205720945	0.500187369141257
ABHD4|63874	AR	0.00157531836066308	0.990720891266846	0.994782985201021	-0.014616518936955	0.914064545469063	0.958011556943081
ABHD5|51099	AR	0.308156518747878	0.0196979227742645	0.0987526221360453	0.225405519304926	0.0918258164336449	0.252890847140992
ABHD6|57406	AR	0.388165305913665	0.00284875573340134	0.0315888039416661	0.371311435611293	0.0044598012328581	0.0407399303096799
ABHD8|79575	AR	-0.201090010264882	0.133632557493725	0.312535879884501	-0.220608967636036	0.0991377849274957	0.264914696915835
ABI1|10006	AR	0.39300577539125	0.00249379598360809	0.0288188672402903	0.361653514007717	0.00570677260391974	0.0467556959755607
ABI2|10152	AR	0.0396169538121992	0.769835678415299	0.87759290944624	0.0810552413776593	0.548917098554711	0.726755836056137
ABI3|51225	AR	0.0389216313796511	0.773767303511519	0.879929686149807	0.0656933123840525	0.627314230274877	0.783802300310881
ABI3BP|25890	AR	0.176180928418632	0.189874760643503	0.387847162253713	0.175300999844766	0.192131817825284	0.393447495522895
ABL1|25	AR	0.158121629684049	0.24009395194372	0.447261769562832	0.190111973579108	0.156637821899956	0.349309221790589
ABL2|27	AR	0.185065975875019	0.168141278430526	0.359677756424611	0.272528398538479	0.040270841352042	0.1547120774239
ABLIM1|3983	AR	0.321257710148466	0.0148227750409258	0.0836050999939837	0.320364278695787	0.0151187417553738	0.0842679469092535
ABLIM2|84448	AR	0.0925360048754629	0.4935807392157	0.68513197158378	0.0242744405405305	0.857753867284291	0.926989515037696
ABLIM3|22885	AR	0.0663040262395789	0.624109842118403	0.780872267858122	0.09372721234074	0.488010458202529	0.680298793772036
ABO|28	AR	0.258271831727561	0.0524088859138784	0.17790786773557	0.295812168915428	0.0254756468357505	0.116759215155525
ABP1|26	AR	0.17294841840998	0.198260342424357	0.397809939747845	0.184602420986464	0.169228185458412	0.365033061211829
ABR|29	AR	-0.161028243495271	0.231450650589023	0.43739004842595	-0.173161997073504	0.197698296240954	0.399898383796212
ABT1|29777	AR	-0.410148174696727	0.00153165343455948	0.0217851246702982	-0.404660433363236	0.00179532183819243	0.0242537022976466
ABTB1|80325	AR	-0.238567751624027	0.0739139002105366	0.21806621447965	-0.197630892411422	0.14058880935291	0.328230668489248
ABTB2|25841	AR	0.173042332260416	0.19801306218713	0.397511366398077	0.101472995103339	0.45260849641837	0.651244744617315
ACAA1|30	AR	-0.00783337115380085	0.953883026289066	0.976796586529106	-0.00132877444881409	0.99217306109031	0.995864653201803
ACAA2|10449	AR	-0.0502504498110088	0.710479506781518	0.841088088630205	-0.00444005120701292	0.973850715845773	0.987405015802048
ACACA|31	AR	0.237888314795505	0.0747647960487409	0.219887421319357	0.203626581997534	0.128698448594269	0.310872875078021
ACACB|32	AR	0.263625425997714	0.0475422162615445	0.167684650409717	0.296900066477704	0.0249148738081358	0.115045545947436
ACAD10|80724	AR	0.0197797144418198	0.883890307704776	0.941797618655859	0.0157832477212795	0.907233977602251	0.954619370020896
ACAD11|84129	AR	0.096477924949339	0.47527472920832	0.669749094950083	0.097810763085876	0.469168130186952	0.664439977662023
ACAD8|27034	AR	0.494672874554196	9.17696412016019e-05	0.00489976858190951	0.497220916919652	8.33093819185475e-05	0.00419155062442976
ACAD9|28976	AR	-0.0494257776015976	0.715027362500004	0.844098968448723	-0.047187697499349	0.727419070934367	0.848975208523075
ACADL|33	AR	0.311963063170302	0.0181581219036793	0.0940593983399409	0.350691240501624	0.00748354864883245	0.0552151570179881
ACADM|34	AR	0.202997057486571	0.129909951108177	0.307515295224336	0.202103352751333	0.131644619593135	0.314798387434276
ACADS|35	AR	-0.0527682493772285	0.69665697982433	0.832545355898599	-0.101116494641462	0.454206250597516	0.65272772736525
ACADSB|36	AR	0.385438037174291	0.00306790913110695	0.0328175038095177	0.408290256247802	0.00161675572070339	0.0231453462006169
ACADVL|37	AR	-0.182830754365083	0.1734294745306	0.366763826282559	-0.272787671601663	0.0400736718000656	0.154263532581524
ACAN|176	AR	0.222449623020508	0.0962802024630916	0.256335538207517	0.244300043784405	0.0670376880857364	0.209409387515875
ACAP1|9744	AR	-0.143547022392857	0.286751517391344	0.497508559392624	-0.216817099086981	0.10523164218589	0.274072153015446
ACAP2|23527	AR	0.248523525052675	0.0623067807476279	0.196983440689946	0.227933431670963	0.0881455632710252	0.246530560485056
ACAP3|116983	AR	-0.0851573132513796	0.528808715761783	0.712159319627706	-0.0420346453685822	0.756210413647298	0.86739122984458
ACAT1|38	AR	0.100571190773468	0.456656149465921	0.655843035279094	0.134173810197325	0.319708957869578	0.531360719832332
ACAT2|39	AR	-0.172543808048642	0.199328214509283	0.398904742035696	-0.203464536333045	0.129009481923047	0.311256107518363
ACBD3|64746	AR	0.235372045052023	0.0779840155825434	0.225829256798492	0.249712368978355	0.0610246928657473	0.198231238298156
ACBD4|79777	AR	0.0639461958290081	0.636518932732025	0.790213516475042	0.0383400042182211	0.777060396171865	0.88071605986393
ACBD5|91452	AR	0.278496460869075	0.0359301093583335	0.141725688387395	0.252078235679902	0.0585365008340792	0.193422523808685
ACBD6|84320	AR	-0.114717431134531	0.395480890443619	0.601902113320617	-0.0790782842708871	0.558737411504099	0.734631834167261
ACBD7|414149	AR	0.00548264438904949	0.967713406754032	0.983726219464099	0.111714281099077	0.408048423636672	0.612711431039063
ACCN1|40	AR	0.0793607780637439	0.557329087683077	0.733350102800726	0.0759670075126883	0.574358302746302	0.745866573667913
ACCN2|41	AR	-0.0798098239152961	0.555093912931944	0.731747454132245	-0.0908103903799286	0.501708317976166	0.690914422099267
ACCN3|9311	AR	-0.226333279552414	0.0904614426610855	0.247007957461795	-0.194292751722938	0.147555142809799	0.337396517775851
ACCN4|55515	AR	-0.0436301442927072	0.747258659561005	0.864041672283123	-0.0372380936996923	0.783309910076171	0.883772550410155
ACCS|84680	AR	0.17049559742471	0.20479669337853	0.405762555793014	0.202103352751333	0.131644619593135	0.314798387434276
ACD|65057	AR	-0.224016145536359	0.0938990473383313	0.252636286784524	-0.189334154389558	0.158372143512621	0.351632594874666
ACE|1636	AR	0.410173531458859	0.00153052024960831	0.0217851246702982	0.452787995716625	0.000405452144438687	0.010409875487951
ACE2|59272	AR	0.140938076957629	0.295692142269723	0.50678664312717	0.195835358936963	0.144304669421804	0.333033032691812
ACER2|340485	AR	0.287750626870101	0.0299710032362883	0.127639213338559	0.322308826669661	0.0144809404875365	0.0821601832130521
ACER3|55331	AR	0.266694494591011	0.044923156233495	0.161852732130904	0.271296851488359	0.041218351599991	0.156885987736738
ACHE|43	AR	-0.298172372031867	0.0242722654003257	0.112033333476736	-0.308437717789358	0.0195805006723919	0.0991472660758016
ACIN1|22985	AR	-0.15294403421895	0.256032787375082	0.465256928116071	-0.173680543199871	0.19633842805361	0.398189000392996
ACLY|47	AR	0.375159732248703	0.00403415943402705	0.0382901388831649	0.364635154234324	0.00529266354274067	0.0447272814808701
ACN9|57001	AR	0.146359609238566	0.27731393641471	0.488254651458288	0.122409294955386	0.364347022645972	0.573318569630214
ACO1|48	AR	0.0343352317813081	0.799837809569298	0.896773311895445	0.00787541929419081	0.953635749004214	0.977645104599356
ACO2|50	AR	0.186970174514668	0.163729908192369	0.35361481923208	0.00168527491069104	0.990073244870014	0.995029662534536
ACOT11|26027	AR	-0.0347231428417702	0.797623951633982	0.895440374859269	-0.0217789373073919	0.872248120990144	0.934261666908297
ACOT13|55856	AR	-0.275968615053357	0.0377188056230816	0.145685722389822	-0.19147315716082	0.153636522676222	0.345427082172805
ACOT1|641371	AR	-0.0389970318646401	0.773340684789048	0.879743786013706	-0.00486136993468568	0.971370387850155	0.986280272067335
ACOT2|10965	AR	0.156796029364027	0.244108370823442	0.452251424215766	0.186935878555113	0.163808602515599	0.358728253494227
ACOT4|122970	AR	0.0838943915954513	0.534960508771872	0.716364940971564	0.0846850642622246	0.531104973581017	0.713470850363854
ACOT6|641372	AR	-0.183366701453016	0.172150625091906	0.36552367743164	-0.152003011386065	0.259004658177858	0.468609884246007
ACOT7|11332	AR	-0.293660750191758	0.0266159244663978	0.11858033669734	-0.295020336769625	0.0258904529406064	0.117817256199149
ACOT8|10005	AR	-0.292845245246998	0.027059211086222	0.119912032701135	-0.294469381510361	0.0261824120908247	0.118707811120822
