 	mRNA.single.OS	mRNA.single.PFI	Protein.single.OS	Protein.single.PFI	Cox.mut	mRNA.TvsN.all	mRNA.TvsN.match	gender.mRNA	gender.protein
ACC	1	0	0	0	1	0	0	0	0
BLCA	0	0	0	0	0	1	0	0	1
BRCA	0	0	0	0	0	0	0	0	1
CESC	0	0	0	0	0	0	0	0	0
CHOL	0	0	0	0	1	0	0	0	0
COAD	0	0	0	0	0	1	1	0	1
DLBC	0	0	0	0	0	0	0	1	0
ESCA	0	0	0	0	1	1	1	0	0
GBM	0	0	0	0	1	0	0	0	0
HNSC	0	0	0	0	0	1	1	0	0
KICH	0	0	0	0	0	1	1	0	0
KIRC	1	1	1	1	1	0	1	0	1
KIRP	0	0	0	0	0	0	0	0	1
LAML	1	0	0	0	0	0	0	0	0
LGG	0	0	1	1	0	0	0	0	1
LIHC	1	0	1	0	0	1	1	1	1
LUAD	0	0	0	0	0	1	1	0	1
LUSC	0	0	0	0	0	1	1	0	1
MESO	0	0	0	0	0	0	0	0	1
OV	0	0	1	0	0	0	0	0	0
PAAD	0	0	0	0	0	0	0	0	0
PCPG	0	0	0	0	0	0	0	0	0
PRAD	0	0	0	0	0	1	1	0	0
READ	0	0	0	0	1	0	0	0	1
SARC	0	0	0	0	0	0	0	1	0
SKCM	0	0	1	1	0	0	0	0	1
STAD	1	1	0	0	0	1	1	0	0
TGCT	0	0	0	0	0	0	0	0	0
THCA	0	0	1	0	0	1	1	0	1
THYM	0	0	1	0	0	0	0	1	0
UCEC	0	0	0	0	0	1	1	0	0
UCS	0	0	0	0	0	0	0	0	0
UVM	0	1	0	0	1	0	0	0	0
