SampleID	bcr_patient_barcode	AR	ESR1	ESR2	PGR
TCGA-02-0047-01	TCGA-02-0047	6.86	4.87	4.14	2.71
TCGA-02-0055-01	TCGA-02-0055	4.44	4.55	6.81	3.4
TCGA-02-2483-01	TCGA-02-2483	2.79	3.82	3.1	1.18
TCGA-02-2485-01	TCGA-02-2485	6.64	3.03	4.39	3.33
TCGA-02-2486-01	TCGA-02-2486	4.7	4.86	3.91	2.56
TCGA-04-1348-01	TCGA-04-1348	5.52	10.54	3.1	7.12
TCGA-04-1357-01	TCGA-04-1357	6.54	11.79	4.27	6.14
TCGA-04-1362-01	TCGA-04-1362	5.83	11.59	4.67	8.33
TCGA-04-1364-01	TCGA-04-1364	4.61	10.13	3.91	7.81
TCGA-04-1365-01	TCGA-04-1365	4.74	11.98	3.49	4.79
TCGA-04-1514-01	TCGA-04-1514	7.67	12.24	5.39	10.19
TCGA-04-1519-01	TCGA-04-1519	9.01	11.9	2.81	2.61
TCGA-05-4244-01	TCGA-05-4244	2.64	11.93	3.12	4.4
TCGA-05-4249-01	TCGA-05-4249	3.37	9.24	3.65	4.86
TCGA-05-4250-01	TCGA-05-4250	3.16	4.66	2.93	5.34
TCGA-05-4382-01	TCGA-05-4382	3.8	6.01	4.9	5.5
TCGA-05-4384-01	TCGA-05-4384	4.92	7.01	3.26	6.17
TCGA-05-4389-01	TCGA-05-4389	3.67	7.66	3.59	3.23
TCGA-05-4390-01	TCGA-05-4390	1.83	6.46	4.38	4.08
TCGA-05-4395-01	TCGA-05-4395	1.05	7.62	3.04	2.9
TCGA-05-4396-01	TCGA-05-4396	6.31	4.47	3.34	4.82
TCGA-05-4397-01	TCGA-05-4397	3.05	4.94	3.67	6.04
TCGA-05-4398-01	TCGA-05-4398	3.34	9.62	3.94	4.78
TCGA-05-4402-01	TCGA-05-4402	5.92	6.02	4.77	6.11
TCGA-05-4403-01	TCGA-05-4403	4.03	5.01	2.02	4.74
TCGA-05-4405-01	TCGA-05-4405	4.38	6.35	3.76	5.76
TCGA-05-4410-01	TCGA-05-4410	4.03	6.16	4.53	6.27
TCGA-05-4415-01	TCGA-05-4415	5.97	2.32	4.36	1.69
TCGA-05-4417-01	TCGA-05-4417	5.01	10.14	3.96	6.35
TCGA-05-4418-01	TCGA-05-4418	1.73	6.79	4.71	3.93
TCGA-05-4420-01	TCGA-05-4420	3.27	2.92	3.85	3.8
TCGA-05-4422-01	TCGA-05-4422	6.38	7.87	5.86	3.96
TCGA-05-4424-01	TCGA-05-4424	8.26	7.01	4.98	6.44
TCGA-05-4425-01	TCGA-05-4425	2.72	7.19	4.2	5.35
TCGA-05-4426-01	TCGA-05-4426	3.9	7.08	2.91	3.98
TCGA-05-4427-01	TCGA-05-4427	2.92	10.44	3.01	4.18
TCGA-05-4430-01	TCGA-05-4430	4.94	8.64	2.82	5.86
TCGA-05-4432-01	TCGA-05-4432	5.49	5.56	4.17	4.52
TCGA-05-4433-01	TCGA-05-4433	4.2	4.82	2.93	5.54
TCGA-05-4434-01	TCGA-05-4434	4.64	9.34	3.42	5.42
TCGA-05-5420-01	TCGA-05-5420	0.92	6.74	3.55	3.31
TCGA-05-5423-01	TCGA-05-5423	3.29	9.05	2.43	5.51
TCGA-05-5425-01	TCGA-05-5425	2.96	5.13	4.02	4.63
TCGA-05-5428-01	TCGA-05-5428	0	6.59	4.27	3.62
TCGA-05-5429-01	TCGA-05-5429	2.85	2.85	2.99	5.16
TCGA-05-5715-01	TCGA-05-5715	3.14	9.32	2.04	5.24
TCGA-06-0125-01	TCGA-06-0125	7.06	3.89	3.19	1.15
TCGA-06-0125-02	TCGA-06-0125	8.23	4.55	4.38	2.86
TCGA-06-0129-01	TCGA-06-0129	6.9	3.44	4.13	4.16
TCGA-06-0130-01	TCGA-06-0130	5.31	5.23	3.43	1.61
TCGA-06-0132-01	TCGA-06-0132	4.93	2.81	2.68	3.95
TCGA-06-0138-01	TCGA-06-0138	2.98	4.02	2.36	1.91
TCGA-06-0141-01	TCGA-06-0141	4.36	4.04	6.96	4.79
TCGA-06-0152-02	TCGA-06-0152	5.97	4.7	3.47	2.43
TCGA-06-0156-01	TCGA-06-0156	6.81	5.16	3.76	1.9
TCGA-06-0157-01	TCGA-06-0157	6.22	4.04	2.86	1.55
TCGA-06-0158-01	TCGA-06-0158	8.07	4.44	3.42	3.16
TCGA-06-0168-01	TCGA-06-0168	6.22	5.4	2.48	3.88
TCGA-06-0171-02	TCGA-06-0171	6.79	6.1	4.17	4.81
TCGA-06-0174-01	TCGA-06-0174	5.42	2.6	3.33	0
TCGA-06-0178-01	TCGA-06-0178	5.51	2.03	3.24	0.82
TCGA-06-0184-01	TCGA-06-0184	6.27	3.88	6.21	3.78
TCGA-06-0187-01	TCGA-06-0187	6.91	3.96	4.1	1.59
TCGA-06-0190-01	TCGA-06-0190	4.94	5.25	7.37	3.3
TCGA-06-0190-02	TCGA-06-0190	5.67	6.28	6.51	2.58
TCGA-06-0210-01	TCGA-06-0210	5.14	4.04	6.9	2.66
TCGA-06-0210-02	TCGA-06-0210	6.38	4.94	5.45	3.42
TCGA-06-0211-01	TCGA-06-0211	5.34	4.04	3.2	0
TCGA-06-0211-02	TCGA-06-0211	4.3	3.79	3.17	2.24
TCGA-06-0219-01	TCGA-06-0219	3.25	3.43	1.2	3.25
TCGA-06-0221-02	TCGA-06-0221	4.36	3.4	4.56	4.93
TCGA-06-0238-01	TCGA-06-0238	5.11	4.05	3.27	2.49
TCGA-06-0644-01	TCGA-06-0644	5.86	5.05	6.74	2.09
TCGA-06-0645-01	TCGA-06-0645	4.27	3.97	3.81	3.38
TCGA-06-0646-01	TCGA-06-0646	5.68	5.86	3.09	2.17
