SampleID	bcr_patient_barcode	AR	ESR1	ESR2	PGR
TCGA-S9-A7J2-01	TCGA-S9-A7J2	4.0549	2.4782	3.8793	4.941
TCGA-G3-A3CH-11	TCGA-G3-A3CH	9.5696	10.1313	2.1846	4.2273
TCGA-EK-A2RE-01	TCGA-EK-A2RE	1.4254	9.4124	3.5595	4.3134
TCGA-44-6778-01	TCGA-44-6778	6.1839	6.4993	5.2644	6.4583
TCGA-VM-A8C8-01	TCGA-VM-A8C8	5.0753	3.4418	2.3657	4.1808
TCGA-AB-2863-03	TCGA-AB-2863	8.3131	5.4354	2.7959	0.7316
TCGA-C8-A1HL-01	TCGA-C8-A1HL	6.3124	11.9038	3.2893	5.7035
TCGA-EE-A17X-06	TCGA-EE-A17X	0.0	2.6877	8.135	0.0
TCGA-YB-A89D-11	TCGA-YB-A89D	4.8448	6.3959	3.5111	6.3264
TCGA-05-4420-01	TCGA-05-4420	3.2746	2.921	3.849	3.7954
TCGA-R6-A8WC-01	TCGA-R6-A8WC	3.2883	2.0757	4.6251	2.8935
TCGA-DX-A3U8-01	TCGA-DX-A3U8	7.1076	6.4055	0.9689	1.5434
TCGA-GL-8500-01	TCGA-GL-8500	8.4876	5.8327	2.1104	1.1663
TCGA-CC-A3MA-01	TCGA-CC-A3MA	3.1533	5.1154	1.622	5.0671
TCGA-KK-A6E4-01	TCGA-KK-A6E4	5.617	4.5091	4.2241	5.9384
TCGA-IN-7808-01	TCGA-IN-7808	3.6789	6.4326	6.3626	5.3879
TCGA-L5-A4OH-01	TCGA-L5-A4OH	2.1377	3.0079	3.7943	2.918
TCGA-RP-A695-06	TCGA-RP-A695	4.2461	5.9884	3.4388	1.4394
TCGA-A4-7828-01	TCGA-A4-7828	4.2797	4.5239	4.1191	6.7948
TCGA-AB-2921-03	TCGA-AB-2921	0.0	5.3144	4.1113	0.0
TCGA-E1-A7YI-01	TCGA-E1-A7YI	5.8221	2.6537	3.8966	3.4051
TCGA-PC-A5DM-01	TCGA-PC-A5DM	0.8328	3.6689	3.4798	1.7415
TCGA-BR-A4QL-01	TCGA-BR-A4QL	1.6002	1.6002	5.9148	3.1902
TCGA-CH-5751-01	TCGA-CH-5751	11.3044	7.1573	3.8053	5.9322
TCGA-A2-A3XX-01	TCGA-A2-A3XX	2.9092	5.3849	3.9444	5.1955
TCGA-DQ-5624-01	TCGA-DQ-5624	2.6925	7.4999	5.0921	5.0081
TCGA-KK-A7B3-01	TCGA-KK-A7B3	7.6987	8.7282	4.3071	7.3367
TCGA-HG-A2PA-01	TCGA-HG-A2PA	5.8092	11.0959	4.8833	10.6931
TCGA-06-5412-01	TCGA-06-5412	5.6368	5.1476	8.6228	2.3894
TCGA-BP-4989-01	TCGA-BP-4989	5.7352	6.6357	4.3546	7.2083
TCGA-EJ-8468-01	TCGA-EJ-8468	10.5694	8.9976	4.5886	8.6957
TCGA-CZ-5459-01	TCGA-CZ-5459	6.195	7.973	4.3844	7.0856
TCGA-KK-A8I5-01	TCGA-KK-A8I5	8.1021	8.4241	5.6081	7.2667
TCGA-GN-A266-06	TCGA-GN-A266	3.5979	5.6186	3.8876	3.9518
TCGA-CZ-5468-11	TCGA-CZ-5468	5.0703	6.2552	4.2732	5.79
TCGA-BH-A18K-01	TCGA-BH-A18K	8.2486	12.7933	2.1831	10.3683
TCGA-4X-A9FA-01	TCGA-4X-A9FA	0.0	6.7699	4.1078	2.3989
TCGA-DD-AAW0-01	TCGA-DD-AAW0	8.5956	7.0658	1.4355	4.6362
TCGA-AA-3511-01	TCGA-AA-3511	2.2755	3.2535	2.7113	4.0327
TCGA-Z7-A8R5-01	TCGA-Z7-A8R5	4.5299	11.6893	3.1318	8.7815
TCGA-GV-A3QK-01	TCGA-GV-A3QK	2.7287	4.7288	5.6698	3.9316
TCGA-39-5031-01	TCGA-39-5031	3.4599	5.3445	5.3981	4.7839
TCGA-ZG-A8QW-01	TCGA-ZG-A8QW	7.5493	7.3875	3.8741	7.2993
TCGA-DU-7302-01	TCGA-DU-7302	3.7301	3.1439	2.8349	5.329
TCGA-DJ-A3UX-01	TCGA-DJ-A3UX	6.0476	9.0179	4.0715	6.5672
TCGA-ZN-A9VQ-01	TCGA-ZN-A9VQ	6.4001	5.5307	3.41	3.6636
TCGA-EI-6512-01	TCGA-EI-6512	2.1615	2.6347	3.1401	3.1401
TCGA-J4-A83K-01	TCGA-J4-A83K	8.9778	8.1002	4.063	8.0648
TCGA-2H-A9GF-01	TCGA-2H-A9GF	3.8772	3.3862	6.5634	4.5343
TCGA-HZ-7922-01	TCGA-HZ-7922	6.8711	5.7577	4.6915	7.6754
TCGA-DD-AACA-02	TCGA-DD-AACA	6.7843	4.00515	0.64845	0.77855
TCGA-DD-AACA-01	TCGA-DD-AACA	9.7059	6.1075	1.6681	1.4554
TCGA-D3-A8GD-06	TCGA-D3-A8GD	0.933	5.1332	8.7981	1.2411
TCGA-QG-A5YX-01	TCGA-QG-A5YX	0.0	0.0	4.7207	2.5632
TCGA-ZG-A9MC-01	TCGA-ZG-A9MC	9.6888	9.5211	4.4608	7.4319
TCGA-B9-A5W8-01	TCGA-B9-A5W8	6.8975	7.6021	2.1848	1.9839
TCGA-DU-A7TI-01	TCGA-DU-A7TI	6.9831	3.3481	4.3392	4.6468
TCGA-BR-8372-01	TCGA-BR-8372	2.2677	4.536	4.1415	3.7159
TCGA-HC-7742-01	TCGA-HC-7742	9.5722	8.3749	3.3759	7.7449
TCGA-DD-A3A6-11	TCGA-DD-A3A6	7.3812	10.5142	1.9475	3.7926
TCGA-64-1679-01	TCGA-64-1679	5.4482	8.193	3.0951	5.6944
TCGA-CV-5976-01	TCGA-CV-5976	1.4418	6.6271	3.4982	2.6989
TCGA-25-1315-01	TCGA-25-1315	8.9026	10.3263	4.672	9.4425
TCGA-2G-AAFZ-01	TCGA-2G-AAFZ	3.3026	4.0673	5.0666	1.7921
TCGA-LN-A4MQ-01	TCGA-LN-A4MQ	2.4409	5.2305	6.0835	5.5814
TCGA-CV-6948-01	TCGA-CV-6948	6.505	4.4512	5.6262	1.6844
TCGA-K7-AAU7-01	TCGA-K7-AAU7	5.3141	4.9418	3.1304	4.9111
TCGA-CJ-6028-01	TCGA-CJ-6028	7.9901	7.5361	7.408	5.8242
TCGA-B6-A0RL-01	TCGA-B6-A0RL	8.2686	15.1128	2.5664	7.3119
TCGA-CZ-5456-01	TCGA-CZ-5456	9.7532	6.2663	3.2255	5.0012
TCGA-EL-A3D0-01	TCGA-EL-A3D0	2.082	5.1495	2.4092	6.5051
TCGA-EM-A22Q-01	TCGA-EM-A22Q	3.3001	3.066	2.4396	0.0
TCGA-49-6744-01	TCGA-49-6744	4.1947	6.9685	4.4513	6.4353
TCGA-5P-A9KA-01	TCGA-5P-A9KA	8.8392	6.5608	5.7201	5.241
TCGA-IB-7891-01	TCGA-IB-7891	6.6199	7.2597	3.5511	7.9368
TCGA-ZN-A9VU-01	TCGA-ZN-A9VU	5.8648	4.647	3.6822	4.5087
TCGA-Q3-A5QY-01	TCGA-Q3-A5QY	3.1663	6.1963	5.4088	5.9945
TCGA-AJ-A3BI-01	TCGA-AJ-A3BI	3.3157	12.4107	2.4538	9.8621
TCGA-CV-7424-11	TCGA-CV-7424	5.7181	6.6613	3.7283	4.4013
TCGA-BH-A204-11	TCGA-BH-A204	9.0356	11.1831	5.0659	9.3734
TCGA-E3-A3E2-01	TCGA-E3-A3E2	3.8895	10.4464	3.6095	5.3028
TCGA-FB-A545-01	TCGA-FB-A545	4.0126	4.4722	4.4222	6.0954
TCGA-44-2657-11	TCGA-44-2657	4.9353	6.8856	4.605	6.9667
