Cancer	Signature	Type	HR	Low CI95	Up CI95	p-value	N/A_number	Number_Event	Likelihood_ratio_test	Wald_test	Score_test	zph
ACC	age_at_initial_pathologic_diagnosis	(continuous)	1.013516912	0.992817268	1.034648131	0.202214049	92/34	0(0%)	0.200457131	0.202214049	0.200811782	0.804475396
ACC	AR	(continuous)	0.775067022	0.643298294	0.933826336	0.007360291	79/28	13(14.13%)	0.003483034	0.007360291	0.005440488	0.837808332
ACC	AR	H (vs L)	0.420163079	0.184808026	0.955245383	0.03852474	40/20--39/8	13(14.13%)	0.029810665	0.03852474	0.032847009	0.830892978
ACC	atypical_mitotic_figures	Present (vs Absent)	1.924948979	0.876368562	4.228162364	0.102837331	33/17--35/10	24(26.09%)	0.096135392	0.102837331	0.097041153	0.014011064
ACC	clinical_status_within_3_mths_surgery	Disease (vs No_evidence)	9.002843266	4.410304388	18.37768547	1.58E-09	20/18--72/16	0(0%)	6.99E-09	1.58E-09	7.73E-13	0.893623762
ACC	ct_scan_preop_results.1	Involvement (vs Normal)	3.50849747	1.660608975	7.412674914	0.001005729	24/15--53/13	15(16.3%)	0.00120425	0.001005729	0.000462278	0.280655222
ACC	cytoplasm_presence_less_than_equal_25_percent	Absent (vs Present)	1.18241178	0.446556602	3.130840775	0.73592182	12/5--57/22	23(25%)	0.740355769	0.73592182	0.735627224	0.63822635
ACC	diffuse_architecture	Absent (vs Present)	0.795672085	0.33322522	1.899898417	0.606757365	20/7--50/20	22(23.91%)	0.600561404	0.606757365	0.606024639	0.048466581
ACC	ESR1	(continuous)	1.089308523	0.878272116	1.351054003	0.436225774	79/28	13(14.13%)	0.436854545	0.436225774	0.435405212	0.859315732
ACC	ESR1	H (vs L)	1.059228464	0.504220518	2.225147331	0.879239068	40/14--39/14	13(14.13%)	0.879246893	0.879239068	0.879222729	0.144308375
ACC	ESR2	(continuous)	0.808953903	0.655369066	0.998531136	0.048421804	79/28	13(14.13%)	0.049502242	0.048421804	0.045234098	0.35061894
ACC	ESR2	H (vs L)	0.541558027	0.252395346	1.162006756	0.115372433	40/17--39/11	13(14.13%)	0.110253792	0.115372433	0.109969076	0.724872767
ACC	gender	MALE (vs FEMALE)	0.84859844	0.413528965	1.741399933	0.654437274	32/11--60/23	0(0%)	0.651459797	0.654437274	0.654075376	0.884256975
ACC	history_adrenal_hormone_excess	None (vs Yes)	0.499472934	0.2330442	1.070497407	0.074291101	38/9--54/25	0(0%)	0.061410509	0.074291101	0.06864553	0.26658036
ACC	invasion_of_tumor_capsule	Absent (vs Present)	0.380816286	0.174014855	0.833383123	0.015688213	35/9--48/22	9(9.78%)	0.011111612	0.015688213	0.012242682	0.09758868
ACC	laterality	Right (vs Left)	1.121352857	0.569583219	2.207635668	0.740341954	40/15--52/19	0(0%)	0.74096797	0.740341954	0.740205619	0.24204332
ACC	mitoses_per_50_hpf	(continuous)	1.021758625	1.010521254	1.03312096	0.000136247	61/24	31(33.7%)	0.000820443	0.000136247	2.07E-05	0.171704779
ACC	Mitotic_Rate_._5.50_HPF	Absent (vs Present)	0.391217204	0.174305577	0.878060836	0.022892522	32/8--48/24	12(13.04%)	0.015383812	0.022892522	0.018562579	0.203439307
ACC	necrosis	Absent (vs Present)	0.381967807	0.133993239	1.088856469	0.07175189	20/4--67/29	5(5.43%)	0.043025115	0.07175189	0.061458831	0.174615225
ACC	new_tumor_event	Yes (vs No)	4.054764661	1.882826196	8.732147708	0.000347984	44/25--48/9	0(0%)	0.000116024	0.000347984	0.000112195	0.833865841
ACC	nuclear_grade_III_IV	Absent (vs Present)	1.047764001	0.44126866	2.48784811	0.915780357	15/7--56/21	21(22.83%)	0.916098183	0.915780357	0.915773205	0.897057953
ACC	number_of_lymphnodes_positive_by_he	Yes (vs No)	2.364197859	0.911274481	6.133642091	0.076902097	8/5--84/29	0(0%)	0.109642611	0.076902097	0.06820791	0.428407634
ACC	pathologic_stage_v2	StageIII/IV (vs StageI/II)	8.009918439	3.539214237	18.12797675	5.95E-07	37/24--53/9	2(2.17%)	5.49E-08	5.95E-07	1.05E-08	0.325161745
ACC	PGR	(continuous)	1.027682634	0.836074779	1.263202316	0.795348981	79/28	13(14.13%)	0.792135629	0.795348981	0.795307431	0.107181875
ACC	PGR	H (vs L)	2.642799397	1.189677392	5.870825738	0.017011446	40/9--39/19	13(14.13%)	0.013026997	0.017011446	0.013219971	0.303360158
ACC	pharm_tx_mitotane_indicator	NO (vs YES)	0.631695638	0.309056498	1.291153497	0.207895821	37/12--55/22	0(0%)	0.199627848	0.207895821	0.204265827	0.301795086
ACC	postoperative_rx_tx	NO (vs YES)	0.664257728	0.324654823	1.359099873	0.262728417	37/12--55/22	0(0%)	0.25477382	0.262728417	0.259724875	0.126360127
ACC	radiation_therapy	YES (vs NO)	1.400375611	0.605465509	3.238915882	0.431211234	17/7--75/27	0(0%)	0.446173164	0.431211234	0.429077849	0.56999536
ACC	residual_tumor	R1 (vs R0)	7.627293482	2.528404079	23.00882455	0.000310327	12/11--64/14	NA	NA	NA	NA	0.431020622
ACC	residual_tumor	R2 (vs R0)	12.46695073	5.301959889	29.31460512	7.30E-09	7/5--64/14	NA	NA	NA	NA	0.580271256
ACC	residual_tumor	RX (vs R0)	3.379818201	0.967345887	11.80877619	0.05639753	6/3--64/14	NA	NA	NA	NA	0.086249178
ACC	residual_tumor	Global	NA	NA	NA	NA	NA	3(3.26%)	2.63E-07	1.08E-07	3.80E-11	0.196696788
ACC	sinusoid_invasion	Present (vs Absent)	2.128865783	0.971691604	4.66410279	0.058998929	29/15--39/11	24(26.09%)	0.057039427	0.058998929	0.053431761	0.124430097
ACC	treatment_outcome_first_course_v2	Uncomplete_Remission/Response (vs Complete_Remission/Response)	13.16366238	4.900626108	35.35915686	3.18E-07	25/17--54/7	13(14.13%)	1.99E-08	3.18E-07	2.55E-10	0.919980168
ACC	tumor_status	WITH_TUMOR (vs TUMOR_FREE)	33.77671967	7.756320622	147.088658	2.75E-06	45/30--45/2	2(2.17%)	1.32E-12	2.75E-06	9.37E-12	0.706156852
ACC	weiss_score_overall	(continuous)	1.264737256	1.043656224	1.532650589	0.016581658	69/28	23(25%)	0.014153621	0.016581658	0.014334899	0.016978075
ACC	weiss_venous_invasion	Present (vs Absent)	3.186834788	1.506840513	6.73987451	0.002422462	36/19--43/12	13(14.13%)	0.001997354	0.002422462	0.001489744	0.850561533
BLCA	age_at_initial_pathologic_diagnosis	(continuous)	1.031469259	1.016002639	1.047171328	5.83E-05	411/180	1(0.24%)	3.90E-05	5.83E-05	5.34E-05	0.050673676
BLCA	AR	(continuous)	0.982049632	0.923937633	1.043816645	0.560552809	407/178	5(1.21%)	0.559454959	0.560552809	0.560480171	0.006975698
BLCA	AR	H (vs L)	0.971144111	0.723328013	1.303863349	0.845554542	204/91--203/87	5(1.21%)	0.845540998	0.845554542	0.845549174	0.00124795
BLCA	BMI	(continuous)	0.993441148	0.966874428	1.020737839	0.634208182	361/153	51(12.38%)	0.63050777	0.634208182	0.634276435	0.629734344
BLCA	BMI_category	Over (vs Normal)	1.221799896	0.850277201	1.755656842	0.278780235	125/63--150/56	NA	NA	NA	NA	0.663929215
BLCA	BMI_category	Obesity (vs Normal)	0.891295451	0.583128225	1.36232058	0.594986776	87/35--150/56	NA	NA	NA	NA	0.697903784
BLCA	BMI_category	Global	NA	NA	NA	NA	NA	51(12.38%)	0.287519627	0.286614346	0.284482814	0.732587419
