Cancer	Signature	Type	HR	Low CI95	Up CI95	p-value	Number_Event	N/A_number	Likelihood_ratio_test	Wald_test	Score_test	zph	concordance
ACC	AR	(continuous)	0.164365951143155	0.0242416665388393	1.11445167566799	0.0644577423091917	46/14	46(50%)	0.0389312820463329	0.0644577423091917	0.0633042510702213	0.920412953247845	0.627737226277372
ACC	AR	H (vs L)	0.511895049214617	0.171057643131097	1.5318610534673	0.231161756559358	23/9--23/5	46(50%)	0.220456685484448	0.231161756559358	0.222651973747053	0.871050088998197	0.579075425790754
ACC	ERALPHA	(continuous)	0.164040146440004	0.0269328351765333	0.999121312987644	0.0498886363343861	46/14	46(50%)	0.0403655609341914	0.0498886363343861	0.0503832835451462	0.730610396163326	0.688564476885645
ACC	ERALPHA	H (vs L)	0.191535299061785	0.0566250301016374	0.647871987367413	0.00785858302997489	23/10--23/4	46(50%)	0.00445841765158383	0.00785858302997489	0.00374947553516203	0.0485681788363908	0.734793187347932
ACC	ERALPHA_pS118	(continuous)	2.34244759727571e-06	8.3997831168982e-10	0.00653238383613049	0.00136055768703491	46/14	46(50%)	0.00101570632006431	0.00136055768703491	0.000908567914769232	0.991412551037921	0.778588807785888
ACC	ERALPHA_pS118	H (vs L)	0.202049996214774	0.0584751821137993	0.698145768762919	0.0114726582604066	23/10--23/4	46(50%)	0.0069393187170641	0.0114726582604066	0.00659598664522709	0.789375098065421	0.667883211678832
ACC	PR	(continuous)	0.0544625784413474	0.000781324915063679	3.796336701023	0.178974387221503	46/14	46(50%)	0.162273736322251	0.178974387221503	0.181462158344648	0.75706439385058	0.618004866180049
ACC	PR	H (vs L)	0.467958254156794	0.159019610550504	1.37709384946535	0.167916414102251	23/8--23/6	46(50%)	0.165098249056	0.167916414102251	0.15890983981474	0.372136490278939	0.619221411192214
ACC	weiss_score_overall	(continuous)	1.26473725613742	1.04365622415868	1.5326505893753	0.0165816583804103	69/28	23(25%)	0.0141536207292585	0.0165816583804103	0.0143348991168115	0.0169780750805596	0.585803432137285
ACC	mitoses_per_50_hpf	(continuous)	1.02175862510958	1.010521253787	1.03312096017119	0.000136246788888683	61/24	31(33.7%)	0.00082044254989011	0.000136246788888683	2.07058962327089e-05	0.17170477931705	0.703214695752009
ACC	age_at_initial_pathologic_diagnosis	(continuous)	1.01351691180864	0.992817267844707	1.03464813092151	0.202214049175244	92/34	0(0%)	0.20045713129045	0.202214049175244	0.200811782194355	0.804475395847534	0.561792452830189
ACC	gender	MALE (vs FEMALE)	0.848598439813268	0.413528965025436	1.74139993315636	0.65443727432665	32/11--60/23	0(0%)	0.651459796896023	0.65443727432665	0.654075375788134	0.884256975321048	0.517688679245283
ACC	pathologic_stage_v2	StageIII/IV (vs StageI/II)	8.00991843864135	3.53921423668734	18.1279767493642	5.94873209691649e-07	37/24--53/9	2(2.17%)	5.49369900681995e-08	5.94873209691649e-07	1.04686000979015e-08	0.325161744523809	0.745208845208845
ACC	nuclear_grade_III_IV	Absent (vs Present)	1.04776400139138	0.441268660391088	2.48784810967249	0.91578035711894	15/7--56/21	21(22.83%)	0.916098183219141	0.91578035711894	0.915773204866362	0.897057952870355	0.50301431801055
ACC	laterality	Right (vs Left)	1.1213528573929	0.569583219156201	2.20763566849112	0.740341954224469	40/15--52/19	0(0%)	0.740967969888927	0.740341954224469	0.740205619409663	0.242043320175957	0.531132075471698
ACC	tumor_status	WITH_TUMOR (vs TUMOR_FREE)	33.7767196682664	7.75632062233016	147.088658024804	2.74661615895511e-06	45/30--45/2	2(2.17%)	1.32338584535319e-12	2.74661615895511e-06	9.3665075695526e-12	0.706156852417986	0.770770010131712
ACC	treatment_outcome_first_course_v2	Uncomplete_Remission/Response (vs Complete_Remission/Response)	13.1636623792888	4.90062610769963	35.3591568562335	3.17783052428133e-07	25/17--54/7	13(14.13%)	1.99286006585808e-08	3.17783052428133e-07	2.55209298138936e-10	0.919980167841732	0.769461077844311
ACC	residual_tumor	R1 (vs R0)	7.62729348229386	2.52840407932728	23.0088245548635	0.000310327183685177	7/5--64/14	NA	NA	NA	NA	0.431020622126212	NA
ACC	residual_tumor	R2 (vs R0)	12.4669507308948	5.30195988948915	29.3146051207742	7.30458182829352e-09	12/11--64/14	NA	NA	NA	NA	0.580271256181809	NA
ACC	residual_tumor	RX (vs R0)	3.37981820127276	0.967345886667707	11.8087761896677	0.0563975303020207	6/3--64/14	NA	NA	NA	NA	0.0862491775670821	NA
ACC	residual_tumor	Global	NA	NA	NA	NA	NA	3(3.26%)	2.63012604806434e-07	1.08256514752547e-07	3.8040348648849e-11	0.196696787916019	0.752113376429637
ACC	new_tumor_event	Yes (vs No)	4.05476466102074	1.88282619642583	8.7321477083083	0.000347983916873629	44/25--48/9	0(0%)	0.000116023553529465	0.000347983916873629	0.000112194964227319	0.833865841032282	0.665094339622642
ACC	radiation_therapy	YES (vs NO)	1.40037561100136	0.605465508566546	3.23891588231055	0.431211233780486	17/7--75/27	0(0%)	0.446173163610251	0.431211233780486	0.429077848743281	0.569995359923779	0.524056603773585
ACC	postoperative_rx_tx	NO (vs YES)	0.664257728149227	0.324654823467783	1.35909987319119	0.262728417447286	37/12--55/22	0(0%)	0.254773819591907	0.262728417447286	0.259724875062834	0.126360126930658	0.524056603773585
ACC	number_of_lymphnodes_positive_by_he	Yes (vs No)	2.36419785887111	0.911274481413968	6.13364209125879	0.0769020967701215	8/5--84/29	0(0%)	0.109642611096811	0.0769020967701215	0.0682079097462117	0.428407634339018	0.555188679245283
ACC	pharm_tx_mitotane_indicator	NO (vs YES)	0.631695637699111	0.3090564983107	1.2911534974001	0.207895821103632	37/12--55/22	0(0%)	0.199627848218585	0.207895821103632	0.20426582708728	0.301795086047563	0.5375
ACC	clinical_status_within_3_mths_surgery	Disease (vs No_evidence)	9.0028432656274	4.41030438768871	18.3776854703511	1.5821420840112e-09	20/18--72/16	0(0%)	6.98912128171969e-09	1.5821420840112e-09	7.72604202836646e-13	0.893623762048233	0.721933962264151
ACC	ct_scan_preop_results.1	Involvement (vs Normal)	3.50849746955336	1.66060897534973	7.41267491419517	0.00100572892201856	24/15--53/13	15(16.3%)	0.00120424975537625	0.00100572892201856	0.000462278364565138	0.280655222353607	0.667232021709634
ACC	history_adrenal_hormone_excess	None (vs Yes)	0.499472934188484	0.23304420022384	1.07049740670325	0.0742911007859723	38/9--54/25	0(0%)	0.0614105088852346	0.0742911007859723	0.06864552986855	0.266580359969194	0.56061320754717
ACC	atypical_mitotic_figures	Present (vs Absent)	1.92494897912117	0.876368562281049	4.22816236421693	0.102837330808024	33/17--35/10	24(26.09%)	0.0961353924311175	0.102837330808024	0.0970411528312624	0.0140110641920902	0.538203190596138
ACC	cytoplasm_presence_less_than_equal_25_percent	Absent (vs Present)	1.18241177963791	0.446556601645371	3.13084077466352	0.735921819536976	12/5--57/22	23(25%)	0.740355768516766	0.735921819536976	0.735627223541687	0.638226350292929	0.515853658536585
ACC	diffuse_architecture	Absent (vs Present)	0.795672085483058	0.333225219764736	1.89989841724446	0.606757364553983	20/7--50/20	22(23.91%)	0.600561403991222	0.606757364553983	0.606024638730751	0.0484665814727385	0.489657915672235
ACC	invasion_of_tumor_capsule	Absent (vs Present)	0.380816285878527	0.174014855350984	0.833383122939772	0.01568821306685	35/9--48/22	9(9.78%)	0.0111116124792585	0.01568821306685	0.0122426824061231	0.0975886796961598	0.639905548996458
ACC	Mitotic_Rate_._5.50_HPF	Absent (vs Present)	0.391217204074474	0.174305577162628	0.878060835776076	0.0228925222775437	32/8--48/24	12(13.04%)	0.0153838116891827	0.0228925222775437	0.0185625793916105	0.203439306732267	0.585653753026634
ACC	necrosis	Absent (vs Present)	0.381967806811558	0.133993239358026	1.08885646872521	0.0717518900169519	20/4--67/29	5(5.43%)	0.0430251154672644	0.0717518900169519	0.0614588313982799	0.174615224519016	0.555960437272254
ACC	sinusoid_invasion	Present (vs Absent)	2.12886578290453	0.97169160399954	4.66410279039917	0.0589989293926944	29/15--39/11	24(26.09%)	0.0570394271743302	0.0589989293926944	0.053431760969318	0.124430096568299	0.562874251497006
