IDs	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa04080	Neuroactive ligand-receptor interaction	82/753	229/6231	1.73245831468814e-21	5.07610286203624e-19	4.12142714862652e-19	27334/55584/84634/140/9127/84539/6754/22953/5540/5646/2566/10886/2561/2558/4923/887/7433/2837/799/1136/2925/5737/5746/5724/4161/1395/2557/1903/2556/5024/4160/5021/2914/3361/2917/1910/3350/1128/5734/2902/10800/1135/2357/2741/59350/2562/554/11255/2742/2912/2915/2847/2918/1816/56923/6753/1394/2554/117/2150/2570/4986/2559/3061/719/10888/155/1142/728/3362/2151/1137/147/3354/1909/53829/2690/1141/7253/2563/2358/116443	82
hsa05150	Staphylococcus aureus infection	31/753	49/6231	2.73356987497993e-17	4.00467986684559e-15	3.25150943023928e-15	3109/720/2215/2214/718/5724/3111/9103/3689/3383/3586/3122/714/715/2357/3113/716/6404/3118/2209/2213/3117/719/2204/3684/3683/728/2212/717/2358/3426	31
hsa04060	Cytokine-cytokine receptor interaction	64/753	218/6231	2.61245013327911e-12	2.5514929635026e-10	2.07162712323185e-10	6351/9966/268/920/130399/3595/959/3597/1441/6355/3627/944/8792/146433/3587/23529/3553/3604/943/1233/4982/1436/6846/3579/7124/3586/6372/9180/3557/6347/1438/388372/729230/2660/1435/8995/3575/3600/10563/3559/6367/60401/51330/1439/3570/3552/1230/8740/3560/7042/4283/163702/6349/2833/414062/1270/6348/151449/2690/5008/3594/6373/1234/1524	64
hsa05033	Nicotine addiction	18/753	38/6231	7.90591937040252e-08	5.79108593881985e-06	4.70194152029203e-06	246213/2566/57084/2561/2558/57030/2557/2556/140679/2902/2562/2554/2570/2559/1137/1141/2563/116443	18
hsa05323	Rheumatoid arthritis	28/753	82/6231	1.35377679338301e-07	7.93313200922442e-06	6.44112748009599e-06	3109/284/8792/3553/3111/7099/3689/3383/7124/6372/3122/6347/7097/3113/1435/3600/50617/941/3552/3118/245972/3117/7042/3683/6349/414062/6348/942	28
hsa04640	Hematopoietic cell lineage	28/753	83/6231	1.81291284771064e-07	8.85305773965363e-06	7.18804041372991e-06	3109/920/1441/3553/3673/3111/1436/945/7124/952/917/3122/1438/3113/1435/3575/3559/3570/3552/914/913/3118/2209/3117/3684/960/931/911	28
hsa05152	Tuberculosis	41/753	156/6231	7.21976784817815e-07	3.021988542166e-05	2.45363538900491e-05	810/3109/815/7421/2215/22925/2214/972/718/3587/3553/3111/4360/6850/3929/841/9103/7099/3689/64581/1520/7124/3586/3122/4261/7097/9902/3113/50617/3552/3118/245972/2209/10333/2213/3117/7042/3684/2212/7096/816	41
hsa05140	Leishmaniasis	23/753	68/6231	2.16235235401456e-06	6.87465733841111e-05	5.58172286143672e-05	3109/5579/2215/2214/718/3553/3111/9103/7099/3689/1536/7124/3586/3122/7097/3113/3552/3118/2209/3117/7042/3684/2212	23
hsa04020	Calcium signaling pathway	43/753	174/6231	2.33390777831197e-06	6.87465733841111e-05	5.58172286143672e-05	810/815/814/9127/5579/22953/6547/4923/5336/887/1956/2925/5737/5724/8913/6543/5024/5350/5021/3361/1910/952/1128/5153/2902/10800/3706/6262/5260/2915/1816/8911/6263/155/777/5582/3362/6261/114/147/1909/492/816	43
hsa04742	Taste transduction	21/753	59/6231	2.34629943290482e-06	6.87465733841111e-05	5.58172286143672e-05	3359/40/22953/2558/9033/2557/80835/2556/5024/9177/2914/6326/3350/5153/255022/2554/2559/114/3354/10021/51764	21
hsa04721	Synaptic vesicle cycle	21/753	61/6231	4.34304621662741e-06	0.000115682958315621	9.39261669816072e-05	246213/6616/6804/57084/594855/57030/6857/6572/440279/23025/140679/6570/6812/112755/22999/50617/10815/245972/1759/10814/5864	21
hsa05321	Inflammatory bowel disease (IBD)	19/753	53/6231	6.29464902500928e-06	0.00015369434702731	0.000124788656109833	3109/3595/6775/3553/3111/7099/7124/3586/7100/3122/7097/3113/3552/4772/3118/3117/7042/2625/3594	19
hsa05310	Asthma	11/753	22/6231	1.49285235724414e-05	0.000336465954363486	0.000273185937439008	3109/959/3111/2205/7124/3586/3122/3113/6037/3118/3117	11
hsa04726	Serotonergic synapse	28/753	102/6231	1.75657835590787e-05	0.000367626755915005	0.000298486246943744	3359/5579/240/2561/121278/94235/283748/5321/9177/2785/3361/1573/1644/3350/6570/242/2562/3762/3765/5742/4129/7166/5582/3362/3354/51764/260293/55970	28
hsa05032	Morphine addiction	24/753	86/6231	5.18680748895024e-05	0.000966617243789134	0.000784823054055485	5579/2566/2561/2558/94235/2557/2556/2785/140679/5153/5139/2562/3762/5138/3765/2554/2570/2559/5582/114/2563/5143/51764/55970	24
hsa04940	Type I diabetes mellitus	14/753	37/6231	5.27845593878025e-05	0.000966617243789134	0.000784823054055485	3109/2572/3553/3111/7124/3122/5798/3113/941/3552/3118/3117/942/2571	14
hsa04911	Insulin secretion	22/753	76/6231	5.77080541700675e-05	0.000994615286578222	0.000807555432968127	84699/815/6616/5579/6804/3780/27445/9699/148327/90993/6833/116/6262/117/480/5582/114/10242/3767/3782/816/5864	22
hsa04145	Phagosome	34/753	143/6231	6.26646351031388e-05	0.00102004100473443	0.000828199270953765	4353/3109/3693/4973/2215/22925/2214/718/3673/3111/4360/9103/7099/3689/64581/1520/1536/3122/7097/715/9902/3113/50617/4481/3118/245972/2209/10333/2213/3117/2204/3684/51807/2212	34
hsa04610	Complement and coagulation cascades	19/753	64/6231	0.000126158374384098	0.00194549493129162	0.00157960069865962	5265/2152/720/718/11326/3689/5104/714/715/2162/716/5328/2161/719/3684/728/2151/717/3426	19
hsa05320	Autoimmune thyroid disease	12/753	31/6231	0.000140399647410042	0.00205685483455712	0.00167001685866682	3109/959/3111/3586/3122/3113/941/3118/3117/7038/942/7253	12
hsa04921	Oxytocin signaling pathway	33/753	144/6231	0.000170803622665749	0.00238311721147925	0.00193491823170222	810/4881/815/814/5579/784/5294/1956/57172/283748/5321/4773/3768/5021/952/55799/6262/3762/3765/10369/4772/786/6263/3761/5582/6261/114/23533/2983/816/59283/27092/10368	33
