ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa04080	Neuroactive ligand-receptor interaction	82/608	228/5039	6.1757939079692e-22	1.15487346079024e-19	9.42621175426878e-20	27334/55584/84634/140/9127/84539/6754/22953/5540/5646/2566/10886/2561/2558/4923/887/7433/2837/799/1136/2925/5737/5746/5724/4161/1395/2557/1903/2556/5024/4160/5021/2914/3361/2917/1910/3350/1128/5734/2902/10800/1135/2357/2741/59350/2562/554/11255/2742/2912/2915/2847/2918/1816/56923/6753/1394/2554/117/2150/2570/4986/2559/3061/719/10888/155/1142/728/3362/2151/1137/147/3354/1909/53829/2690/1141/7253/2563/2358/116443	82
hsa05150	Staphylococcus aureus infection	31/608	49/5039	2.33167643345059e-17	2.1801174652763e-15	1.77943727815966e-15	3109/720/2215/2214/718/5724/3111/9103/3689/3383/3586/3122/714/715/2357/3113/716/6404/3118/2209/2213/3117/719/2204/3684/3683/728/2212/717/2358/3426	31
hsa04060	Cytokine-cytokine receptor interaction	61/608	204/5039	2.63351999637235e-12	1.64156079773877e-10	1.33986105078593e-10	6351/9966/268/3595/959/3597/1441/6355/3627/944/8792/1956/3587/23529/3553/3604/943/1233/4982/1436/6846/3579/7124/3586/6372/9180/6347/1438/388372/729230/1435/8995/3575/3600/10563/3559/6367/60401/51330/1439/3570/3552/1230/8740/3560/7042/3082/4283/163702/6349/2833/414062/1950/1270/6348/2690/5008/3594/6373/1234/1524	61
hsa05323	Rheumatoid arthritis	29/608	84/5039	5.54400976210852e-08	2.59182456378573e-06	2.11547740922562e-06	3109/284/8792/3553/3111/7099/3689/3383/7124/6372/3122/6347/7097/3113/1435/3600/50617/941/3552/3118/245972/3117/7042/5228/3683/6349/414062/6348/942	29
hsa04020	Calcium signaling pathway	43/608	169/5039	8.75949213758971e-07	3.27605005945855e-05	2.67395023147475e-05	810/815/814/9127/5579/22953/6547/4923/5336/887/1956/2925/5737/5724/8913/6543/5024/5350/5021/3361/1910/952/1128/5153/2902/10800/3706/6262/5260/2915/1816/8911/6263/155/777/5582/3362/6261/114/147/1909/492/816	43
hsa05140	Leishmaniasis	22/608	67/5039	5.89027656980055e-06	0.000183580286425451	0.000149840368880891	3109/5579/2215/2214/718/3553/3111/9103/7099/3689/7124/3586/3122/7097/3113/3552/3118/2209/3117/7042/3684/2212	22
hsa04640	Hematopoietic cell lineage	23/608	74/5039	1.02555072723437e-05	0.000273968551418325	0.000223616323983435	920/1441/3553/3673/1436/945/7124/952/917/3122/1438/1435/3575/3559/3570/3552/914/913/2209/3684/960/931/911	23
hsa05310	Asthma	11/608	22/5039	1.45357122890001e-05	0.000339772274755378	0.000277326089724344	3109/959/3111/2205/7124/3586/3122/3113/6037/3118/3117	11
hsa04380	Osteoclast differentiation	32/608	125/5039	1.97814622488777e-05	0.000411014826726681	0.000335475090770441	29760/814/5294/2215/8792/5336/10288/2214/55423/799/11027/3553/695/6850/4982/9103/4773/1436/1536/7124/10859/1435/11024/3937/3552/4772/2209/2213/7042/23533/11006/2212	32
hsa04666	Fc gamma R-mediated phagocytosis	25/608	91/5039	4.55705293672385e-05	0.000852168899167361	0.000695550185078904	5579/5294/7409/5336/2214/85477/10451/8613/6850/283748/5321/55616/9103/5058/4067/273/3635/5788/2209/2213/5582/1759/23533/2212/1794	25
